"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,110414501,1,9,10351276
2019,5,125178876,1,11,14024688
2019,5,125173088,1,11,14029711
2019,5,125178836,1,11,14024667
2019,5,125178840,1,11,14024669
2019,18,125180472,,,14024672
2019,12,125180472,1,11,14024670
2019,16,125180472,1,11,14024671
2019,16,125180478,1,11,14033468
2019,16,125180487,1,11,14033471
2019,4,125180487,1,11,14033472
2019,5,125178856,1,11,14024678
2019,12,125178861,1,11,14024680
2019,5,125172997,1,11,14029675
2019,16,125178889,2,9,14024694
2019,5,125178903,1,11,14024698
2019,16,125178923,1,11,14024703
2019,5,125178935,1,9,14024709
2019,16,125180592,1,9,14033520
2019,5,125180592,2,9,14033521
2019,12,125178939,2,9,14024712
2019,5,125178946,1,11,14024713
2019,5,125173091,1,11,14029719
2019,16,125180618,1,11,14033531
2019,5,125173100,1,11,14029723
2019,5,125178958,1,11,14024720
2019,16,125178958,18,9,14024719
2019,5,125178960,1,11,14024723
2019,5,125173111,1,11,14033537
2019,5,125178974,1,9,14024726
2019,4,125178974,1,9,14024727
2019,5,125173118,1,11,14029726
2019,5,125178990,1,11,14024729
2019,5,125178999,1,11,14024732
2019,5,125173188,1,11,14029751
2019,12,125179004,3,9,14024733
2019,5,125180743,1,11,14033596
2019,5,125179033,1,11,14024741
2019,16,125173237,1,9,14029774
2019,16,125180764,2,9,14033605
2019,16,125179041,0.5,1,14024745
2019,5,125180779,1,11,14033616
2019,12,125179046,1,9,14029781
2019,5,125179047,1,11,14024747
2019,5,125179053,1,11,14024751
2019,5,125179054,1,11,14024752
2019,5,125179058,1,11,14024754
2019,5,125179057,1,11,14024753
2019,5,125179074,1,11,14024757
2019,5,125180820,1,11,14033630
2019,16,125179086,1,9,14024760
2019,5,125179098,1,11,14024762
2019,5,125179099,3,9,14024763
2019,5,125179104,1,11,14024765
2019,16,125180860,2,9,14033640
2019,12,125180860,2,9,14024767
2019,5,125179109,1,11,14024769
2019,4,125178835,1,9,14024666
2019,2,125179112,1,11,14024770
2019,5,125179113,6,9,14024771
2019,16,125179127,1,9,14024778
2019,5,122137530,1,1,13232916
2019,5,122137558,2,1,13232917
2019,5,122137634,1,11,13232918
2019,18,125180695,,,14033569
2019,12,125180695,2,9,14033567
2019,16,125180695,4,9,14033568
2019,5,125180734,1,11,14033590
2019,18,125180741,,,14033594
2019,12,125180741,5,9,14033592
2019,16,125180741,50,9,14033593
2019,5,125180832,1,11,14033634
2019,5,113235957,1,9,10812178
2019,5,113245633,2,9,10817015
2019,5,125180458,1,11,14033461
2019,16,125180458,2,9,14033460
2019,5,125180497,1,11,14033479
2019,16,125180533,1,9,14033492
2019,12,125173004,1,9,14029676
2019,2,125173095,1,11,14029721
2019,4,125180637,1,11,14033539
2019,12,125180637,1,11,14033538
2019,16,125180656,4,9,14033551
2019,5,125180656,1,11,14033552
2019,4,125180667,1,9,14033559
2019,12,125180708,1,11,14033575
2019,4,125180708,1,11,14033576
2019,2,125180754,1,11,14033599
2019,16,125180765,1,9,14033606
2019,5,125180765,2,9,14033607
2019,12,125180776,1,11,14033613
2019,5,125173257,1,11,14033617
2019,5,125180869,1,11,14033642
2019,5,125179114,1,11,14024772
2019,5,125173395,1,11,14029817
2019,1,125173402,13,9,14029819
2019,5,125173412,1,11,14029820
2019,16,125173421,2,9,14029824
2019,5,125173429,1,11,14029828
2019,5,125173432,1,11,14029830
2019,5,125173436,1,11,14033661
2019,2,125173436,1,11,14033662
2019,5,125180931,1,11,14033665
2019,16,125180931,1,9,14033664
2019,16,125180937,97,9,14033666
2019,16,125180491,1,9,14033476
2019,5,125180539,1,11,14033494
2019,5,125178922,1,11,14024702
2019,5,125180579,1,11,14033513
2019,16,125180579,7,9,14033512
2019,12,125180608,1,9,14033527
2019,16,125180613,3,9,14033528
2019,5,125180613,1,11,14033529
2019,12,125180616,1,1,14033530
2019,4,125180650,1,9,14033545
2019,16,125180697,1,9,14033571
2019,12,125180697,2,9,14033570
2019,5,125180710,1,11,14033579
2019,5,125180728,1,11,14033588
2019,12,125180758,1,9,14033600
2019,5,125180758,1,11,14033601
2019,16,125179042,54,9,14024746
2019,4,125180793,1,11,14033620
2019,12,125180798,2,9,14033623
2019,15,125180834,1,9,14033635
2019,5,125173332,1,11,14029796
2019,5,125180879,1,11,14033646
2019,16,125180881,104,9,14033648
2019,16,125180952,7,9,14033669
2019,5,125180953,1,11,14033671
2019,16,125180953,11,9,14033670
2019,12,125180954,1,11,14033672
2019,16,125180954,8,9,14033673
2019,5,125180956,1,11,14033674
