"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,129640495,118350096,1,1,,,,,,"",,,"",,
2019,129640499,118350100,1,4,,,,5,21,"M",1,2,"R",21,0
2019,129640501,118350101,2,4,,,,5,19,"F",1,1,"R",19,0
2019,129640500,118350101,1,4,,,,5,50,"F",1,2,"N",50,0
2019,129640511,118350108,1,4,,,,5,25,"F",2,2,"R",25,0
2019,129640515,118350112,1,4,,,,5,57,"M",1,2,"R",57,0
2019,129640516,118350113,1,4,,,,5,38,"M",1,2,"N",38,0
2019,129640521,118350118,1,4,,,,5,26,"F",1,2,"N",26,0
2019,129640526,118350122,2,1,,,,,,"",,,"",,
2019,129640525,118350122,1,2,,,,,,"",,,"",,
2019,129640531,118350126,1,4,,,,5,41,"F",1,2,"R",41,0
2019,129640537,118350132,1,4,,,,5,48,"M",1,2,"R",48,0
2019,129640539,118350134,1,1,,,,,,"",,,"",,
2019,129640540,118350135,1,1,,,,,,"",,,"",,
2019,129640543,118350138,1,4,,,,5,31,"F",1,2,"N",31,0
2019,129640545,118350140,1,4,,,,5,38,"F",1,2,"R",38,0
2019,129640546,118350141,1,1,,,,,,"",,,"",,
2019,129640548,118350143,1,8,,,,,,"",,,"",,
2019,129640552,118350147,1,4,,,,5,44,"M",1,2,"R",44,0
2019,129640555,118350150,1,1,,,,,,"",,,"",,
2019,129640556,118350151,1,4,,,,5,9,"M",2,2,"R",9,0
2019,129640560,118350154,1,1,,,,,,"",,,"",,
2019,129640562,118350156,1,4,,,,5,79,"F",1,2,"R",79,0
2019,129640565,118350159,1,4,,,,5,78,"F",1,2,"R",78,0
2019,129640566,118350160,1,4,,,,5,24,"M",2,2,"R",24,0
2019,129640568,118350162,1,4,,,,5,20,"F",1,2,"R",20,0
2019,129640570,118350164,1,1,,,,,,"",,,"",,
2019,129640571,118350165,1,1,,,,,,"",,,"",,
2019,129640574,118350167,1,1,,,,,,"",,,"",,
2019,129640490,118350092,1,4,,,,5,18,"M",2,2,"R",18,0
2019,129640502,118350102,1,4,,,,5,19,"F",1,2,"R",19,0
2019,129640509,118350106,1,4,,,,5,61,"M",1,2,"R",61,0
2019,129640512,118350109,1,1,,,,,,"",,,"",,
2019,129640513,118350110,1,4,,,,5,17,"F",1,2,"N",17,0
2019,129640517,118350114,1,4,,,,5,74,"M",1,2,"R",74,0
2019,129640518,118350115,1,1,,,,,,"",,,"",,
2019,129640519,118350116,1,4,,,,5,28,"M",1,2,"N",28,0
2019,129640520,118350117,1,1,,,,,,"",,,"",,
2019,129640522,118350119,1,8,,,,,,"",,,"",,
2019,129640524,118350121,1,4,,,,5,26,"M",2,2,"N",26,0
2019,129640527,118350123,1,1,,,,,,"",,,"",,
2019,129640529,118350124,2,8,,,,,,"",,,"",,
2019,129640528,118350124,1,1,,,,,,"",,,"",,
2019,129640530,118350125,1,4,,,,5,31,"M",2,2,"R",31,0
2019,129640533,118350128,1,4,,,,5,35,"F",2,2,"R",35,0
2019,129640534,118350129,1,4,,,,5,58,"F",1,2,"R",58,0
2019,129640535,118350130,1,4,,,,5,35,"M",2,2,"N",35,0
2019,129640538,118350133,1,4,,,,5,48,"M",2,2,"N",48,0
2019,129640541,118350136,1,4,,,,5,37,"F",2,2,"N",37,0
2019,129640542,118350137,1,1,,,,,,"",,,"",,
2019,129640544,118350139,1,8,,,,,,"",,,"",,
2019,129640547,118350142,1,1,,,,,,"",,,"",,
2019,129640549,118350144,1,4,,,,5,58,"M",1,2,"R",58,0
2019,129640550,118350145,1,1,,,,,,"",,,"",,
2019,129640551,118350146,1,1,,,,,,"",,,"",,
2019,129640553,118350148,2,4,,,,4,,"F",1,2,"R",,
2019,129640554,118350149,1,4,,,,5,68,"F",1,2,"R",68,0
2019,129640558,118350152,2,4,,,,5,27,"M",1,2,"N",27,0
2019,129640557,118350152,1,1,,,,,,"",,,"",,
2019,129640559,118350153,1,4,,,,5,44,"F",2,2,"N",44,0
2019,129640561,118350155,1,4,,,,5,40,"F",2,2,"R",40,0
2019,129640563,118350157,1,4,,,,5,39,"F",2,2,"R",39,0
2019,129640564,118350158,1,1,,,,,,"",,,"",,
2019,129640567,118350161,1,1,,,,,,"",,,"",,
2019,129640569,118350163,1,4,,,,5,45,"F",1,2,"R",45,0
2019,129640572,118350166,2,4,,,,5,86,"M",1,2,"R",86,0
2019,129640573,118350166,3,8,,,,,,"",,,"",,
2019,129640575,118350168,1,4,,,,5,26,"M",2,2,"N",26,0
2019,129640576,118350169,1,1,,,,,,"",,,"",,
2019,129640577,118350170,1,1,,,,,,"",,,"",,
2019,129640578,118350171,1,4,,,,5,9,"M",1,2,"R",9,0
2019,129640579,118350172,1,4,,,,5,27,"F",2,2,"R",27,0
2019,129640580,118350173,1,1,,,,,,"",,,"",,
2019,129640581,118350174,1,4,,,,5,31,"F",2,2,"R",31,0
2019,129640582,118350175,1,8,,,,,,"",,,"",,
2019,129640583,118350176,1,4,,,,5,31,"M",1,2,"R",31,0
2019,129640584,118350177,1,4,,,,5,63,"F",1,2,"N",63,0
2019,129640585,118350178,1,4,,,,5,24,"F",2,2,"R",24,0
2019,129640586,118350179,1,1,,,,,,"",,,"",,
2019,129640587,118350180,1,4,,,,5,78,"F",1,2,"R",78,0
2019,129640588,118350181,1,4,,,,5,59,"M",1,2,"R",59,0
2019,129640589,118350182,1,4,,,,5,53,"F",2,2,"N",53,0
2019,129640591,118350184,1,1,,,,,,"",,,"",,
2019,129640592,118350185,1,4,,,,5,24,"M",1,3,"R",24,0
2019,129640593,118350186,1,4,,,,5,62,"M",1,2,"R",62,0
2019,129640594,118350186,2,4,,,,5,17,"M",1,2,"R",17,0
2019,129640595,118350187,1,4,,,,5,70,"M",1,2,"R",70,0
2019,129640596,118350188,1,4,,,,5,22,"F",2,2,"N",22,0
2019,129640598,118350190,1,8,,,,,,"",,,"",,
2019,129640599,118350191,1,4,,,,5,33,"F",1,2,"R",33,0
