"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,129640488,134446195,17,40586792
2019,129640491,134446199,18,40586796
2019,129640498,134446205,1,40586800
2019,129640498,134446207,1,40586799
2019,129640499,134446206,18,40586801
2019,129640501,134446208,18,40586803
2019,129640500,134446208,18,40586802
2019,129640511,134446219,3,40586814
2019,129640515,134446223,18,40586816
2019,129640516,134446224,18,40586817
2019,129640521,134446228,24,40586820
2019,129640531,134446238,17,40586824
2019,129640537,134446244,18,40586829
2019,129640543,134446252,13,40586832
2019,129640545,134446254,3,40586833
2019,129640552,134446264,1,40586835
2019,129640556,134446268,18,40586838
2019,129640562,134446273,18,40586842
2019,129640565,134446276,18,40586844
2019,129640566,134446277,3,40586845
2019,129640568,134446279,21,40586846
2019,129636139,134446200,1,40583012
2019,129640490,134446198,1,40586794
2019,129640490,134446197,1,40586795
2019,129640502,134446210,16,40586804
2019,129640509,134446217,18,40586812
2019,129640513,134446221,9,40586815
2019,129640517,134446225,18,40586818
2019,129640519,134446227,24,40586819
2019,129640524,134446231,1,40586822
2019,129640530,134446237,3,40586823
2019,129640533,134446240,1,40586826
2019,129640534,134446241,18,40586827
2019,129640535,134446242,1,40586828
2019,129640538,134446245,18,40586830
2019,129640541,134446249,18,40586831
2019,129640549,134446258,13,40586834
2019,129640553,134446265,24,40586836
2019,129640554,134446266,18,40586837
2019,129640558,134446269,18,40586839
2019,129640559,134446270,18,40586840
2019,129640561,134446272,1,40586841
2019,129640563,134446274,18,40586843
2019,129640569,134446280,18,40586847
2019,129640572,134446285,18,40586848
2019,129640572,134446283,18,40586850
2019,129640572,134446284,18,40586849
2019,129640575,134446288,18,40586851
2019,129640578,134446291,24,40586852
2019,129640579,134446292,3,40586853
2019,129640581,134446294,18,40586854
2019,129640583,134446296,18,40586855
2019,129640584,134446297,18,40586856
2019,129640585,134446298,18,40586857
2019,129640587,134446300,18,40586858
2019,129640588,134446302,18,40586859
2019,129640588,134446301,18,40586860
2019,129640589,134446303,15,40586861
2019,129640592,134446308,18,40586862
2019,129640593,134446309,18,40586863
2019,129640594,134446309,18,40586864
2019,129640595,134446310,18,40586865
2019,129640596,134446311,18,40586866
2019,129640599,134446314,21,40586867
2019,129640601,134446316,18,40586868
2019,129640602,134446317,18,40586869
2019,129640604,134446318,24,40586871
2019,129640603,134446318,18,40586870
2019,129640605,134446319,18,40586872
2019,129640606,134446320,16,40586873
2019,129640607,134446321,5,40586874
2019,129640610,134446326,18,40586875
2019,129640611,134446327,18,40586876
2019,129640612,134446328,18,40586877
2019,129640615,134446332,18,40586878
2019,129640620,134446337,18,40586879
2019,129640624,134446341,18,40586880
2019,129640626,134446343,21,40586881
2019,129640627,134446344,18,40586882
2019,129640629,134446346,21,40586883
2019,129640630,134446347,3,40586884
2019,129640631,134446348,3,40586885
2019,129640632,134446349,18,40586886
2019,129640636,134446354,1,40586887
2019,129640637,134446354,3,40586888
2019,129640639,134446356,21,40586889
2019,129640640,134446357,18,40586890
2019,129640641,134446358,18,40586891
2019,129640642,134446359,18,40586892
2019,129640643,134446360,18,40586893
2019,129640644,134446361,19,40586894
2019,129640645,134446362,1,40586895
2019,129640646,134446363,17,40586896
2019,129640647,134446364,18,40586897
2019,129640648,134446365,24,40586898
2019,129640649,134446366,18,40586899
2019,129640650,134446367,3,40586900
2019,129640652,134446369,24,40586901
2019,129640653,134446369,24,40586902
