"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,12,121359490,6,1,13054169
2019,5,121359508,8.2,1,13054171
2019,9,121359508,2,9,13054172
2019,5,121528404,0.2,1,13088180
2019,5,121528433,0.02,1,13098201
2019,5,121528468,12.2,1,13088185
2019,5,121523510,3,1,13098218
2019,17,121528697,0.8,1,13098269
2019,12,121528697,3.4,1,13098268
2019,12,121540445,1.001,1,13088546
2019,5,121540491,3.6,1,13098607
2019,17,121540491,10,9,13088553
2019,12,121540491,0.07,1,13088552
2019,5,121540524,1,1,13098615
2019,5,121535298,0.061,1,13098621
2019,12,121540660,1.005,1,13098642
2019,8,121540662,15,1,13088567
2019,5,121540662,5,3,13088566
2019,13,121540667,32,9,13098645
2019,5,121540677,2,3,13098649
2019,5,121535444,473.9,1,13088583
2019,12,121541653,5.4,1,13098839
2019,16,121541742,1,9,13098857
2019,17,121541742,1,11,13098858
2019,8,121541742,2,9,13088689
2019,5,121536106,0.7,1,13088707
2019,5,121541828,17.7,1,13098875
2019,12,121541952,0.55,1,13088734
2019,5,121345103,1.5,1,13062775
2019,12,121357334,0.22,1,13053848
2019,12,121345113,9.2,1,13053850
2019,16,121345113,1,11,13062779
2019,5,121345113,6.9,1,13053849
2019,16,121357366,79,9,13053854
2019,5,121357366,15,1,13059756
2019,12,121357366,1,1,13053853
2019,12,121357395,1,1,13053861
2019,1,121353926,11.4,1,13059821
2019,18,121353926,,,13059824
2019,5,121353926,68,1,13059823
2019,12,121353931,1,11,13059825
2019,12,121357471,1,4,13059828
2019,16,121357471,10.7,1,13059829
2019,6,121357510,5.5,1,13053888
2019,5,121358143,0.001,1,13053987
2019,12,121358206,,,13053991
2019,14,121359779,5,9,13059973
2019,5,121359779,1,1,13059972
2019,5,121359785,2.9,1,13059978
2019,12,121359785,0.5,1,13059979
2019,5,121358483,0.001,1,13054030
2019,12,121358607,1.5,1,13054052
2019,5,121358607,0.01,1,13054051
2019,5,121358643,1.86,1,13054059
2019,5,121358743,8.002,1,13060015
2019,5,121360128,1,9,13060023
2019,12,121360128,2.1,1,13060024
2019,18,121358956,,,13054095
2019,5,121358956,0.3,1,13054093
2019,12,121358956,2,1,13054094
2019,5,121358977,3.2,1,13054097
2019,12,121358977,0.6,1,13054098
2019,5,121359037,2,1,13054108
2019,5,121360230,5.8,1,13060045
2019,8,121360230,2,9,13060046
2019,12,121359143,0.15,1,13054121
2019,12,121359163,0.64,1,13054130
2019,17,121359163,1,9,13054131
2019,12,121359193,3,9,13054134
2019,15,121359193,7,9,13054135
2019,8,121360384,0.5,1,13060077
2019,5,121360384,1,1,13060076
2019,12,121359257,0.5,1,13054140
2019,8,121360414,20.2,1,13060082
2019,12,121364582,1,11,13054180
2019,15,121364946,90,9,13060106
2019,5,121527508,2.8,1,13097996
2019,5,121522820,12,10,13088059
2019,12,121527702,1,11,13098025
2019,8,121527702,2,9,13098024
2019,5,121527702,3.12,1,13088065
2019,13,121522906,10.5,1,13088082
2019,5,121522949,,,13088087
2019,17,121523083,0.66,1,13088109
2019,12,121527989,2.6,1,13098099
2019,5,121528293,1.5,1,13098169
2019,4,121528347,0.1,1,13088169
2019,2,121528347,0.1,1,13088168
2019,5,121528452,12.5,1,13098208
2019,8,121528571,1.7,1,13098237
2019,5,121528571,7.56,3,13098236
2019,12,121523624,1,1,13098244
2019,16,121523624,8,9,13088208
2019,12,121523645,4.6,1,13088218
2019,12,121528679,5,9,13088224
2019,5,121528679,3.7,1,13098267
2019,2,121528843,0.3,1,13098289
2019,5,121528843,2.5,1,13098290
2019,5,121523921,2,1,13088254
2019,5,121523973,0.4,1,13088269
2019,5,121523988,1,11,13088273
2019,5,121536284,1,1,13098913
2019,5,121541973,1,11,13098893
2019,12,121536284,11,1,13098914
2019,8,121542101,1,9,13098924
2019,12,121542101,3.4,1,13098925
2019,5,121542101,2,1,13098923
2019,12,121542204,0.1,1,13098938
2019,12,121542216,1,1,13098941
2019,16,121542216,6,9,13098942
2019,5,121536388,1.4,1,13088770
2019,5,121542493,7,1,13099009
2019,5,121542703,2,10,13099070
2019,5,121542712,23.1,1,13099071
2019,12,121542712,0.9,1,13099072
2019,5,121542716,2.6,1,13099073
2019,16,121536581,1,11,13088798
2019,5,121543325,4.5,1,13099140
2019,5,121543974,1,1,13099246
2019,12,121543990,2.7,1,13088957
2019,5,121544050,2.4,1,13099248
2019,5,121544051,10,1,13088967
2019,12,121544056,40.014,1,13099249
2019,12,121537718,1,9,13088974
2019,16,121544265,11.052,1,13099263
2019,12,121544265,0.029,1,13099262
2019,5,121544299,1.2,1,13099264
2019,12,121544357,1,9,13099267
2019,5,121544397,1.04,1,13099271
2019,2,121544397,0.003,1,13099270
2019,5,121544434,2,1,13099275
2019,12,121544434,81,1,13099276
2019,5,121544442,1.2,1,13099277
2019,5,121544539,1,9,13099286
2019,5,121544550,2.06,1,13099287
2019,16,121544636,3,9,13099298
2019,12,121544636,3,9,13099297
2019,2,121544636,11.013,1,13099296
2019,17,121544679,1,11,13099300
2019,5,121544713,2.045,1,13099304
2019,12,121544844,28.019,1,13099315
2019,16,121545082,1,9,13099324
2019,5,121545082,11.03,1,13099323
2019,5,121545093,22.099,1,13099325
2019,17,121545173,1,11,13099329
2019,5,121545207,25.023,1,13099335
2019,2,121545207,28.011,1,13099334
2019,12,121545237,28.085,1,13099339
2019,5,121545237,10.02,1,13099338
2019,12,121545250,19.08,1,13099341
2019,12,121545360,8,9,13099348
2019,16,121545360,49.08,1,13099349
2019,5,121545360,2,1,13099347
2019,5,121545481,2,1,13099352
2019,12,121545489,57.029,1,13099353
2019,5,121545595,67,1,13099355
2019,16,121545595,396,9,13099356
2019,5,121545596,8.04,1,13099357
2019,16,121545635,22.014,1,13099358
2019,5,121545673,48.003,1,13099359
2019,5,121545678,31,1,13099360
2019,5,121545706,1,1,13099361
2019,5,121545728,5.07,1,13099362
2019,5,121545729,27.023,1,13099363
2019,5,121545782,2.037,1,13099364
2019,8,121545782,2.001,9,13099365
2019,10,121545826,12.04,1,13099368
2019,12,121545831,39.028,1,13099371
2019,2,121545831,11.087,1,13099369
2019,5,121545831,100.042,1,13099370
2019,4,121545898,0.04,3,13099372
2019,12,121545902,3.02,1,13099373
2019,12,121545938,23.049,1,13099375
2019,12,121545964,12.002,1,13099376
2019,12,121540639,,,13098637
2019,5,121540673,10.001,1,13098646
2019,12,121540673,2.005,1,13098647
2019,12,121535385,3.4,1,13088573
2019,5,121540870,4.47,1,13098682
2019,2,121540890,290,1,13088594
2019,12,121540922,0.5,1,13098693
2019,5,121535543,1.9,1,13088602
2019,5,121540965,31.5,1,13098703
2019,5,121540975,2.008,1,13088610
2019,5,121535650,9.7,1,13098718
2019,8,121535672,1.3,1,13088624
2019,8,121541198,0.63,1,13098743
2019,16,121535730,5,9,13088632
2019,5,121535734,1,1,13098755
2019,12,121535734,1,1,13088633
2019,17,121541282,1,9,13098757
2019,5,121541282,2.5,3,13098756
2019,5,121541299,1,1,13098760
2019,5,121541311,1,1,13098761
2019,12,121541311,1.5,1,13098762
2019,12,121541356,2.1,1,13098773
2019,16,121541389,2,9,13098784
2019,12,121541389,1,1,13098783
2019,12,121535813,4,1,13088643
2019,5,121535823,2,1,13088644
2019,16,121535823,10,9,13088645
2019,5,121541468,0.6,1,13098804
2019,12,121541468,0.8,1,13098805
2019,16,121541483,8,9,13098808
2019,12,121541483,0.2,1,13088653
2019,12,121535909,0.25,1,13088659
2019,12,121541588,11,1,13098829
2019,17,121536043,0.1,1,13098853
2019,12,121541782,1,1,13088706
2019,5,121541850,1,1,13098877
2019,12,121536252,0.34,1,13088741
2019,5,121542159,3.6,1,13098929
2019,12,121542230,1.3,1,13098947
2019,12,121542230,20,5,13098945
2019,12,121542264,1,1,13098960
2019,15,121542264,1,9,13098961
2019,12,121542418,0.2,1,13098993
2019,5,121536394,0.6,1,13088771
2019,5,121542506,5.4,1,13099012
2019,15,121542506,4.6,1,13099013
2019,12,121542561,1,1,13099032
2019,8,121542732,1,9,13099076
2019,12,121542738,1.3,1,13099080
2019,5,121542743,1,11,13099081
2019,5,121542764,1.1,1,13099084
2019,12,121536839,1.5,1,13088823
2019,12,121529773,1.25,1,13093339
2019,5,121543606,1.5,1,13099179
2019,12,121543606,3.8,1,13093342
2019,12,121543608,2.823,1,13099180
2019,5,121529780,0.6,1,13088855
2019,17,121537086,1,11,13088868
2019,12,121543710,2.412,1,13099209
2019,16,121543742,0.1,9,13099215
2019,5,121537128,5.2,1,13088883
2019,5,121537259,0.5,1,13088915
2019,15,121537275,0.696,1,13099229
2019,17,121537275,1,11,13099230
2019,12,121536122,1.4,1,13088713
2019,5,121536146,0.1,1,13088720
2019,16,121536146,0.2,1,13088721
2019,12,121542052,0.5,1,13098908
2019,5,121542410,3.4,1,13088760
2019,8,121542415,0.1,1,13098992
2019,5,121542463,2.6,1,13099004
2019,5,121536413,5.8,1,13099024
2019,12,121536456,0.3,1,13088786
2019,5,121542778,2,1,13099087
2019,16,121535185,0.005,1,13088533
2019,5,121535185,3,1,13088532
2019,12,121540308,0.5,1,13098568
2019,12,121535215,1.3,1,13088539
2019,1,121540381,0.006,1,13088540
2019,12,121540431,1.009,1,13088545
