"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2019,37458122,1,37758968
2019,37452780,1,37760529
2019,37448159,1,37753637
2019,37448161,1,37753639
2019,37448160,1,37753638
2019,37448158,1,37753636
2019,37448157,1,37760537
2019,37458189,1,37759027
2019,37458201,1,37759043
2019,37448191,1,37753663
2019,37448220,1,37753686
2019,37448245,1,37753713
2019,37448257,1,37753728
2019,37458300,1,37759138
2019,37458331,1,37753784
2019,37448331,1,37753796
2019,37458360,1,37759198
2019,37448361,1,37753820
2019,37458361,1,37759199
2019,37448359,1,37759200
2019,37458379,1,37760658
2019,37452918,1,37760690
2019,37452919,1,37760692
2019,37453027,1,37754008
2019,37449301,1,37754745
2019,37459428,1,37754768
2019,37459456,1,37765294
2019,37449349,1,37754787
2019,37453700,1,37754788
2019,37449393,1,37754834
2019,37453727,1,37761515
2019,37458374,1,37759209
2019,37458390,1,37759227
2019,37458391,1,37759228
2019,37448380,1,37759229
2019,37452896,1,37760667
2019,37452897,1,37760668
2019,37452968,7,37760735
2019,37458692,1,37759532
2019,37458897,1,37760989
2019,37458898,1,37759740
2019,37448830,1,37759739
2019,37448831,1,37754290
2019,37449495,1,37769941
2019,37459592,1,37761585
2019,37464510,1,37769956
2019,37459598,1,37765435
2019,37464525,1,37769974
2019,37453811,1,37761598
2019,37453810,1,37761597
2019,37459623,1,37765455
2019,37453814,1,37769982
2019,37453815,1,37761601
2019,37453838,1,37761623
2019,37453841,1,37770008
2019,37453842,1,37761627
2019,37459633,1,37765464
2019,37464574,1,37770023
2019,37459715,1,37765537
2019,36408171,1,36557811
2019,36399096,1,36539539
2019,36408194,1,36557838
2019,36399137,7,36539573
2019,36399138,1,36539574
2019,36399139,1,36562841
2019,36408201,1,36539575
2019,36399140,1,36539577
2019,36402760,1,36562852
2019,36402761,1,36562853
2019,36399145,1,36539580
2019,36399151,1,36562861
2019,36402770,1,36562862
2019,36402772,1,36562865
2019,36402778,1,36539597
2019,36399164,1,36539600
2019,36399165,1,36562869
2019,36399192,1,36539623
2019,36399190,1,36539621
2019,36399191,1,36539622
2019,36402805,1,36562898
2019,36402806,1,36539625
2019,36402807,1,36562899
2019,36399193,1,36539626
2019,36402813,1,36562905
2019,36399199,1,36562906
2019,36399209,1,36539639
2019,36402827,1,36562925
2019,36402828,1,36539649
2019,36399223,1,36539650
2019,36402832,1,36562929
2019,36402833,1,36562930
2019,36408239,1,36557890
2019,36402836,1,36539654
2019,36399231,1,36539659
2019,36399233,1,36539663
2019,36399241,1,36539668
2019,36402857,1,36562948
2019,36399273,1,36557905
2019,36402868,7,36562961
2019,36399290,1,36539711
2019,36402872,1,36562965
2019,36402873,1,36562966
2019,36399292,1,36562967
2019,36402874,3,36562968
2019,36402875,1,36562969
2019,36402876,1,36562970
2019,32190340,1,32217051
2019,32190343,1,32211696
2019,32188366,1,32217054
2019,32188550,1,32217242
2019,32194231,1,32220325
2019,33255240,1,33286439
2019,32194228,1,32211822
2019,32188548,1,32217238
2019,32190958,1,32212308
2019,32199066,1,32217765
2019,32191085,1,32220916
2019,32191953,1,32218925
2019,32195823,1,32218980
2019,32200288,1,32221913
2019,32200300,22,32218991
2019,32195861,1,32219017
2019,32192410,1,32213766
2019,32200949,1,32222617
2019,32196552,1,32222623
2019,32192690,1,32219691
2019,32200955,1,32214028
2019,32192695,1,32214029
2019,32192701,1,32214034
2019,32199067,1,32212315
2019,32194800,1,32217828
2019,32195107,1,32218095
2019,32191304,1,32218098
2019,32191463,1,32212826
2019,32199628,1,32218317
2019,32199661,1,32218350
2019,37452105,1,37749848
2019,37452129,1,37749874
2019,37456686,1,37757498
2019,37456749,1,37757573
2019,37456842,1,37757678
2019,37448130,1,37758966
2019,37458121,1,37758967
2019,37452788,1,37760535
2019,37458178,1,37753631
2019,37448163,1,37760540
2019,37448165,1,37753641
2019,37458192,1,37759029
2019,37448179,1,37753654
2019,37452819,1,37760571
2019,37458250,1,37759092
2019,37452836,1,37759093
2019,37448231,1,37753700
2019,37448234,1,37753704
2019,37448256,1,37753727
2019,37448254,1,37753725
2019,37448255,1,37753726
2019,37452852,1,37760612
2019,37448296,7,37753766
2019,37458326,1,37759165
2019,37458328,1,37759167
2019,37448318,1,37753785
2019,37452867,1,37760630
2019,37452872,1,37759185
2019,37458355,2,37759194
2019,37458358,1,37759197
2019,37448356,1,37760648
2019,37448358,1,37760649
2019,37448357,1,37753817
2019,34325103,3,34330805
2019,34325109,1,34330811
2019,34322603,1,34328059
2019,34325131,1,34330831
2019,34322607,1,34328062
2019,34318552,8,34322505
2019,34325159,1,34330854
2019,34322648,1,34328106
2019,34318588,1,34322540
2019,34325173,1,34330867
2019,34318602,1,34322556
2019,34318606,1,34322562
2019,34325197,1,34330884
2019,34318633,1,34330892
2019,34325203,1,34330891
2019,34325209,1,34330899
2019,34318640,1,34328129
2019,34318642,1,34322598
2019,34318641,1,34322597
2019,34325214,1,34322599
2019,34325217,1,34330907
2019,34318663,1,34330920
2019,34325233,1,34330922
2019,34318689,1,34322644
2019,34318703,1,34322660
2019,34318705,1,34322664
2019,34325279,1,34330969
2019,34325283,1,34330972
2019,34322710,1,34330975
2019,34318724,1,34322684
2019,34325306,1,34330997
2019,34318744,1,34322703
2019,34322734,1,34328190
2019,34325339,7,34322725
2019,34318771,1,34328199
2019,34318774,1,34322732
2019,34322746,1,34331043
2019,34325358,1,34331051
2019,34318780,1,34322737
2019,34322760,1,34328216
2019,34318793,7,34322748
2019,34322771,1,34328226
2019,34325388,1,34331075
2019,34325440,1,34331120
2019,34325493,1,34331168
2019,34318890,1,34322851
2019,34318898,1,34322858
2019,32188365,1,32217053
2019,32188367,1,32211704
2019,32199061,1,32212303
2019,32195108,1,32218096
2019,32195776,1,32221863
2019,32195778,1,32221865
2019,32195784,1,32218930
2019,32195794,1,32218945
2019,32195796,1,32218950
2019,32200266,1,32213335
2019,32191971,1,32218956
2019,32191980,1,32221894
2019,32191996,1,32213353
2019,32191995,1,32218977
2019,32192003,1,32213366
2019,32192002,1,32213364
2019,32195831,1,32221918
2019,32200321,1,32219012
2019,32195865,1,32221950
2019,32195867,1,32219023
2019,32192412,1,32213768
2019,32192411,1,32213767
2019,32192415,1,32213772
2019,32192416,1,32219336
2019,32192672,1,32222595
2019,32192674,1,32219667
2019,32192681,1,32222609
2019,32196566,1,32222634
2019,32196563,1,32219699
2019,32196564,1,32222633
2019,32200966,1,32219705
2019,32201039,1,32222684
2019,32192774,7,32214101
2019,32192801,1,32219817
2019,32196635,1,32214130
2019,32192804,1,32214131
2019,32192806,1,32214133
2019,32201141,1,32219877
2019,32196671,1,32222751
2019,32196670,1,32219882
2019,32201155,1,32222757
2019,32204797,1,32231096
2019,32209572,3,32228388
2019,32209616,1,32228436
2019,32198384,1,32228472
2019,32204910,1,32231182
2019,32209675,1,32231187
2019,32198444,1,32224486
2019,32204952,1,32224548
2019,32198506,1,32228631
2019,32204995,1,32231276
2019,33566528,1,33588056
2019,33566529,1,33588057
2019,33574790,1,33596079
2019,33574793,1,33596081
2019,33574907,1,33596204
2019,33574916,1,33596213
2019,33566659,1,33588178
2019,33574934,1,33596229
2019,33574956,1,33590097
2019,33566714,1,33588239
2019,33568844,1,33588240
2019,33574989,1,33596277
2019,33575012,6,33596299
2019,33575038,1,33588286
2019,33566796,1,33588333
2019,33575048,1,33588334
2019,33566860,1,33588389
2019,33566863,1,33596371
2019,33566867,3,33588393
2019,33575122,1,33596414
2019,33575125,1,33596417
2019,33575195,7,33596488
2019,33575259,1,33596558
2019,33575314,1,33588759
2019,33567288,1,33588822
2019,33575416,1,33596717
2019,33575419,1,33596720
2019,33575420,1,33596721
2019,33575426,1,33596728
2019,33575429,1,33596730
2019,33575435,1,33596737
2019,33575450,1,33596752
2019,33567372,1,33588900
2019,33575466,1,33596773
2019,33567392,3,33588913
2019,33567395,1,33596799
2019,33575499,1,33596809
2019,33575572,1,33596880
2019,33567650,1,33589171
2019,33567659,1,33589181
2019,33575583,1,33596890
2019,33575617,1,33596923
2019,33567724,1,33589246
2019,33567754,1,33589278
2019,32205489,1,32231781
2019,32214794,1,32231799
2019,32214796,1,32240055
2019,33567828,1,33597041
2019,32205514,1,32231804
2019,32211241,1,32240091
2019,32211247,1,32235826
2019,32211248,7,32240097
2019,33567836,1,33589359
2019,33575766,1,33589371
2019,33568915,1,33589376
2019,33575808,1,33597114
2019,33575819,1,33597122
2019,33575853,1,33597153
2019,33575861,1,33597161
2019,32211484,1,32231958
2019,32205668,7,32231965
2019,32211520,1,32240360
2019,32214945,1,32235953
2019,32214944,1,32231980
2019,32205686,1,32231985
2019,32205694,1,32231994
2019,32214958,1,32240393
2019,32211555,1,32240395
2019,32205714,1,32235974
2019,33567918,1,33589448
2019,33575914,1,33597216
2019,32205741,1,32232038
2019,32215006,1,32240501
2019,32205755,1,32232053
2019,32211672,1,32236024
2019,32215015,1,32232055
2019,32215017,1,32236032
2019,32205759,1,32236031
2019,32205766,1,32240530
2019,32211696,1,32240533
2019,33575927,1,33597229
2019,32205795,1,32232085
2019,32215046,1,32232093
2019,32215047,1,32236065
2019,32211746,5,32240589
2019,32215059,1,32232098
2019,33575930,1,33597233
2019,32211834,1,32232149
2019,32205866,1,32240683
2019,32215096,1,32236113
2019,32211841,1,32240691
2019,32205873,1,32232156
2019,32215099,1,32240696
2019,32205883,1,32236122
2019,32211867,1,32236124
2019,32211876,1,32240723
2019,32211879,1,32240726
2019,32215118,1,32240734
2019,32211915,1,32240761
2019,32211923,1,32240768
2019,32211925,1,32240770
2019,32205927,1,32232215
2019,32205926,1,32232214
2019,32205925,1,32232213
2019,32211934,1,32240783
2019,32211942,1,32240791
2019,32211967,1,32232236
2019,32215156,1,32236168
2019,32205953,1,32240821
2019,32205983,1,32232272
2019,32206008,1,32240917
2019,32215208,1,32240922
2019,32212182,1,32236291
2019,32212185,1,32241025
2019,32212194,1,32232367
2019,32212210,1,32232375
2019,32215282,1,32236303
2019,32212225,1,32241061
2019,33567949,1,33597235
2019,33567953,1,33597238
2019,32215317,1,32236328
2019,33575934,1,33589475
2019,32212279,1,32241119
2019,32212296,1,32241135
2019,35021039,1,35381493
2019,35021047,1,35381501
2019,35025116,1,35379261
2019,35021144,1,35381598
2019,35021169,1,35379291
2019,35021173,1,35381627
2019,35021174,1,35381628
2019,35021177,1,35381634
2019,35025153,1,35379297
2019,35021234,1,35381690
2019,35021237,1,35381693
2019,35021241,1,35381697
2019,35030092,1,35385556
2019,35021242,1,35381698
2019,35030096,1,35385558
2019,35030119,3,35381767
2019,35030124,1,35385588
2019,35021318,1,35381780
2019,35030130,1,35385596
2019,35021378,1,35381830
2019,35021377,1,35381829
2019,35021379,1,35381831
2019,35030153,1,35385622
2019,35021385,1,35385623
2019,35031042,1,35383609
2019,35023196,1,35383626
2019,35031064,1,35386547
2019,35031067,1,35386549
2019,35025918,1,35390070
2019,35023232,1,35390072
2019,35023233,1,35383668
2019,35023252,1,35383688
2019,35023251,1,35383687
2019,35023257,1,35383692
2019,35023263,1,35383698
2019,35023277,1,35383713
2019,35023275,1,35383711
2019,35023284,1,35383720
2019,35023292,1,35390093
2019,35023293,1,35383729
2019,35023297,1,35383733
2019,35023300,1,35383737
2019,35023315,1,35383752
2019,35023316,1,35383753
2019,35031132,1,35386606
2019,35023342,1,35386610
2019,35023343,1,35383781
2019,35023370,1,35383806
2019,35031162,1,35383816
2019,35023380,1,35383817
2019,35023381,1,35383818
