"DATA_YEAR","VICTIM_ID","INJURY_ID"
2019,130074126,4
2019,130074419,5
2019,130071076,4
2019,130071225,5
2019,130071430,5
2019,130075604,4
2019,130071642,4
2019,130075878,4
2019,130076313,4
2019,131982765,5
2019,131985118,4
2019,131982785,4
2019,131985225,4
2019,131985272,5
2019,131985468,4
2019,131985487,6
2019,131985711,5
2019,131985904,4
2019,131986130,4
2019,131986152,1
2019,131986151,4
2019,131990433,4
2019,131993270,6
2019,131986773,4
2019,131986896,2
2019,131993490,4
2019,130072477,4
2019,131987168,5
2019,131987170,5
2019,131987216,5
2019,131987288,6
2019,131987308,5
2019,131987406,4
2019,131987592,5
2019,131987868,5
2019,131997964,4
2019,131992009,5
2019,131992008,5
2019,131992022,4
2019,131992022,2
2019,131998049,8
2019,131998049,4
2019,130072534,4
2019,130082065,5
2019,130072545,4
2019,130072555,4
2019,130082371,4
2019,130072767,5
2019,130082988,5
2019,130077690,5
2019,130083014,5
2019,130088186,4
2019,130088184,4
2019,130083268,5
2019,130088889,5
2019,130088888,5
2019,130083502,5
2019,130088900,5
2019,130088932,5
2019,130088931,5
2019,130088928,5
2019,130083598,1
2019,130083598,3
2019,130089056,2
2019,130083598,2
2019,130083598,6
2019,130083598,8
2019,130089056,6
2019,130083613,5
2019,130083651,4
2019,130089111,4
2019,130093508,4
2019,130089238,5
2019,130089294,4
2019,130083850,5
2019,130083923,5
2019,130093825,4
2019,130093853,4
2019,130093882,5
2019,130084043,5
2019,130084044,5
2019,130084054,4
2019,130084126,4
2019,130094011,5
2019,130089571,4
2019,130089604,4
2019,130094047,4
2019,130089652,7
2019,130084206,4
2019,130084254,4
2019,130084291,4
2019,130094226,4
2019,130084292,4
2019,130084353,5
2019,130094277,5
2019,130094294,4
2019,130084374,5
2019,130094321,8
2019,130084426,5
2019,130084697,5
2019,130084696,4
2019,130090404,5
2019,130090470,5
2019,130090549,4
2019,130094870,4
2019,130090644,4
2019,130085093,5
2019,130085137,4
2019,130090716,4
2019,130085146,7
2019,130094956,4
2019,130085193,1
2019,130085289,4
2019,130090887,5
2019,130095118,5
2019,130090935,4
2019,130085477,4
2019,130086513,5
2019,130096000,5
2019,130092112,2
2019,130096173,2
2019,130086832,4
2019,130086903,4
2019,130086980,5
2019,130086981,5
2019,130086982,4
2019,130087147,4
2019,130087226,5
2019,130087466,5
2019,130087504,5
2019,130096541,5
2019,130096542,5
2019,130102941,4
2019,130096833,4
2019,130098133,4
2019,130103343,5
2019,130103934,4
2019,130103935,5
2019,130099184,3
2019,130108152,4
2019,130104270,4
2019,130099242,5
2019,130099269,5
2019,130104330,4
2019,130104441,4
2019,130104477,5
2019,130099474,5
2019,130104550,5
2019,130104567,5
2019,130099581,5
2019,130108540,6
2019,130108581,5
2019,130108594,5
2019,130099775,5
2019,130108704,4
2019,130108706,5
2019,130099803,4
2019,130099807,1
2019,130099807,4
2019,130104762,5
2019,130099862,5
2019,130099875,5
2019,130108744,5
2019,130099898,4
2019,130108358,5
2019,130104563,4
2019,130104569,4
2019,130099574,5
2019,130104605,5
2019,130108570,4
2019,130104643,6
2019,130108586,6
2019,130099694,4
2019,130104656,5
2019,130099800,3
2019,130099865,4
2019,130104798,5
2019,130104814,5
2019,130099978,5
2019,130104813,5
2019,130108805,5
2019,130099979,5
2019,130100036,1
2019,130100080,4
2019,130100096,5
2019,130100113,5
2019,130100146,4
2019,130100156,5
2019,130100157,5
2019,130100158,4
2019,130104929,5
2019,130100165,5
2019,130104931,4
2019,130104995,4
2019,130100243,5
2019,130109076,4
2019,130100245,4
2019,130100304,4
2019,130109193,4
2019,130100357,4
2019,130105203,5
2019,130100425,4
2019,130109301,4
2019,130100645,4
2019,130109511,5
2019,130109719,6
2019,130109834,3
2019,130109849,4
2019,130079049,5
2019,130071317,5
2019,130071424,1
2019,130075425,4
2019,130080107,5
2019,130075491,5
2019,130075540,5
2019,130075616,4
2019,130075615,4
2019,130080370,4
2019,130080391,4
2019,130071858,4
2019,130071860,4
2019,130071871,4
2019,130076015,4
2019,130071896,5
2019,130071963,4
2019,130071982,5
2019,130071985,1
2019,130076212,3
2019,130080837,1
2019,130076285,4
2019,130072107,4
2019,130072207,4
2019,130072218,4
2019,130081417,4
2019,130081425,5
2019,130081468,4
2019,130077090,4
2019,130072442,4
2019,130092997,5
2019,130092996,5
2019,130088534,5
2019,130093054,4
2019,130088572,4
2019,130083380,4
2019,130083387,4
2019,130083056,4
2019,130088026,4
2019,130083085,4
2019,130083209,4
2019,130083617,5
2019,130093347,5
2019,130093348,5
2019,130093346,5
2019,130083621,5
2019,130093613,5
2019,130089307,5
2019,130083878,4
2019,130083897,4
2019,130083896,4
2019,130083914,4
2019,130083915,5
2019,130093747,4
2019,132931187,4
2019,132937736,4
2019,130093814,5
2019,130093858,3
2019,130093858,1
2019,130093858,2
2019,130093858,6
2019,130084712,4
2019,130084731,4
2019,130084730,5
2019,130094660,5
2019,130094661,5
2019,130084945,1
2019,130090627,4
2019,130085068,5
2019,130085089,4
2019,132931183,5
2019,130085189,4
2019,130090773,4
2019,130090832,4
2019,130090835,4
2019,130090836,4
2019,130090870,5
2019,130095094,5
2019,130085333,5
2019,130092077,4
2019,132937710,5
2019,130086865,4
2019,130086919,5
2019,132948474,4
2019,132942382,5
2019,130092255,4
2019,132937762,8
2019,130098086,5
2019,130099039,5
2019,132942463,4
2019,130099115,5
2019,130099218,5
2019,130099233,4
2019,130099253,4
2019,132937824,5
2019,132931400,4
2019,132948042,5
2019,132931441,8
2019,132948142,5
2019,132948183,4
2019,132943254,5
2019,132943257,5
2019,132931537,5
2019,132948309,5
2019,132948310,5
2019,132948352,5
2019,132948351,5
2019,132931576,5
2019,132943309,5
2019,132931574,5
2019,132948428,5
2019,132943331,4
2019,132948486,4
2019,132943339,5
2019,132943340,4
2019,132943354,5
2019,132943396,3
2019,132943396,2
2019,132931686,5
2019,132943426,4
2019,132931709,5
2019,132931708,5
2019,132943455,5
2019,132943456,5
2019,132943457,5
2019,132948707,4
2019,132948724,5
2019,132931736,5
2019,132948745,5
2019,132931761,5
2019,132948768,6
2019,132943566,2
2019,130079782,5
2019,130752751,5
2019,130752829,3
2019,130756436,5
2019,130762978,3
2019,130080119,4
2019,130071629,5
2019,130071628,4
2019,130096568,5
2019,130087728,5
2019,130096585,5
2019,130087817,4
2019,130097916,5
2019,130092801,5
2019,130092831,5
2019,130756576,4
2019,130763124,5
2019,130098035,4
2019,130102983,5
2019,130098183,5
2019,130096916,4
2019,130098269,4
2019,130098273,6
2019,130098288,4
2019,130098287,4
2019,130103170,6
2019,130103170,2
2019,130756622,4
2019,130756621,4
2019,130103257,5
2019,130756703,5
2019,130756701,4
2019,130763256,6
2019,130756743,5
2019,130756767,5
2019,130763347,5
2019,130756789,4
2019,130763357,5
2019,130759646,5
2019,130763367,4
2019,130756805,4
2019,130763411,5
2019,130763423,4
2019,130763436,5
2019,130763463,5
2019,130763472,5
2019,130763471,5
2019,130763487,4
2019,130759769,5
2019,130763550,4
2019,130763560,4
2019,130763573,5
2019,130763596,4
2019,130763598,5
2019,130763602,4
2019,130759829,5
2019,130759883,4
2019,130763660,4
2019,130759933,4
2019,130759932,5
2019,130763741,4
2019,130763740,5
2019,130763758,5
2019,130757133,5
2019,130757140,5
2019,130757141,5
2019,130760008,5
2019,130757153,4
2019,130757154,4
2019,130757158,5
2019,130760023,4
2019,130763832,4
2019,130763838,4
2019,130757169,8
2019,130757169,6
2019,130763858,4
2019,130757236,5
2019,130763921,5
2019,130763952,4
2019,130763958,4
2019,130763959,4
2019,130757305,5
2019,130764005,4
2019,130764046,4
2019,130764075,6
2019,130764075,8
2019,130757460,4
2019,130757504,5
2019,130760208,4
2019,130760219,5
2019,130764510,5
2019,130764520,5
2019,130764541,5
2019,130764548,4
2019,130764562,5
2019,130764626,4
2019,130764648,5
2019,130764704,5
2019,130764793,4
2019,130764815,3
2019,130764868,5
2019,130764925,4
2019,130760617,5
2019,130760634,5
2019,130760646,4
2019,130765029,4
2019,130732626,5
2019,130732672,5
2019,130732683,4
2019,130732689,4
2019,130732717,5
2019,130732744,5
2019,130732861,5
2019,130732870,4
2019,130738016,5
2019,130734011,4
2019,130721843,5
2019,130738253,5
2019,130738805,4
2019,130722372,5
2019,130722373,6
2019,130738854,5
2019,130722445,5
2019,130739003,4
2019,130739108,4
2019,130739118,5
2019,130722531,5
2019,130739127,5
2019,130739129,5
2019,130734592,3
2019,130739387,5
2019,130739397,5
2019,130739431,8
2019,130739522,4
2019,130739579,4
2019,130739581,5
2019,130739629,5
2019,130739640,5
2019,130739800,5
2019,130734715,5
2019,130739845,4
2019,130739941,5
2019,130739963,4
2019,130743649,5
2019,130740009,4
2019,130740043,5
2019,130740056,4
2019,130740094,5
2019,130740093,5
2019,130740097,5
2019,130743818,5
2019,130072597,5
2019,130072651,5
2019,130082522,4
2019,130072831,5
2019,130077557,4
2019,130082672,4
2019,130072893,5
2019,130077598,4
2019,130077599,5
2019,130072900,5
2019,130082692,4
2019,130077597,5
2019,130083035,4
2019,130083044,5
2019,130092924,4
2019,130088416,5
2019,130088417,5
2019,130083323,5
2019,130083335,5
2019,130093073,4
2019,130083543,4
2019,130088998,1
2019,130083561,5
2019,130084914,5
2019,130090530,4
2019,130085145,4
2019,130095003,3
2019,130085240,5
2019,130090793,5
2019,130090797,5
2019,130090794,5
2019,130090916,5
2019,130095164,4
2019,130091877,4
2019,130096007,8
2019,130086565,5
2019,130092051,7
2019,130092171,4
2019,130086989,3
2019,130086994,4
2019,130096247,3
2019,130087150,5
2019,130087298,3
2019,130096347,4
2019,130087372,5
2019,130087378,5
2019,130087397,5
2019,130092416,5
2019,130087454,5
2019,130087455,5
2019,130096437,5
2019,130092452,5
2019,130087486,5
2019,130087521,4
2019,130087578,5
2019,130087646,4
2019,130087696,4
2019,130087696,2
2019,130092606,4
2019,130087713,4
2019,130083170,4
2019,130083858,3
2019,130083883,4
2019,130094004,4
2019,130084131,4
2019,130089705,5
2019,130084243,5
2019,130084324,4
2019,130089833,4
2019,130089839,4
2019,130084336,5
2019,130094322,5
2019,130084390,5
2019,130084395,5
2019,130089926,4
2019,130089959,5
2019,130089960,5
2019,130094372,5
2019,130089958,5
2019,130084479,5
2019,130084508,4
2019,130090075,7
2019,130084527,4
2019,130094497,5
2019,130094512,5
2019,130084543,5
2019,130084544,5
2019,130090113,4
2019,130094525,4
2019,130084571,5
2019,130084568,5
2019,130094542,4
2019,130094830,5
2019,130094841,5
2019,130085026,5
2019,130085036,4
2019,130085249,4
2019,130095092,5
2019,130090880,5
2019,130085945,5
2019,130085964,5
2019,130091552,4
2019,130091619,5
2019,130086153,4
2019,130091645,5
2019,130086297,4
2019,130086305,4
2019,130086332,4
2019,130095865,4
2019,130086413,4
2019,130091872,4
2019,130086470,4
2019,130092028,4
2019,130092107,4
2019,130092108,5
2019,130086813,5
2019,130092120,1
2019,130086851,5
2019,130086988,5
2019,130086987,5
2019,130092209,5
2019,130087172,8
2019,130096908,4
2019,130103072,5
2019,130096933,4
2019,130103156,4
2019,130098382,4
2019,130098396,3
2019,130087658,4
2019,130087733,5
2019,130098054,5
2019,130098056,5
2019,130096782,5
2019,130098058,5
2019,130096801,4
2019,130098155,5
2019,130098229,4
2019,130098256,4
2019,130103106,4
2019,130103135,4
2019,130098339,5
2019,130096948,4
2019,130103218,5
2019,130098363,5
2019,130098380,4
2019,130098417,4
2019,130098422,4
2019,130098425,4
2019,130098451,5
2019,130097011,4
2019,130097011,2
2019,130097803,4
2019,130103966,5
2019,130099076,5
2019,130099205,4
2019,130104487,5
2019,130099482,4
2019,130104519,4
2019,130099573,4
2019,130099744,5
2019,130108681,5
2019,130099906,4
2019,130104799,5
2019,130099991,5
2019,130099992,5
2019,130108848,5
2019,130100112,5
2019,130100173,4
2019,130100223,5
2019,130105047,5
2019,130109113,4
2019,130100284,4
2019,130109115,4
2019,130105067,4
2019,130105072,4
2019,130100355,4
2019,130100354,4
2019,130100459,5
2019,130100468,5
2019,130100502,4
2019,130100532,2
2019,130105415,4
2019,130105421,4
2019,130100656,4
2019,130109531,5
2019,130100698,5
2019,130100715,4
2019,130109551,5
2019,130100725,5
2019,130100754,5
2019,130100758,5
2019,130100761,5
2019,130100885,4
2019,130100923,4
2019,130100929,4
2019,130740445,5
2019,130740550,5
2019,130744237,5
2019,130735266,5
2019,130740853,4
2019,130735346,4
2019,130740940,4
2019,130741071,4
2019,130741072,5
2019,130741151,5
2019,130741183,4
2019,130741183,3
2019,130741188,5
2019,130741219,6
2019,130744588,6
2019,130744588,1
2019,130741396,5
2019,130741497,5
2019,130741498,5
2019,130741604,5
2019,130741605,5
2019,130741644,5
2019,130741645,5
2019,130741676,4
2019,130741694,5
2019,130741871,5
2019,130741925,4
2019,130741946,4
2019,130742040,5
2019,130742102,5
2019,130745061,6
2019,130736666,4
2019,130742196,5
2019,130736681,4
2019,130742245,4
2019,130736694,5
2019,130742273,5
2019,130745150,5
2019,130748132,5
2019,130748131,5
2019,130748197,4
2019,130748286,4
2019,130748287,4
2019,130748307,4
2019,130748356,5
2019,130748358,5
2019,130748507,4
2019,130745845,4
2019,130748649,5
2019,130745897,5
2019,130745959,4
2019,130745977,5
2019,130745978,5
2019,130745987,5
2019,130748925,5
2019,130745981,5
2019,130748923,5
2019,130745980,5
2019,130745985,5
2019,130748926,5
2019,130745982,5
2019,130749039,3
2019,130749050,5
2019,130749058,4
2019,130746137,4
2019,130749078,4
2019,130749077,4
2019,130749090,5
2019,130749114,4
2019,130749498,5
2019,130750152,4
2019,130750177,4
2019,130750178,4
2019,130753446,4
2019,130750216,6
2019,130750253,5
2019,130750288,5
2019,130753645,4
2019,130750403,3
2019,130750403,8
2019,130747511,4
2019,130747509,4
2019,130747512,4
2019,130753885,5
2019,130753882,4
2019,130747513,4
2019,130750521,4
2019,130750669,5
2019,130750677,2
2019,130750677,6
2019,130747608,6
2019,130747608,4
2019,130754111,4
2019,130750735,5
2019,130750793,5
2019,130751019,4
2019,130757914,4
2019,130757924,4
2019,130754672,5
2019,130757935,5
2019,130751153,3
2019,130751199,3
2019,130758094,4
2019,130751427,4
2019,130755069,5
2019,130755194,1
