"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,123874632,8,1,,137402413
2019,123874632,19,1,,137402414
2019,123874633,61,200,,137402415
2019,123874636,25,60,,137402418
2019,123874643,20,323,,137402424
2019,123874670,19,201,,137402457
2019,123874669,19,201,12-NOV-19,137402456
2019,123874680,10,,,137402465
2019,123874724,19,614,,137402505
2019,123874729,10,,,137402508
2019,123874729,11,1,,137402509
2019,123874752,19,501,20-DEC-19,137402532
2019,123874753,19,501,,137402533
2019,123874827,11,1,,137402621
2019,123874426,20,8,,137407726
2019,123874890,26,200,,137402681
2019,123853511,11,2,,137412822
2019,123853511,10,,,137412821
2019,123853553,63,200,,137412865
2019,123874979,27,117,24-MAY-19,137402780
2019,123874980,27,117,,137402781
2019,123879582,6,189,,137407896
2019,123875046,10,,,137402857
2019,123875060,38,2,,137402875
2019,123879637,7,1,,137413022
2019,123853679,7,1,01-DEC-19,137413020
2019,123564704,20,210,,136987046
2019,123554007,9,0,,136989939
2019,123554007,20,140,,136989940
2019,123554007,25,65,,136997389
2019,123562758,63,840,,136997409
2019,123562760,19,5100,,136989970
2019,123562758,35,1000,,136997408
2019,123554045,10,,,136997439
2019,123562811,38,1,,136990024
2019,123562819,20,1000,,136990033
2019,123562945,61,2600,,136990177
2019,123565103,63,271,,137002503
2019,123554172,10,,,136997582
2019,123563012,10,,,136990262
2019,123565173,10,,,137002585
2019,123563257,2,18,,136990570
2019,123563258,63,15,,136990571
2019,123565397,10,1,,136990578
2019,123565416,63,800,,137002851
2019,123563541,10,,,136990910
2019,123563549,63,100,,136990918
2019,123563549,6,100,,136990916
2019,123563549,61,1000,,136990917
2019,123563663,30,500,,136991068
2019,123563677,10,,,137003321
2019,123563695,20,450,,136991099
2019,123566026,63,100,,137003528
2019,123566026,17,9600,,137003526
2019,123566026,20,2000,,137003527
2019,123554553,6,233,,136991218
2019,123554553,16,10,,136991219
2019,123554553,26,119,,136991220
2019,123563782,6,79,,136991231
2019,123563784,6,395,,136991233
2019,123566087,54,100,,137003595
2019,123566087,17,1,,137003596
2019,123566104,20,26194,,136998076
2019,123563834,61,75,,136991289
2019,123563834,25,250,,136991288
2019,123563834,16,45,,136991287
2019,123563840,20,320,,136991294
2019,123569578,13,1000,,136991303
2019,123563843,63,1000,,136991302
2019,123569578,36,400,,136998084
2019,123569578,26,1300,,136998083
2019,123563843,26,200,,136991301
2019,123566131,42,140690,,137003639
2019,123566131,31,1025,,137003638
2019,123566205,25,2,,137003738
2019,123566205,20,2,,137003737
2019,123563921,21,125,,137003771
2019,123563921,20,600,,137003770
2019,123563921,7,299,,137003768
2019,123563921,51,0,,136991386
2019,123563921,62,3864,,136991387
2019,123563921,9,0,,137003769
2019,123563921,63,310,,136991388
2019,123563921,3,25000,,137003767
2019,123563921,25,150,,136991385
2019,123563948,20,510,,137003814
2019,123563991,26,270,,136991483
2019,123566382,38,1,,137003958
2019,123566378,38,1,15-JAN-20,137003952
2019,123564057,6,5,,137003984
2019,123564097,54,780,,136991602
2019,123566457,3,1278,,137004061
2019,123564121,8,128,,136991634
2019,123564143,6,3898,,136991656
2019,123564150,36,96,,136991667
2019,123566511,51,0,,136998232
2019,123564173,10,,,136998239
2019,123564173,63,10,,136991689
2019,123566537,10,,,136998245
2019,123566539,47,0,,137004153
2019,123564195,20,3530,,137004163
2019,123564258,3,12000,30-JAN-20,136991791
2019,123566608,3,12000,,136998282
2019,123566662,20,1,,137004291
2019,123564304,38,1,,136991858
2019,123566662,7,1,,137004289
2019,123566683,3,1000,,136998313
2019,123566683,63,3000,,137004323
2019,123569810,38,1,24-JUL-19,136998312
2019,123566683,38,1,,137004322
2019,123569810,3,1000,19-JAN-20,136998311
2019,123564324,10,,,136991885
2019,123564331,26,300,,136991893
2019,123564350,9,0,,136991913
2019,123566730,63,100,,137004365
2019,123564379,7,179,,136991947
2019,123564444,47,0,,136992028
2019,123564444,9,0,,137004509
2019,123564559,36,719,,137004697
2019,123567031,7,1000,,137004701
2019,123567039,3,1,,136998497
2019,123567039,25,1,,136992182
2019,123569972,63,1,,137004722
2019,123574584,10,,,137004729
2019,123574585,20,5300,,136992205
2019,123569991,6,652,11-DEC-19,136998546
2019,123569992,6,652,,136998547
2019,123567097,7,1788,,137004764
2019,123574625,51,0,,136992260
2019,123567136,23,1,,137004813
2019,123574639,20,800,,137004808
2019,123570322,36,2765,,136998940
2019,123570335,38,50,,137007445
2019,123567551,36,200,,136998952
2019,123574839,3,1,,137007491
2019,123574862,20,2425,,137007512
2019,123570371,9,0,,137005354
2019,123570371,51,0,,136998992
2019,123570371,20,600,,137005355
2019,123570384,19,139,,137007535
2019,123574882,19,139,16-JAN-20,137007533
2019,123567609,35,1,,137005370
2019,123567615,35,1,,137005374
2019,123570400,31,1,,136999033
2019,123574910,21,1,,136999044
2019,123570406,22,0,,137005377
2019,123574910,20,3018,,136999043
2019,123570410,7,2,,136999048
2019,123574925,20,2980,,136999060
2019,123570420,3,29994,03-JAN-20,137007593
2019,123570421,3,29994,,136999067
2019,123574933,17,700,,137007595
2019,123574938,54,200,,137007598
2019,123574938,38,100,,137007597
2019,123575032,19,100,,137007708
2019,123575032,63,26,,137007710
2019,123567745,6,90,20-SEP-19,137007705
2019,123567745,8,205,05-SEP-19,137007706
2019,123575032,8,320,,137007707
2019,123575032,41,8,,137007709
2019,123575032,6,158,,137005526
2019,123575037,63,0,,137007712
2019,123567750,63,65,,137005536
2019,123567778,3,15000,,137005568
2019,123567776,63,1,,137005565
2019,123567777,3,15000,19-MAR-19,137005567
2019,123567784,38,250,,137007744
2019,123567784,3,5,,137005579
2019,123575085,24,3500,,137007775
2019,123575089,19,411,,137005626
2019,123567820,19,411,14-AUG-19,137005625
2019,123575105,16,1,,137005657
2019,123575105,66,1,,136999251
2019,123575105,25,1,,137005660
2019,123575105,20,2320,,137005658
2019,123575105,10,,,137005656
2019,123575105,61,1,,136999250
2019,123562800,19,469,,136990011
2019,123562805,21,11642,,136990018
2019,123562851,42,288,,136987250
2019,123564890,3,1,,136987248
2019,123562851,36,1000,,136987249
2019,123564941,20,200,,136987315
2019,123562902,3,40000,06-JAN-20,136990134
2019,123562904,3,40000,,136990135
2019,123562925,10,,,136990154
2019,123562925,20,1125,,136990156
2019,123562925,11,1,,136990155
2019,123562954,16,314,,136990189
2019,123562954,36,50,,136990192
2019,123562954,26,450,,136990190
2019,123562954,63,125,,136990191
2019,123562956,61,1000,,136990195
2019,123565137,6,450,,137002544
2019,123563005,60,1,,136990258
2019,123563005,36,1,,136990256
2019,123563005,7,1,,136990254
2019,123563015,47,0,,136990264
2019,123563020,61,900,,136990269
2019,123563024,10,,,136990273
2019,123563041,11,50,,136990296
2019,123563076,25,10,,137002646
2019,123563076,63,620,,137002647
2019,123563096,29,1,,136990367
2019,123563117,61,2,,136997648
2019,123563126,20,1100,,136990407
2019,123563142,52,0,,136990429
2019,123563142,20,2,,136990428
2019,123563153,10,,,137002705
2019,123563153,11,1,,137002706
2019,123563195,42,145,,136990493
2019,123565821,61,100,,137003292
2019,123565821,17,400,,137003291
2019,123563672,10,,,137003319
2019,123565860,63,226,,137003339
2019,123565860,9,0,,137003335
2019,123565860,25,500,,137003337
2019,123565860,51,0,,137003338
2019,123565860,20,100,,137003336
2019,123565860,7,2100,,136991095
2019,123563739,3,30000,,136991173
2019,123563738,3,30000,18-NOV-19,136991172
2019,123569609,63,0,,137003796
2019,123563945,52,0,,136991423
2019,123566259,38,100,,137003811
2019,123563998,6,59,,137003873
2019,123564002,20,307,,136991496
2019,123566337,20,100,,136991511
2019,123566346,19,32,04-OCT-19,136991526
2019,123566347,19,32,,137003913
2019,123569634,11,1,,137003912
2019,123566366,35,1,,137003936
2019,123566389,9,0,,137003966
2019,123564085,20,500,18-DEC-19,136991591
2019,123569674,20,500,,136998176
2019,123564084,22,0,,137004017
2019,123564110,9,0,,136991616
2019,123569708,10,,,136998202
2019,123569708,11,10,,136998204
2019,123564128,27,500,,136991640
2019,123569741,6,1885,,136998242
2019,123569741,20,250,,136998243
2019,123564197,63,35,,136991708
2019,123564217,38,62500,,137004181
2019,123564248,63,800,,136991774
2019,123566602,3,5000,,137004225
2019,123566641,35,2000,,137004262
2019,123566665,52,0,,137004293
2019,123564395,10,,,137004417
2019,123566786,3,5000,,137004427
2019,123566785,3,5000,27-DEC-19,137004426
2019,123569848,10,,,136998367
2019,123564443,47,0,,136998405
2019,123564440,34,2,,136992025
2019,123564441,47,0,31-JAN-19,137004506
2019,123566862,52,0,,136998404
2019,123564493,63,2,,136992099
2019,123564520,19,118,,136992134
2019,123566979,64,1,,136992137
2019,123566985,63,1,,137004653
2019,123562717,63,4752,,136989919
2019,123562718,35,3411,,136989920
2019,123564713,36,3205,,136987059
2019,123564713,63,1792,,136987060
2019,123575538,10,2,,137008329
2019,123575538,56,1500,,137008330
2019,123575539,63,50,,137008331
2019,123575541,3,10000,,137008333
2019,123575540,3,10000,22-OCT-19,137008332
2019,123575542,47,0,,137008336
2019,123575542,25,200,,137008335
2019,123575542,9,0,,137008334
2019,123575545,10,,,137008339
2019,123575546,3,10708,,137008340
2019,123575544,3,10708,22-OCT-19,137008338
2019,123575547,38,1,,137008341
2019,123575548,10,,,137008342
