"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2019,132677948,137500010,3,41906377
2019,132677975,137500032,16,41906380
2019,132661010,137500204,26,41894415
2019,132661075,137493499,16,41894430
2019,132661074,137493499,16,41894429
2019,132678189,137500225,3,41906451
2019,132678297,137500328,16,41906487
2019,132661342,137500342,25,41901751
2019,132661342,137505293,9,41906494
2019,132678312,137505293,25,41894514
2019,132678312,137500342,9,41894515
2019,132673979,137500356,21,41901763
2019,132661371,137505327,3,41894529
2019,132674006,137505335,21,41901775
2019,132674217,137505546,24,41901827
2019,132661596,137500495,3,41894585
2019,132661663,137505684,21,41901853
2019,132675387,137494898,18,41902145
2019,132678883,137494923,3,41894868
2019,132678888,137506771,15,41906654
2019,132662591,137494950,3,41894874
2019,132675468,137506814,3,41902195
2019,132662796,137500988,1,41906686
2019,127528780,132273618,24,39731269
2019,127546409,132273618,3,39763156
2019,127521289,132273912,3,39757395
2019,127528779,132274990,5,39731268
2019,127528787,132274998,16,39731271
2019,127546854,132274105,3,39763331
2019,127529101,132275246,17,39766377
2019,127529100,132275246,17,39766376
2019,127547000,132236318,18,39763399
2019,127547037,132236345,17,39763415
2019,127529271,132274389,1,39766470
2019,127529295,132236431,9,39763499
2019,127521593,132236431,9,39763501
2019,127521630,132275467,1,39757547
2019,127547249,132275467,1,39763524
2019,127547237,132274456,19,39763515
2019,127529506,132274657,25,39766576
2019,127521732,132274590,16,39757590
2019,127529505,132236606,25,39766574
2019,127529506,132236606,3,39766575
2019,127529505,132274657,3,39763618
2019,127529521,132274693,24,39766584
2019,127521929,132236732,24,39757653
2019,127521930,132236732,24,39757654
2019,127522641,132237410,24,39766834
2019,127530363,132237555,26,39766880
2019,127549111,132276518,3,39764266
2019,127553100,132237883,25,39758150
2019,127549569,132237883,3,39758153
2019,127549569,132237884,25,39764453
2019,127553100,132237884,3,39758152
2019,127530721,132238018,3,39767054
2019,127553218,132238018,22,39758192
2019,127549785,132281972,19,39764554
2019,127530768,132238082,18,39767073
2019,127550229,132238492,15,39764714
2019,127531103,132282390,3,39767226
2019,127531119,132282412,16,39767228
2019,127531124,132277275,3,39767234
2019,127531139,132277295,24,39758396
2019,127531139,132277296,24,39764732
2019,127550372,132282550,21,39764770
2019,127550319,132277327,3,39764748
2019,127550353,132282524,24,39767282
2019,127531217,132282524,9,39764761
2019,127531237,132282558,3,39767288
2019,127531239,132282558,5,39767290
2019,127531238,132282558,3,39767289
2019,127531246,132238599,1,39767296
2019,127531246,132238597,1,39767294
2019,127531246,132238598,24,39767295
2019,127531246,132238596,1,39764772
2019,127554029,132282833,4,39758498
2019,127554028,132282833,3,39767350
2019,127531461,132277612,16,39764882
2019,127531471,132238813,7,39767357
2019,127531471,132238814,7,39767356
2019,127550750,132282902,1,39764897
2019,127550750,132282901,25,39764898
2019,127550751,132282902,25,39764900
2019,127550751,132282901,1,39764899
2019,127554114,132282906,24,39764906
2019,127554114,132282907,25,39758516
2019,127554114,132282905,24,39767363
2019,127550754,132282907,3,39764904
2019,127550754,132282906,24,39764903
2019,127550754,132282905,1,39764905
2019,127550808,132282960,18,39764926
2019,127550806,132282960,18,39764925
2019,127551084,132283242,25,39765004
2019,127551082,132283241,25,39758588
2019,127551082,132283242,16,39765003
2019,127551084,132283241,16,39765005
2019,127531749,132277929,3,39767431
2019,127531772,132283381,18,39767438
2019,127531774,132283385,3,39767440
2019,127531799,132239158,17,39765056
2019,127551276,132239158,16,39765054
2019,127551276,132239159,19,39765055
2019,127531799,132239159,16,39765057
2019,127531841,132283516,16,39765079
2019,127551369,132278039,17,39765081
2019,127554536,132239223,26,39758643
2019,127551401,132278056,18,39767459
2019,127551433,132278072,24,39765103
2019,127531876,132278077,3,39767468
2019,127551478,132283627,3,39765112
2019,127554596,132278123,16,39767481
2019,127554605,132283741,3,39758658
2019,127551727,132283874,24,39765151
2019,127551783,132239411,24,39765168
2019,127532077,132283999,3,39767514
2019,127532209,132284233,3,39767540
2019,127558220,132278772,21,39765563
2019,127558230,132285296,3,39765564
2019,127532598,132278856,25,39767646
2019,127532598,132290206,3,39767645
2019,127532666,132285495,18,39765611
2019,127558474,132285516,1,39765621
2019,127555624,132290246,3,39758873
2019,127558506,132278969,1,39765637
2019,127558506,132278968,1,39765636
2019,127532698,132285561,16,39767677
2019,127558534,132278977,25,39758875
2019,127558534,132278978,17,39765644
2019,127558533,132278978,25,39767680
2019,127558533,132278977,5,39767679
2019,127555635,132285575,16,39767691
2019,127532728,132285599,16,39767694
2019,127555652,132285614,3,39758885
2019,127532808,132279077,21,39767723
2019,127558700,132285721,5,39765703
2019,127532818,132285725,22,39767726
2019,127546392,132273602,21,39763152
2019,127546393,132273602,5,39763153
2019,127521309,132273932,3,39757406
2019,127529031,132274027,24,39731345
2019,127529038,132236178,19,39757432
2019,127521401,132236223,5,39763325
2019,127521403,132236223,5,39757458
2019,127546918,132236258,21,39763363
2019,127529226,132236371,3,39766441
2019,127521528,132236371,1,39766442
2019,127547106,132274339,3,39766450
2019,127547108,132274339,1,39763452
2019,127521650,132275491,1,39757553
