"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8142621,2226,1,2019,"I",,"Y","G","C","2019_01_CT0019300_NIBRS",36193042,0
2019,8150283,2226,2,2019,"I",,"Y","G","C","2019_02_CT0019300_NIBRS",39210306,0
2019,8157945,2226,3,2019,"I",,"Y","G","C","2019_03_CT0019300_NIBRS",62554391,0
2019,8165607,2226,4,2019,"I",,"Y","G","C","2019_04_CT0019300_NIBRS",59298830,0
2019,8173269,2226,5,2019,"I",,"Y","G","C","2019_05_CT0019300_NIBRS",48856307,0
2019,8180931,2226,6,2019,"I",,"Y","G","C","2019_06_CT0019300_NIBRS",49915942,0
2019,8188593,2226,7,2019,"Z",,"Y","G","C","2019_07_CT0019300_NIBRS",66515342,0
2019,8196255,2226,8,2019,"I",,"Y","G","C","2019_08_CT0019300_NIBRS",64563318,0
2019,8203917,2226,9,2019,"I",,"Y","G","C","2019_09_CT0019300_NIBRS",59298834,0
2019,8211579,2226,10,2019,"I",,"Y","G","C","2019_10_CT0019300_NIBRS",62557840,0
2019,8219241,2226,11,2019,"I",,"Y","G","C","2019_11_CT0019300_NIBRS",67203051,0
2019,8226903,2226,12,2019,"I",,"Y","G","C","2019_12_CT0019300_NIBRS",64560096,0
2019,8142619,2224,1,2019,"I",,"Y","G","C","2019_01_CT0019100_NIBRS",46477606,0
2019,8150281,2224,2,2019,"I",,"Y","G","C","2019_02_CT0019100_NIBRS",46486339,0
2019,8157943,2224,3,2019,"I",,"Y","G","C","2019_03_CT0019100_NIBRS",51362896,0
2019,8165605,2224,4,2019,"I",,"Y","G","C","2019_04_CT0019100_NIBRS",51362900,0
2019,8173267,2224,5,2019,"I",,"Y","G","C","2019_05_CT0019100_NIBRS",51357325,0
2019,8180929,2224,6,2019,"I",,"Y","G","C","2019_06_CT0019100_NIBRS",51362906,0
2019,8188591,2224,7,2019,"I",,"Y","G","C","2019_07_CT0019100_NIBRS",51357327,0
2019,8196253,2224,8,2019,"I",,"Y","G","C","2019_08_CT0019100_NIBRS",59318865,0
2019,8203915,2224,9,2019,"I",,"Y","G","C","2019_09_CT0019100_NIBRS",60907430,0
2019,8211577,2224,10,2019,"I",,"Y","G","C","2019_10_CT0019100_NIBRS",66516979,0
2019,8219239,2224,11,2019,"I",,"Y","G","C","2019_11_CT0019100_NIBRS",66515355,0
2019,8226901,2224,12,2019,"I",,"Y","G","C","2019_12_CT0019100_NIBRS",64560968,0
2019,8776680,22570,1,2019,"I",19-MAR-19,"Y","F","C","2019_01_CT0018300_NIBRS",59318453,0
2019,9000084,22570,2,2019,"I",22-MAY-19,"Y","F","C","2019_02_CT0018300_NIBRS",48862300,0
2019,9000951,22570,3,2019,"I",22-MAY-19,"Y","F","C","2019_03_CT0018300_NIBRS",64555217,0
2019,9099541,22570,4,2019,"I",28-JUN-19,"Y","F","C","2019_04_CT0018300_NIBRS",51357284,0
2019,9143024,22570,5,2019,"I",01-AUG-19,"Y","F","C","2019_05_CT0018300_NIBRS",66515328,0
2019,9143025,22570,6,2019,"I",01-AUG-19,"Y","F","C","2019_06_CT0018300_NIBRS",59321996,0
2019,9236329,22570,7,2019,"I",29-AUG-19,"Y","F","C","2019_07_CT0018300_NIBRS",60902370,0
