"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
21202019,2120,2019,"CT0000200","CT0000200","","N","N",,"I","ANSONIA","ANSONIA PD","Ansonia","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",18656,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",40,2,42,3,5,8,0,0,01-JAN-98,01-MAR-01,,01-FEB-20,,,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21212019,2121,2019,"CT0000400","CT0000400","","N","N",,"I","AVON","AVON PD","Avon","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",18320,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",29,2,31,3,7,10,0,0,01-JAN-98,01-FEB-10,,01-FEB-20,,,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21232019,2123,2019,"CT0000700","CT0000700","","N","N",,"I","BERLIN","BERLIN PD","Berlin","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",20500,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",37,5,42,4,8,12,0,0,01-JAN-98,01-FEB-00,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21242019,2124,2019,"CT0000900","CT0000900","","N","N",,"I","BETHEL","BETHEL PD","Bethel","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",19855,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,6,38,6,7,13,0,0,01-JAN-98,01-AUG-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21252019,2125,2019,"CT0001100","CT0001100","","N","N",,"I","BLOOMFIELD","BLOOMFIELD PD","Bloomfield","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",21406,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",42,4,46,6,9,15,0,0,01-JAN-98,01-OCT-05,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21262019,2126,2019,"CT0001400","CT0001400","","N","N",,"I","BRANFORD","BRANFORD PD","Branford","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",28002,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",45,5,50,8,8,16,0,0,01-JAN-98,01-JAN-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21272019,2127,2019,"CT0001500","CT0001500","","N","N",,"I","BRIDGEPORT","BRIDGEPORT PD","Bridgeport","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",144908,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",314,21,335,51,25,76,0,0,01-JAN-98,01-JUN-18,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21282019,2128,2019,"CT0001700","CT0001700","","N","N",,"I","BRISTOL","BRISTOL PD","Bristol","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",59977,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",111,12,123,6,13,19,0,0,01-JAN-98,01-JAN-11,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21292019,2129,2019,"CT0001800","CT0001800","","N","N",,"I","BROOKFIELD","BROOKFIELD PD","Brookfield","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",17071,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,5,37,2,5,7,0,0,01-JAN-98,01-AUG-06,,01-MAR-20,,,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21302019,2130,2019,"CT0002300","CT0002300","","N","N",,"I","CANTON","CANTON PD COLLINSVILLE","Canton","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",10267,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,5,21,0,0,0,0,0,01-JAN-98,01-NOV-06,,01-MAR-20,,,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21312019,2131,2019,"CT0002500","CT0002500","","N","N",,"I","CHESHIRE","CHESHIRE PD","Cheshire","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",29167,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",42,7,49,6,7,13,0,0,01-JAN-98,01-APR-98,,01-MAR-20,,,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21322019,2132,2019,"CT0002700","CT0002700","","N","N",,"I","CLINTON","CLINTON PD","Clinton","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",12914,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,4,29,2,4,6,0,0,01-JAN-98,01-DEC-01,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","MIDDLESEX","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21332019,2133,2019,"CT0003200","CT0003200","","N","N",,"I","COVENTRY","COVENTRY PD","Coventry","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",12411,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",13,4,17,3,1,4,0,0,01-JAN-98,01-APR-03,,01-MAR-20,,,"N","TOLLAND","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21342019,2134,2019,"CT0003300","CT0003300","","N","N",,"I","CROMWELL","CROMWELL PD","Cromwell","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",13894,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",22,3,25,4,6,10,0,0,01-JAN-98,01-DEC-99,,01-FEB-20,,,"N","MIDDLESEX","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21352019,2135,2019,"CT0003400","CT0003400","","N","N",,"I","DANBURY","DANBURY PD","Danbury","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",85167,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",137,0,137,11,5,16,0,0,01-JAN-98,01-APR-14,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21362019,2136,2019,"CT0003500","CT0003500","","N","N",,"I","DARIEN","DARIEN PD","Darien","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",21880,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",41,7,48,10,6,16,0,0,01-JAN-98,01-JUN-01,,01-MAR-20,,,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21372019,2137,2019,"CT0003700","CT0003700","","N","N",,"I","DERBY","DERBY PD","Derby","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",12468,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,1,33,2,1,3,0,0,01-JAN-98,01-JUN-99,01-FEB-20,01-FEB-20,01-FEB-20,01-FEB-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21382019,2138,2019,"CT0004200","CT0004200","","N","N",,"I","EAST HAMPTON","EAST HAMPTON PD","East Hampton","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",12842,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,0,2,2,0,0,01-JAN-98,01-MAY-12,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","MIDDLESEX","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21392019,2139,2019,"CT0004300","CT0004300","","N","N",,"I","EAST HARTFORD","EAST HARTFORD PD","East Hartford","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",49842,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",97,13,110,14,21,35,0,0,01-JAN-98,01-DEC-99,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21402019,2140,2019,"CT0004400","CT0004400","","N","N",,"I","EAST HAVEN","EAST HAVEN PD","East Haven","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",28635,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",46,1,47,4,3,7,0,0,01-JAN-98,01-JAN-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21412019,2141,2019,"CT0004500","CT0004500","","N","N",,"I","EAST LYME","EAST LYME","East Lyme","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",18588,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,5,25,4,3,7,0,0,01-JAN-98,01-JUL-17,,01-MAR-20,,,"N","NEW LONDON","Norwich-New London, CT","Y","Y","Y"
21422019,2142,2019,"CT0004600","CT0004600","","N","N",,"I","EASTON","EASTON PD","Easton","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",7519,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,2,16,1,3,4,0,0,01-JAN-98,01-JUL-99,,01-MAR-20,,,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21432019,2143,2019,"CT0004700","CT0004700","","N","N",,"I","EAST WINDSOR","EAST WINDSOR PD WAREHOUSE POINT","East Windsor","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",11399,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",21,3,24,4,6,10,0,0,01-JAN-98,01-JAN-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21442019,2144,2019,"CT0004900","CT0004900","","N","N",,"I","ENFIELD","ENFIELD PD","Enfield","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",44443,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",85,9,94,8,13,21,0,0,01-JAN-98,01-JAN-19,01-FEB-20,01-FEB-20,01-FEB-20,01-FEB-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21452019,2145,2019,"CT0005100","CT0005100","","N","N",,"I","FAIRFIELD","FAIRFIELD PD","Fairfield","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",62239,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",97,9,106,9,12,21,0,0,01-JAN-98,01-JAN-00,,01-MAR-20,,,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21462019,2146,2019,"CT0005200","CT0005200","","N","N",,"I","FARMINGTON","FARMINGTON PD","Farmington","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",25525,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",42,8,50,4,7,11,0,0,01-JAN-98,01-JUL-02,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21472019,2147,2019,"CT0005400","CT0005400","","N","N",,"I","GLASTONBURY","GLASTONBURY PD","Glastonbury","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",34497,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",49,8,57,7,10,17,0,0,01-JAN-98,01-JAN-00,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21482019,2148,2019,"CT0005600","CT0005600","","N","N",,"I","GRANBY","GRANBY PD","Granby","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",11386,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",13,1,14,3,4,7,0,0,01-JAN-98,01-FEB-98,,01-FEB-20,,,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
21492019,2149,2019,"CT0005700","CT0005700","","N","N",,"I","GREENWICH","GREENWICH PD","Greenwich","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",62905,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",141,15,156,14,12,26,0,0,01-JAN-98,01-SEP-99,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","FAIRFIELD","Bridgeport-Stamford-Norwalk, CT","Y","Y","Y"
21512019,2151,2019,"CT0005900","CT0005900","","N","N",,"I","GROTON","GROTON CITY PD","Groton","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",8967,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",23,3,26,4,4,8,0,0,01-JAN-98,01-FEB-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","NEW LONDON","Norwich-New London, CT","Y","Y","Y"
21522019,2152,2019,"CT0006000","CT0006000","","N","N",,"I","GUILFORD","GUILFORD PD","Guilford","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",22194,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",30,1,31,7,6,13,0,0,01-JAN-98,01-MAR-17,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21532019,2153,2019,"CT0006200","CT0006200","","N","N",,"I","HAMDEN","HAMDEN PD","Hamden","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",60855,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",93,11,104,9,16,25,0,0,01-JAN-98,01-DEC-00,01-FEB-20,01-FEB-20,01-FEB-20,01-FEB-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21572019,2157,2019,"CT0007600","CT0007600","","N","N",,"I","MADISON","MADISON PD","Madison","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",18087,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",27,4,31,3,8,11,0,0,01-JAN-98,01-JAN-98,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","NEW HAVEN","New Haven-Milford, CT","Y","Y","Y"
21582019,2158,2019,"CT0007700","CT0007700","","N","N",,"I","MANCHESTER","MANCHESTER PD","Manchester","","A",8,"Connecticut","CT","CT","1","New England","1","Northeast","Region I","City",57630,23359,"CTUCR0001","Connecticut State Police Crimes Analysis Unit","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",93,16,109,19,24,43,0,0,01-JAN-98,01-MAY-19,01-MAR-20,01-MAR-20,01-MAR-20,01-MAR-20,"N","HARTFORD","Hartford-East Hartford-Middletown, CT","Y","Y","Y"
