"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,91025506,87022626,1,4,,,,5,55,"F",2,2,"R",,
2016,91025507,87022626,2,4,,,,5,27,"M",1,2,"R",,
2016,91025508,87022627,1,4,,,,5,41,"M",1,1,"R",,
2016,91025551,87022668,1,4,,,,5,27,"M",1,2,"N",,
2016,91025809,87024606,1,4,,,,5,29,"M",2,2,"N",,
2016,91025810,87024606,2,4,,,,5,23,"F",2,2,"N",,
2016,91025848,87024641,1,4,,,,5,17,"F",1,2,"R",,
2016,91025862,87024654,1,4,,,,5,28,"F",1,2,"R",,
2016,91025863,87024654,2,4,,,,5,54,"M",2,2,"R",,
2016,91025881,87024671,1,1,,,,,,"",,,"",,
2016,91025589,87023555,1,4,,,,5,32,"M",2,2,"N",,
2016,91025590,87023555,2,4,,,,5,29,"F",2,2,"N",,
2016,91025296,87021596,1,4,,,,5,50,"M",2,2,"N",,
2016,91025300,87021600,1,4,,,,5,58,"F",1,2,"R",,
2016,91025323,87021622,1,4,,,,5,15,"M",2,2,"R",,
2016,91025236,87021539,1,4,,,,5,26,"F",2,2,"N",,
2016,91025373,87022516,1,4,,,,5,37,"M",2,2,"R",,
2016,91025659,87023619,1,4,,,,5,21,"F",2,2,"N",,
2016,91025569,87023539,1,4,,,,5,44,"M",1,1,"R",,
2016,91025624,87023586,1,4,,,,5,27,"F",1,1,"R",,
2016,91025640,87023601,1,4,,,,5,30,"F",1,1,"R",,
2016,96303027,88223132,3,4,,,,5,28,"M",2,2,"R",28,0
2016,96303023,88223132,1,1,,,,,,"",,,"",,
2016,96303025,88223132,2,9,,,,,,"",,,"",,
2016,96303011,88223122,1,8,,,,,,"",,,"",,
2016,96303016,88223126,1,4,,,,5,31,"M",1,1,"N",31,0
2016,96303010,88223121,1,4,,,,5,41,"M",1,2,"N",41,0
2016,91025331,87021629,1,8,,,,,,"",,,"",,
2016,91025332,87021630,1,1,,,,,,"",,,"",,
2016,91025333,87021631,1,4,,,,5,25,"F",1,1,"R",,
2016,91025334,87021632,1,4,,,,5,24,"F",2,2,"N",,
2016,91025335,87021633,1,4,,,,5,33,"F",1,2,"R",,
2016,91025336,87021634,1,4,,,,5,59,"F",1,2,"R",,
2016,91025337,87021635,1,4,,,,5,57,"F",1,2,"N",,
2016,91025338,87021636,1,1,,,,,,"",,,"",,
2016,91025340,87021637,2,8,,,,,,"",,,"",,
2016,91025339,87021637,1,4,,,,5,25,"F",2,2,"N",,
2016,91025341,87021638,1,4,,,,5,21,"F",2,2,"R",,
2016,91025342,87021638,2,4,,,,4,,"F",2,2,"R",,
2016,91025343,87021639,1,3,,,,,,"",,,"",,
2016,91025346,87021642,1,1,,,,,,"",,,"",,
2016,91025347,87021643,1,1,,,,,,"",,,"",,
2016,91025348,87021644,1,4,,,,5,17,"F",1,1,"R",,
2016,91025350,87021646,1,8,,,,,,"",,,"",,
2016,91025351,87021647,1,8,,,,,,"",,,"",,
2016,91025352,87021648,1,1,,,,,,"",,,"",,
2016,91025353,87021649,1,8,,,,,,"",,,"",,
2016,91025354,87021650,1,8,,,,,,"",,,"",,
2016,91025355,87021651,1,8,,,,,,"",,,"",,
2016,91025356,87021652,1,4,,,,5,85,"F",1,2,"R",,
2016,91025357,87021653,1,8,,,,,,"",,,"",,
2016,91025359,87021655,1,8,,,,,,"",,,"",,
2016,91025360,87021656,1,4,,,,5,48,"M",1,1,"R",,
2016,91025361,87021656,2,4,,,,5,45,"F",1,1,"R",,
2016,91025363,87021657,2,8,,,,,,"",,,"",,
2016,91025362,87021657,1,1,,,,,,"",,,"",,
2016,91025364,87021658,1,1,,,,,,"",,,"",,
2016,91025366,87021659,2,8,,,,,,"",,,"",,
2016,91025365,87021659,1,4,,,,5,27,"F",2,2,"N",,
2016,91025367,87021660,1,1,,,,,,"",,,"",,
2016,91025368,87021661,1,4,,,,5,82,"F",1,2,"N",,
2016,91025372,87021664,2,8,,,,,,"",,,"",,
2016,91025371,87021664,1,1,,,,,,"",,,"",,
2016,91025379,87022522,1,4,,,,5,30,"F",1,1,"R",,
2016,91025380,87022523,1,8,,,,,,"",,,"",,
2016,91025381,87022524,1,1,,,,,,"",,,"",,
2016,91025384,87022526,2,8,,,,,,"",,,"",,
2016,91025383,87022526,1,1,,,,,,"",,,"",,
2016,91025385,87022527,1,9,,,,,,"",,,"",,
