"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2016,90994647,94012276,21,27466314
2016,90992491,94010200,21,27466315
2016,90992533,94010238,21,27466316
2016,91015184,94032633,21,27466317
2016,91015221,94032673,21,27466318
2016,91015256,94032701,21,27466319
2016,91007396,94024803,21,27466324
2016,91010280,94027723,21,27466329
2016,91028731,94046536,21,27466333
2016,91028772,94046573,21,27466334
2016,91030941,94048811,21,27466335
2016,91031849,94049762,21,27466336
2016,91031541,94049449,21,27466337
2016,91022513,94040113,21,27466339
2016,91022535,94040129,21,27466340
2016,91022551,94040145,21,27466342
2016,91022580,94040176,21,27466343
2016,91032629,94050554,21,27466344
2016,91050559,94069100,21,27466345
2016,91052338,94070845,21,27466347
2016,91050619,94069168,21,27466348
2016,91052688,94071192,21,27466350
2016,91052698,94071201,21,27466351
2016,91047714,94066405,21,27466355
2016,91048544,94067158,21,27466356
2016,91048625,94067235,21,27466357
2016,91046074,94064819,21,27466358
2016,91046079,94064824,21,27466359
2016,91046089,94064834,21,27466360
2016,91046129,94064879,21,27466361
2016,91046144,94064894,21,27466362
2016,91046983,94065722,21,27466363
2016,91048785,94067382,21,27466368
2016,90987990,94005467,24,27466709
2016,90987992,94005468,24,27466710
2016,90988025,94005521,24,27466711
2016,90988027,94005523,24,27466712
2016,90988028,94005524,24,27466713
2016,90988037,94005537,24,27466714
2016,90988038,94005537,24,27466715
2016,90989687,94007365,24,27466716
2016,90989715,94007396,24,27466717
2016,90989728,94007408,24,27466718
2016,90989757,94007439,24,27466719
2016,90982944,94000131,24,27466748
2016,90982975,94000161,24,27466749
2016,90982981,94000168,24,27466750
2016,90983009,94000194,24,27466751
2016,90998805,94016287,24,27466754
2016,90999582,94017050,24,27466755
2016,90999619,94017090,24,27466756
2016,91000372,94017787,24,27466757
2016,91000377,94017792,24,27466758
2016,91000393,94017805,24,27466759
2016,91000406,94017820,24,27466760
2016,91003551,94020925,24,27466768
2016,91004616,94021930,24,27466769
2016,91002660,94020037,24,27466770
2016,91002750,94020120,24,27466771
2016,91002751,94020120,24,27466772
2016,91002752,94020120,24,27466773
2016,91002758,94020125,24,27466774
2016,91002759,94020125,24,27466775
2016,90998164,94015672,24,27466776
2016,90992767,94010471,24,27466784
2016,90993510,94011191,24,27466785
2016,90993536,94011215,24,27466786
2016,90993537,94011215,24,27466787
2016,90993571,94011246,24,27466788
2016,90991186,94008911,24,27466789
2016,91016154,94033594,24,27466790
2016,91016181,94033625,24,27466791
2016,91016183,94033627,24,27466792
2016,91016285,94033728,24,27466793
2016,91018132,94035589,24,27466794
2016,91018136,94035591,24,27466795
2016,91018155,94035613,24,27466796
2016,91013993,94031466,24,27466797
2016,91012512,94030019,24,27466800
2016,91012519,94030023,24,27466801
2016,91008431,94025874,24,27466802
2016,91008558,94026006,24,27466803
2016,91008562,94026010,24,27466804
2016,91008592,94026041,24,27466805
2016,91009054,94026492,24,27466807
2016,91009059,94026497,24,27466808
2016,91008645,94026089,24,27466809
2016,91008655,94026098,24,27466810
2016,91011560,94029052,24,27466811
2016,91006037,94023388,24,27466812
2016,91006038,94023388,24,27466813
2016,91006083,94023423,24,27466815
2016,91006085,94023425,24,27466816
2016,91006086,94023426,24,27466817
2016,91006094,94023435,24,27466818
2016,91005714,94023057,24,27466819
2016,91005716,94023057,24,27466820
2016,91005727,94023071,24,27466821
2016,91005775,94023121,24,27466822
2016,91026450,94044223,24,27466823
2016,91026469,94044243,24,27466826
2016,91027221,94044988,24,27466828
2016,91027222,94044988,24,27466829
2016,91027224,94044990,24,27466830
2016,91027227,94044993,24,27466831
2016,91027228,94044994,24,27466832
2016,91027231,94044996,24,27466833
2016,91027232,94044998,24,27466834
2016,91027233,94044999,24,27466835
2016,91027242,94045009,24,27466836
2016,91027243,94045010,24,27466837
2016,91027244,94045010,24,27466838
2016,91027246,94045014,24,27466839
2016,91027247,94045015,24,27466840
2016,91029677,94047492,24,27466842
2016,91029703,94047521,24,27466843
2016,91029712,94047530,24,27466844
2016,91029760,94047585,24,27466845
2016,91026107,94043860,24,27466847
2016,91026109,94043862,24,27466848
2016,91026774,94044545,24,27466849
2016,91026775,94044545,24,27466850
2016,91026799,94044559,24,27466851
2016,91026831,94044592,24,27466852
2016,91027522,94045321,24,27466853
2016,91027525,94045324,24,27466854
2016,91020573,94038123,24,27466855
2016,91021267,94038856,24,27466857
2016,91021279,94038867,24,27466858
2016,91021986,94039583,24,27466859
2016,91021987,94039583,24,27466860
2016,91022014,94039611,24,27466861
2016,91022076,94039674,24,27466862
2016,91019836,94037370,24,27466863
2016,91019847,94037379,24,27466864
2016,91024859,94042513,24,27466865
2016,91024865,94042519,24,27466866
2016,91051404,94069905,24,27475573
2016,90987384,94004784,21,27480033
2016,90987385,94004785,21,27480034
2016,90985729,94003059,21,27480036
2016,90986481,94003847,21,27480037
2016,90986507,94003868,21,27480038
2016,90986512,94003874,21,27480039
2016,90985380,94002683,21,27480041
2016,90985395,94002700,21,27480042
2016,90985398,94002703,21,27480043
2016,90986137,94003498,21,27480044
2016,90982838,94000020,21,27480045
2016,90983274,94000480,21,27480046
2016,90983284,94000491,21,27480047
2016,90984130,94001351,21,27480048
2016,91003215,94020585,21,27480052
2016,91004041,94021396,21,27480053
2016,91004047,94021401,21,27480054
2016,91004061,94021415,21,27480055
2016,91004894,94022209,21,27480056
2016,90998589,94016084,21,27480065
2016,90984935,94002201,24,27489070
2016,90985638,94002961,24,27489072
2016,90989889,94007588,24,27489073
2016,90989890,94007588,24,27489074
2016,90989909,94007609,24,27489075
2016,90989950,94007653,24,27489076
2016,90989951,94007654,24,27489077
2016,90980432,93997585,24,27489090
2016,90980492,93997649,24,27489091
2016,90980514,93997671,24,27489092
2016,90982338,93999519,24,27489100
2016,90982345,93999525,24,27489101
2016,90982378,93999557,24,27489102
2016,91001803,94019195,24,27489108
2016,91001804,94019195,24,27489109
2016,91001805,94019195,24,27489110
2016,91002957,94020340,24,27489114
2016,91003797,94021162,24,27489116
2016,90995788,94013398,24,27489125
2016,90993132,94010837,24,27489126
2016,90993227,94010919,24,27489127
2016,90990879,94008592,24,27489128
2016,91012907,94030389,24,27489132
2016,91013715,94031177,24,27489133
2016,91014401,94031875,24,27489134
2016,91014470,94031941,24,27489135
2016,91016592,94034015,24,27489136
2016,91016595,94034018,24,27489137
2016,91016605,94034026,24,27489138
2016,91016622,94034043,24,27489139
2016,91012161,94029670,24,27489140
2016,91012162,94029670,24,27489141
2016,91012163,94029670,24,27489142
2016,91012183,94029690,24,27489143
2016,91014194,94031664,24,27489144
2016,91014222,94031696,24,27489145
2016,91005828,94023170,24,27489147
2016,91005829,94023170,24,27489148
2016,91005833,94023175,24,27489149
2016,91005869,94023216,24,27489150
2016,91005888,94023234,24,27489151
2016,91005889,94023234,24,27489152
2016,91005902,94023253,24,27489153
2016,91006611,94023990,24,27489155
2016,91006633,94024009,24,27489156
2016,91006634,94024009,24,27489157
2016,91009416,94026853,24,27489158
2016,91009473,94026905,24,27489159
2016,91009552,94026988,24,27489164
2016,91009553,94026988,24,27489165
2016,91009554,94026989,24,27489166
2016,91010076,94027521,24,27489167
2016,91005417,94022754,24,27489168
2016,91005443,94022779,24,27489171
2016,91005449,94022785,24,27489172
2016,91005451,94022785,24,27489173
2016,91006294,94023662,24,27489174
2016,91028063,94045874,24,27489175
2016,91028076,94045885,24,27489176
2016,91028084,94045892,24,27489177
2016,91030655,94048510,24,27489184
2016,91030657,94048512,24,27489185
2016,91030660,94048515,24,27489186
2016,91030663,94048518,24,27489187
2016,91030667,94048523,24,27489188
2016,91028439,94046259,24,27489189
2016,91026245,94044004,24,27489190
2016,91026272,94044033,24,27489191
2016,91024340,94041957,24,27444313
2016,91019172,94036638,24,27444314
2016,91019196,94036670,24,27444315
2016,91019201,94036677,24,27444316
2016,91019204,94036681,24,27444317
2016,91019945,94037485,24,27444318
2016,91021554,94039152,24,27444319
2016,91021598,94039197,24,27444320
2016,91019320,94036816,24,27444321
2016,91019340,94036836,24,27444322
2016,91021894,94039485,24,27444324
2016,91021895,94039485,24,27444325
2016,91021896,94039485,24,27444326
2016,91021897,94039486,24,27444327
2016,91039655,94058220,24,27444331
2016,91042236,94060985,24,27444332
2016,91042237,94060985,24,27444333
2016,91042270,94061022,24,27444334
2016,91042317,94061068,24,27444335
2016,91042325,94061075,24,27444336
2016,91042367,94061123,24,27444337
2016,91042385,94061139,24,27444338
2016,91042397,94061149,24,27444339
2016,91039833,94058402,24,27444341
2016,91039873,94058447,24,27444342
2016,91040556,94059192,24,27444343
2016,91039532,94058082,24,27444347
2016,91039533,94058082,24,27444348
2016,91039537,94058086,24,27444349
2016,91039546,94058098,24,27444350
2016,91035824,94054017,24,27444351
2016,91035865,94054066,24,27444354
2016,91035877,94054077,24,27444355
2016,91035889,94054089,24,27444356
2016,91035912,94054113,24,27444358
2016,91036327,94054565,24,27444361
2016,91036330,94054568,24,27444362
2016,91036331,94054568,24,27444363
2016,91036344,94054583,24,27444365
2016,91033536,94051495,24,27444371
