"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2017,103756336,10,
2017,103759448,1,
2017,103765232,1,
2017,103766993,1,
2017,103772025,9,
2017,103780677,1,
2017,103782348,1,
2017,103782539,3,
2017,103782643,9,
2017,103782927,3,
2017,96570674,9,
2017,96570705,1,
2017,98209197,1,
2017,98209893,10,
2017,98211131,9,
2017,98212700,6,
2017,98212894,1,
2017,98214829,1,
2017,98215198,1,
2017,98215568,1,
2017,96557891,1,
2017,96299206,9,
2017,96299751,1,
2017,96300057,10,
2017,96300496,10,
2017,96301973,9,
2017,96549625,9,
2017,96550850,1,
2017,96554213,10,
2017,96557897,1,
2017,96558857,10,
2017,96558855,10,
2017,96558846,10,
2017,96558851,10,
2017,96558838,10,
2017,96560186,1,
2017,96560357,1,
2017,96561347,1,
2017,96561511,9,
2017,96561808,10,
2017,96561869,9,
2017,96564052,10,
2017,96566920,1,
2017,96569037,9,
2017,96570156,1,
2017,97129488,1,
2017,97130793,9,
2017,97134067,1,
2017,96286315,1,
2017,96286370,6,
2017,96294638,1,
2017,96299211,1,
2017,96308838,9,
2017,96317988,1,
2017,97096610,9,
2017,97101603,9,
2017,97102049,1,
2017,97105443,10,
2017,97107121,6,
2017,97108631,1,
2017,97108703,1,
2017,97108977,1,
2017,97112243,1,
2017,97113026,1,
2017,97114699,9,
2017,97095805,9,
2017,97098003,10,
2017,97106640,1,
2017,97120887,9,
2017,97094463,1,
2017,97098132,1,
2017,97098869,1,
2017,97100633,1,
2017,97100689,1,
2017,97101266,9,
2017,97102700,2,
2017,97105831,10,
2017,97106009,10,
2017,97109644,9,
2017,97109818,10,
2017,97109886,1,
2017,97111164,1,
2017,97112070,9,
2017,97112194,1,
2017,97112256,10,
2017,97112257,10,
2017,97112254,10,
2017,97112255,10,
2017,97112497,1,
2017,97112519,1,
2017,97113981,1,
2017,97114197,1,
2017,97115861,10,
2017,97116143,9,
2017,97116730,1,
2017,97117586,10,
2017,97120686,9,
2017,97121277,9,
2017,97121454,1,
2017,97121989,10,
2017,97122673,1,
2017,97123531,1,
2017,97126499,1,
2017,97126934,1,
2017,97126932,1,
2017,97128687,1,
2017,97130505,1,
2017,97134938,10,
2017,97136093,1,
2017,97136769,1,
2017,96286078,9,
2017,96287067,1,
2017,96293412,1,
2017,96294483,1,
2017,96560030,1,
2017,96560052,1,
2017,96299971,9,
2017,96300979,10,
2017,96552594,1,
2017,96554366,10,
2017,96571894,1,
2017,97105483,10,
2017,97106363,1,
2017,97106430,1,
2017,97106572,10,
2017,97107537,10,
2017,97107605,1,
2017,97107900,10,
2017,97110746,1,
2017,97111918,1,
2017,97111963,1,
2017,97111957,1,
2017,97112165,9,
2017,97112162,9,
2017,97112168,9,
2017,97112234,10,
2017,97112567,1,
2017,97113023,1,
2017,97113034,1,
2017,97113347,1,
2017,97113881,10,
2017,96284809,1,
2017,96286771,10,
2017,96286787,1,
2017,96286825,1,
2017,96287016,1,
2017,96293533,1,
2017,96293538,1,
2017,96294019,9,
2017,96298571,1,
2017,96313411,9,
2017,97127219,10,
2017,97105458,10,
2017,97105801,10,
2017,97106567,10,
2017,97107085,9,
2017,97111194,1,
2017,97111202,1,
2017,97111756,1,
2017,97111748,1,
2017,97113693,1,
2017,97115796,1,
2017,97131115,6,
2017,97135065,1,
2017,96549756,10,
2017,96285822,10,
2017,96285859,1,
2017,96293160,1,
2017,96293159,1,
2017,96293274,1,
2017,96294000,9,
2017,96557370,9,
2017,96298728,10,
2017,96299882,1,
2017,96302010,1,
2017,96312372,1,
2017,96548622,1,
2017,96550250,10,
2017,96550253,10,
2017,96558435,9,
2017,96559046,1,
2017,96560061,1,
2017,96560508,1,
2017,96560781,1,
2017,96562700,1,
2017,96566499,1,
2017,96566539,1,
2017,97095020,1,
2017,97115896,1,
2017,97100888,10,
2017,97120351,10,
2017,97123052,1,
2017,97126108,1,
2017,97126783,1,
2017,97128582,1,
2017,97131807,1,
2017,97131892,9,
2017,97135495,1,
2017,97135475,1,
2017,97136176,1,
2017,97137363,1,
2017,96286385,1,
2017,96286786,1,
2017,96286791,1,
2017,96293307,1,
2017,96294552,1,
2017,96294549,1,
2017,96296927,1,
2017,97105670,1,
2017,96298269,10,
2017,96299593,9,
2017,96300382,1,
2017,96300386,1,
2017,96302839,6,
2017,96316779,1,
2017,96316829,10,
2017,96549679,1,
2017,96550716,1,
2017,96550709,1,
2017,96553046,10,
2017,96554244,9,
2017,96554259,10,
2017,96554411,1,
2017,96556524,1,
2017,96556520,1,
2017,96558257,1,
2017,96558505,1,
2017,96571035,1,
2017,97136745,3,
2017,97095889,1,
2017,97098024,1,
2017,97098970,3,
2017,97101256,1,
2017,97101450,9,
2017,97101699,1,
2017,97104254,1,
2017,97105399,1,
2017,97105688,9,
2017,97105706,9,
2017,97105734,1,
2017,97105839,1,
2017,97106521,9,
2017,97107127,1,
2017,97107761,3,
2017,97108207,1,
2017,97108295,10,
2017,97110551,10,
2017,97110531,10,
2017,97110534,10,
2017,97110592,10,
2017,97110586,10,
2017,97110523,10,
2017,97110566,10,
2017,97110637,10,
2017,97111485,9,
2017,97111500,1,
2017,97111798,9,
2017,97112021,10,
2017,97112370,6,
2017,97112370,1,
2017,97114267,1,
2017,97114953,1,
2017,97120647,1,
2017,97121172,1,
2017,97122469,1,
2017,97126750,10,
2017,97127820,1,
2017,97128452,9,
2017,97129393,1,
2017,97129382,1,
2017,97129388,1,
2017,97130216,2,
2017,97130457,1,
2017,97131936,1,
2017,97131940,1,
2017,97132577,6,
2017,97134498,10,
2017,97134885,1,
2017,97135485,10,
2017,97137106,10,
2017,97137957,1,
2017,97138268,10,
2017,97138294,1,
2017,97138296,1,
2017,97138358,1,
2017,97138360,1,
2017,97111001,9,
2017,97113438,1,
2017,97129739,1,
2017,97135339,1,
2017,97135782,1,
2017,97136298,1,
2017,97137745,1,
2017,97137750,1,
2017,97137959,1,
2017,96568810,10,
2017,96568800,10,
2017,96571535,1,
2017,96571531,1,
2017,97106514,1,
2017,97106984,1,
2017,97108959,10,
2017,97110274,1,
2017,97110273,1,
2017,97110265,1,
2017,97110585,10,
2017,97110579,10,
2017,97110581,10,
2017,97110575,10,
2017,97111255,1,
2017,97112295,10,
2017,97116628,1,
2017,97121151,1,
2017,97122217,1,
2017,97126033,1,
2017,97126038,1,
2017,97126036,1,
2017,97127043,10,
2017,97133391,1,
2017,97135230,1,
2017,96286408,1,
2017,96299728,10,
2017,96299723,10,
2017,96299725,10,
2017,96309054,1,
2017,96547206,1,
2017,96553438,10,
2017,96554158,9,
2017,96556090,1,
2017,96556634,9,
2017,96556918,1,
2017,96557203,9,
2017,96559641,1,
2017,96560095,9,
2017,96561478,1,
2017,96562104,1,
2017,96571785,1,
2017,96569554,1,
2017,97097564,1,
2017,97103925,9,
2017,97111545,1,
2017,97112058,9,
2017,97115199,10,
2017,97126980,1,
2017,96286568,1,
2017,97110730,9,
2017,97110727,9,
2017,97110744,9,
2017,97111087,1,
2017,97099310,9,
2017,97100653,1,
2017,97101692,1,
2017,97106512,1,
2017,97107487,10,
2017,97107555,10,
2017,97109783,1,
2017,97114530,9,
2017,97115510,1,
2017,97120956,1,
2017,97120948,1,
2017,97133287,1,
2017,97134626,1,
2017,96294876,10,
2017,96560117,9,
2017,96300307,1,
2017,96548372,10,
2017,96553198,1,
2017,96558755,1,
2017,96559098,1,
2017,97136912,9,
2017,97102706,9,
2017,97108191,10,
2017,97112757,1,
2017,97112762,1,
2017,97116426,1,
2017,97119990,1,
2017,97120057,1,
2017,97120088,1,
2017,97119899,1,
2017,97119866,1,
2017,97120033,1,
2017,97119921,1,
2017,97119955,1,
2017,97121502,1,
2017,97122461,10,
2017,97122546,1,
2017,97122554,1,
2017,97122558,1,
2017,97122970,9,
2017,97128327,1,
2017,97129477,9,
2017,97130767,10,
2017,97131028,9,
2017,97132747,1,
2017,97134970,1,
2017,97094325,1,
2017,97094325,9,
2017,97100821,9,
2017,97106013,9,
2017,97107754,10,
2017,97107752,10,
2017,97107748,10,
2017,97108138,1,
2017,97108132,1,
2017,97121519,10,
2017,97121542,10,
2017,97127121,1,
2017,97128460,9,
2017,97128463,9,
2017,97128468,9,
2017,97135841,9,
2017,97135830,9,
2017,97135835,9,
2017,96286462,2,
2017,96293773,1,
2017,96300309,1,
2017,96300643,1,
2017,96300847,1,
2017,96307173,1,
2017,96307176,1,
2017,96308938,1,
2017,96312025,1,
2017,97094102,9,
2017,97095585,10,
2017,97095574,10,
2017,97097016,10,
2017,97097212,1,
2017,97097219,1,
2017,97097528,10,
2017,97097539,10,
2017,97097513,10,
2017,97097519,10,
2017,97097507,10,
2017,97097550,10,
2017,97097499,10,
2017,97099406,10,
2017,97099411,10,
2017,97100894,1,
2017,97101573,1,
2017,97101607,9,
2017,97101607,1,
2017,97101573,9,
2017,97101980,9,
2017,97103774,1,
2017,97104327,10,
2017,97104320,10,
2017,97104381,1,
2017,97104386,1,
2017,97105140,10,
2017,97105490,10,
2017,97105702,1,
2017,97105841,1,
2017,97105985,9,
2017,97106253,10,
2017,97106446,10,
2017,97106618,10,
2017,97106874,10,
2017,97107057,10,
2017,97107352,10,
2017,97107358,10,
2017,97107724,9,
2017,97107718,9,
2017,97107977,10,
2017,97108167,10,
2017,97108186,1,
2017,97108365,1,
2017,97108533,1,
2017,97108725,9,
2017,97108919,10,
2017,97109837,1,
2017,97110524,10,
2017,97110876,1,
2017,97110881,1,
2017,97111515,9,
2017,97111810,1,
2017,96286888,1,
2017,96287156,10,
2017,96294277,1,
2017,96298704,10,
2017,96298814,10,
2017,96298935,1,
2017,96298931,1,
2017,96299064,12,1
2017,96308893,1,
2017,96308906,1,
2017,96317775,1,
2017,96549991,9,
2017,96289016,1,
2017,96289020,1,
2017,96289037,1,
2017,96293620,10,
2017,96293770,10,
2017,96293775,10,
2017,96294044,10,
2017,96294046,10,
2017,96294396,1,
2017,96298716,10,
2017,96301126,10,
2017,96309949,1,
2017,96309942,1,
2017,97128368,9,
2017,97128891,9,
2017,97129089,1,
2017,97129689,1,
2017,97132011,9,
2017,97132781,9,
2017,97134058,10,
2017,97134893,9,
2017,97135804,10,
2017,97136344,1,
2017,97137684,1,
2017,97137680,1,
2017,96547172,10,
2017,96547773,1,
2017,96559069,9,
2017,96560020,1,
2017,96568420,10,
2017,96571849,10,
2017,96571146,1,
2017,96553500,1,
2017,96553674,1,
2017,96554265,1,
2017,96559328,9,
2017,96559927,1,
2017,96559932,1,
2017,96566462,9,
2017,96566458,9,
2017,96566470,9,
2017,96571824,9,
2017,96550892,6,
2017,96550892,1,
2017,96552797,9,
2017,96552812,9,
2017,96552791,9,
2017,96553851,10,
2017,96554161,1,
2017,96554181,10,
2017,96559960,1,
2017,96559955,1,
2017,96559957,1,
2017,97102933,9,
2017,97094364,10,
2017,97112551,1,
2017,97104544,10,
2017,97104539,10,
2017,97104527,10,
2017,97104519,10,
2017,97104529,10,
2017,97104533,10,
2017,97105228,1,
2017,97106440,6,
2017,97108439,10,
2017,97112557,1,
2017,97112546,1,
2017,97116359,1,
2017,97116357,1,
2017,97120480,9,
2017,97120493,9,
2017,97121178,1,
2017,97121183,1,
2017,97121188,1,
2017,96294599,1,
2017,96299294,1,
2017,96308900,1,
2017,97111083,9,
2017,97111138,1,
2017,97111674,1,
2017,97112088,1,
2017,97097733,10,
2017,97099330,1,
2017,97100370,10,
2017,97107959,1,
2017,97110121,1,
2017,97112960,1,
2017,97115834,10,
2017,97122324,1,
2017,97122403,1,
2017,97127181,10,
2017,97130360,1,
2017,97130755,10,
2017,96284769,10,
2017,96294199,1,
2017,96294493,1,
2017,96295117,6,
2017,96295115,6,
2017,96298361,1,
2017,96298570,10,
2017,96298565,10,
2017,96298576,10,
2017,96298572,10,
2017,96298567,10,
2017,96298578,10,
2017,96298665,10,
2017,96301194,10,
2017,96301189,10,
2017,96301192,10,
2017,96301981,10,
2017,96302886,9,
2017,96309064,1,
2017,96312269,1,
2017,96312273,1,
2017,97105657,10,
2017,97108774,1,
2017,97113705,1,
2017,97096904,1,
2017,97096937,1,
2017,97096904,9,
2017,97096925,9,
2017,97096937,9,
2017,97096925,1,
