"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,4,111060879,0.091,1,10449682
2018,8,111061327,34,9,10449755
2018,18,111061327,,,10449757
2018,15,111061327,34,9,10449756
2018,5,111061336,2.1,1,10449759
2018,15,111061336,5,9,10449760
2018,5,111062131,3.79,1,10449823
2018,17,113082189,,,10775967
2018,17,115594367,,,11261275
2018,5,115594371,0.1,1,11256273
2018,4,111060201,0.455,1,10449512
2018,1,111060201,5.5,1,10449511
2018,5,111060221,1.6,1,10459663
2018,17,111057222,,,10459999
2018,5,111062388,0.001,1,10449874
2018,5,111058240,13.9,1,10460102
2018,17,111062514,20,9,10449895
2018,5,111062514,1,1,10449894
2018,16,111058522,23,9,10460141
2018,17,111062759,,,10449923
2018,5,111058843,3.73,1,10460177
2018,4,111058843,0.364,1,10460176
2018,1,111062950,0.08,1,10449949
2018,4,111063332,0.14,1,10450035
2018,18,111064347,,,10454126
2018,16,111064347,1,9,10454125
2018,5,111064347,2.63,1,10454124
2018,17,116703007,,,11588961
2018,5,116704699,4.2,1,11588992
2018,8,116704699,8,9,11588993
2018,5,111044099,2192.2,1,10449333
2018,2,111044099,6.8,1,10449332
2018,8,111044099,180,9,10449334
2018,17,111059621,,,10449414
2018,5,111060885,15,1,10449683
2018,5,111060898,1.5,1,10449686
2018,2,111060998,0.2,1,10449702
2018,5,111056648,24.5,1,10459933
2018,1,111061080,2,1,10449719
2018,4,111061080,0.07,1,10449720
2018,5,111061175,1,1,10449732
2018,4,111061175,1.183,1,10449731
2018,5,111056948,2.92,1,10459976
2018,1,111056948,1.76,1,10459975
2018,8,111061194,1,9,10459979
2018,1,111061194,3.3,1,10459978
2018,5,111061218,64.5,1,10449738
2018,4,111061218,6.097,1,10449737
2018,17,111056977,,,10459982
2018,17,111061255,,,10449741
2018,4,111061412,0.182,1,10449764
2018,4,111061453,0.21,1,10449765
2018,4,111057231,0.007,1,10460002
2018,4,111057247,0.7,1,10460003
2018,12,111061504,3,1,10449770
2018,4,111061504,1.057,1,10449769
2018,5,111057905,1,5,10460065
2018,5,111062194,295,1,10449838
2018,5,111062214,3.9,1,10449850
2018,8,111062214,104,9,10449851
2018,5,111062237,0.8,1,10449861
2018,4,111062305,7,9,10449870
2018,5,111062401,4.9,1,10449876
2018,8,111062503,31,9,10449891
2018,5,111062503,0.1,1,10449890
2018,4,111058318,1,2,10449892
2018,5,111058318,1.5,1,10460113
2018,5,111062536,4.7,1,10449901
2018,5,111058386,1.5,1,10460122
2018,5,111062582,8.62,1,10449907
2018,5,111058480,0.74,1,10460137
2018,5,111058500,3.35,1,10460139
2018,5,111062683,1,1,10449921
2018,5,111062774,0.45,1,10449926
2018,4,111062815,0.189,1,10449927
2018,17,111062817,,,10449929
2018,4,111062857,0.028,1,10460161
2018,4,111058896,0.14,1,10449944
2018,5,111062953,28,1,10449950
2018,5,111062957,3.21,1,10449951
2018,5,111062961,1.53,1,10449954
2018,8,111058942,0.1,1,10460203
2018,17,111063014,,,10449963
2018,5,111063039,3.19,1,10449967
2018,5,111063045,106.34,1,10460208
2018,1,111063222,0.7,1,10450022
2018,4,111063225,0.75,1,10450023
2018,17,111063230,,,10450025
2018,5,111063281,7.06,1,10450029
2018,17,111050749,,,10454106
2018,17,111063306,,,10460247
2018,5,111063400,0.09,1,10450040
2018,5,111059167,0.001,1,10460249
2018,17,111063420,,,10450042
2018,17,111063424,,,10450044
2018,5,111063426,0.74,1,10450045
2018,1,111063456,0.57,1,10450050
2018,5,111063644,1.79,1,10450079
2018,1,111063644,32.35,1,10454128
2018,4,111063688,0.014,1,10450089
2018,4,111063721,0.091,1,10450101
2018,5,111063744,1.53,1,10450104
2018,5,111064447,0.12,1,10460298
2018,4,111063785,0.056,1,10450115
2018,5,111064475,0.1,1,10460305
2018,4,111063793,0.098,1,10450119
2018,1,111063793,0.18,1,10450118
2018,5,111050836,1,1,10454132
2018,17,111063967,,,10450173
2018,17,111063996,,,10450180
2018,8,111064955,1,9,10460378
2018,4,111064955,0.175,1,10460377
2018,5,111064974,11.67,1,10460380
2018,8,111064166,2,9,10450193
2018,5,111064168,71.43,1,10450194
2018,5,111064179,3.68,1,10450197
2018,5,111064995,5.16,1,10460382
2018,5,111064185,0.17,1,10450198
2018,11,111069321,18.5,1,10450217
2018,5,111069323,2.8,1,10450218
2018,4,111069370,0.182,1,10450222
2018,16,115599636,5,9,11261336
2018,12,115599636,1,9,11261335
2018,18,115599636,,,11256352
2018,5,111048976,1,1,10459441
2018,2,111044003,396.9,1,10449311
2018,2,111044013,7,1,10449318
2018,5,111054717,16.7,1,10459536
2018,5,111059540,1.6,1,10449401
2018,4,111059762,0.7,1,10449438
2018,4,111059773,0.077,1,10449443
2018,1,111059773,0.1,1,10459576
2018,4,111059864,0.014,1,10449455
2018,5,111059868,0.5,1,10449456
2018,5,111055168,41.4,1,10449460
2018,5,111055204,12,1,10459602
2018,17,111055336,,,10459629
2018,5,111060079,2.9,1,10449486
2018,4,111060888,0.015,1,10449684
2018,4,111061038,13.923,1,10449712
2018,1,111061038,80.9,1,10449711
2018,5,111061038,2.3,1,10449713
2018,5,111061126,45.5,1,10449726
2018,4,111061298,0.007,1,10449749
2018,5,111057050,453,1,10459985
2018,4,111057050,0.67,1,10459984
2018,4,111061533,0.07,1,10449776
2018,5,111057896,1.1,1,10460063
2018,8,111057950,8,9,10449837
2018,8,111058818,8,9,10460159
2018,2,111058818,2.5,1,10449934
2018,1,111058818,0.32,1,10460158
2018,2,111062949,1.08,1,10449948
2018,4,111062973,0.007,1,10460198
2018,8,111063264,65,9,10450027
2018,4,111063264,6.65,1,10450026
2018,5,111063432,1.05,1,10450046
2018,4,111063664,0.273,1,10450080
2018,4,111063759,3.185,1,10450108
2018,17,111064089,,,10450185
2018,5,111065296,5.13,1,10460431
2018,5,111061020,3,1,10449705
2018,5,111061037,2,1,10449710
2018,5,111061377,5,1,10449763
2018,1,111057228,1,1,10460001
2018,17,111058244,,,10460106
2018,4,111062528,0.063,1,10449897
2018,4,111062868,0.091,1,10449939
2018,8,111063756,4,9,10450107
2018,4,111063756,4.459,1,10450106
2018,12,111063788,0.63,1,10450117
2018,5,111064011,1.26,1,10450182
2018,5,111069431,1.03,1,10450226
2018,4,111065616,2,1,10460457
2018,4,111065694,0.007,1,10460467
2018,12,111065694,29,1,10460468
2018,1,111065991,0.2,1,10460495
2018,2,111051295,255,1,10454184
2018,4,111070255,0.25,5,10460545
2018,5,111070255,2.18,1,10460546
2018,4,111070283,0.084,1,10450347
2018,1,111070305,0.4,1,10450355
2018,17,111070311,,,10450357
2018,17,111066364,,,10460547
2018,5,111066379,26.77,1,10450358
2018,5,111066387,0.27,1,10460557
2018,12,111043912,11.1,1,10449298
2018,4,111043912,215,9,10449297
2018,1,111059805,0.4,1,10449448
2018,4,111059814,0.182,1,10449449
2018,5,111059987,3,1,10449475
2018,5,111060078,1,1,10454045
2018,17,111060163,,,10449500
2018,1,111060870,0.5,1,10459894
2018,4,111061171,0.014,1,10449729
2018,1,111061223,0.5,1,10449739
2018,5,111061223,3,1,10449740
2018,5,111050547,1,1,10454075
2018,5,111062146,0.5,1,10449827
2018,8,111057944,2,9,10460076
2018,5,111062248,0.5,1,10449862
2018,5,111058157,0.3,1,10460098
2018,4,111062336,2,9,10449872
2018,17,111062818,,,10449930
2018,4,111062831,0.91,1,10449932
2018,17,111062834,,,10454087
2018,4,111058795,0.273,1,10460157
2018,5,111062894,0.42,1,10449941
2018,5,111063765,1,1,10450109
2018,4,111063770,0.21,1,10450111
2018,12,111063786,0.66,1,10450116
2018,5,111063973,3.97,1,10450175
2018,2,111063973,0.16,1,10450174
2018,5,111065707,0.65,1,10460470
2018,17,111051139,,,10454158
2018,17,111070083,,,10450312
2018,5,111066372,109,1,10450343
2018,8,111066372,8,9,10450344
2018,12,111066381,0.91,1,10460553
2018,17,111070320,,,10450359
2018,4,111043906,0.077,1,10449296
2018,17,111043917,,,10449300
2018,5,111059672,546,1,10449425
2018,4,111059785,0.37,1,10449444
2018,4,111059808,0.021,1,10459580
2018,17,111059882,,,10449458
2018,10,111060184,5,5,10449505
2018,5,111060184,2.7,1,10449504
2018,18,111060184,,,10449506
2018,5,111060208,1,1,10449514
2018,17,111060847,,,10449679
2018,7,111056699,4,9,10459953
2018,4,111056699,15,9,10459952
2018,1,111056699,1,1,10459951
2018,5,111061173,136.08,1,10449730
2018,5,111061517,31.3,1,10449775
2018,1,111061517,2.4,1,10449774
2018,4,111057891,0.056,1,10460062
2018,5,111062651,0.05,1,10449912
