"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2019,136841143,111912855,51,"C",20,,""
2019,136841144,111912855,5,"C",20,,""
2019,136836372,111912893,5,"C",45,,""
2019,136841208,111909125,16,"C",20,,""
2019,136830585,111912910,16,"C",25,,""
2019,136830589,111909138,8,"C",20,,""
2019,136841233,111912921,16,"C",20,,""
2019,136830607,111909152,51,"C",20,,""
2019,136830608,111909152,5,"C",20,,""
2019,136830631,111909170,51,"C",18,,""
2019,136841254,111912931,44,"C",7,,""
2019,136830648,111912938,45,"C",12,,""
2019,136830657,111912941,16,"C",13,,""
2019,136836427,111912946,16,"C",41,,""
2019,136830679,111912949,5,"C",13,,""
2019,136841273,111912960,5,"C",15,,""
2019,136830754,111912986,14,"C",8,,""
2019,136830779,111912997,39,"C",13,,""
2019,136830789,111905079,16,"C",20,,""
2019,136836527,111909296,14,"C",5,,""
2019,136830843,111913035,23,"C",24,,""
2019,136830849,111913045,14,"C",20,,""
2019,136841436,111913074,27,"C",21,,""
2019,136841437,111913074,45,"C",21,,""
2019,136830888,111909386,5,"C",13,,""
2019,136830910,111909399,44,"C",20,,""
2019,136841501,111913119,35,"C",38,,""
2019,136836661,111905206,51,"C",40,,""
2019,136841542,111913146,62,"C",20,,""
2019,136841551,111913152,16,"C",13,,""
2019,136836677,111913161,16,"C",13,,""
2019,136841581,111909510,51,"C",18,,""
2019,136831064,111913191,16,"C",13,,""
2019,136841643,111913213,51,"C",20,,""
2019,136831116,111909593,16,"C",13,,""
2019,136841686,111909608,51,"C",20,,""
2019,136836840,111913301,40,"C",13,,""
2019,136841789,111913333,16,"C",13,,""
2019,136841790,111913333,35,"C",13,,""
2019,136841795,111913340,51,"C",13,,""
2019,136836885,111905363,5,"C",13,,""
2019,136846281,111905369,16,"C",13,,""
2019,136846300,111913392,16,"C",13,,""
