"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,124685698,1,11,13872161
2019,5,124676808,1,11,13872173
2019,5,124685757,1,11,13879196
2019,5,124685779,2.007,1,13879200
2019,12,124676836,1.2,1,13872178
2019,5,124686052,1,1,13879238
2019,5,124682468,0.001,1,13876044
2019,8,124686148,5,9,13876061
2019,12,124686148,13.65,1,13876060
2019,5,124682695,1,1,13876086
2019,5,124682873,3,9,13876115
2019,5,124686375,1,11,13879290
2019,12,124677418,2,9,13876133
2019,17,124686532,0.1,1,13879323
2019,12,124686536,10,4,13879324
2019,17,124686607,1,11,13872314
2019,12,124686741,0.1,1,13876196
2019,5,124686763,8,1,13879372
2019,5,124686765,7,1,13872333
2019,5,124686797,1,1,13879384
2019,5,124686804,1,1,13879388
2019,16,124686812,8,9,13879390
2019,5,124683391,8,9,13876206
2019,5,124683391,6,1,13876207
2019,5,124683409,4.5,1,13876211
2019,5,124686891,7,1,13879405
2019,5,124686996,4,1,13872355
2019,12,124687048,1,11,13879432
2019,5,124687054,1.3,1,13879434
2019,12,120606257,1,1,12887788
2019,5,120606309,0.9,1,12887799
2019,12,120606309,0.25,1,12887800
2019,17,120587628,1,11,12863605
2019,12,120587628,1,11,12863603
2019,12,120597147,6.3,3,12872904
2019,2,120606932,2.6,1,12864034
2019,5,120610113,1,1,12864054
2019,5,120607084,5,1,12872959
2019,5,120610574,2.9,1,12864105
2019,5,124687339,52,1,13879478
2019,5,120607412,2,1,12887963
2019,8,124687339,9,9,13879477
2019,5,120610756,0.01,1,12864132
2019,17,124687341,43,9,13879479
2019,16,120598245,8,9,12888017
2019,12,120598245,0.13,1,12873050
2019,5,120598245,1,9,12888016
2019,5,120607949,21.5,1,12888038
2019,5,120611287,1,11,12864223
2019,16,120608150,1,11,12888067
2019,5,120608150,1,11,12888066
2019,5,120611455,1,1,12864251
2019,5,120598821,1,11,12888115
2019,2,120598821,1,11,12888114
2019,8,120598826,1,11,12873160
2019,12,120608674,0.77,1,12873216
2019,12,120611988,117,1,12873224
2019,5,120599334,5,1,12888238
2019,5,120612151,11.5,1,12873260
2019,5,120599419,11,1,12888253
2019,12,120612298,3.2,1,12873279
2019,12,120614585,13,1,12864443
2019,5,120614228,3.87,1,12864715
2019,5,120616266,1,9,12864744
2019,5,120616266,0.8,1,12864745
2019,5,120616292,19.2,1,12864755
2019,5,120616409,3,1,12873605
2019,5,120614547,1,1,12888512
2019,5,120620714,0.8,1,12873613
2019,5,120620780,2.4,1,12864811
2019,12,120616618,1,9,12873636
2019,12,120617055,1.3,1,12873710
2019,5,120621816,1,11,12888671
2019,12,120626395,2.8,1,12865081
2019,5,120618083,1.4,1,12873871
2019,1,120627316,0.5,1,12888836
2019,5,120619331,12,1,12874078
2019,5,120623252,12,1,12888930
2019,5,124683938,5,1,13876276
2019,12,124687451,3.9,1,13879493
2019,5,124687494,24,1,13879498
2019,5,124687535,69,1,13879503
2019,4,124687547,1,11,13872391
2019,5,124687557,2,1,13879507
2019,5,124684069,1,1,13876295
2019,12,124678031,1,1,13876298
2019,12,124687759,0.6,1,13879528
2019,5,124687763,1,1,13879529
2019,5,122069144,12,1,13201197
2019,16,122080229,0.5,1,13204549
2019,17,122080292,1,1,13204556
2019,5,122069272,11.2,1,13201218
2019,12,122069272,1.7,1,13201219
2019,16,122069322,1,1,13201225
2019,12,122069352,1,11,13201229
2019,5,122069363,40,1,13201231
2019,12,122069431,10.7,1,13201249
2019,5,122069482,4.2,1,13201264
2019,5,122069482,1,11,13201263
2019,5,122069487,3,1,13201266
2019,5,122069499,20,1,13201267
2019,5,122069512,9,1,13201274
2019,5,122085902,1,11,13201534
2019,12,122085958,4,1,13201547
2019,5,122086109,6,1,13201578
2019,12,122086176,10,1,13204869
2019,12,122086247,1,11,13201600
2019,12,122086768,6,1,13208570
2019,12,122086968,1,11,13201721
2019,5,122086968,1,11,13208598
2019,5,122090359,132.5,1,13208604
2019,12,122088021,14,1,13201812
2019,12,122088192,20.9,1,13201822
2019,12,122088263,1.35,1,13201833
2019,5,122088263,0.38,1,13208696
2019,8,122083146,3,9,13208707
2019,5,122083146,1,9,13208708
2019,12,122083163,0.2,1,13201850
2019,12,120595452,1,11,12863587
2019,16,120595452,1,11,12872575
2019,17,120587702,9,9,12887563
2019,12,120595515,1,11,12872599
2019,5,120595515,1,11,12887564
2019,5,120605202,1,11,12887580
2019,5,120595602,15,1,12887584
2019,5,120595611,1,11,12887587
2019,12,120588332,1,11,12863763
2019,5,120588004,1,1,12863708
2019,5,120605999,9.6,1,12887739
2019,8,120606209,1,11,12887779
2019,12,120606209,6.4,1,12887780
2019,1,120606248,1.33,1,12887786
2019,5,120606320,20.1,1,12887801
2019,12,120606359,1.2,1,12887812
2019,5,120606471,1,11,12887838
2019,5,120606675,13,1,12887866
2019,5,120609705,0.7,1,12863987
2019,12,120609705,24,9,12863988
2019,5,120597171,47.76,1,12872909
2019,5,120609858,1,11,12864007
2019,5,120610199,2,9,12864066
2019,5,120607339,7,1,12887949
2019,5,120597832,365.008,1,12887956
2019,5,120610562,1.93,1,12872991
2019,12,120607609,6,1,12887983
2019,5,120598026,1,11,12873019
2019,12,120610875,3.4,1,12864148
2019,5,120607721,2,3,12888000
2019,5,120598158,0.001,1,12873040
2019,5,120611164,1,11,12864201
2019,5,120607930,2.46,1,12888034
2019,12,120611302,1,1,12864224
2019,5,120611407,1,11,12864238
2019,12,120611413,1,11,12873097
2019,5,120598600,24.9,1,12864256
2019,8,120598612,1,1,12873115
2019,5,120598616,1,11,12873118
2019,5,120611575,1.9,1,12864276
2019,15,120598746,2,9,12864283
2019,5,120598746,12.5,1,12864282
2019,5,120598746,1,11,12873140
2019,12,120611622,1,11,12864285
2019,12,120611677,1.8,1,12864292
2019,5,120598920,1,11,12888149
2019,12,120608562,1.7,1,12888160
2019,17,120608562,3.7,1,12888161
2019,12,120611966,0.6,1,12864366
2019,5,120599200,1.8,1,12888207
2019,2,120599221,10,1,12888213
2019,5,120599221,11,1,12864379
2019,5,120608846,16,1,12873233
2019,12,120608846,23,1,12873234
2019,5,120608873,43,1,12888222
2019,5,120599264,1,11,12873241
2019,5,120608903,2,1,12873244
2019,5,120608909,2,9,12888231
2019,12,120612178,1,1,12888248
2019,12,120609087,10,1,12873281
2019,4,120609090,0.05,1,12888260
2019,5,120614950,3,1,12888307
2019,5,120614920,23,1,12873343
2019,12,120614950,9.6,1,12888308
2019,8,120609532,19,9,12888324
2019,5,120609532,66,1,12873360
2019,2,120609532,4.45,1,12873359
2019,5,120613032,17.5,1,12864546
2019,5,120613057,10,1,12873366
2019,17,120613057,37,1,12864551
2019,5,120619579,88,1,12888329
2019,5,120619672,11,1,12873377
2019,12,120613275,1,1,12888350
2019,5,120619854,16,1,12888372
2019,5,120615477,1,11,12873427
2019,12,120619905,39.38,1,12873429
2019,5,120615526,2,1,12873431
2019,5,120615550,14,1,12873434
2019,12,120613619,10,1,12888388
2019,5,120613619,10,1,12888387
2019,5,120620015,1,7,12888395
2019,5,120620267,0.54,1,12888427
2019,12,120620321,1.4,1,12864691
2019,5,120616012,20.8,1,12864700
2019,5,120620393,22,1,12873519
2019,5,120616103,1,1,12873525
2019,5,120620430,16.5,1,12873529
2019,5,120620595,3.7,1,12888483
2019,5,120614531,0.55,1,12864777
2019,12,120625060,1.1,1,12888577
2019,12,120625060,3,5,12888576
2019,12,120621840,2.7,1,12873831
2019,16,120626511,2,9,12865101
2019,2,120622136,0.45,1,12873880
2019,5,120622168,24.035,1,12888731
2019,5,120626631,0.099,1,12873895
2019,5,120618228,16,1,12873896
2019,16,120626670,1,11,12873901
2019,5,122069169,3,1,13201202
2019,5,122069172,3,1,13201203
2019,12,122069324,0.6,1,13201226
2019,5,122069365,13,1,13201232
2019,5,122069396,0.001,1,13201241
2019,12,122069420,1,11,13201245
2019,16,122069420,1,11,13201246
2019,5,122069513,2500,9,13201275
2019,12,122089681,1,11,13201562
2019,5,122086071,1,11,13201572
2019,5,122082001,2,1,13204855
2019,17,122082019,1,11,13204859
2019,5,122082181,1,11,13204894
2019,16,122086344,1,9,13204912
2019,5,122086638,33.97,1,13208561
2019,5,122086722,1,1,13201670
2019,12,122086722,1.5,1,13201671
2019,17,122086722,1,11,13201672
2019,5,122086751,10.2,1,13204945
2019,5,122086783,20.75,1,13208571
2019,5,122090245,24,1,13201707
2019,5,122086939,2.1,1,13201713
2019,12,122087073,0.97,1,13201734
2019,12,122087177,27,1,13201745
2019,5,122087290,1,1,13201751
2019,5,122087315,1,11,13201755
2019,5,122087700,0.25,3,13201790
2019,5,122090978,1,1,13205006
2019,5,122088057,6.6,1,13201813
2019,5,122088196,0.041,1,13201826
2019,5,122088551,1,1,13201853
