"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
42742019,4274,2019,"IA0010000","IA0010000","","N","N",,"I","ADAIR","ADAIR CO SO GREENFIELD","Adair","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",6955,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",4,4,8,0,5,5,0,0,01-JAN-91,01-JAN-92,,,,,"N","ADAIR","Non-MSA","Y","Y","Y"
42752019,4275,2019,"IA0020000","IA0020000","","N","N",,"I","ADAMS","ADAMS CO SO CORNING","Adams","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",3582,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,0,8,0,0,0,0,0,01-JAN-91,01-JAN-92,,,,,"N","ADAMS","Non-MSA","Y","Y","Y"
42762019,4276,2019,"IA0030000","IA0030000","","N","N",,"I","ALLAMAKEE","ALLAMAKEE CO SO WAUKON","Allamakee","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",7295,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",10,3,13,0,8,8,0,0,01-JAN-91,01-OCT-95,,,,,"N","ALLAMAKEE","Non-MSA","Y","Y","Y"
42772019,4277,2019,"IA0030100","IA0030100","","N","N",,"I","WAUKON","WAUKON PD","Waukon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",3654,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",3,0,3,1,0,1,0,0,01-JAN-91,01-NOV-12,,,,,"N","ALLAMAKEE","Non-MSA","Y","Y","Y"
42782019,4278,2019,"IA0040000","IA0040000","","N","N",,"I","APPANOOSE","APPANOOSE CO SO CENTERVILLE","Appanoose","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",6865,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",8,4,12,0,4,4,0,0,01-JAN-91,01-JAN-92,,,,,"N","APPANOOSE","Non-MSA","Y","Y","Y"
42792019,4279,2019,"IA0040100","IA0040100","","N","N",,"I","CENTERVILLE","CENTERVILLE PD","Centerville","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",5459,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,1,12,0,6,6,0,0,01-JAN-91,01-JAN-92,,,,,"N","APPANOOSE","Non-MSA","Y","Y","Y"
42802019,4280,2019,"IA0050000","IA0050000","","N","N",,"I","AUDUBON","AUDUBON CO SO AUDUBON","Audubon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",3526,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-91,01-JAN-92,,,,,"N","AUDUBON","Non-MSA","Y","Y","Y"
42812019,4281,2019,"IA0050100","IA0050100","","N","N",,"I","AUDUBON","AUDUBON PD","Audubon","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",1883,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,1,0,1,0,0,01-JAN-91,01-JAN-92,,,,,"N","AUDUBON","Non-MSA","Y","Y","Y"
42822019,4282,2019,"IA0060000","IA0060000","","N","N",,"I","BENTON","BENTON CO SO VINTON","Benton","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",17958,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",14,9,23,0,12,12,0,0,01-JAN-91,01-JAN-92,,,,,"N","BENTON","Cedar Rapids, IA","Y","Y","Y"
42842019,4284,2019,"IA0060200","IA0060200","","N","N",,"I","VINTON","VINTON PD","Vinton","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",5074,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,1,1,2,0,0,01-JAN-91,01-JAN-92,,,,,"N","BENTON","Cedar Rapids, IA","Y","Y","Y"
42852019,4285,2019,"IA0070000","IA0070000","","N","N",,"I","BLACK HAWK","BLACK HAWK CO SO WATERLOO","Black Hawk","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",18154,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",66,25,91,8,24,32,0,0,01-JAN-91,01-JAN-92,,,,,"N","BLACK HAWK","Waterloo-Cedar Falls, IA","Y","Y","Y"
42862019,4286,2019,"IA0070100","IA0070100","","N","N",,"I","CEDAR FALLS","CEDAR FALLS PD","Cedar Falls","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",41269,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",51,0,51,9,1,10,0,0,01-JAN-91,01-JAN-92,,,,,"N","BLACK HAWK","Waterloo-Cedar Falls, IA","Y","Y","Y"
42872019,4287,2019,"IA0070200","IA0070200","","N","N",,"I","EVANSDALE","EVANSDALE PD WATERLOO","Evansdale","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",4758,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",7,0,7,1,1,2,0,0,01-JAN-91,01-JUN-92,,,,,"N","BLACK HAWK","Waterloo-Cedar Falls, IA","Y","Y","Y"
42882019,4288,2019,"IA0070300","IA0070300","","N","N",,"I","WATERLOO","WATERLOO PD","Waterloo","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",67723,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",103,1,104,18,8,26,0,0,01-JAN-91,01-OCT-91,,,,,"N","BLACK HAWK","Waterloo-Cedar Falls, IA","Y","Y","Y"
42892019,4289,2019,"IA0070700","IA0070700","","N","N",,"I","UNIV OF NORTHERN IOWA","UNIVERSITY OF NORTHERN IOWA DPS CEDAR FALLS","University of Northern Iowa","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","University or College",0,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",13,2,15,3,1,4,0,0,01-JAN-91,01-JAN-92,,,,,"N","BLACK HAWK","Waterloo-Cedar Falls, IA","Y","Y","Y"
42902019,4290,2019,"IA0080000","IA0080000","","N","N",,"I","BOONE","BOONE CO SO BOONE","Boone","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",11788,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",13,9,22,0,9,9,0,0,01-JAN-91,01-JAN-92,,,,,"N","BOONE","Ames, IA","Y","Y","Y"
42912019,4291,2019,"IA0080100","IA0080100","","N","N",,"I","BOONE","BOONE PD","Boone","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",12448,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",17,0,17,0,1,1,0,0,01-JAN-91,01-JAN-92,,,,,"N","BOONE","Ames, IA","Y","Y","Y"
42922019,4292,2019,"IA0080200","IA0080200","","N","N",,"I","OGDEN","OGDEN PD","Ogden","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",1988,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",2,0,2,0,0,0,0,0,01-JAN-91,01-JAN-98,,,,,"N","BOONE","Ames, IA","Y","Y","Y"
42942019,4294,2019,"IA0090000","IA0090000","","N","N",,"I","BREMER","BREMER CO SO WAVERLY","Bremer","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",14718,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",13,10,23,0,15,15,0,0,01-JAN-91,01-JAN-92,,,,,"N","BREMER","Waterloo-Cedar Falls, IA","Y","Y","Y"
42952019,4295,2019,"IA0090200","IA0090200","","N","N",,"I","WAVERLY","WAVERLY PD","Waverly","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",10187,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",14,0,14,1,1,2,0,0,01-JAN-91,01-JAN-92,,,,,"N","BREMER","Waterloo-Cedar Falls, IA","Y","Y","Y"
42962019,4296,2019,"IA0100000","IA0100000","","N","N",,"I","BUCHANAN","BUCHANAN CO SO INDEPENDENCE","Buchanan","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",15035,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",13,6,19,0,11,11,0,0,01-JAN-91,01-MAY-92,,,,,"N","BUCHANAN","Non-MSA","Y","Y","Y"
42972019,4297,2019,"IA0100100","IA0100100","","N","N",,"I","INDEPENDENCE","INDEPENDENCE PD","Independence","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",6086,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",10,0,10,1,1,2,0,0,01-JAN-91,01-JUN-92,,,,,"N","BUCHANAN","Non-MSA","Y","Y","Y"
42982019,4298,2019,"IA0110000","IA0110000","","N","N",,"I","BUENA VISTA","BUENA VISTA CO SO STORM LAKE","Buena Vista","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",9286,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",14,3,17,0,19,19,0,0,01-JAN-91,01-JAN-92,,,,,"N","BUENA VISTA","Non-MSA","Y","Y","Y"
42992019,4299,2019,"IA0110100","IA0110100","","N","N",,"I","STORM LAKE","STORM LAKE PD","Storm Lake","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",10430,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",16,0,16,3,4,7,0,0,01-JAN-91,01-JAN-92,,,,,"N","BUENA VISTA","Non-MSA","Y","Y","Y"
43002019,4300,2019,"IA0120000","IA0120000","","N","N",,"I","BUTLER","BUTLER CO SO ALLISON","Butler","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",12470,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",12,0,12,0,6,6,0,0,01-JAN-91,01-JAN-92,,,,,"N","BUTLER","Non-MSA","Y","Y","Y"
43012019,4301,2019,"IA0130000","IA0130000","","N","N",,"I","CALHOUN","CALHOUN CO SO ROCKWELL CITY","Calhoun","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",7946,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,5,12,0,0,0,0,0,01-JAN-91,01-JAN-92,,,,,"N","CALHOUN","Non-MSA","Y","Y","Y"
43022019,4302,2019,"IA0140000","IA0140000","","N","N",,"I","CARROLL","CARROLL CO SO CARROLL","Carroll","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",10197,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-91,01-JAN-92,,,,,"N","CARROLL","Non-MSA","Y","Y","Y"
43032019,4303,2019,"IA0140100","IA0140100","","N","N",,"I","CARROLL","CARROLL PD","Carroll","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",9775,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",14,0,14,1,1,2,0,0,01-JAN-91,01-JUN-92,,,,,"N","CARROLL","Non-MSA","Y","Y","Y"
43042019,4304,2019,"IA0150000","IA0150000","","N","N",,"I","CASS","CASS CO SO ATLANTIC","Cass","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","County",6232,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",9,0,9,0,3,3,0,0,01-JAN-91,01-JAN-92,,,,,"N","CASS","Non-MSA","Y","Y","Y"
43052019,4305,2019,"IA0150100","IA0150100","","N","N",,"I","ATLANTIC","ATLANTIC PD","Atlantic","","A",16,"Iowa","IA","IA","4","West North Central","2","Midwest","Region II","City",6514,23365,"IAUCR0001","Iowa Department of Public Safety Program Services Bureau","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,0,11,1,1,2,0,0,01-JAN-91,01-JAN-92,,,,,"N","CASS","Non-MSA","Y","Y","Y"
