"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,138714042,122024677,1,5,39,"M",1,,39,0
2019,138714051,122024687,1,5,50,"F",1,,50,0
2019,138714060,122024695,1,5,35,"M",1,,35,0
2019,138714066,122024697,2,5,29,"M",1,2,29,0
2019,138714065,122024697,1,5,25,"M",1,2,25,0
2019,138719157,122024711,0,,,"",,,,
2019,138714085,122033903,1,5,26,"M",3,2,26,0
2019,138720667,122033903,2,5,28,"M",1,1,28,0
2019,138714087,122024717,1,5,27,"M",1,,27,0
2019,138719178,122024722,1,5,57,"M",1,2,57,0
2019,138720692,122024723,1,5,38,"M",1,,38,0
2019,138714097,122024733,0,,,"",,,,
2019,138714099,122024736,1,5,53,"F",1,2,53,0
2019,138714102,122024737,1,5,24,"M",1,1,24,0
2019,138719199,122036739,0,,,"",,,,
2019,138720729,122024744,1,5,75,"M",1,2,75,0
2019,138719205,122024745,1,5,18,"M",1,,18,0
2019,138714110,122024749,1,5,26,"M",1,2,26,0
2019,138714112,122024751,1,5,44,"M",0,3,44,0
2019,138720750,122024752,1,5,19,"M",2,2,19,0
2019,135656516,119372971,1,5,17,"F",1,,17,0
2019,135656518,119372971,3,5,23,"M",1,,23,0
2019,135656517,119372971,2,5,20,"F",1,,20,0
2019,135661204,119376185,0,,,"",,,,
2019,135661220,119373022,1,5,20,"M",1,2,20,0
2019,135656596,119373036,0,,,"",,,,
2019,135656604,119373043,0,,,"",,,,
2019,135665271,119373058,0,,,"",,,,
2019,135661258,119373067,1,5,26,"M",1,,26,0
2019,135656644,119373084,0,,,"",,,,
2019,135661335,119373127,1,5,43,"M",1,,43,0
2019,135656723,119373153,1,5,55,"M",1,2,55,0
2019,135665408,119373157,1,5,44,"M",1,2,44,0
2019,135661401,119376356,1,5,28,"M",1,2,28,0
2019,135665455,119373180,1,4,,"M",0,3,,
2019,135656773,119373183,1,5,32,"F",1,2,32,0
2019,135665464,119373185,1,5,30,"M",1,2,30,0
2019,135656798,119373205,0,,,"",,,,
2019,135661562,119373292,1,5,29,"M",1,,29,0
2019,135656896,119373295,1,5,59,"F",1,2,59,0
2019,135661571,119369146,1,5,10,"M",0,3,10,0
2019,135665674,119376560,0,,,"",,,,
2019,135656982,119376583,1,5,20,"M",1,2,20,0
2019,135661702,119373382,1,5,18,"M",0,,18,0
2019,135661716,119373390,1,5,30,"M",1,,30,0
2019,135657056,119373424,2,5,68,"F",1,2,68,0
2019,135657055,119373424,1,5,36,"F",1,2,36,0
2019,135657069,119373432,1,5,17,"M",1,2,17,0
2019,135657115,119373472,0,,,"",,,,
2019,135661862,119373490,1,5,32,"F",1,1,32,0
2019,135661870,119369392,1,5,61,"F",1,,61,0
2019,135657143,119376721,1,5,49,"M",1,,49,0
2019,135657179,119369427,0,,,"",,,,
2019,135657182,119373526,1,5,17,"F",1,,17,0
2019,135665894,119369458,1,5,40,"M",1,,40,0
2019,135661996,119369501,1,5,20,"M",1,,20,0
2019,135665985,119376854,1,5,39,"M",1,2,39,0
2019,135662029,119376863,0,,,"",,,,
2019,135665998,119373591,1,5,43,"M",1,,43,0
2019,135666008,119369549,1,5,48,"M",1,2,48,0
2019,135657270,119373603,0,,,"",,,,
2019,135666024,119369566,1,5,52,"F",1,,52,0
2019,135662104,119369590,0,,,"",,,,
2019,135666047,119369593,1,5,15,"M",1,1,15,0
2019,135662124,119376924,0,,,"",,,,
2019,135666060,119373634,1,5,28,"M",1,,28,0
2019,135657307,119369611,2,5,32,"M",1,,32,0
2019,135657306,119369611,1,5,25,"F",1,,25,0
2019,135657318,119369624,0,,,"",,,,
2019,135666091,119373654,4,5,33,"F",1,,33,0
2019,135657335,119373663,1,5,36,"M",1,,36,0
2019,135662166,119376969,0,,,"",,,,
2019,135657347,119376972,1,5,18,"M",1,,18,0
2019,135666151,119369667,1,5,24,"M",2,,24,0
2019,135666158,119377005,1,5,15,"M",1,1,15,0
2019,135666178,119369684,0,,,"",,,,
2019,135666189,119373711,1,5,40,"M",1,2,40,0
2019,135657433,119369705,0,,,"",,,,
2019,135666210,119373738,0,,,"",,,,
2019,135662255,119369727,0,,,"",,,,
