"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
45302019,4530,2019,"ID0010000","ID0010000","","N","N",,"I","ADA","ADA CO SO BOISE","Ada","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","County",128136,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","Y",19,"9A","MSA counties 100,000 or over","9","MSA Counties","Y",3,"R","Y",152,271,423,15,282,297,0,0,01-JAN-92,01-AUG-92,01-AUG-92,01-SEP-18,01-MAR-18,01-AUG-19,"N","ADA","Boise City, ID","Y","Y","Y"
45312019,4531,2019,"ID0010100","ID0010100","","N","N",,"I","BOISE","BOISE PD","Boise","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",231314,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",263,16,279,35,71,106,0,0,01-JAN-92,01-MAY-92,01-NOV-10,01-MAR-18,01-MAR-18,01-SEP-18,"N","ADA","Boise City, ID","Y","Y","Y"
45322019,4532,2019,"ID0010200","ID0010200","","N","N",,"I","GARDEN CITY","GARDEN CITY PD","Garden City","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",12033,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,2,27,2,5,7,0,0,01-JAN-92,01-JAN-92,01-NOV-10,01-MAR-18,01-MAR-18,01-JUN-18,"N","ADA","Boise City, ID","Y","Y","Y"
45332019,4533,2019,"ID0010300","ID0010300","","N","N",,"I","MERIDIAN","MERIDIAN PD","Meridian","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",111196,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",6,"2","Cities from 100,000 thru 249,999","2","Cities from 100,000 thru 249,999","Y",1,"R","Y",104,6,110,8,27,35,0,0,01-JAN-92,01-JAN-92,01-JAN-92,01-MAY-18,01-MAR-18,01-APR-19,"N","ADA","Boise City, ID","Y","Y","Y"
45352019,4535,2019,"ID0020000","ID0020000","","N","N",,"I","ADAMS","ADAMS CO SO COUNCIL","Adams","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","County",4307,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,8,15,1,8,9,0,0,01-JAN-92,01-JAN-92,01-JAN-11,01-MAR-18,01-MAR-18,01-SEP-18,"N","ADAMS","Non-MSA","Y","Y","Y"
45372019,4537,2019,"ID0030000","ID0030000","","N","N",,"I","BANNOCK","BANNOCK CO SO POCATELLO","Bannock","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","County",16069,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","Y",21,"9C","MSA counties from 10,000 thru 24,999","9","MSA Counties","N",3,"R","Y",39,48,87,3,35,38,0,0,01-JAN-92,01-JAN-92,01-JAN-92,,01-MAY-18,,"N","BANNOCK","Pocatello, ID","Y","Y","Y"
45382019,4538,2019,"ID0030100","ID0030100","","N","N",,"I","CHUBBUCK","CHUBBUCK PD POCATELLO","Chubbuck","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",15490,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",20,3,23,2,11,13,0,0,01-JAN-92,01-JAN-92,01-JAN-92,01-APR-20,01-MAR-18,,"N","BANNOCK","Pocatello, ID","Y","Y","Y"
45392019,4539,2019,"ID0030200","ID0030200","","N","N",,"I","POCATELLO","POCATELLO PD","Pocatello","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",56514,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",7,"3","Cities from 50,000 thru 99,999","3","Cities from 50,000 thru 99,999","N",2,"R","Y",80,3,83,9,39,48,0,0,01-JAN-92,01-DEC-92,01-DEC-92,01-APR-19,01-MAR-18,,"N","POWER; BANNOCK","Pocatello, ID","Y","Y","Y"
45422019,4542,2019,"ID0040000","ID0040000","","N","N",,"I","BEAR LAKE","BEAR LAKE CO SO PARIS","Bear Lake","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","County",3573,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","Y",7,2,9,1,4,5,0,0,01-JAN-92,01-JAN-93,01-JAN-93,01-MAR-18,01-MAR-18,,"N","BEAR LAKE","Non-MSA","Y","Y","Y"
45432019,4543,2019,"ID0040100","ID0040100","","N","N",,"I","MONTPELIER","MONTPELIER PD","Montpelier","","A",17,"Idaho","ID","ID","8","Mountain","4","West","Region IV","City",2514,23366,"IDUCR0001","Idaho State Police Bureau of Criminal Identification","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",4,0,4,1,1,2,0,0,01-JAN-92,01-AUG-92,01-AUG-92,01-MAR-18,01-MAR-18,,"N","BEAR LAKE","Non-MSA","Y","Y","Y"
