"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,120338858,1,1,12801984
2019,16,120339080,13.7,1,12802033
2019,12,120339080,0.5,1,12802032
2019,4,120339080,0.5,1,12802031
2019,5,120364751,2,1,12766273
2019,17,120364790,0.1,9,12795032
2019,5,120363374,0.5,1,12795033
2019,4,120364793,0.01,1,12795034
2019,8,120364906,20,9,12766305
2019,1,120363480,10.4,1,12795059
2019,5,120363480,3,1,12795060
2019,5,120369788,8.45,1,12802141
2019,12,120363485,1,1,12766308
2019,12,120364974,0.6,1,12766326
2019,12,120363590,0.02,7,12795096
2019,12,120365057,3.5,1,12795098
2019,12,120363822,1,1,12795162
2019,5,120363822,2,1,12766403
2019,5,120363854,17,1,12802246
2019,12,120363882,0.01,1,12802260
2019,5,120365298,0.7,1,12802265
2019,12,120365298,11,1,12802266
2019,12,120364157,1,7,12795244
2019,5,120366029,14,1,12766558
2019,12,120377269,0.5,1,12803064
2019,4,120373786,1,11,12767054
2019,12,120377306,0.2,1,12795881
2019,4,120377407,0.5,1,12795908
2019,7,120377435,3,9,12795916
2019,2,120377435,1,1,12795915
2019,8,120377435,20,1,12795917
2019,5,120377457,7.5,1,12795923
2019,12,120368347,0.1,1,12767086
2019,12,120374147,4,1,12803180
2019,17,120374147,1,1,12803181
2019,12,120377748,1,1,12796005
2019,8,120378159,1,9,12796100
2019,12,120374474,2,1,12803253
2019,12,120378288,,,12796123
2019,12,120378290,8,3,12767208
2019,17,120379617,0.38,1,12803281
2019,16,120379617,1.31,1,12803279
2019,12,120379622,4.7,1,12803284
2019,7,120378386,,,12796150
2019,4,120378469,2,9,12767227
2019,12,120379742,1,9,12803309
2019,16,120378550,1,9,12796185
2019,12,120378550,1,9,12803317
2019,12,120378597,1,1,12796193
2019,12,120379856,4,1,12803336
2019,8,120379856,0.5,9,12803335
2019,15,120378726,4,9,12767269
2019,8,120378726,2,9,12796233
2019,12,120369121,1,1,12796249
2019,15,120378813,3,9,12796257
2019,5,120378813,1,11,12767281
2019,5,120378829,1,3,12796267
2019,12,120378841,1,9,12796271
2019,17,120378867,16.5,9,12767303
2019,18,120378867,,,12796282
2019,5,120378867,42.65,1,12796281
2019,17,120378996,1,9,12803440
2019,4,120380249,1,1,12796318
2019,12,120380267,1,9,12803443
2019,12,120380591,0.01,1,12803509
2019,12,120379201,3,9,12796365
2019,1,120379232,2.4,1,12796368
2019,5,120380889,2,1,12796442
2019,12,120380889,0.01,9,12796443
2019,12,120380914,,,12807486
2019,4,120380929,2.7,1,12807494
2019,12,120380929,30.29,1,12807496
2019,5,120380929,1.4,1,12807495
2019,17,120385049,1,9,12807504
2019,12,120385049,2,1,12807502
