"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2019,131325036,115646113,1,5,49,"M",1,2,49,0
2019,131325038,115304281,1,5,25,"M",1,2,25,0
2019,131061943,115646121,1,5,37,"F",1,2,37,0
2019,131369994,115646135,1,5,35,"F",1,,35,0
2019,131062613,115646852,1,5,40,"M",1,2,40,0
2019,131325863,115646857,0,,,"",,,,
2019,131325896,115646880,1,5,11,"M",1,2,11,0
2019,131325898,115646884,0,,,"",,,,
2019,131325922,115646902,2,5,17,"M",1,,17,0
2019,131325921,115646902,1,5,50,"M",1,,50,0
2019,131370475,115656536,1,5,59,"F",1,,59,0
2019,131325929,115646911,0,,,"",,,,
2019,131325936,115646915,1,5,22,"F",1,,20,25
2019,131062702,115646924,0,,,"",,,,
2019,131325955,115646933,0,,,"",,,,
2019,131062744,115305016,1,5,10,"M",1,,10,0
2019,131325973,115646953,0,,,"",,,,
2019,131370508,115646961,1,5,27,"F",1,,27,0
2019,131370509,115656561,0,,,"",,,,
2019,131062766,115646963,0,,,"",,,,
2019,131062769,115305033,1,5,40,"M",1,,30,50
2019,131062771,115305034,0,,,"",,,,
2019,131325986,115646970,0,,,"",,,,
2019,131325989,115646972,0,,,"",,,,
2019,131370518,115305048,0,,,"",,,,
2019,131326004,115646985,2,4,,"F",0,3,,
2019,131326003,115646985,1,5,16,"F",0,3,16,0
2019,131326008,115646990,1,5,45,"M",1,2,45,0
2019,131326011,115646991,1,5,19,"M",1,2,19,0
2019,131326018,115647000,1,5,47,"M",1,,47,0
2019,131062817,115656587,0,,,"",,,,
2019,131370533,115647002,1,5,14,"M",1,2,14,0
2019,131326030,115647006,1,5,35,"F",1,,35,0
2019,131326032,115647008,0,,,"",,,,
2019,131326044,115647014,0,,,"",,,,
2019,131326052,115656614,0,,,"",,,,
2019,131370550,115647022,1,5,24,"F",1,,24,0
2019,131370552,115305094,0,,,"",,,,
2019,131062857,115656627,1,5,68,"M",1,2,68,0
