"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
80832019,8083,2019,"ME0010100","ME0010100","","N","N",,"I","AUBURN","AUBURN PD","Auburn","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",23214,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",50,2,52,3,5,8,0,0,01-JUL-03,01-APR-07,,01-APR-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
80842019,8084,2019,"ME0010200","ME0010200","","N","N",,"I","LEWISTON","LEWISTON PD","Lewiston","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",35865,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",74,5,79,6,7,13,0,0,01-JUL-03,01-JAN-07,,01-APR-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
80862019,8086,2019,"ME0010500","ME0010500","","N","N",,"I","LISBON","LISBON POLICE DEPARTMENT","Lisbon","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",8975,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,3,15,2,3,5,0,0,01-JUL-03,01-APR-07,01-JAN-20,01-JUN-12,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
80882019,8088,2019,"ME0010700","ME0010700","","N","N",,"S","SABATTUS","SABATTUS PD","Sabattus","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",5064,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",6,0,6,2,1,3,0,0,01-JUL-03,01-JAN-20,01-JAN-20,01-FEB-20,,,"N","ANDROSCOGGIN","Lewiston-Auburn, ME","Y","Y","Y"
81132019,8113,2019,"ME0030600","ME0030600","","N","N",,"I","SOUTH PORTLAND","SOUTH PORTLAND PD SOUTH PORTLAND","South Portland","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",25686,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",44,2,46,8,4,12,0,0,01-JUL-03,01-JAN-05,01-FEB-05,01-APR-12,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81142019,8114,2019,"ME0030700","ME0030700","","N","N",,"I","SCARBOROUGH","SCARBOROUGH PD","Scarborough","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",20542,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",34,11,45,6,10,16,0,0,01-JUL-03,01-JAN-05,01-JAN-20,01-JUN-12,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81152019,8115,2019,"ME0030800","ME0030800","","N","N",,"I","WESTBROOK","WESTBROOK PD","Westbrook","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",19166,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",32,1,33,5,5,10,0,0,01-JUL-03,01-JUL-18,01-JAN-20,01-MAR-19,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81182019,8118,2019,"ME0031100","ME0031100","","N","N",,"I","FREEPORT","FREEPORT PD","Freeport","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",8593,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,2,2,4,0,0,01-JUL-03,01-APR-18,01-JAN-20,01-SEP-19,,,"N","CUMBERLAND","Portland-South Portland, ME","Y","Y","Y"
81272019,8127,2019,"ME0040000","ME0040000","","N","N",,"I","FRANKLIN","FRANKLIN CO SO FARMINGTON","Franklin","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","County",11860,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",15,"8C","Non-MSA counties from 10,000 thru 24,999","8","Non-MSA Counties","N",3,"R","Y",19,0,19,0,1,1,0,0,01-JUL-03,01-JAN-13,01-JAN-20,01-MAY-13,,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
81282019,8128,2019,"ME0040100","ME0040100","","N","N",,"I","FARMINGTON","FARMINGTON PD","Farmington","","A",25,"Maine","ME","ME","1","New England","1","Northeast","Region I","City",7603,23373,"MEUCR0001","Department of Public Safety Maine State Police Uniform Crime Reporting Division Records Management Services","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",9,0,9,1,1,2,0,0,01-JUL-03,01-JAN-13,01-JAN-20,01-MAY-13,,,"N","FRANKLIN","Non-MSA","Y","Y","Y"
