"DATA_YEAR","VICTIM_ID","INCIDENT_ID","VICTIM_SEQ_NUM","VICTIM_TYPE_ID","ASSIGNMENT_TYPE_ID","ACTIVITY_TYPE_ID","OUTSIDE_AGENCY_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_STATUS_CODE","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,92587876,88002290,1,5,2,6,10161,5,38,"M",1,3,"",,
2016,92573412,87980343,1,5,2,6,10161,5,55,"M",1,3,"",,
2016,92568166,87972155,1,5,2,6,10161,5,60,"F",1,3,"",,
2016,92630796,85364453,2,5,2,6,9962,5,31,"M",1,3,"",,
2016,92633213,85376395,1,5,2,6,9962,5,34,"M",1,3,"",,
2016,92634205,85380671,2,5,2,6,9962,5,34,"M",1,3,"",,
2016,92633604,85377600,1,5,2,6,9962,5,26,"M",1,3,"",,
2016,92588353,88003011,1,5,7,6,10161,5,44,"M",1,2,"",,
2016,92598701,88018694,1,5,7,11,10161,5,34,"M",1,3,"",,
2016,92569603,87974374,1,5,7,11,10161,5,42,"M",1,3,"",,
2016,92573779,87980809,1,5,7,11,10161,5,32,"M",1,3,"",,
2016,92599776,88020406,1,5,7,11,10161,5,33,"M",1,3,"",,
2016,92604152,88026996,1,5,6,6,10161,5,29,"M",1,2,"",,
2016,92574931,87982582,1,5,1,6,10161,5,37,"M",1,2,"",,
2016,92629670,85481393,1,5,7,6,9768,5,35,"F",1,2,"",,
2016,92630430,85085041,2,5,7,6,9809,5,27,"M",1,2,"",,
2016,92607167,88031975,1,5,7,6,10161,5,36,"M",1,2,"",,
2016,92594147,88011809,1,7,,,,,,"",,,"",,
2016,92588746,88003516,1,7,,,,,,"",,,"",,
2016,92588063,88002456,2,7,,,,,,"",,,"",,
2016,92588844,88003759,1,7,,,,,,"",,,"",,
2016,92591160,88007311,1,7,,,,,,"",,,"",,
2016,92595085,88013157,1,7,,,,,,"",,,"",,
2016,92591215,88007361,1,7,,,,,,"",,,"",,
2016,92591222,88007362,1,7,,,,,,"",,,"",,
2016,92592002,88008643,1,7,,,,,,"",,,"",,
2016,92596670,88015678,1,7,,,,,,"",,,"",,
2016,92591242,88007379,1,7,,,,,,"",,,"",,
2016,92592812,88009782,1,7,,,,,,"",,,"",,
2016,92593604,88010916,1,7,,,,,,"",,,"",,
2016,92588308,88002820,1,7,,,,,,"",,,"",,
2016,92595246,88013291,1,7,,,,,,"",,,"",,
2016,92597624,88017127,1,7,,,,,,"",,,"",,
2016,92590604,88006509,1,7,,,,,,"",,,"",,
2016,92594537,88012269,1,7,,,,,,"",,,"",,
2016,92593002,88010095,1,7,,,,,,"",,,"",,
2016,92593791,88011219,1,7,,,,,,"",,,"",,
2016,92588458,88003100,1,7,,,,,,"",,,"",,
2016,92592298,88009048,1,7,,,,,,"",,,"",,
2016,92593064,88010146,1,7,,,,,,"",,,"",,
2016,92596966,88016111,1,7,,,,,,"",,,"",,
2016,92595578,88013891,1,7,,,,,,"",,,"",,
2016,92590949,88006974,1,7,,,,,,"",,,"",,
2016,92573963,87981125,1,7,,,,,,"",,,"",,
2016,92573990,87981147,1,7,,,,,,"",,,"",,
2016,92565582,87968046,1,7,,,,,,"",,,"",,
2016,92567968,87971818,1,7,,,,,,"",,,"",,
2016,92572692,87979096,1,7,,,,,,"",,,"",,
2016,92565720,87968314,1,7,,,,,,"",,,"",,
2016,92566515,87969466,1,7,,,,,,"",,,"",,
2016,92572051,87978238,1,7,,,,,,"",,,"",,
2016,92573705,87980746,1,7,,,,,,"",,,"",,
2016,92571466,87977253,1,7,,,,,,"",,,"",,
