"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
95302016,9530,2016,"MO0130000","MO0130000","","N","N",,"S","CALDWELL","CALDWELL","Caldwell","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","County",5851,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",22,"9D","MSA counties under 10,000","9","MSA Counties","N",3,"R","Y",6,1,7,0,6,6,0,0,01-OCT-05,01-JAN-17,01-JAN-17,,01-MAR-17,01-MAR-17,"N","CALDWELL","Kansas City, MO-KS","Y","Y","Y"
95422016,9542,2016,"MO0150100","MO0150100","","N","N",,"I","CAMDENTON","CAMDENTON","Camdenton","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",3907,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,2,3,5,0,0,01-OCT-05,01-OCT-16,01-NOV-16,,01-NOV-16,01-NOV-16,"N","CAMDEN","Non-MSA","Y","Y","Y"
95942016,9594,2016,"MO0240400","MO0240400","","N","N",,"I","GLADSTONE","GLADSTONE","Gladstone","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",27138,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",8,"4","Cities from 25,000 thru 49,999","4","Cities from 25,000 thru 49,999","N",2,"R","Y",35,1,36,8,14,22,0,0,01-OCT-05,01-JUL-10,01-AUG-10,,01-MAR-13,01-MAR-13,"N","CLAY","Kansas City, MO-KS","Y","Y","Y"
95972016,9597,2016,"MO0240700","MO0240700","","N","N",,"I","NORTH KANSAS CITY","NORTH KANSAS CITY","North Kansas City","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",4387,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",32,3,35,2,8,10,0,0,01-OCT-05,01-OCT-16,01-NOV-16,,01-NOV-16,01-NOV-16,"N","CLAY","Kansas City, MO-KS","Y","Y","Y"
95982016,9598,2016,"MO0240800","MO0240800","","N","N",,"I","SMITHVILLE","SMITHVILLE","Smithville","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",9403,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,0,12,4,0,4,0,0,01-OCT-05,01-DEC-11,01-DEC-11,,01-JAN-13,01-JAN-13,"N","CLAY","Kansas City, MO-KS","Y","Y","Y"
97172016,9717,2016,"MO0480300","MO0480300","","N","N",,"I","GRAIN VALLEY","GRAIN VALLEY","Grain Valley","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",13484,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",18,0,18,3,4,7,0,0,01-OCT-05,01-FEB-06,01-JUL-06,,01-MAY-13,01-MAY-13,"N","JACKSON","Kansas City, MO-KS","Y","Y","Y"
97212016,9721,2016,"MO0480700","MO0480700","","N","N",,"I","LAKE LOTAWANA","LAKE LOTAWANA","Lake Lotawana","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",2029,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,1,6,1,1,2,0,0,01-OCT-05,01-APR-10,01-MAY-10,,01-APR-13,01-APR-13,"N","JACKSON","Kansas City, MO-KS","Y","Y","Y"
97232016,9723,2016,"MO0480900","MO0480900","","N","N",,"I","OAK GROVE","OAK GROVE","Oak Grove","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",7956,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",15,0,15,0,1,1,0,0,01-OCT-05,01-JUL-08,01-JUL-08,,01-MAR-13,01-MAR-13,"N","LAFAYETTE; JACKSON","Kansas City, MO-KS","Y","Y","Y"
97352016,9735,2016,"MO0490300","MO0490300","","N","N",,"I","CARTHAGE","CARTHAGE","Carthage","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",14300,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","Y",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",25,3,28,2,6,8,0,0,01-OCT-05,01-JAN-14,01-JAN-14,,01-JAN-14,01-JAN-14,"N","JASPER","Joplin, MO","Y","Y","Y"
97392016,9739,2016,"MO0490700","MO0490700","","N","N",,"I","JOPLIN","JOPLIN","Joplin","","A",28,"Missouri","MO","MO","4","West North Central","2","Midwest","Region II","City",52001,23376,"MOUCR0001","Missouri State Highway Patrol UCR Program Office CRID/CJIS Section","N",7,"3","Cities from 50,000 thru 99,000","3","Cities from 50,000 thru 99,000","N",2,"R","Y",95,16,111,7,28,35,0,0,01-OCT-05,01-MAY-10,01-JUN-10,,01-JAN-13,01-JAN-13,"N","NEWTON; JASPER","Joplin, MO","Y","Y","Y"
