"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,105793339,16,100,,113362969
2018,105793339,25,30,,113362971
2018,105809356,3,300,,113368866
2018,105804949,10,,,113364378
2018,105804949,11,15,,113368880
2018,105803383,4,100,,113364398
2018,105803383,13,2250,,113368889
2018,105804964,4,100,12-JAN-18,113364397
2018,105803383,7,800,,113364399
2018,105803383,49,250,,113373620
2018,105803385,10,,,113368891
2018,105809374,20,2700,,113368892
2018,105803409,24,8000,,113364440
2018,105803409,26,300,,113364441
2018,105805009,51,0,,113368929
2018,105805009,25,50,,113364453
2018,105805009,7,400,,113364451
2018,105809433,19,63,,113368967
2018,105803444,19,63,03-AUG-18,113364501
2018,105803459,10,,,113373710
2018,105803459,11,1,,113364523
2018,105803459,63,1,,113368978
2018,105809449,10,,,113368994
2018,105809449,11,1,,113368993
2018,105803530,61,2000,,113373788
2018,105803530,52,0,,113373790
2018,105803541,42,10000,,113373804
2018,105805209,10,,,113369102
2018,105809543,3,13000,,113369112
2018,105805226,11,1,,113364725
2018,105805226,10,,,113364728
2018,105803609,26,99,14-AUG-18,113369164
2018,105803610,26,99,,113373891
2018,105803632,51,0,,113364804
2018,105805276,10,,,113369183
2018,105805276,11,1,,113369182
2018,105805286,10,,,113369197
2018,105805317,11,1,,113364839
2018,105805317,10,,,113364840
2018,105803681,10,,,113373986
2018,105805348,10,,,113364885
2018,105803765,10,,,113364967
2018,105803765,11,4,,113374105
2018,105803775,11,2,,113364974
2018,105803775,10,,,113364975
2018,105809727,10,,,113374137
2018,105805417,10,,,113374149
2018,105805417,11,2,,113369389
2018,105805426,11,1,,113369400
2018,105805438,10,,,113365038
2018,105803902,10,,,113374324
2018,105803902,11,1,,113374323
2018,105803997,38,19,,113374461
2018,105804003,52,0,,113374469
2018,105804051,3,100,,113374542
2018,105804079,3,500,12-FEB-18,113374591
2018,105804078,3,1000,,113374590
2018,105805703,20,100,,113365367
2018,105804096,61,180,,113374613
2018,105804106,9,0,,113374625
2018,105804106,63,81,,113374624
2018,105805729,63,400,,113365394
2018,105809982,11,2,,113369734
2018,105810020,51,0,,113369786
2018,105810020,25,50,,113369784
2018,105810020,9,0,,113369785
2018,105810020,63,0,,113369787
2018,105810020,17,4000,,113369783
2018,105814150,35,50,,113374694
2018,105805770,63,1,,113365457
2018,105814167,22,0,,113374721
2018,105814167,9,0,,113374720
2018,105814167,6,80,,113374717
2018,105814167,63,2300,,113374716
2018,105814174,64,1,,113374733
2018,105814175,64,1,27-MAY-18,113374734
2018,105814177,19,25,,113374736
2018,105814182,11,11,,113374749
2018,105814182,10,,,113374750
2018,105805794,26,1,,113365489
2018,105805794,3,7000,,113365484
2018,105805794,36,1,,113365492
2018,105805794,63,13,,113365491
2018,105805794,16,6,,113365486
2018,105805794,43,3,,113365490
2018,105805794,6,1,,113365485
2018,105805794,17,1,,113365488
2018,105805794,7,1,,113365487
2018,105814199,25,1,,113374789
2018,105814199,61,1,,113374790
2018,105814199,21,1,,113374788
2018,105814199,51,0,,113374791
2018,105814199,20,200,,113374787
2018,105814216,10,,,113365512
2018,105810068,63,300,,113369841
2018,105810068,16,1150,,113369840
2018,105814240,3,200,,113374841
2018,105810097,21,498,,113369885
2018,105805897,63,1,,113369896
2018,105814272,24,1,13-AUG-18,113374890
2018,105814271,24,3000,,113374889
2018,105805907,63,503,,113365658
2018,105805907,16,800,,113365657
2018,105814278,3,3000,,113374903
2018,105814279,3,3000,26-JUN-18,113374904
2018,105810126,10,,,113369919
2018,105810126,11,1,,113369918
2018,105814283,34,200,,113374910
2018,105814284,63,150,,113374912
2018,105810145,3,1,,113369939
2018,105814297,51,0,,113374928
2018,105814297,22,0,,113374927
2018,105814297,25,35,,113365706
2018,105814297,9,0,,113365707
2018,105814300,63,140,23-JUL-18,113374931
2018,105814299,63,140,,113374930
2018,105805959,10,,,113374965
2018,105814319,6,4,25-JUL-18,113374970
2018,105814318,63,81,,113374967
2018,105814318,6,12,,113374968
2018,105814319,63,81,25-JUL-18,113374969
2018,105810199,13,100,,113370001
2018,105805984,61,600,,113365769
2018,105805983,3,100,,113365768
2018,105805985,20,10,,113365770
2018,105805993,9,0,,113365777
2018,105814332,20,200,,113374987
2018,105806009,20,47,,113365795
2018,105814346,20,33,,113375005
2018,105806021,20,33,28-JUL-18,113375006
2018,105806023,3,500,,113365820
2018,105814347,3,500,28-JUL-18,113375007
2018,105806024,29,1,,113365821
2018,105814368,38,100,,113370080
2018,105814369,42,100,,113375043
2018,105806060,63,200,,113365871
2018,105806135,63,20,,113370179
2018,105810356,20,1050,,113366028
2018,105810364,63,365,,113366041
2018,105814457,3,500,,113375159
2018,105810396,29,200,,113370304
2018,105814477,63,1,,113366106
2018,105810433,4,100,,113370345
2018,105810433,20,40,,113370346
2018,105810460,63,1,,113370386
2018,105810465,63,5625,,113375225
2018,105810488,3,1050,,113366139
2018,105814509,61,451,,113370490
2018,105810537,36,399,,113370505
2018,105810541,36,10,,113366174
2018,105806265,20,60,,113370521
2018,105814560,20,12,,113375320
2018,105806317,38,1,,113370637
2018,105806325,21,637,,113375344
2018,105806325,47,0,,113366266
2018,105814585,25,5,,113375346
2018,105814585,63,0,,113375350
2018,105814585,51,0,,113375348
2018,105814593,63,330,,113375360
2018,105815156,62,500,,113376175
2018,105815162,16,1,,113376183
2018,105811823,26,140,,113376205
2018,105811823,27,20,,113377405
2018,105811823,8,150,,113376204
2018,105811823,16,50,,113377404
2018,105807193,20,180,,113377478
2018,105798884,20,120,,113367538
2018,105798884,25,30,,113362966
2018,105798884,51,0,,113362967
2018,105802368,36,249,,113362972
2018,105802368,26,587,,113362970
2018,105802369,10,,,113372316
2018,105802369,11,1,,113367557
2018,105798916,63,230,,113362996
2018,105793376,36,500,,113372361
2018,105793376,63,2000,,113372359
2018,105802399,16,1,13-JUL-18,113372368
2018,105802400,16,1,,113372369
2018,105802402,63,100,,113363027
2018,105793391,6,76,,113367603
2018,105793390,6,76,16-JUL-18,113367602
2018,105798973,6,59,,113363063
2018,105798972,6,59,25-JUL-18,113372389
2018,105798972,19,25,25-JUL-18,113363062
2018,105798973,19,25,,113363064
2018,105799040,8,45,13-AUG-18,113372493
2018,105799040,9,0,13-AUG-18,113363159
2018,105802576,36,1000,,113363282
2018,105804143,20,60,,113363306
2018,105793553,6,129,,113367827
2018,105793555,6,129,13-AUG-18,113367830
2018,105802608,24,3000,,113363327
2018,105802608,38,3000,,113363328
2018,105802648,8,33,,113372682
2018,105804190,8,33,29-AUG-18,113363362
2018,105804226,57,2000,,113367927
2018,105802672,57,2000,,113367931
2018,105802715,3,1,,113363466
2018,105793670,3,5000,,113372790
2018,105802731,6,284,,113368015
2018,105802731,38,11,,113372795
2018,105802731,63,476,,113372796
2018,105802738,63,920,,113368020
2018,105804292,21,42,,113368026
2018,105804292,9,0,,113368025
2018,105804305,24,800,,113363529
2018,105793697,3,1000,10-AUG-18,113368050
2018,105793696,3,1000,,113363533
2018,105802760,42,1,,113363548
2018,105804367,54,700,,113372898
2018,105804418,6,565,,113368206
2018,105804421,38,350,,113368212
2018,105793814,10,,,113372991
2018,105802945,48,20000,,113368298
2018,105802947,11,1,,113368301
2018,105802947,10,,,113368302
2018,105802954,36,75,,113368320
2018,105802954,63,660,,113368319
2018,105793916,63,20,,113368353
2018,105793917,26,50,,113363824
2018,105802970,11,2,,113368360
2018,105802970,10,,,113368359
2018,105804563,39,1860,,113363841
2018,105793939,4,100,,113368374
2018,105802997,4,100,,113363862
2018,105793966,54,980,,113373196
2018,105793982,10,,,113368437
2018,105804632,9,0,,113373243
2018,105803064,51,0,,113363928
2018,105803076,6,12,,113368495
2018,105804654,10,,,113363956
2018,105804726,26,130,,113364041
2018,105803146,10,1,,113373341
2018,105794135,38,881,18-AUG-18,113368615
2018,105803169,3,1,,113373364
2018,105803178,24,300,,113364099
2018,105809162,10,,,113373378
2018,105804890,10,,,113364296
2018,105804890,63,0,,113364298
2018,105804890,11,2,,113364297
2018,105803308,3,2000,,113364308
2018,105803307,3,2000,23-AUG-18,113373524
2018,105805251,54,290,,113364773
2018,105803614,63,1,,113364793
2018,105803614,10,,,113364795
2018,105803614,11,1,,113373902
2018,105805293,10,,,113364819
2018,105803690,11,2,,113373996
2018,105809657,10,,,113374018
2018,105803709,10,,,113374024
2018,105805358,10,,,113374038
2018,105805358,11,3,,113374037
2018,105805373,10,,,113364918
2018,105805373,11,3,,113364917
2018,105809685,10,,,113364930
2018,105809685,11,2,,113369313
2018,105803747,10,,,113374091
2018,105805391,10,,,113369348
2018,105805391,11,2,,113369349
2018,105809718,10,,,113374120
2018,105809718,11,1,,113374119
2018,105803791,11,1,,113364991
2018,105803791,10,,,113364992
2018,105809733,11,1,,113369388
2018,105803807,10,,,113369409
2018,105809788,11,1,,113369473
2018,105803892,26,86,,113374305
2018,105809797,26,86,03-APR-18,113365126
2018,105810684,61,233,,113370709
2018,105814601,8,200,,113370744
2018,105806394,38,1,,113366347
2018,105814610,63,1,,113375383
2018,105806412,38,1,,113370788
2018,105806431,38,1,,113366389
2018,105810773,10,,,113375405
2018,105810773,11,1,,113366402
2018,105814642,11,1,,113375426
2018,105810800,63,1,,113375428
2018,105814656,63,10,,113375460
2018,105814656,7,600,,113376480
2018,105814656,6,50,,113375458
2018,105810832,38,1,,113370921
2018,105814726,63,50000,,113371136
2018,105810995,8,15,,113375576
2018,105806615,51,0,,113376647
2018,105811028,63,40,,113371198
2018,105811028,38,2800,,113371197
2018,105806637,20,40,,113375615
2018,105806637,51,0,,113375616
2018,105806637,9,0,,113371216
2018,105806637,25,200,,113371215
2018,105814775,10,,,113371236
2018,105811115,8,8,,113375669
2018,105806732,19,27,17-AUG-18,113375722
2018,105811166,19,27,,113371393
2018,105811200,2,11,,113376829
2018,105806752,2,11,18-AUG-18,113381438
2018,105811235,38,1,,113381485
2018,105806781,26,3500,,113381498
2018,105806781,2,5000,,113376874
2018,105806781,63,3200,,113381499
2018,105806785,37,20000,,113375755
2018,105811249,37,20000,20-AUG-18,113381519
2018,105806785,25,1,,113381518
2018,105811266,9,0,,113375771
2018,105811266,3,3000,,113375770
2018,105814874,3,1,21-AUG-18,113375775
2018,105811266,51,0,,113376902
2018,105811276,13,150,,113381553
2018,105814883,3,1500,,113375787
2018,105811287,3,1,23-AUG-18,113375788
2018,105811298,38,1,,113381575
2018,105806860,10,,,113376991
2018,105806864,58,1000,,113376996
2018,105806864,26,150,,113376997
2018,105806901,20,80,,113381763
2018,105806901,9,0,,113377049
2018,105806901,25,1,,113381764
2018,105806901,51,0,,113381765
2018,105814968,26,1200,,113375903
2018,105806922,63,719,,113375917
2018,105814979,7,2000,,113375921
2018,105814979,63,2310,,113375920
2018,105811508,38,1,,113381839
2018,105814999,38,1,,113377135
2018,105814999,3,1,,113377132
2018,105806964,6,2,,113377144
2018,105811560,36,1,,113381903
2018,105811606,20,500,,113377190
2018,105811637,63,41,,113376013
2018,105815055,10,,,113377231
2018,105811685,3,400,,113382099
