"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,106279009,1,
2018,106280366,1,
2018,106281506,9,
2018,123901697,1,
2018,125306129,2,
2018,106276391,6,
2018,106283877,9,
2018,106318692,1,
2018,106320280,10,
2018,106320281,10,
2018,106320282,10,
2018,106323180,10,
2018,106324071,10,
2018,106324066,10,
2018,106328041,1,
2018,106328045,1,
2018,106328911,9,
2018,106330976,10,
2018,106332001,10,
2018,106332121,1,
2018,106333312,10,
2018,106333311,10,
2018,106334039,10,
2018,106334051,10,
2018,106275450,9,
2018,106276196,1,
2018,123899823,10,
2018,123901592,10,
2018,123890644,10,
2018,125306142,2,
2018,125306144,2,
2018,125306135,2,
2018,125306141,2,
2018,125306134,2,
2018,125306138,2,
2018,125306146,2,
2018,125306140,2,
2018,125306137,2,
2018,125306136,2,
2018,125306139,2,
2018,125306143,2,
2018,125308508,1,
2018,125313741,10,
2018,125306236,10,
2018,125313814,10,
2018,125306326,10,
2018,125306325,10,
2018,124474428,1,
2018,105348277,10,
2018,105348614,10,
2018,105351780,9,
2018,105352478,10,
2018,105355942,10,
2018,120155988,10,
2018,123901629,1,
2018,123901624,1,
2018,123901628,1,
2018,123901627,10,
2018,123901625,1,
2018,123901622,1,
2018,123901630,10,
2018,105303732,1,
2018,105302040,1,
2018,105347552,1,
2018,105347855,10,
2018,105347865,10,
2018,105347846,10,
2018,105347880,10,
2018,105347882,10,
2018,105347878,10,
2018,105347871,10,
2018,105348026,1,
2018,105353210,1,
2018,105354540,10,
2018,105355778,10,
2018,105355771,10,
2018,105355783,10,
2018,105356265,9,
2018,105356542,1,
2018,105298889,1,
2018,105347409,10,
2018,105347377,10,
2018,105347368,10,
2018,105347400,10,
2018,105347405,10,
2018,105347389,10,
2018,105347371,10,
2018,105347381,10,
2018,105347411,10,
2018,105347535,10,
2018,105347526,10,
2018,105347551,10,
2018,105347540,10,
2018,105347791,10,
2018,105347788,10,
2018,105348323,10,
2018,105348300,2,
2018,105348307,2,
2018,105348317,2,
2018,105349369,1,
2018,105966450,1,
2018,105966615,10,
2018,105969189,10,
2018,105969185,10,
2018,105348196,9,
2018,105349051,10,
2018,105349244,10,
2018,105349241,10,
2018,105349445,10,
2018,105349439,10,
2018,105351857,1,
2018,105354459,1,
2018,105355740,10,
2018,105356252,10,
2018,105921382,1,
2018,105921372,1,
2018,105925431,10,
2018,105930669,9,
2018,105930668,9,
2018,106658634,10,
2018,106661062,1,
2018,106666332,6,
2018,106695663,1,
2018,106696400,1,
2018,106696637,1,
2018,106703201,10,
2018,106704074,10,
2018,109359774,6,
2018,109361153,1,
2018,109361767,10,
2018,109362206,10,
2018,109358336,10,
2018,109362526,1,
2018,109362665,1,
2018,109363042,6,
2018,109358941,10,
2018,109365728,1,
2018,109359144,1,
2018,109363289,6,
2018,109359403,6,
2018,105912622,1,
2018,105921816,1,
2018,105921820,1,
2018,105925251,10,
2018,105958240,9,
2018,105961050,10,
2018,105961057,10,
2018,105971637,1,
2018,105973979,1,
2018,105974141,1,
2018,106656038,6,
2018,106658551,6,
2018,106668955,10,
2018,106685962,10,
2018,106685963,10,
2018,106685965,10,
2018,106685964,10,
2018,106686041,10,
2018,106686042,10,
2018,106686045,1,
2018,106686043,1,
2018,106686224,1,
2018,106686215,1,
2018,106686221,1,
2018,106686218,1,
2018,106686223,1,
2018,106686222,1,
2018,106687332,9,
2018,106701758,10,
2018,106703721,10,
2018,106704023,9,
2018,106655257,6,
2018,106655952,1,
2018,106655960,1,
2018,106657413,6,
2018,106657992,1,
2018,106658003,1,
2018,106661070,10,
2018,106661279,1,
2018,106684255,10,
2018,106684251,10,
2018,106684252,10,
2018,106685794,10,
2018,106686364,10,
2018,106687466,9,
2018,106695503,1,
2018,106698438,1,
2018,106704688,10,
2018,106704682,10,
2018,106704685,10,
2018,111291758,10,
2018,111287543,1,
2018,111291926,10,
2018,111291927,10,
2018,111291928,10,
2018,111291935,10,
2018,111296368,10,
2018,111296371,10,
2018,111287707,10,
2018,111292319,1,
2018,111292330,9,
2018,111292331,9,
2018,111293067,1,
2018,111293192,1,
2018,111293249,10,
2018,111290524,9,
2018,111292628,10,
2018,111292659,10,
2018,111288317,1,
2018,111297228,10,
2018,111292813,10,
2018,111288493,10,
2018,111288494,10,
2018,111288641,10,
2018,111293129,1,
2018,111293236,10,
2018,111288957,10,
2018,112359105,1,
2018,112364344,1,
2018,112356025,1,
2018,112366243,6,
2018,112376643,10,
2018,112376685,10,
2018,112372516,10,
2018,112368926,9,
2018,112368923,9,
2018,106687237,10,
2018,106689685,1,
2018,106695750,1,
2018,106695799,10,
2018,106696510,1,
2018,106698792,9,
2018,106699285,10,
2018,106700987,1,
2018,106701620,1,
2018,106703246,1,
2018,106704767,10,
2018,111279531,1,
2018,111279530,1,
2018,111285511,1,
2018,111285731,10,
2018,111290455,1,
2018,111286486,2,
2018,111290559,2,
2018,111293495,9,
2018,110750130,1,
2018,110754068,10,
2018,110750331,10,
2018,110761292,10,
2018,110761304,10,
2018,110757746,3,
2018,110762301,3,
2018,111291845,10,
2018,111291839,9,
2018,111291840,9,
2018,111296262,10,
2018,111291853,10,
2018,111296285,10,
2018,111296286,10,
2018,111292111,10,
2018,111292184,10,
2018,111292283,1,
2018,111292394,10,
2018,111297011,10,
2018,111288184,10,
2018,111292525,10,
2018,111292574,10,
2018,111288232,10,
2018,111292573,10,
2018,111292748,1,
2018,122814440,2,
2018,122814433,10,
2018,122814441,2,
2018,122814435,10,
2018,122809836,10,
2018,122814436,10,
2018,122810801,1,
2018,122815467,10,
2018,122815468,10,
2018,122815466,10,
2018,122815465,10,
2018,122815469,10,
2018,122817775,1,
2018,122815611,10,
2018,122815624,10,
2018,122815623,10,
2018,106655321,1,
2018,106662215,8,
2018,106664349,9,
2018,106666916,1,
2018,106684304,10,
2018,106684418,10,
2018,106684424,10,
2018,106684415,10,
2018,106684416,10,
2018,106684422,10,
2018,106684420,10,
2018,106684616,1,
2018,106685225,1,
2018,106686040,1,
2018,106686195,10,
2018,106694242,9,
2018,106694240,9,
2018,106694239,9,
2018,106697865,9,
2018,106699688,10,
2018,106703638,9,
2018,106704148,1,
2018,109362773,1,
2018,109362805,10,
2018,109365629,9,
2018,109363059,10,
2018,109359106,6,
2018,109363459,10,
2018,109359451,10,
2018,109353211,10,
2018,109355778,10,
2018,109360400,1,
2018,109362791,10,
2018,109362924,10,
2018,109362925,10,
2018,109358907,1,
2018,109365741,1,
2018,109359138,10,
2018,109365865,10,
2018,109365890,9,
2018,109359244,10,
2018,109359341,10,
2018,112366807,1,
2018,112359888,1,
2018,112371732,10,
2018,112371750,1,
2018,112371752,1,
2018,112371751,1,
2018,112371761,10,
2018,112371760,10,
2018,112360975,9,
2018,112360974,9,
2018,112371765,10,
2018,112371775,10,
2018,112371772,10,
2018,112371774,10,
2018,109359749,6,
2018,109355604,6,
2018,109361670,10,
2018,109357483,10,
2018,109361695,10,
2018,109361817,1,
2018,109357617,10,
2018,109357714,1,
2018,109364908,10,
2018,112371805,1,
2018,109362532,9,
2018,109362531,1,
2018,112371771,10,
2018,112371773,10,
2018,112371776,10,
2018,109362848,10,
2018,109362969,10,
2018,112361012,10,
2018,112372112,10,
2018,112368239,10,
2018,112376617,10,
2018,112368746,10,
2018,112368804,10,
2018,112368845,1,
2018,112368920,1,
2018,112368917,1,
2018,112369033,1,
2018,112369034,9,
2018,112369075,10,
2018,112376797,10,
2018,112372623,10,
2018,112372649,10,
2018,109359740,9,
2018,109361013,9,
2018,109356735,9,
2018,109356817,1,
2018,109361592,10,
2018,109354603,10,
2018,109357349,10,
2018,109357350,10,
2018,109354602,10,
2018,109361615,10,
2018,109361614,10,
2018,109361621,10,
2018,109357491,10,
2018,109362028,10,
2018,109362054,10,
2018,109357983,10,
2018,109362421,1,
2018,109362448,10,
2018,109365307,1,
2018,109362468,10,
2018,109362571,10,
2018,109363464,9,
2018,109360343,1,
2018,109355812,6,
2018,109353778,10,
2018,109364706,1,
2018,109364707,1,
2018,109357496,1,
2018,109364728,1,
2018,109361757,10,
2018,109357549,10,
2018,109364776,9,
2018,109364775,9,
2018,109361964,10,
2018,109362081,10,
2018,109362083,10,
2018,109362168,1,
2018,109362232,1,
2018,109362380,1,
2018,109365339,10,
2018,109365340,10,
2018,109359464,1,
2018,109360569,9,
2018,109360272,6,
2018,110751943,1,
2018,110748198,1,
2018,110744019,1,
2018,110745055,1,
2018,109356494,6,
2018,109356496,9,
2018,109354594,10,
2018,109357370,10,
2018,109357372,10,
2018,109357371,10,
2018,109354617,10,
2018,109354616,10,
2018,109354619,10,
2018,109357387,10,
2018,109361617,10,
2018,109361618,9,
2018,109361636,10,
2018,109361760,10,
2018,109361761,9,
2018,109361812,1,
2018,109361810,1,
2018,109364785,1,
2018,109361834,10,
2018,109361858,10,
2018,109361859,10,
2018,109362156,5,
