"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,11221992,9515,10,2019,"U",31-JAN-20,"Y","F","C","2019_10_MO0100000_NIBRS",71072702,0
2019,11221993,9515,11,2019,"U",31-JAN-20,"Y","F","C","2019_11_MO0100000_NIBRS",70643454,0
2019,11221994,9515,12,2019,"U",31-JAN-20,"Y","F","C","2019_12_MO0100000_NIBRS",71072703,0
2019,8144989,9594,1,2019,"I",,"Y","G","C","2019_01_MO0240400_NIBRS",68374116,0
2019,8152651,9594,2,2019,"I",,"Y","G","C","2019_02_MO0240400_NIBRS",50820676,0
2019,8160313,9594,3,2019,"I",,"Y","G","C","2019_03_MO0240400_NIBRS",70645602,0
2019,8167975,9594,4,2019,"I",,"Y","G","C","2019_04_MO0240400_NIBRS",68378372,0
2019,8175637,9594,5,2019,"I",,"Y","G","C","2019_05_MO0240400_NIBRS",69850797,0
2019,8183299,9594,6,2019,"I",,"Y","G","C","2019_06_MO0240400_NIBRS",68352362,0
2019,8190961,9594,7,2019,"I",,"Y","G","C","2019_07_MO0240400_NIBRS",68175124,0
2019,8198623,9594,8,2019,"I",,"Y","G","C","2019_08_MO0240400_NIBRS",70641116,0
2019,8206285,9594,9,2019,"I",,"Y","G","C","2019_09_MO0240400_NIBRS",68349657,0
2019,8213947,9594,10,2019,"I",,"Y","G","C","2019_10_MO0240400_NIBRS",70645587,0
2019,8221609,9594,11,2019,"I",,"Y","G","C","2019_11_MO0240400_NIBRS",70641108,0
2019,8229271,9594,12,2019,"I",,"Y","G","C","2019_12_MO0240400_NIBRS",70645567,0
2019,8145011,10040,1,2019,"U",,"Y","G","C","2019_01_MO0955200_NIBRS",,0
2019,8152673,10040,2,2019,"U",,"Y","G","C","2019_02_MO0955200_NIBRS",,0
2019,8144998,9735,1,2019,"I",,"Y","G","C","2019_01_MO0490300_NIBRS",71074597,0
2019,8152660,9735,2,2019,"I",,"Y","G","C","2019_02_MO0490300_NIBRS",47031528,0
2019,8160322,9735,3,2019,"I",,"Y","G","C","2019_03_MO0490300_NIBRS",71076942,0
2019,8167984,9735,4,2019,"I",,"Y","G","C","2019_04_MO0490300_NIBRS",71074559,0
2019,8144994,9714,1,2019,"I",,"Y","G","C","2019_01_MO0480000_NIBRS",56525082,0
2019,8152656,9714,2,2019,"I",,"Y","G","C","2019_02_MO0480000_NIBRS",49598026,0
2019,8160318,9714,3,2019,"I",,"Y","G","C","2019_03_MO0480000_NIBRS",49588812,0
2019,8167980,9714,4,2019,"I",,"Y","G","C","2019_04_MO0480000_NIBRS",49588798,0
2019,8175642,9714,5,2019,"I",,"Y","G","C","2019_05_MO0480000_NIBRS",50830304,0
2019,8183304,9714,6,2019,"I",,"Y","G","C","2019_06_MO0480000_NIBRS",56535500,0
2019,8190966,9714,7,2019,"I",,"Y","G","C","2019_07_MO0480000_NIBRS",60719086,0
2019,8198628,9714,8,2019,"I",,"Y","G","C","2019_08_MO0480000_NIBRS",60713085,0
2019,8206290,9714,9,2019,"U",,"Y","G","C","2019_09_MO0480000_NIBRS",,0
2019,8213952,9714,10,2019,"I",,"Y","G","C","2019_10_MO0480000_NIBRS",60713086,0
2019,8221614,9714,11,2019,"I",,"Y","G","C","2019_11_MO0480000_NIBRS",68181653,0
2019,8229276,9714,12,2019,"I",,"Y","G","C","2019_12_MO0480000_NIBRS",70652821,0
2019,11220753,9992,7,2019,"U",31-JAN-20,"Y","F","C","2019_07_MO0950200_NIBRS",68362530,0
2019,11218661,9992,11,2019,"U",31-JAN-20,"Y","F","C","2019_11_MO0950200_NIBRS",68362526,0
2019,11218660,9992,12,2019,"U",31-JAN-20,"Y","F","C","2019_12_MO0950200_NIBRS",68362523,0
2019,11220733,9679,1,2019,"U",31-JAN-20,"Y","F","C","2019_01_MO0390300_NIBRS",68372423,0
2019,8144981,9523,1,2019,"I",,"Y","G","C","2019_01_MO0110100_NIBRS",70923816,0
2019,8152643,9523,2,2019,"I",,"Y","G","C","2019_02_MO0110100_NIBRS",70923658,0
2019,8160305,9523,3,2019,"I",,"Y","G","C","2019_03_MO0110100_NIBRS",71257441,0
2019,8144999,9739,1,2019,"I",,"Y","G","C","2019_01_MO0490700_NIBRS",71074919,0
2019,8152661,9739,2,2019,"I",,"Y","G","C","2019_02_MO0490700_NIBRS",71074604,0
2019,8160323,9739,3,2019,"I",,"Y","G","C","2019_03_MO0490700_NIBRS",71075023,0
2019,8167985,9739,4,2019,"I",,"Y","G","C","2019_04_MO0490700_NIBRS",71076979,0
2019,8175647,9739,5,2019,"I",,"Y","G","C","2019_05_MO0490700_NIBRS",71074649,0
2019,8183309,9739,6,2019,"I",,"Y","G","C","2019_06_MO0490700_NIBRS",70654144,0
2019,8190971,9739,7,2019,"I",,"Y","G","C","2019_07_MO0490700_NIBRS",71077000,0
2019,8198633,9739,8,2019,"I",,"Y","G","C","2019_08_MO0490700_NIBRS",71074724,0
2019,8206295,9739,9,2019,"I",,"Y","G","C","2019_09_MO0490700_NIBRS",71074760,0
2019,8213957,9739,10,2019,"I",,"Y","G","C","2019_10_MO0490700_NIBRS",71074793,0
2019,8221619,9739,11,2019,"I",,"Y","G","C","2019_11_MO0490700_NIBRS",71074839,0
2019,8229281,9739,12,2019,"I",,"Y","G","C","2019_12_MO0490700_NIBRS",71077063,0
2019,8145009,9964,1,2019,"I",,"Y","G","C","2019_01_MO0920500_NIBRS",68384027,0
2019,8152671,9964,2,2019,"I",,"Y","G","C","2019_02_MO0920500_NIBRS",58759591,0
2019,11795951,9583,9,2019,"U",17-MAR-20,"Y","F","C","2019_09_MO0220200_NIBRS",69389587,0
2019,11220723,9583,11,2019,"U",31-JAN-20,"Y","F","C","2019_11_MO0220200_NIBRS",68352282,0
2019,10949294,9583,12,2019,"I",06-JAN-20,"Y","F","C","2019_12_MO0220200_NIBRS",70645501,0
2019,8145015,10161,1,2019,"I",,"Y","G","C","2019_01_MOKPD0000_NIBRS",71261876,0
2019,8152677,10161,2,2019,"I",,"Y","G","C","2019_02_MOKPD0000_NIBRS",71258660,0
2019,8160339,10161,3,2019,"I",,"Y","G","C","2019_03_MOKPD0000_NIBRS",71082500,0
2019,8168001,10161,4,2019,"I",,"Y","G","C","2019_04_MOKPD0000_NIBRS",71082556,0
2019,8175663,10161,5,2019,"I",,"Y","G","C","2019_05_MOKPD0000_NIBRS",71258689,0
2019,8183325,10161,6,2019,"I",,"Y","G","C","2019_06_MOKPD0000_NIBRS",71258997,0
2019,8144992,9614,1,2019,"I",,"Y","G","C","2019_01_MO0260100_NIBRS",71073927,0
2019,8152654,9614,2,2019,"I",,"Y","G","C","2019_02_MO0260100_NIBRS",68361534,0
2019,8160316,9614,3,2019,"I",,"Y","G","C","2019_03_MO0260100_NIBRS",68378970,0
2019,8167978,9614,4,2019,"I",,"Y","G","C","2019_04_MO0260100_NIBRS",71073881,0
2019,8175640,9614,5,2019,"I",,"Y","G","C","2019_05_MO0260100_NIBRS",71073871,0
2019,8183302,9614,6,2019,"I",,"Y","G","C","2019_06_MO0260100_NIBRS",71073893,0
2019,8190964,9614,7,2019,"I",,"Y","G","C","2019_07_MO0260100_NIBRS",70646182,0
2019,8198626,9614,8,2019,"I",,"Y","G","C","2019_08_MO0260100_NIBRS",70646171,0
2019,8206288,9614,9,2019,"I",,"Y","G","C","2019_09_MO0260100_NIBRS",70641522,0
2019,8213950,9614,10,2019,"I",,"Y","G","C","2019_10_MO0260100_NIBRS",71073901,0
2019,8221612,9614,11,2019,"I",,"Y","G","C","2019_11_MO0260100_NIBRS",71073966,0
2019,8145001,9760,1,2019,"I",,"Y","G","C","2019_01_MO0510300_NIBRS",70921103,0
2019,8152663,9760,2,2019,"I",,"Y","G","C","2019_02_MO0510300_NIBRS",70921117,0
2019,8160325,9760,3,2019,"I",,"Y","G","C","2019_03_MO0510300_NIBRS",70925710,0
2019,8167987,9760,4,2019,"I",,"Y","G","C","2019_04_MO0510300_NIBRS",70921139,0
2019,8175649,9760,5,2019,"I",,"Y","G","C","2019_05_MO0510300_NIBRS",70921152,0
2019,8183311,9760,6,2019,"I",,"Y","G","C","2019_06_MO0510300_NIBRS",68380101,0
2019,8190973,9760,7,2019,"I",,"Y","G","C","2019_07_MO0510300_NIBRS",70921162,0
2019,8198635,9760,8,2019,"I",,"Y","G","C","2019_08_MO0510300_NIBRS",70921175,0
2019,8206297,9760,9,2019,"I",,"Y","G","C","2019_09_MO0510300_NIBRS",70921185,0
2019,8213959,9760,10,2019,"I",,"Y","G","C","2019_10_MO0510300_NIBRS",70921194,0
2019,11222027,9990,12,2019,"U",31-JAN-20,"Y","F","C","2019_12_MO0950000_NIBRS",70662093,0
2019,8145007,9962,1,2019,"I",,"Y","G","C","2019_01_MO0920300_NIBRS",69399452,0
2019,8464896,9660,1,2019,"I",28-JAN-19,"Y","F","C","2019_01_MO0360000_NIBRS",70646999,0
