"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7135386,10450,1,2016,"I",,"N","F","C","2016_01_MT0180000_NIBRS",,0
2016,7158170,10450,2,2016,"I",,"Y","F","C","2016_02_MT0180000_NIBRS",13068778,0
2016,7180954,10450,3,2016,"I",,"N","F","C","2016_03_MT0180000_NIBRS",,0
2016,7203738,10450,4,2016,"I",,"Y","F","C","2016_04_MT0180000_NIBRS",8507993,0
2016,7226522,10450,5,2016,"I",,"Y","F","C","2016_05_MT0180000_NIBRS",7601087,0
2016,7249306,10450,6,2016,"I",,"N","F","C","2016_06_MT0180000_NIBRS",,0
2016,7272090,10450,7,2016,"I",,"N","F","C","2016_07_MT0180000_NIBRS",,0
2016,7294874,10450,8,2016,"I",,"N","F","C","2016_08_MT0180000_NIBRS",,0
2016,7317658,10450,9,2016,"I",,"Y","F","C","2016_09_MT0180000_NIBRS",8508024,0
2016,7340442,10450,10,2016,"I",,"N","F","C","2016_10_MT0180000_NIBRS",,0
2016,7363226,10450,11,2016,"I",,"N","F","C","2016_11_MT0180000_NIBRS",2266873,0
2016,7386010,10450,12,2016,"I",,"Y","F","C","2016_12_MT0180000_NIBRS",21444021,0
2016,7135391,10455,1,2016,"I",,"Y","F","C","2016_01_MT0210100_NIBRS",4723589,0
2016,7158175,10455,2,2016,"I",,"Y","F","C","2016_02_MT0210100_NIBRS",2278636,0
2016,7180959,10455,3,2016,"I",,"Y","F","C","2016_03_MT0210100_NIBRS",9704904,0
2016,7203743,10455,4,2016,"I",,"Y","F","C","2016_04_MT0210100_NIBRS",2277455,0
2016,7226527,10455,5,2016,"I",,"Y","F","C","2016_05_MT0210100_NIBRS",15515003,0
2016,7249311,10455,6,2016,"I",,"Y","F","C","2016_06_MT0210100_NIBRS",12151634,0
2016,7272095,10455,7,2016,"I",,"Y","F","C","2016_07_MT0210100_NIBRS",11423148,0
2016,7294879,10455,8,2016,"I",,"Y","F","C","2016_08_MT0210100_NIBRS",10630341,0
2016,7317663,10455,9,2016,"I",,"Y","F","C","2016_09_MT0210100_NIBRS",6766017,0
2016,7340447,10455,10,2016,"I",,"Y","F","C","2016_10_MT0210100_NIBRS",6765894,0
2016,7363231,10455,11,2016,"I",,"Y","F","C","2016_11_MT0210100_NIBRS",15515097,0
2016,7386015,10455,12,2016,"I",,"Y","F","C","2016_12_MT0210100_NIBRS",12151766,0
2016,7135393,10457,1,2016,"I",,"Y","F","C","2016_01_MT0220000_NIBRS",2252777,0
2016,7158177,10457,2,2016,"I",,"Y","F","C","2016_02_MT0220000_NIBRS",2252855,0
2016,7180961,10457,3,2016,"I",,"Y","F","C","2016_03_MT0220000_NIBRS",5587348,0
2016,7203745,10457,4,2016,"I",,"Y","F","C","2016_04_MT0220000_NIBRS",2252905,0
2016,7226529,10457,5,2016,"I",,"Y","F","C","2016_05_MT0220000_NIBRS",2252929,0
2016,7249313,10457,6,2016,"I",,"Y","F","C","2016_06_MT0220000_NIBRS",2252978,0
2016,7272097,10457,7,2016,"I",,"Y","F","C","2016_07_MT0220000_NIBRS",2253043,0
2016,7294881,10457,8,2016,"I",,"Y","F","C","2016_08_MT0220000_NIBRS",4718924,0
2016,7317665,10457,9,2016,"I",,"Y","F","C","2016_09_MT0220000_NIBRS",2253121,0
2016,7340449,10457,10,2016,"I",,"N","F","C","2016_10_MT0220000_NIBRS",2253196,0
2016,7363233,10457,11,2016,"I",,"Y","F","C","2016_11_MT0220000_NIBRS",5587375,0
2016,7386017,10457,12,2016,"I",,"N","F","C","2016_12_MT0220000_NIBRS",2253275,0
2016,7135363,10427,1,2016,"I",,"N","F","C","2016_01_MT0090100_NIBRS",,0
2016,7158147,10427,2,2016,"I",,"Y","F","C","2016_02_MT0090100_NIBRS",,0
2016,7180931,10427,3,2016,"I",,"N","F","C","2016_03_MT0090100_NIBRS",,0
2016,7203715,10427,4,2016,"I",,"Y","F","C","2016_04_MT0090100_NIBRS",8507359,0
2016,7226499,10427,5,2016,"I",,"Y","F","C","2016_05_MT0090100_NIBRS",3474411,0
2016,7249283,10427,6,2016,"I",,"Y","F","C","2016_06_MT0090100_NIBRS",27985606,0
2016,7272067,10427,7,2016,"I",,"Y","F","C","2016_07_MT0090100_NIBRS",10610178,0
2016,7294851,10427,8,2016,"I",,"Y","F","C","2016_08_MT0090100_NIBRS",27985616,0
2016,7317635,10427,9,2016,"I",,"Y","F","C","2016_09_MT0090100_NIBRS",10610005,0
2016,7340419,10427,10,2016,"I",,"Y","F","C","2016_10_MT0090100_NIBRS",12108039,0
2016,7363203,10427,11,2016,"I",,"Y","F","C","2016_11_MT0090100_NIBRS",10609830,0
2016,7385987,10427,12,2016,"I",,"Y","F","C","2016_12_MT0090100_NIBRS",15490803,0
2016,7135368,10432,1,2016,"I",,"Y","F","C","2016_01_MT0120000_NIBRS",7634721,0
2016,7158152,10432,2,2016,"I",,"Y","F","C","2016_02_MT0120000_NIBRS",16774956,0
2016,7180936,10432,3,2016,"I",,"Y","F","C","2016_03_MT0120000_NIBRS",5622513,0
2016,7203720,10432,4,2016,"I",,"Y","F","C","2016_04_MT0120000_NIBRS",5622622,0
2016,7226504,10432,5,2016,"I",,"Y","F","C","2016_05_MT0120000_NIBRS",13043490,0
2016,7249288,10432,6,2016,"I",,"Y","F","C","2016_06_MT0120000_NIBRS",9740310,0
2016,7272072,10432,7,2016,"I",,"Y","F","C","2016_07_MT0120000_NIBRS",12151350,0
2016,7294856,10432,8,2016,"I",,"Y","F","C","2016_08_MT0120000_NIBRS",7634663,0
2016,7317640,10432,9,2016,"I",,"Y","F","C","2016_09_MT0120000_NIBRS",7634479,0
2016,7340424,10432,10,2016,"I",,"Y","F","C","2016_10_MT0120000_NIBRS",27998578,0
2016,7363208,10432,11,2016,"I",,"Y","F","C","2016_11_MT0120000_NIBRS",16774895,0
2016,7385992,10432,12,2016,"I",,"Y","F","C","2016_12_MT0120000_NIBRS",12151282,0
2016,7135446,10510,1,2016,"I",,"Y","F","C","2016_01_MT0450000_NIBRS",27999492,0
2016,7158230,10510,2,2016,"I",,"Y","F","C","2016_02_MT0450000_NIBRS",17911727,0
2016,7181014,10510,3,2016,"I",,"Y","F","C","2016_03_MT0450000_NIBRS",11422059,0
2016,7203798,10510,4,2016,"I",,"Y","F","C","2016_04_MT0450000_NIBRS",23017511,0
2016,7226582,10510,5,2016,"I",,"Y","F","C","2016_05_MT0450000_NIBRS",27991010,0
2016,7249366,10510,6,2016,"I",,"Y","F","C","2016_06_MT0450000_NIBRS",12155192,0
2016,7272150,10510,7,2016,"I",,"Y","F","C","2016_07_MT0450000_NIBRS",17911666,0
