"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,124955460,101344959,49,"C",20,,"N"
2018,124950595,101344957,35,"C",13,,""
2018,124950605,101344969,47,"C",5,,""
2018,124955465,101344970,21,"C",20,,""
2018,124955464,101344965,47,"C",20,,""
2018,124946419,101344973,47,"C",18,,""
2018,124946416,101344973,51,"C",20,,""
2018,124950610,101344976,27,"C",20,,""
2018,126876038,103028232,5,"C",18,,""
2018,124946429,101344996,45,"C",12,,""
2018,124950634,101335030,35,"C",13,,""
2018,124950633,101335030,16,"C",13,,""
2018,124955483,101335030,39,"C",13,,""
2018,124955488,101345005,45,"C",23,,""
2018,124950653,101345006,56,"C",20,,""
2018,126870701,103031636,16,"C",3,,""
2018,126881892,103031645,5,"C",18,,""
2018,126870726,103023404,45,"C",20,,""
2018,124950665,101345022,45,"C",14,,""
2018,124946457,101346968,45,"C",20,,""
2018,124950678,101335050,14,"C",5,,""
2018,124946462,101345026,45,"C",3,,""
2018,124955520,101335057,45,"C",12,,""
2018,124946471,101345038,45,"C",8,,""
2018,124946472,101345042,16,"C",13,,""
2018,124950700,101346982,27,"C",13,,""
2018,124950697,101346981,45,"C",8,,""
2018,124946485,101345052,45,"C",8,,""
2018,124946484,101335066,23,"C",8,,""
2018,124950715,101345057,21,"C",25,,""
2018,124955532,101345058,16,"C",13,,""
2018,124955535,101345061,27,"C",15,,""
2018,124950721,101345064,47,"C",8,,""
2018,124950723,101345065,47,"C",8,,""
2018,124950734,101345073,56,"C",20,,""
2018,124950731,101345075,5,"C",7,,""
2018,124950730,101345075,51,"C",7,,""
2018,124946495,101345078,5,"C",18,,""
2018,124950740,101345080,16,"C",24,,""
2018,124950747,101345084,49,"C",20,,"F"
2018,124950755,101345088,5,"C",13,,""
2018,124955550,101347001,16,"C",13,,""
2018,124950744,101347008,49,"C",20,,"N"
2018,124946498,101347008,5,"C",20,,""
2018,124955555,101345093,23,"C",20,,""
2018,124950762,101335087,51,"C",23,,""
2018,124946505,101345097,45,"C",24,,""
2018,124955564,101345104,23,"C",12,,""
2018,124950770,101345103,28,"C",35,,""
2018,124950773,101347016,49,"C",13,,"N"
2018,124950774,101347016,21,"C",13,,""
2018,124946515,101347024,14,"C",18,,""
2018,124955574,101345113,23,"C",24,,""
2018,124955576,101345115,5,"C",18,,""
2018,124946519,101345117,27,"C",20,,""
2018,124946520,101345118,45,"C",36,,""
2018,124950792,101345118,5,"C",36,,""
2018,124950790,101335103,5,"C",8,,""
2018,124955578,101335103,51,"C",8,,""
2018,124955581,101345125,14,"C",13,,""
2018,124946524,101347031,14,"C",13,,""
2018,124946526,101347035,47,"C",13,,""
2018,124955587,101345129,51,"C",20,,""
2018,124955588,101347037,5,"C",13,,""
2018,124950810,101345134,5,"C",13,,""
2018,124950818,101335115,16,"C",20,,""
2018,124950826,101335120,23,"C",7,,""
2018,124950827,101345139,51,"C",46,,""
2018,124946538,101345141,27,"C",20,,""
2018,124950833,101345142,35,"C",20,,""
2018,124946543,101347048,21,"C",20,,""
2018,124946548,101347054,47,"C",20,,""
2018,124955595,101345147,16,"C",42,,""
2018,124950852,101345152,14,"C",13,,""
2018,124955600,101335135,21,"C",20,,""
2018,124950856,101345163,14,"C",24,,""
2018,124950869,101347064,51,"C",20,,""
2018,124955616,101335147,23,"C",7,,""
2018,124950870,101345173,5,"C",13,,""
2018,124946570,101335150,23,"C",13,,""
2018,124946571,101335150,45,"C",13,,""
2018,124955623,101347075,14,"C",16,,""
2018,124955630,101335161,27,"C",46,,""
2018,124955629,101345182,23,"C",5,,""
2018,124946584,101345183,49,"C",20,,"N"
2018,124955639,101345184,5,"C",20,,""
2018,124955633,101335164,47,"C",20,,""
2018,124950891,101347083,23,"C",24,,""
2018,124946587,101347087,5,"C",25,,""
2018,124946586,101347087,49,"C",25,,"F"
2018,124950897,101345191,45,"C",25,,""
2018,124955645,101335173,23,"C",8,,""
2018,124950904,101335177,5,"C",20,,""
2018,124955650,101347092,23,"C",12,,""
2018,124946594,101335179,16,"C",13,,""
2018,124946595,101335179,35,"C",13,,""
2018,124950916,101335183,21,"C",13,,""
2018,124946603,101345207,5,"C",10,,""
2018,124950917,101345207,14,"C",10,,""
2018,124950919,101345208,14,"C",13,,""
2018,124946605,101345210,51,"C",20,,""
2018,124950923,101347095,14,"C",14,,""
2018,124950924,101345212,49,"C",20,,"N"
2018,124955659,101345225,21,"C",21,,""
2018,124946632,101347103,36,"C",20,,""
2018,124950938,101345232,37,"C",14,,""
2018,124955662,101335198,27,"C",12,,""
2018,124950943,101347107,51,"C",20,,""
2018,124950956,101335203,27,"C",12,,""
2018,124950955,101335205,45,"C",5,,""
2018,124950957,101345242,14,"C",8,,""
2018,124946644,101345243,35,"C",13,,""
2018,124950965,101335208,45,"C",20,,""
2018,124955679,101347121,45,"C",24,,""
2018,124950966,101347121,11,"C",24,,""
2018,124946650,101345252,5,"C",20,,""
2018,124950975,101347128,35,"C",20,,""
2018,124950974,101347128,16,"C",20,,""
2018,124946655,101345256,14,"C",13,,""
2018,124955693,101345257,23,"C",8,,""
2018,124955701,101347137,5,"C",24,,""
2018,124946661,101347137,21,"C",24,,""
2018,124946665,101345268,36,"C",3,,""
2018,124946666,101347145,45,"C",12,,""
2018,124955709,101345274,45,"C",20,,""
2018,124946672,101335232,37,"C",25,,""
2018,124951012,101347156,27,"C",13,,""
2018,124946684,101335235,5,"C",5,,""
2018,124955717,101345282,45,"C",46,,""
2018,124946691,101345285,5,"C",14,,""
2018,124951025,101345288,51,"C",13,,""
2018,124946695,101345288,27,"C",13,,""
2018,124951031,101345290,35,"C",8,,""
2018,124951043,101345296,49,"C",20,,"N"
2018,124955739,101345302,23,"C",12,,""
2018,124955738,101345302,51,"C",12,,""
2018,124955740,101345304,14,"C",13,,""
2018,124955745,101347189,5,"C",20,,""
2018,124951053,101347190,16,"C",20,,""
2018,124946710,101335250,35,"C",47,,""
2018,124951056,101335250,16,"C",20,,""
2018,124951060,101335251,35,"C",20,,""
2018,124946715,101345313,16,"C",20,,""
2018,124955754,101347198,16,"C",1,,""
2018,124951095,101345341,51,"C",13,,""
2018,124951102,101345347,51,"C",11,,""
2018,124946743,101335269,23,"C",8,,""
2018,124946746,101345354,16,"C",11,,""
2018,124955783,101345354,35,"C",11,,""
2018,124946757,101335276,23,"C",8,,""
2018,124955789,101347228,47,"C",20,,""
2018,124951114,101347228,5,"C",20,,""
2018,124955788,101347228,49,"C",20,,"F"
2018,124951116,101335277,14,"C",20,,""
2018,124951118,101345365,23,"C",24,,""
2018,124951124,101345367,56,"C",20,,""
2018,124946763,101345368,44,"C",20,,""
2018,124946767,101345376,49,"C",7,,"N"
2018,124951134,101335287,5,"C",20,,""
2018,124955801,101347240,5,"C",20,,""
2018,124946768,101345380,49,"C",18,,"N"
2018,124951142,101345385,49,"C",7,,"N"
2018,124946779,101345392,45,"C",25,,""
2018,124946786,101335297,45,"C",20,,""
2018,124955812,101345400,45,"C",20,,""
2018,124955815,101347259,49,"C",20,,"N"
2018,124955820,101345409,16,"C",41,,""
2018,124955827,101345413,2,"C",3,,""
2018,124955826,101345413,45,"C",3,,""
2018,124955833,101335307,5,"C",20,,""
2018,124946798,101345421,5,"C",18,,""
2018,124955841,101335315,51,"C",20,,""
2018,124955842,101335315,5,"C",20,,""
2018,124946807,101347283,16,"C",3,,""
2018,124955844,101347285,5,"C",12,,""
2018,124951188,101347290,5,"C",24,,""
2018,124955849,101347290,23,"C",24,,""
2018,124951191,101335328,2,"C",43,,""
2018,124951193,101345429,63,"A",24,,""
2018,124951194,101345430,14,"C",20,,""
2018,124955860,101335335,45,"C",24,,""
2018,124951290,101345513,5,"C",18,,""
2018,124946893,101347371,45,"C",11,,""
2018,124946902,101345527,23,"C",23,,""
2018,124951316,101345534,23,"C",8,,""
2018,124946921,101347393,14,"C",18,,""
2018,124951323,101345542,47,"C",21,,""
2018,124955961,101345554,44,"C",13,,""
2018,124951337,101345557,51,"C",18,,""
2018,124951341,101345558,21,"C",13,,""
2018,124951372,101345595,5,"C",20,,""
2018,124946960,101345603,49,"C",24,,"N"
2018,124951429,101335477,45,"C",3,,""
2018,124951479,101347491,45,"C",13,,""
