"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2019,121150361,11,1,,133670787
2019,121150360,20,1,,133670785
2019,121151098,4,200,,133671840
2019,121146358,20,188,,133671852
2019,121151141,43,100,,133677386
2019,121146388,7,50,,133671935
2019,121146388,63,20,,133671933
2019,121146388,20,56,,133677412
2019,121146388,10,20,,133677411
2019,121151163,62,50,,133671949
2019,121151163,63,250,,133671948
2019,121151162,38,200,,133671947
2019,121151171,47,0,,133671957
2019,121151174,47,0,,133671960
2019,121151173,47,0,31-AUG-19,133671959
2019,121146410,20,40,,133677431
2019,121151181,37,500,,133671969
2019,121146414,3,3000,,133677435
2019,121151184,38,35,,133671975
2019,121151188,38,200,,133671978
2019,121151190,3,30000,15-OCT-19,133677441
2019,121146418,3,30000,,133677443
2019,121151196,36,570,,133671988
2019,121151198,20,526,,133671990
2019,121151209,23,30,,133672004
2019,121151209,60,300,,133672003
2019,121151215,63,20,,133672010
2019,121151215,51,0,,133672016
2019,121151215,9,0,,133672013
2019,121151215,61,350,,133672011
2019,121146429,63,5000,09-SEP-19,133672018
2019,121151217,38,200,,133677464
2019,121151217,63,5200,,133677463
2019,121151234,26,50,,133675140
2019,121151242,63,150,,133672060
2019,121151242,60,400,,133672061
2019,121151246,36,250,,133672065
2019,121151245,36,250,23-SEP-19,133672064
2019,121146451,19,19,,133677498
2019,121151257,10,150,,133672087
2019,121151254,47,0,22-AUG-19,133672075
2019,121146457,63,50,,133672082
2019,121146457,61,220,,133672083
2019,121146457,47,0,,133672079
2019,121146457,25,360,,133672077
2019,121146457,16,96,,133672080
2019,121146457,51,0,,133672084
2019,121151253,63,2450,,133672072
2019,121146457,20,10,,133672078
2019,121146457,9,0,,133672081
2019,121151254,51,0,22-AUG-19,133672074
2019,121151254,9,0,29-AUG-19,133672073
2019,121146457,6,355,,133672085
2019,121151255,38,200,,133672076
2019,121146463,38,1,,133677516
2019,121154743,60,100,,133674969
2019,121150820,7,80,,133671440
2019,121150824,2,12,13-OCT-19,133674972
2019,121150825,2,12,,133671445
2019,121150877,20,1010,,133671522
2019,121150885,11,1,,133671531
2019,121150885,10,,,133671532
2019,121150882,6,29,07-SEP-19,133667200
2019,121150883,6,29,,133671530
2019,121150893,30,1,,133671550
2019,121154764,4,50,,133674998
2019,121146257,11,10,,133667224
2019,121146257,10,,,133667225
2019,121150923,3,3000,,133671589
2019,121150922,3,3000,29-JUL-19,133671588
2019,121150934,50,50,,133671607
2019,121150938,36,299,,133671617
2019,121146264,20,1000,,133667235
2019,121154790,23,1600,,133675034
2019,121150964,3,400,,133671649
2019,121150980,36,2170,,133675049
2019,121154798,63,30,,133675051
2019,121150983,34,10,,133671669
2019,121146277,66,6,,133667247
2019,121146277,11,2,,133667246
2019,121150985,3,1500,,133671674
2019,121150994,3,2500,,133671688
2019,121150993,3,2500,21-AUG-19,133671687
2019,121150996,25,10,,133675058
2019,121150998,24,500,,133671691
2019,121151000,50,119,,133671693
2019,121151014,35,15,,133671711
2019,121154817,11,1,,133675074
2019,121154818,63,4000,,133671733
2019,121154818,3,15000,,133675075
2019,121151026,20,4000,,133671735
2019,121151025,9,0,20-OCT-19,133675076
2019,121154819,20,20,,133671736
2019,121151028,11,1,,133667284
2019,121151028,10,,,133675078
2019,121154819,9,0,,133675077
2019,121154819,7,30,,133671737
2019,121151025,7,30,20-OCT-19,133667283
2019,121151033,62,115,,133667286
2019,121151033,36,30,,133671746
2019,121151033,20,80,,133671745
2019,121151033,25,20,,133671747
2019,121151033,9,0,,133667287
2019,121151054,63,1000,,133671778
2019,121151054,3,1,,133671779
2019,121154835,3,5500,,133675095
2019,121154833,3,5500,18-AUG-19,133675093
2019,121150375,62,20,,133674819
2019,121150375,13,279,,133674820
2019,121154684,10,,,133666928
2019,121154684,11,1,,133671105
2019,121146019,37,1,,133666935
2019,121150612,63,321,,133671133
2019,121150612,36,102,,133666952
2019,121150612,6,200,,133666951
2019,121150625,36,550,,133671155
2019,121146090,42,500,,133667029
2019,121150715,63,1,,133671275
2019,121146128,4,1100,,133667076
2019,121150721,3,1,,133671284
2019,121154725,9,0,,133674945
2019,121154725,61,1,,133671285
2019,121146139,3,1,,133667086
2019,121146141,63,1,,133667088
2019,121150779,63,1000,,133671374
2019,121150805,11,2,,133671412
2019,121146219,36,800,,133667180
2019,121146340,11,1,,133677346
2019,121146340,10,,,133677347
2019,121146359,63,700,,133675120
2019,121151110,63,700,04-OCT-19,133671851
2019,121151115,49,400,28-MAR-19,133671861
2019,121151118,63,150,,133671865
2019,121151118,13,500,,133671870
2019,121151118,49,400,,133671868
2019,121151118,61,100,,133671867
2019,121151123,10,,,133677375
2019,121151131,36,3368,,133677380
2019,121146565,11,1,,133677643
2019,121146565,10,,,133677645
2019,121151429,16,6,,133672318
2019,121151429,63,5,,133672316
2019,121151429,6,7,,133672317
2019,121151432,38,1,,133672325
2019,121151713,36,635,,133682717
2019,121151711,65,800,14-OCT-19,133682712
2019,121151711,43,1,14-OCT-19,133682708
2019,121151713,43,31,,133682716
2019,121151711,63,10,16-OCT-19,133682707
2019,121151713,17,50,,133682714
2019,121151726,2,22,,133682741
2019,121151745,20,30000,,133682779
2019,121151748,3,1300,03-OCT-19,133682784
2019,121146841,3,1300,,133682786
2019,121154907,51,0,04-OCT-19,133675218
