"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,121145992,0.47,1,13005321
2019,12,121151085,0.55,1,13000253
2019,3,121151157,0.05,1,13005459
2019,11,121151195,1,9,13005462
2019,2,121152459,0.4,1,13005635
2019,5,121147298,13.9,1,13000408
2019,12,121155048,2.009,1,13000428
2019,17,121152661,2.1,1,13005678
2019,12,121152687,4,9,13005683
2019,12,121147533,19.47,1,13005687
2019,5,121147533,28,1,13005686
2019,5,121152811,4.2,1,13005704
2019,5,121152825,1,9,13000469
2019,16,121150443,4,5,13005302
2019,12,121150443,0.3,1,13005301
2019,8,121150495,,,13005314
2019,12,121150660,0.001,1,13000211
2019,12,121146134,0.95,1,13000225
2019,11,121150801,0.001,1,13005397
2019,5,121151712,,,13000324
2019,5,121151765,6,1,12995174
2019,16,121154915,9,9,12995179
2019,8,121151919,2,9,13005577
2019,11,121152061,15.9,1,13000360
2019,5,121152164,0.8,1,13005614
2019,5,121154971,1,11,13000382
2019,12,121155007,0.001,1,12995196
2019,16,121152648,1,1,12995207
2019,5,121147519,2.3,1,13000462
2019,5,121146357,2,1,13000258
2019,5,121151187,7.7,1,13005461
2019,12,121151268,0.001,1,13005466
2019,5,121151268,23,1,13005467
2019,5,121151282,56,1,13005469
2019,15,121146733,4,9,13000313
2019,12,121146733,13.2,1,13000311
2019,14,121146733,16,9,13000312
2019,5,121146784,1,1,13000320
2019,12,121146912,,,13000342
2019,5,121146938,12,1,13005578
2019,12,121146938,0.49,1,13000344
2019,12,121146938,1,9,13005579
2019,5,121152273,8.4,1,13000378
2019,5,121147176,0.001,1,13000381
2019,5,120287038,0.2,1,12793036
2019,12,120301720,0.05,1,12800628
2019,5,120301755,1,11,12793063
2019,5,120287370,0.25,1,12793102
2019,12,120287382,1,9,12763824
2019,18,120287382,,,12763826
2019,12,120287382,5.9,1,12763825
2019,5,120287412,11.3,1,12763856
2019,5,120302369,3,1,12763907
2019,12,120287788,2,1,12793182
2019,5,120321847,12.1,1,12793186
2019,12,120287801,0.3,1,12793188
2019,5,120302445,1,1,12763917
2019,12,120320461,108.7,1,12800604
2019,16,120320461,15,9,12800605
2019,18,120320461,,,12800606
2019,12,120320491,0.104,1,12763749
2019,9,120287375,0.2,1,12793104
2019,12,120287375,2.71,1,12793105
2019,5,120301994,9.71,1,12793106
2019,5,120321034,7.5,1,12800703
2019,12,120321108,0.001,1,12800719
2019,5,120321231,2,1,12800750
2019,12,120287522,1,11,12793140
2019,4,120287538,,,12793141
2019,8,120287538,,,12793142
2019,5,120287549,6.3,1,12800781
2019,12,120321465,0.01,1,12800784
2019,5,120302301,4,10,12763896
2019,12,120321562,1,1,12800790
2019,3,120321653,1,1,12800808
2019,5,120287699,0.01,1,12793166
2019,5,120287707,10,1,12793167
2019,5,120287782,8,4,12793181
2019,12,120287782,1,1,12793180
2019,5,120287798,1,1,12793187
2019,5,120287802,1,1,12793189
2019,5,120321858,4.2,1,12793193
2019,12,120287859,2.55,1,12793199
2019,5,120321888,6.1,1,12763918
2019,5,120301260,1,1,12763676
2019,13,120286715,1,9,12792935
2019,12,120286715,1,1,12763690
2019,5,120286715,2,1,12763689
2019,12,120286802,0.001,1,12763703
2019,12,120301427,0.001,1,12763718
2019,4,120301427,0.001,1,12763719
2019,5,120301427,2,1,12763717
2019,3,120301448,,,12763724
2019,5,120301448,,,12763725
2019,12,120286976,1,11,12793016
2019,8,120286976,1,11,12793015
2019,12,120287198,0.27,1,12793069
2019,5,120320916,29.9,1,12763801
2019,5,120320944,2.08,1,12763806
2019,5,120320999,3.9,1,12800690
2019,5,120287352,13.8,1,12793099
2019,5,120302177,1,9,12763877
2019,5,120287508,3,9,12793135
2019,5,120302231,1,11,12763891
2019,5,120302285,1,1,12763895
2019,16,120287775,0.15,1,12793179
2019,5,120321843,1,1,12763912
2019,5,120287808,7.2,1,12793192
2019,5,120287826,6,9,12793196
2019,5,120287867,25.7,1,12793200
2019,12,120321900,1,9,12763922
2019,5,120287886,1,9,12793203
