"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2016,96603307,99687060,16,29107988
2016,96604650,99688465,20,29108275
2016,96605110,99688912,15,29108368
2016,96605315,99689098,24,29108415
2016,96605315,99689100,16,29108414
2016,96606170,99690003,3,29108565
2016,96606818,99690662,1,29108658
2016,96612125,99696165,3,29109947
2016,96610307,99694355,16,29109479
2016,96608317,99692255,15,29109023
2016,96608310,99692255,15,29109022
2016,96608307,99692255,15,29109020
2016,96608469,99692421,1,29109051
2016,96608472,99692421,1,29109053
2016,96608655,99692602,3,29109088
2016,96608695,99692644,1,29109097
2016,96609202,99693196,3,29109214
2016,96609938,99693942,1,29109420
2016,96609938,99693940,1,29109422
2016,96609938,99693938,1,29109419
2016,96609938,99693943,1,29109417
2016,96610311,99694355,16,29109481
2016,96610902,99694962,18,29109643
2016,96613624,99697669,21,29110352
2016,96613668,99697703,14,29110369
2016,96614722,99698744,1,29110653
2016,96614722,99698741,1,29110652
2016,96615683,99699677,21,29110915
2016,96620336,99704286,5,29112149
2016,96620366,99704286,3,29112161
2016,96620366,99704288,17,29112168
2016,96620336,99704288,15,29112151
2016,96620333,99704286,5,29112146
2016,96620333,99704288,16,29112148
2016,96620809,99704752,1,29112326
2016,96621760,99705774,1,29112596
2016,96616630,99700580,3,29111118
2016,96616637,99700577,3,29111126
2016,96616637,99700580,25,29111124
2016,96616630,99700577,25,29111120
2016,96616832,99700817,3,29111192
2016,96618329,99702302,1,29111582
2016,96620781,99704727,24,29112315
2016,96620790,99704741,15,29112321
2016,96620790,99704738,15,29112319
2016,96623613,99707680,3,29113024
2016,96623640,99707709,24,29113032
2016,97178447,100274358,20,29289128
2016,97180356,100276321,3,29289821
2016,97139753,100235516,9,29277587
2016,97140003,100235758,16,29277672
2016,97140000,100235758,16,29277671
2016,97142016,100237902,1,29278162
2016,97142041,100237934,9,29278168
2016,97142978,100238911,12,29278404
2016,97182280,100278352,18,29290466
2016,97182292,100278362,1,29290471
2016,97140025,100235788,16,29277680
2016,97141643,100237482,16,29278034
2016,97141643,100237485,16,29278031
2016,97142297,100238181,24,29278236
2016,97142501,100238401,17,29278284
2016,97142497,100238401,16,29278282
2016,97142536,100238442,3,29278290
2016,97142184,100238066,18,29278217
2016,97142445,100238341,19,29278274
2016,97142548,100238448,24,29278294
2016,97142566,100238469,16,29278297
2016,97144078,100240018,3,29278697
2016,97147361,100243320,3,29279688
2016,97149610,100245587,3,29280343
2016,97148890,100244875,3,29280111
2016,97152971,100248822,21,29281463
2016,97153080,100248929,24,29281512
2016,97152721,100248565,3,29281401
2016,97152738,100248596,16,29281403
2016,97153395,100249253,1,29281636
2016,97154865,100250721,3,29282173
2016,97155946,100251859,3,29282523
2016,97155571,100251458,16,29282434
2016,97155581,100251461,16,29282438
2016,97155571,100251461,13,29282435
2016,97155581,100251458,13,29282436
2016,97156899,100252937,1,29282812
2016,97157199,100253258,3,29282903
2016,97157958,100254010,3,29283115
2016,97158581,100254633,3,29283232
2016,97144158,100240086,17,29278721
2016,97144148,100240086,16,29278720
2016,97146992,100242939,1,29279550
2016,97147081,100243027,24,29279585
2016,97147149,100243101,16,29279610
2016,97147149,100243099,21,29279609
2016,97147151,100243101,21,29279612
2016,97147151,100243099,16,29279611
2016,97154308,100250155,24,29281976
2016,97147557,100243516,3,29279755
2016,97148742,100244729,3,29280076
2016,97157831,100253874,3,29283069
2016,97153931,100249758,1,29281828
2016,97160721,100256807,9,29283888
2016,97161203,100257200,3,29284017
2016,97161203,100257196,16,29284015
2016,97161192,100257196,3,29284000
2016,97161192,100257200,16,29284002
2016,97164000,100259898,24,29285010
2016,97166884,100262766,17,29285748
2016,97166897,100262766,19,29285749
2016,97167804,100263735,16,29285986
2016,97167804,100263736,21,29285987
2016,97172575,100268499,1,29287085
2016,97172575,100268505,1,29287087
2016,97174239,100270159,24,29287572
2016,97174242,100270159,24,29287573
2016,97179751,100275711,1,29289599
2016,97143016,100238949,18,29278417
2016,97146861,100242775,17,29279493
2016,97149550,100245526,3,29280320
2016,97150133,100246108,24,29280515
2016,97147441,100243395,16,29279720
2016,97147444,100243394,16,29279721
2016,97147444,100243395,3,29279722
2016,97147441,100243394,3,29279719
2016,97150385,100246363,19,29280607
2016,97152949,100248803,1,29281456
2016,97152921,100248770,1,29281448
2016,97153960,100249778,3,29281834
2016,97155225,100251081,3,29282319
2016,97155638,100251517,1,29282447
2016,97156828,100252843,3,29282779
2016,97156828,100252839,16,29282777
2016,97156813,100252843,16,29282773
2016,97156813,100252839,3,29282772
2016,97161760,100257785,14,29284186
2016,97158131,100254183,3,29283145
2016,97159365,100255419,1,29283440
