"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7136746,11827,1,2016,"U",,"N","F","C","2016_01_NDDI01900_NIBRS",,0
2016,7159530,11827,2,2016,"U",,"N","F","C","2016_02_NDDI01900_NIBRS",,0
2016,7182314,11827,3,2016,"U",,"N","F","C","2016_03_NDDI01900_NIBRS",,0
2016,7205098,11827,4,2016,"U",,"N","F","C","2016_04_NDDI01900_NIBRS",,0
2016,7227882,11827,5,2016,"U",,"N","F","C","2016_05_NDDI01900_NIBRS",,0
2016,7250666,11827,6,2016,"U",,"N","F","C","2016_06_NDDI01900_NIBRS",,0
2016,7273450,11827,7,2016,"U",,"N","F","C","2016_07_NDDI01900_NIBRS",,0
2016,7296234,11827,8,2016,"U",,"N","F","C","2016_08_NDDI01900_NIBRS",,0
2016,7319018,11827,9,2016,"U",,"N","F","C","2016_09_NDDI01900_NIBRS",,0
2016,7341802,11827,10,2016,"U",,"N","F","C","2016_10_NDDI01900_NIBRS",,0
2016,7364586,11827,11,2016,"U",,"N","F","C","2016_11_NDDI01900_NIBRS",,0
2016,7387370,11827,12,2016,"U",,"N","F","C","2016_12_NDDI01900_NIBRS",,0
2016,7136658,11739,1,2016,"I",,"N","F","C","2016_01_ND0180800_NIBRS",,0
2016,7159442,11739,2,2016,"I",,"Y","F","C","2016_02_ND0180800_NIBRS",6187265,0
2016,7182226,11739,3,2016,"I",,"Y","F","C","2016_03_ND0180800_NIBRS",6721456,0
2016,7205010,11739,4,2016,"I",,"Y","F","C","2016_04_ND0180800_NIBRS",6187117,0
2016,7227794,11739,5,2016,"I",,"Y","F","C","2016_05_ND0180800_NIBRS",3568449,0
2016,7250578,11739,6,2016,"I",,"Y","F","C","2016_06_ND0180800_NIBRS",3568362,0
2016,7273362,11739,7,2016,"I",,"Y","F","C","2016_07_ND0180800_NIBRS",9699291,0
2016,7296146,11739,8,2016,"I",,"Y","F","C","2016_08_ND0180800_NIBRS",8506859,0
2016,7318930,11739,9,2016,"I",,"Y","F","C","2016_09_ND0180800_NIBRS",6721079,0
2016,7341714,11739,10,2016,"I",,"Y","F","C","2016_10_ND0180800_NIBRS",6721134,0
2016,7364498,11739,11,2016,"I",,"Y","F","C","2016_11_ND0180800_NIBRS",6721185,0
2016,7387282,11739,12,2016,"I",,"Y","F","C","2016_12_ND0180800_NIBRS",6187212,0
2016,7136745,11826,1,2016,"U",,"N","F","C","2016_01_NDDI00400_NIBRS",,0
2016,7159529,11826,2,2016,"U",,"N","F","C","2016_02_NDDI00400_NIBRS",,0
2016,7182313,11826,3,2016,"U",,"N","F","C","2016_03_NDDI00400_NIBRS",,0
2016,7205097,11826,4,2016,"U",,"N","F","C","2016_04_NDDI00400_NIBRS",,0
2016,7227881,11826,5,2016,"U",,"N","F","C","2016_05_NDDI00400_NIBRS",,0
2016,7250665,11826,6,2016,"U",,"N","F","C","2016_06_NDDI00400_NIBRS",,0
2016,7273449,11826,7,2016,"U",,"N","F","C","2016_07_NDDI00400_NIBRS",,0
2016,7296233,11826,8,2016,"U",,"N","F","C","2016_08_NDDI00400_NIBRS",,0
2016,7319017,11826,9,2016,"U",,"N","F","C","2016_09_NDDI00400_NIBRS",,0
2016,7341801,11826,10,2016,"U",,"N","F","C","2016_10_NDDI00400_NIBRS",,0
2016,7364585,11826,11,2016,"U",,"N","F","C","2016_11_NDDI00400_NIBRS",,0
2016,7387369,11826,12,2016,"U",,"N","F","C","2016_12_NDDI00400_NIBRS",,0
2016,7147484,25835,1,2016,"I",,"N","F","C","2016_01_ND0080500_NIBRS",,0
2016,7170268,25835,2,2016,"Z",,"N","F","C","2016_02_ND0080500_NIBRS",857177,0
2016,7193052,25835,3,2016,"Z",,"N","F","C","2016_03_ND0080500_NIBRS",857390,0
2016,7215836,25835,4,2016,"Z",,"N","F","C","2016_04_ND0080500_NIBRS",856989,0
2016,7238620,25835,5,2016,"Z",,"N","F","C","2016_05_ND0080500_NIBRS",857489,0
2016,7261404,25835,6,2016,"Z",,"N","F","C","2016_06_ND0080500_NIBRS",857323,0
2016,7284188,25835,7,2016,"Z",,"N","F","C","2016_07_ND0080500_NIBRS",857266,0
2016,7306972,25835,8,2016,"Z",,"N","F","C","2016_08_ND0080500_NIBRS",857058,0
2016,7329756,25835,9,2016,"Z",,"N","F","C","2016_09_ND0080500_NIBRS",857731,0
2016,7352540,25835,10,2016,"Z",,"N","F","C","2016_10_ND0080500_NIBRS",857625,0
2016,7375324,25835,11,2016,"Z",,"N","F","C","2016_11_ND0080500_NIBRS",857543,0
2016,7398108,25835,12,2016,"Z",,"N","F","C","2016_12_ND0080500_NIBRS",857115,0
2016,7136743,11824,1,2016,"U",,"N","F","C","2016_01_NDDI00200_NIBRS",,0
2016,7159527,11824,2,2016,"U",,"N","F","C","2016_02_NDDI00200_NIBRS",,0
2016,7182311,11824,3,2016,"U",,"N","F","C","2016_03_NDDI00200_NIBRS",,0
2016,7205095,11824,4,2016,"U",,"N","F","C","2016_04_NDDI00200_NIBRS",,0
2016,7227879,11824,5,2016,"U",,"N","F","C","2016_05_NDDI00200_NIBRS",,0
2016,7250663,11824,6,2016,"U",,"N","F","C","2016_06_NDDI00200_NIBRS",,0
2016,7273447,11824,7,2016,"U",,"N","F","C","2016_07_NDDI00200_NIBRS",,0
2016,7296231,11824,8,2016,"U",,"N","F","C","2016_08_NDDI00200_NIBRS",,0
2016,7319015,11824,9,2016,"U",,"N","F","C","2016_09_NDDI00200_NIBRS",,0
2016,7341799,11824,10,2016,"U",,"N","F","C","2016_10_NDDI00200_NIBRS",,0
2016,7364583,11824,11,2016,"U",,"N","F","C","2016_11_NDDI00200_NIBRS",,0
2016,7387367,11824,12,2016,"U",,"N","F","C","2016_12_NDDI00200_NIBRS",,0
2016,7136662,11743,1,2016,"I",,"N","F","C","2016_01_ND0200000_NIBRS",,0
2016,7159446,11743,2,2016,"I",,"N","F","C","2016_02_ND0200000_NIBRS",,0
2016,7182230,11743,3,2016,"I",,"N","F","C","2016_03_ND0200000_NIBRS",,0
2016,7205014,11743,4,2016,"I",,"N","F","C","2016_04_ND0200000_NIBRS",,0
2016,7227798,11743,5,2016,"Z",,"N","F","C","2016_05_ND0200000_NIBRS",857453,0
2016,7250582,11743,6,2016,"I",,"N","F","C","2016_06_ND0200000_NIBRS",4832811,0
2016,7273366,11743,7,2016,"I",,"N","F","C","2016_07_ND0200000_NIBRS",,0
2016,7296150,11743,8,2016,"I",,"N","F","C","2016_08_ND0200000_NIBRS",,0
2016,7318934,11743,9,2016,"I",,"N","F","C","2016_09_ND0200000_NIBRS",,0
2016,7341718,11743,10,2016,"I",,"N","F","C","2016_10_ND0200000_NIBRS",,0
2016,7364502,11743,11,2016,"I",,"N","F","C","2016_11_ND0200000_NIBRS",2239859,0
2016,7387286,11743,12,2016,"I",,"N","F","C","2016_12_ND0200000_NIBRS",2239902,0
2016,7136645,11726,1,2016,"I",,"Y","F","C","2016_01_ND0140000_NIBRS",4832861,0
2016,7159429,11726,2,2016,"I",,"Y","F","C","2016_02_ND0140000_NIBRS",2150861,0
2016,7182213,11726,3,2016,"I",,"Y","F","C","2016_03_ND0140000_NIBRS",2150844,0
2016,7204997,11726,4,2016,"I",,"N","F","C","2016_04_ND0140000_NIBRS",,0
2016,7227781,11726,5,2016,"I",,"N","F","C","2016_05_ND0140000_NIBRS",3649661,0
2016,7250565,11726,6,2016,"I",,"Y","F","C","2016_06_ND0140000_NIBRS",2150873,0
2016,7273349,11726,7,2016,"I",,"Y","F","C","2016_07_ND0140000_NIBRS",2150904,0
2016,7296133,11726,8,2016,"I",,"Y","F","C","2016_08_ND0140000_NIBRS",3649826,0
2016,7318917,11726,9,2016,"I",,"Y","F","C","2016_09_ND0140000_NIBRS",6721694,0
2016,7341701,11726,10,2016,"I",,"Y","F","C","2016_10_ND0140000_NIBRS",6214210,0
2016,7364485,11726,11,2016,"I",,"Y","F","C","2016_11_ND0140000_NIBRS",10631530,0
2016,7387269,11726,12,2016,"I",,"Y","F","C","2016_12_ND0140000_NIBRS",3649726,0
2016,7136615,11696,1,2016,"I",,"N","F","C","2016_01_ND0010000_NIBRS",4795369,0
2016,7159399,11696,2,2016,"I",,"N","F","C","2016_02_ND0010000_NIBRS",,0
2016,7182183,11696,3,2016,"I",,"N","F","C","2016_03_ND0010000_NIBRS",4795338,0
2016,7204967,11696,4,2016,"I",,"N","F","C","2016_04_ND0010000_NIBRS",,0
2016,7227751,11696,5,2016,"I",,"Y","F","C","2016_05_ND0010000_NIBRS",4795178,0
2016,7250535,11696,6,2016,"I",,"N","F","C","2016_06_ND0010000_NIBRS",2239980,0
2016,7273319,11696,7,2016,"I",,"Y","F","C","2016_07_ND0010000_NIBRS",6207179,0
2016,7296103,11696,8,2016,"I",,"N","F","C","2016_08_ND0010000_NIBRS",2239766,0
2016,7318887,11696,9,2016,"I",,"N","F","C","2016_09_ND0010000_NIBRS",2239815,0
2016,7341671,11696,10,2016,"I",,"Y","F","C","2016_10_ND0010000_NIBRS",4795256,0
2016,7364455,11696,11,2016,"I",,"Y","F","C","2016_11_ND0010000_NIBRS",4795292,0
2016,7387239,11696,12,2016,"Z",,"N","F","C","2016_12_ND0010000_NIBRS",2240109,0
2016,7136622,11703,1,2016,"U",,"N","F","C","2016_01_ND0050100_NIBRS",,0
2016,7159406,11703,2,2016,"U",,"N","F","C","2016_02_ND0050100_NIBRS",,0
2016,7182190,11703,3,2016,"U",,"N","F","C","2016_03_ND0050100_NIBRS",,0
2016,7204974,11703,4,2016,"U",,"N","F","C","2016_04_ND0050100_NIBRS",,0
2016,7227758,11703,5,2016,"U",,"N","F","C","2016_05_ND0050100_NIBRS",,0
2016,7250542,11703,6,2016,"U",,"N","F","C","2016_06_ND0050100_NIBRS",,0
2016,7273326,11703,7,2016,"U",,"N","F","C","2016_07_ND0050100_NIBRS",,0
2016,7296110,11703,8,2016,"U",,"N","F","C","2016_08_ND0050100_NIBRS",,0
2016,7318894,11703,9,2016,"U",,"N","F","C","2016_09_ND0050100_NIBRS",,0
2016,7341678,11703,10,2016,"U",,"N","F","C","2016_10_ND0050100_NIBRS",,0
2016,7364462,11703,11,2016,"U",,"N","F","C","2016_11_ND0050100_NIBRS",,0
2016,7387246,11703,12,2016,"U",,"N","F","C","2016_12_ND0050100_NIBRS",,0
2016,7136682,11763,1,2016,"Z",,"N","F","C","2016_01_ND0290200_NIBRS",858202,0
2016,7159466,11763,2,2016,"Z",,"N","F","C","2016_02_ND0290200_NIBRS",858131,0
2016,7182250,11763,3,2016,"I",,"N","F","C","2016_03_ND0290200_NIBRS",3650077,0
2016,7205034,11763,4,2016,"I",,"N","F","C","2016_04_ND0290200_NIBRS",3650114,0
