"DATA_YEAR","PROPERTY_ID","INCIDENT_ID","PROP_LOSS_ID","STOLEN_COUNT","RECOVERED_COUNT"
2017,98196550,92559891,6,,
2017,98196914,92560310,4,,
2017,98196920,92560310,7,,
2017,98197423,92560913,6,,
2017,98197563,92561063,4,,
2017,98197602,92561102,6,,
2017,98197734,92561261,1,,
2017,98197808,92561352,7,,
2017,98197946,92561517,7,,
2017,98197952,92561517,5,,
2017,98198983,92562477,5,,1
2017,98198894,92562418,6,,
2017,98198897,92562418,7,,
2017,98198981,92562477,7,1,
2017,98199581,92562999,6,,
2017,98198932,92562443,7,,
2017,98199099,92562568,7,,
2017,98199441,92562872,7,,
2017,98199444,92562872,5,,
2017,98199493,92562915,6,,
2017,98199670,92563095,6,,
2017,98200611,92564091,6,,
2017,98201110,92564605,6,,
2017,98200752,92564221,7,,
2017,98200749,92564221,6,,
2017,98204470,92567995,7,,
2017,98203019,92566547,5,,
2017,98203013,92566547,7,,
2017,98203756,92567300,5,,
2017,98203752,92567300,7,,
2017,98203855,92567395,7,,
2017,98204854,92568368,7,,
2017,98204031,92567554,7,,
2017,98204271,92567780,4,,
2017,98206203,92569708,7,,
2017,98205946,92569453,6,,
2017,98206296,92569807,7,,
2017,98206843,92570370,7,,
2017,98207676,92571250,4,,
2017,98206659,92570178,7,,
2017,98207264,92570818,7,,
2017,98207848,92571430,7,,
2017,98207602,92571183,4,,
2017,98208064,92571649,4,,
2017,98208124,92571715,7,,
2017,98208184,92571780,7,,
2017,98208522,92572139,6,,
2017,98208739,92572366,7,,
2017,98209308,92572912,7,,
2017,98209356,92572955,3,,
2017,98210226,92573882,4,,
2017,98210312,92573984,1,,
2017,98210406,92574060,4,,
2017,98210456,92574127,1,,
2017,98210492,92574173,7,,
2017,98210524,92574211,6,,
2017,98210859,92574567,7,,
2017,98210946,92574661,6,,
2017,98210999,92574736,7,,
2017,98211150,92574903,7,,
2017,98211165,92574917,7,,
2017,98211174,92574929,7,,
2017,98211227,92574988,7,,
2017,98211231,92574988,5,,
2017,98211294,92575056,7,,
2017,98211462,92575218,7,,
2017,98211592,92575360,7,,
2017,98211689,92575472,5,,
2017,98211687,92575472,7,,
2017,98211747,92575534,6,,
2017,98211826,92575617,5,,
2017,98211822,92575617,7,,
2017,98212104,92575901,7,,
2017,98212331,92576161,7,,
2017,98212608,92576446,6,,
2017,98212704,92576561,7,,
2017,98212918,92576783,4,,
2017,98212970,92576838,6,,
2017,98212973,92576838,7,,
2017,98213020,92576883,7,,
2017,98213313,92577191,6,,
2017,98213499,92577408,4,,
2017,98213504,92577416,4,,
2017,98214601,92578519,4,,
2017,98214733,92578650,7,,
2017,98215175,92579064,4,,
2017,98215590,92579503,6,,
2017,98215833,92579727,6,,
2017,98215874,92579770,6,,
2017,98215943,92579854,6,,
2017,98216072,92579998,7,,
2017,98216530,92580441,6,,
2017,98216730,92580658,7,,
2017,98216734,92580658,4,,
2017,98216894,92580836,4,,
2017,98216962,92580904,6,,
2017,98216986,92580926,6,,
2017,98217008,92580950,7,,
2017,98217003,92580950,4,,
2017,98217102,92581043,6,,
2017,100186858,94767991,1,,
2017,100186997,94768138,7,,
2017,100187059,94768202,7,1,
2017,100187182,94768330,6,,
2017,100187275,94768429,7,,
2017,100187643,94768820,4,,
2017,100188015,94769256,7,,
2017,100188200,94769470,4,,
2017,100190299,94771833,5,,1
2017,100190295,94771833,7,1,
2017,100190598,94772198,6,,
2017,100191112,94772760,6,,
2017,100191438,94773086,7,,
2017,100191684,94773301,6,,
2017,100191992,94773610,6,,
2017,100192644,94774264,7,1,
2017,100192689,94774292,6,,
2017,100192948,94774552,6,,
2017,100193222,94774851,6,,
2017,100194249,94775831,7,,
2017,100194804,94776422,7,,
2017,100195679,94777348,3,,
2017,100195566,94777241,7,1,
2017,100195569,94777241,5,,1
2017,100195884,94777557,3,,
2017,100195811,94777484,7,,
2017,100195816,94777484,5,,
2017,100195846,94777518,7,,
2017,100196480,94778209,6,,
2017,100196247,94777972,7,,
2017,100196791,94778558,3,,
2017,100197009,94778790,7,,
2017,100197057,94778846,7,,
2017,100198194,94779994,7,,
2017,100198202,94779994,5,,
2017,98196360,92559699,6,,
2017,98196857,92560233,4,,
2017,98196895,92560292,4,,
2017,98197133,92560573,4,,
2017,98197319,92560792,6,,
2017,98197472,92560972,6,,
2017,98197671,92561185,7,,
2017,98197834,92561383,6,,
2017,98198989,92562480,6,,
2017,98199640,92563067,7,,
2017,98199307,92562757,6,,
2017,98199952,92563405,7,,
2017,98199704,92563123,5,,
2017,98199700,92563123,6,,
2017,98201327,92564817,6,,
2017,98199763,92563195,7,,
2017,98199936,92563391,6,,
2017,98201248,92564741,6,,
2017,98201249,92564741,7,,
2017,98201312,92564804,6,,
2017,98203517,92567068,7,,
2017,98203703,92567245,7,,
2017,98203848,92567390,6,,
2017,98203970,92567496,4,,
2017,98204232,92567741,7,,
2017,98204409,92567931,6,,
2017,98205125,92568642,7,,
2017,98205326,92568844,7,,
2017,98205448,92568967,7,,
2017,98205735,92569253,6,,
2017,98205746,92569253,7,,
2017,98206458,92569978,7,,
