"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,110451562,17,2000,,119392671
2018,110452352,7,223,07-FEB-19,119389985
2018,110452350,7,223,,119389982
2018,110448923,24,5000,,119399366
2018,110455910,38,2,,119399373
2018,110452720,10,,,119390443
2018,110452720,11,2,,119399148
2018,110455811,20,755,,119394347
2018,115316954,10,3,,125926742
2018,115316975,19,160,,125926768
2018,115317003,11,4,,125926807
2018,115317003,10,,,125929971
2018,115308633,3,2500,,125926814
2018,115308636,3,2500,19-OCT-18,125933736
2018,110454993,63,2900,,119393199
2018,106161127,20,600,,113814484
2018,106166018,10,10,,113819202
2018,106161172,29,1,,113824651
2018,106161210,36,2700,,113824704
2018,106166081,4,74,,113824716
2018,106166093,36,150,,113814603
2018,106166093,38,800,,113814602
2018,106166092,38,200,,113824740
2018,106166115,25,100,,113814633
2018,106170939,3,1600,,113814679
2018,106161303,3,1600,02-AUG-18,113824843
2018,106161317,41,2,,113824859
2018,106161317,10,,,113814686
2018,106161350,3,1,,113824899
2018,106161354,63,500,,113819410
2018,106166197,11,6,,113814738
2018,106161396,63,1,,113824953
2018,106166225,19,24,,113819498
2018,106166235,63,37,,113814780
2018,106161440,6,150,,113814783
2018,106161463,11,2,,113825028
2018,106171074,15,210,,113819550
2018,106161477,10,,,113825041
2018,106166273,19,39,,113819570
2018,106161518,37,1,,113825109
2018,106161518,36,6,,113825107
2018,106161515,36,2,14-APR-18,113825099
2018,106161515,37,1,14-APR-18,113825104
2018,106166305,63,70,,113819617
2018,106166305,26,50,,113819618
2018,106166305,6,25,,113814853
2018,106171111,63,1,14-AUG-18,113814852
2018,106166320,3,1,,113814876
2018,106166320,6,1000,,113814874
2018,106166318,3,1,25-APR-18,113814869
2018,106166320,63,200,,113814875
2018,106166318,9,0,25-APR-18,113814868
2018,106166320,36,2500,,113814873
2018,106171161,52,0,,113819680
2018,106166339,32,1000,,113825158
2018,106166341,4,100,,113819687
2018,106161568,20,20,,113825164
2018,106161596,25,95,12-AUG-18,113825193
2018,106161596,51,0,12-AUG-18,113814934
2018,106161598,16,2,,113819716
2018,106161598,9,0,,113825196
2018,106161598,61,600,,113819713
2018,106161596,16,2,12-AUG-18,113825194
2018,106161598,25,95,,113819715
2018,106161598,51,0,,113825197
2018,106161596,61,600,12-AUG-18,113814932
2018,106161606,22,0,,113814941
2018,106166377,20,1500,,113819765
2018,106171240,4,600,,113819803
2018,106161659,30,300,,113825292
2018,106166430,34,100,,113815013
2018,106161685,16,21,,113825322
2018,106161694,51,0,,113825333
2018,106171324,4,850,18-SEP-18,113819917
2018,106171325,4,850,,113819918
2018,106166457,63,640,,113815050
2018,106161745,20,80,,113815070
2018,106171366,8,18,,113819973
2018,106171367,8,18,15-JAN-18,113819975
2018,106171386,66,68,,113820016
2018,106171425,3,300,,113815126
2018,106161809,6,354,,113820075
2018,106161834,6,2,,113815158
2018,106166542,4,1505,,113815162
2018,106166544,4,1505,07-SEP-18,113815164
2018,106161848,11,4,,113820133
2018,106161848,10,,,113820132
2018,106161852,64,5170,13-SEP-18,113825541
2018,106166559,64,5170,,113825539
2018,106161863,51,0,,113815192
2018,106161863,20,100,,113825557
2018,106161863,9,0,,113825556
2018,106161863,25,2,,113820153
2018,106161863,22,0,,113825558
2018,106171549,6,200,,113820232
2018,106166587,4,300,,113825584
2018,106161956,26,500,,113815310
2018,106161956,6,90,,113820345
2018,106161956,16,30,,113820346
2018,106161956,62,200,,113825664
2018,106161956,36,30,,113815311
2018,106161956,20,20,,113815309
2018,106161964,11,30,,113815329
2018,106161964,10,,,113815325
2018,106171632,10,,,113820378
2018,106166673,29,250,,113820379
2018,106171667,10,,,113825703
2018,106161988,10,,,113825708
2018,106161988,11,2,,113820434
2018,106161993,31,1000,,113815375
2018,106166699,3,12000,30-SEP-18,113825711
2018,106161991,3,12000,,113820436
2018,106161993,3,12000,,113820437
2018,106162005,11,2,,113820456
2018,106162005,10,,,113820455
2018,106162048,3,350,,113825760
2018,106171737,19,850,,113820528
2018,106162070,11,2,,113825786
2018,106171759,16,226,,113815449
2018,106162087,11,2,,113825813
2018,106171772,63,200,,113820581
2018,106162094,4,300,,113815461
2018,106171784,38,100,,113820592
2018,106166779,38,50,,113815472
2018,106171861,63,45,,113820705
2018,106171890,21,1967,,113820742
2018,106171896,47,0,,113820747
2018,106166885,10,,,113825984
2018,106166885,11,2,,113815624
2018,106166918,11,16,,113815679
2018,106162286,38,7000,,113820901
2018,106172027,11,2,,113826124
2018,106166970,63,40,04-SEP-18,113815755
2018,106166969,63,40,,113820934
2018,106166969,50,45,,113815754
2018,106162327,10,,,113826134
2018,106162402,10,,,113821052
2018,106172151,9,0,,113821095
2018,106172162,3,999,,113826290
2018,106167069,3,999,20-SEP-18,113821103
