"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,12,113081244,1,1,10783621
2019,12,113081225,28,1,10783613
2019,5,113081233,0.55,3,10783614
2019,12,110451745,1,1,10353481
2019,16,110447840,3,9,10358767
2019,5,110451796,0.01,3,10363685
2019,5,110447840,0.9,1,10358769
2019,8,110447840,9,9,10363694
2019,8,110455156,8,9,10358898
2019,5,110448188,1,1,10363819
2019,8,110452173,2,9,10353627
2019,5,110448418,0.7,1,10363857
2019,5,110452389,10.8,1,10358956
2019,12,110452389,3.6,1,10363863
2019,12,110452433,0.8,1,10363872
2019,12,110455488,0.5,1,10363876
2019,5,110448870,4,9,10359080
2019,12,110448870,1,9,10363961
2019,5,110448870,4,1,10353792
2019,12,110455927,2.3,1,10363983
2019,5,110448979,1.5,1,10359106
2019,5,110455973,8,1,10363996
2019,5,110454798,0.1,1,10358753
2019,5,110448413,2.9,1,10363854
2019,5,110455460,4.8,1,10353701
2019,5,110452826,2,1,10353793
2019,2,110454656,1.3,1,10363649
2019,4,110451756,2,9,10358750
2019,17,110451756,0.1,1,10358749
2019,12,110451756,2,1,10363676
2019,5,110447882,0.01,1,10358773
2019,5,110451944,6.4,1,10353511
2019,12,110455379,1,1,10363860
2019,12,110452410,1.75,1,10363865
2019,5,110452535,12.9,1,10363882
2019,5,110448915,0.02,7,10359089
2019,5,110455945,0.9,1,10363988
2019,12,124920007,0,1,13952578
2019,12,124920026,1,1,13952596
2019,5,110454639,0.001,1,10363645
2019,5,110447764,1.6,1,10358754
2019,12,110447764,2,1,10353485
2019,12,110454879,2,1,10363692
2019,12,110448295,3,9,10358931
2019,5,110455399,0.6,1,10358954
2019,12,110455461,0.4,1,10353703
2019,5,110455461,0.9,1,10353702
2019,12,110455529,0.9,1,10353714
2019,12,110455918,4.2,1,10359096
2019,5,110448959,45.8,1,10363986
2019,12,110452901,0.5,1,10359105
2019,12,110451653,2,1,10358713
2019,5,110455143,0.01,1,10363801
2019,5,110455863,1.1,1,10363967
2019,5,110454644,11.5,1,10363647
2019,5,110447565,,,10353447
2019,5,110447580,9,1,10353449
2019,5,110447581,3.4,1,10363644
2019,12,110448513,3.2,1,10353700
2019,16,110448466,4,9,10358962
2019,5,110448513,2.1,1,10358970
2019,5,110455601,758.8,1,10353725
2019,5,110448858,13.2,1,10359072
2019,12,110448858,1,9,10359074
2019,5,110447588,0.4,1,10358696
2019,5,110447927,8.37,3,10363700
2019,5,110451793,1,1,10353487
2019,12,110455517,2,1,10358982
2019,5,110448669,9,1,10353730
2019,5,110455718,45.9,1,10353737
2019,12,110455718,53.4,1,10353738
2019,12,111361880,0.1,1,10509382
2019,5,111361860,1,1,10509379
2019,12,111361860,2,1,10509380
2019,12,111369909,0.6,1,10501140
2019,12,111369984,10,1,10501167
2019,12,111369995,4,1,10501169
2019,5,110447551,3.7,1,10358692
2019,5,110448305,1,3,10353652
2019,5,110455306,6,1,10363845
2019,5,110455454,0.9,1,10358967
2019,12,110448973,0.5,1,10359104
2019,5,110455962,1,11,10363991
2019,5,110452906,3.1,1,10359111
2019,5,110454603,0.25,4,10358691
2019,5,110454795,55,1,10358751
2019,3,110454795,28,1,10358752
