"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2015,85509439,64,200,,86332539
2015,87797908,64,5,,86332562
2015,86651310,57,1,,86332660
2015,87796129,57,1,,86332664
2015,86078130,64,3,,86332665
2015,86651436,57,370,,86332669
2015,85508504,19,10,,86342107
2015,85508511,19,20,,86342108
2015,85508531,19,96,,86342109
2015,85509007,19,25,08-NOV-15,86342110
2015,85509009,19,9,,86342111
2015,85509010,19,3275,,86342112
2015,85509016,19,124,,86342113
2015,86651826,64,8500,,86366722
2015,84934087,64,25,,86366802
2015,86078212,11,4,,86371392
2015,86078266,11,4,,86371393
2015,86078333,11,20,,86371394
2015,86078359,11,1,,86371395
2015,86078360,11,1,,86371396
2015,86078362,11,1,,86371397
2015,86078374,11,1,,86371416
2015,86078437,11,1,,86371417
2015,86078455,11,1,,86371418
2015,86078480,11,12,,86371419
2015,86078492,11,2,,86371420
2015,86078494,11,1,,86371421
2015,86078498,11,5,,86371422
2015,86078516,11,1,,86371423
2015,86080904,11,1,,86371424
2015,86080931,11,1,,86371425
2015,86080967,11,1,,86371426
2015,86080979,11,1,,86371427
2015,86078529,11,42,,86371451
2015,86078531,11,1,,86371452
2015,86078540,11,2,,86371453
2015,86078562,11,1,,86371454
2015,86078573,11,10,,86371455
2015,86078606,11,1,,86371456
2015,86078608,11,5,,86371457
2015,86081029,11,1,,86371459
2015,86081055,11,2,,86371460
2015,86081095,11,1,,86371461
2015,86081125,11,1,,86371462
2015,86078673,11,1,,86371505
2015,86078717,11,25,,86371506
2015,86078728,11,2,,86371507
2015,86078815,11,1,,86371508
2015,86078830,11,1,,86371509
2015,86080172,11,1,,86371510
2015,86080181,11,1,,86371511
2015,86080183,11,1,,86371512
2015,86080186,11,4,,86371513
2015,86080219,11,1,,86371514
2015,86080229,11,1,,86371515
2015,86080232,11,17,,86371516
2015,86081208,11,1,,86371517
2015,86081225,11,10,,86371518
2015,86081240,11,1,,86371519
2015,86081244,11,10,,86371520
2015,86081250,11,20,,86371521
2015,86078846,11,1,,86371563
2015,86078900,11,1,,86371564
2015,86078938,11,1,,86371565
2015,86078943,11,1,,86371566
2015,86078947,11,10,,86371567
2015,86078960,11,15,,86371568
2015,86080254,11,15,,86371569
2015,86080300,11,20,,86371570
2015,86080309,11,5,,86371571
2015,86080314,11,10,,86371572
2015,86080342,11,5,,86371573
2015,86080364,11,5,,86371574
2015,86080370,11,10,,86371575
2015,86080377,11,5,,86371576
2015,86080390,11,20,,86371577
2015,86079020,11,1,,86371603
2015,86079036,11,6,,86371604
2015,86079050,11,25,,86371605
2015,86079113,11,1,,86371606
2015,86079127,11,2,,86371607
2015,86080438,11,15,,86371608
2015,86080443,11,5,,86371609
2015,86080468,11,5,,86371610
2015,86080479,56,25,,86371611
2015,86080511,11,1,,86371612
2015,86079171,11,90,,86371652
2015,86079172,11,1,,86371653
2015,86079173,11,1,,86371654
2015,86079183,11,4,,86371655
2015,86079192,11,5,,86371656
2015,86079198,11,1,,86371657
2015,86079213,11,2,,86371658
2015,86079217,11,1,,86371659
2015,86079224,11,9,,86371660
2015,86079227,11,20,,86371661
2015,86079229,11,2,,86371662
2015,86079242,11,1,,86371663
2015,86079256,11,16,,86371724
2015,86079313,11,3,,86371725
2015,86079357,11,2,,86371726
2015,86079368,11,1,,86371727
2015,86081266,11,25,,86371731
2015,86081269,11,15,,86371732
2015,86079464,11,20,,86371777
