"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,5,119990203,1,1,12687692
2019,15,119987438,1,9,12585818
2019,5,119987718,26,1,12687730
2019,16,119987718,60,9,12662554
2019,5,119987718,8,9,12662553
2019,17,119990763,1,11,12662586
2019,5,119990874,5,1,12662614
2019,5,119987226,0.001,1,12585789
2019,12,119987971,1,1,12687779
2019,5,119991661,1,11,12662798
2019,5,119991774,2.4,1,12687959
2019,5,119988980,1,3,12687970
2019,8,119992014,1,9,12586184
2019,8,119992014,13.2,1,12586185
2019,7,119989043,1,9,12662910
2019,12,119989043,0.002,1,12687985
2019,16,119989043,0.001,1,12687986
2019,5,119952655,2,1,12586221
2019,12,119992213,1,1,12662989
2019,5,119992252,1,11,12586234
2019,12,119992255,1,1,12663002
2019,5,119952777,1,11,12688020
2019,12,119952777,1,11,12688021
2019,16,119952777,1,11,12688022
2019,7,119992421,,,12688056
2019,12,119953062,2.46,1,12688079
2019,2,119992501,1.46,1,12663052
2019,5,119987230,8.9,1,12585791
2019,5,119990024,0.1,1,12585800
2019,15,119987379,1,11,12585811
2019,12,119950491,0.001,1,12662545
2019,5,119950654,1,11,12585888
2019,11,119951052,1,11,12687870
2019,12,119951052,1,11,12687871
2019,5,119991452,0.05,3,12662744
2019,5,119988610,0.3,1,12687922
2019,12,119988610,4,1,12687923
2019,5,119952056,0.001,3,12662845
2019,5,119989434,1,11,12663042
2019,5,119989438,1,11,12688063
2019,5,119987202,5.5,1,12687656
2019,12,119950116,0.5,1,12662503
2019,5,119987300,3.2,1,12662508
2019,3,119950173,2,1,12687671
2019,5,119987380,2.4,1,12687677
2019,5,119990182,0.6,1,12687685
2019,12,119987449,1,11,12585821
2019,12,119990208,0.001,1,12687693
2019,5,119987501,6,1,12687694
2019,5,119987543,0.001,1,12585829
2019,5,119987547,1.2,1,12687701
2019,12,119990252,1,11,12662532
2019,12,119950389,1,1,12585831
2019,5,119950389,1,1,12687704
2019,13,119990766,1,11,12687805
2019,5,119990774,1,1,12662591
2019,5,119950810,1,1,12662596
2019,13,119950810,1,11,12662597
2019,12,119990813,1,1,12585948
2019,5,119988131,1,11,12662601
2019,5,119991158,,,12586032
2019,5,119951095,1,11,12662675
2019,12,119988611,1,1,12586096
2019,12,119952439,13.9,1,12662950
2019,15,119952476,1,11,12586207
2019,5,119950082,1,11,12585781
2019,13,119987166,1,11,12687655
2019,1,119987166,1,11,12687654
2019,12,119987390,1,1,12585813
2019,5,119990187,2.5,1,12662519
2019,12,119950737,1,11,12585913
2019,5,119991374,1,1,12586081
2019,8,119992460,9,9,12688069
2019,12,119992460,3,1,12688070
2019,5,119987267,5.7,1,12687667
2019,5,119990233,1,1,12662527
2019,5,119951276,1000,1,12662718
2019,12,119952194,62.6,1,12662878
2019,15,119952194,31,9,12662879
2019,5,119989021,12.3,1,12662888
2019,12,119989021,2,9,12662889
2019,12,119952290,0.32,1,12662902
2019,12,119952305,0.003,1,12662912
2019,5,119992069,0.05,9,12662926
2019,17,119992150,,,12586209
2019,5,119989185,41.2,1,12688013
2019,5,119952657,1,1,12662981
2019,12,119989192,1,1,12662984
2019,13,119952684,1,9,12586224
2019,5,119989245,1,1,12688024
2019,13,119952944,1,11,12688042
2019,5,119952944,1,3,12688040
2019,12,119952944,1,1,12688041
2019,12,119989407,1,1,12688054
2019,8,119989466,8,9,12663048
2019,5,119992490,1,1,12663050
2019,12,119989916,0.1,1,12585780
2019,8,119950128,1,9,12585794
2019,18,119950128,,,12585796
2019,9,119950128,1,11,12585795
2019,12,119987244,2,1,12687663
2019,12,119990149,4,1,12687678
2019,12,119987401,3,1,12585814
2019,5,119950317,5,9,12662522
2019,12,119990430,1,1,12585852
2019,5,119991268,1000,1,12662696
2019,5,119992521,1,11,12663058
2019,12,119994649,1,11,12688124
2019,5,119953484,1,3,12663128
2019,5,119994652,2.17,1,12688125
2019,5,119953491,,,12663130
2019,5,119953659,1,1,12663156
2019,5,119953669,11.33,1,12663159
2019,5,119994713,1,1,12688132
2019,5,119953711,1,1,12663171
2019,12,119953733,22.8,1,12586335
2019,5,119953803,1,1,12663195
2019,5,119993002,1,1,12586381
2019,16,119989112,1,11,12687998
2019,17,119989112,1,11,12687999
2019,5,119952730,1,1,12663000
2019,5,119992269,1,1,12586237
2019,5,119952914,1,1,12663021
2019,5,119952965,1,3,12688051
2019,5,119992539,0.25,7,12663063
2019,13,119989543,2,9,12688092
2019,5,119953282,2,3,12688109
2019,5,119953316,1,1,12663095
2019,5,119994621,1,1,12688113
2019,5,119994624,1.28,3,12663108
