"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2019,8145169,10646,1,2019,"I",,"Y","G","C","2019_01_NB0370000_NIBRS",34932804,0
2019,8152831,10646,2,2019,"Z",,"Y","G","C","2019_02_NB0370000_NIBRS",47608270,0
2019,8160493,10646,3,2019,"I",,"Y","G","C","2019_03_NB0370000_NIBRS",47608257,0
2019,8168155,10646,4,2019,"I",,"Y","G","C","2019_04_NB0370000_NIBRS",61793097,0
2019,8175817,10646,5,2019,"I",,"Y","G","C","2019_05_NB0370000_NIBRS",49384387,0
2019,8183479,10646,6,2019,"I",,"Y","G","C","2019_06_NB0370000_NIBRS",58041293,0
2019,8191141,10646,7,2019,"I",,"Y","G","C","2019_07_NB0370000_NIBRS",61799276,0
2019,8198803,10646,8,2019,"I",,"Y","G","C","2019_08_NB0370000_NIBRS",58031582,0
2019,8206465,10646,9,2019,"I",,"Y","G","C","2019_09_NB0370000_NIBRS",58025841,0
2019,8214127,10646,10,2019,"I",,"Y","G","C","2019_10_NB0370000_NIBRS",61802919,0
2019,8221789,10646,11,2019,"I",,"Y","G","C","2019_11_NB0370000_NIBRS",61802922,0
2019,8229451,10646,12,2019,"I",,"Y","G","C","2019_12_NB0370000_NIBRS",63983413,0
2019,8145224,10767,1,2019,"I",,"Y","G","C","2019_01_NB0880000_NIBRS",34932468,0
2019,8152886,10767,2,2019,"Z",,"Y","G","C","2019_02_NB0880000_NIBRS",42906203,0
2019,8160548,10767,3,2019,"I",,"Y","G","C","2019_03_NB0880000_NIBRS",49390343,0
2019,8168210,10767,4,2019,"I",,"Y","G","C","2019_04_NB0880000_NIBRS",47614159,0
2019,8175872,10767,5,2019,"I",,"Y","G","C","2019_05_NB0880000_NIBRS",58048613,0
2019,8183534,10767,6,2019,"I",,"Y","G","C","2019_06_NB0880000_NIBRS",58048615,0
2019,8191196,10767,7,2019,"I",,"Y","G","C","2019_07_NB0880000_NIBRS",58043178,0
2019,8198858,10767,8,2019,"I",,"Y","G","C","2019_08_NB0880000_NIBRS",61805001,0
2019,8206520,10767,9,2019,"I",,"Y","G","C","2019_09_NB0880000_NIBRS",61807240,0
2019,8214182,10767,10,2019,"I",,"Y","G","C","2019_10_NB0880000_NIBRS",61805009,0
2019,8221844,10767,11,2019,"I",,"Y","G","C","2019_11_NB0880000_NIBRS",61805013,0
2019,8229506,10767,12,2019,"I",,"Y","G","C","2019_12_NB0880000_NIBRS",63992975,0
2019,8145136,10584,1,2019,"I",,"Y","G","C","2019_01_NB0150100_NIBRS",38683111,0
2019,8152798,10584,2,2019,"I",,"Y","G","C","2019_02_NB0150100_NIBRS",49377837,0
2019,8160460,10584,3,2019,"I",,"Y","G","C","2019_03_NB0150100_NIBRS",47603930,0
2019,8168122,10584,4,2019,"I",,"Y","G","C","2019_04_NB0150100_NIBRS",49377842,0
2019,8175784,10584,5,2019,"I",,"Y","G","C","2019_05_NB0150100_NIBRS",49356524,0
2019,8183446,10584,6,2019,"I",,"Y","G","C","2019_06_NB0150100_NIBRS",49377839,0
2019,8191108,10584,7,2019,"I",,"Y","G","C","2019_07_NB0150100_NIBRS",58030115,0
2019,8198770,10584,8,2019,"I",,"Y","G","C","2019_08_NB0150100_NIBRS",58030128,0
2019,8206432,10584,9,2019,"I",,"Y","G","C","2019_09_NB0150100_NIBRS",58023651,0
2019,8214094,10584,10,2019,"Z",,"Y","G","C","2019_10_NB0150100_NIBRS",61798427,0
2019,8221756,10584,11,2019,"I",,"Y","G","C","2019_11_NB0150100_NIBRS",67839921,0
2019,8229418,10584,12,2019,"Z",,"Y","G","C","2019_12_NB0150100_NIBRS",63988488,0
2019,8145209,10737,1,2019,"I",,"Y","G","C","2019_01_NB0770100_NIBRS",68143202,0
2019,8152871,10737,2,2019,"I",,"Y","G","C","2019_02_NB0770100_NIBRS",66094144,0
2019,8160533,10737,3,2019,"I",,"Y","G","C","2019_03_NB0770100_NIBRS",66110410,0
2019,8168195,10737,4,2019,"I",,"Y","G","C","2019_04_NB0770100_NIBRS",68132968,0
2019,8175857,10737,5,2019,"I",,"Y","G","C","2019_05_NB0770100_NIBRS",68143210,0
2019,8183519,10737,6,2019,"I",,"Y","G","C","2019_06_NB0770100_NIBRS",68143236,0
2019,8191181,10737,7,2019,"I",,"Y","G","C","2019_07_NB0770100_NIBRS",66110447,0
2019,8198843,10737,8,2019,"I",,"Y","G","C","2019_08_NB0770100_NIBRS",66110479,0
2019,8206505,10737,9,2019,"I",,"Y","G","C","2019_09_NB0770100_NIBRS",66110467,0
2019,8214167,10737,10,2019,"I",,"Y","G","C","2019_10_NB0770100_NIBRS",68140065,0
2019,8221829,10737,11,2019,"I",,"Y","G","C","2019_11_NB0770100_NIBRS",68132961,0
2019,8229491,10737,12,2019,"I",,"Y","G","C","2019_12_NB0770100_NIBRS",68143183,0
2019,8145132,10563,1,2019,"I",,"Y","G","C","2019_01_NB0100100_NIBRS",58027916,0
2019,8152794,10563,2,2019,"I",,"Y","G","C","2019_02_NB0100100_NIBRS",58027921,0
2019,8160456,10563,3,2019,"I",,"Y","G","C","2019_03_NB0100100_NIBRS",58037885,0
2019,8168118,10563,4,2019,"I",,"Y","G","C","2019_04_NB0100100_NIBRS",58027883,0
2019,8175780,10563,5,2019,"I",,"Y","G","C","2019_05_NB0100100_NIBRS",58037893,0
2019,8183442,10563,6,2019,"I",,"Y","G","C","2019_06_NB0100100_NIBRS",58027947,0
2019,8191104,10563,7,2019,"I",,"Y","G","C","2019_07_NB0100100_NIBRS",58037920,0
2019,8198766,10563,8,2019,"I",,"Y","G","C","2019_08_NB0100100_NIBRS",67839874,0
2019,8206428,10563,9,2019,"I",,"Y","G","C","2019_09_NB0100100_NIBRS",67843484,0
2019,8214090,10563,10,2019,"I",,"Y","G","C","2019_10_NB0100100_NIBRS",67832103,0
2019,8221752,10563,11,2019,"I",,"Y","G","C","2019_11_NB0100100_NIBRS",67843500,0
2019,8229414,10563,12,2019,"I",,"Y","G","C","2019_12_NB0100100_NIBRS",67832128,0
2019,8145171,10650,1,2019,"I",,"Y","G","C","2019_01_NB0400100_NIBRS",67840011,0
2019,8152833,10650,2,2019,"I",,"Y","G","C","2019_02_NB0400100_NIBRS",66092564,0
2019,8160495,10650,3,2019,"I",,"Y","G","C","2019_03_NB0400100_NIBRS",67832365,0
2019,8168157,10650,4,2019,"I",,"Y","G","C","2019_04_NB0400100_NIBRS",67843622,0
2019,8175819,10650,5,2019,"I",,"Y","G","C","2019_05_NB0400100_NIBRS",67839993,0
2019,8183481,10650,6,2019,"I",,"Y","G","C","2019_06_NB0400100_NIBRS",67832389,0
2019,8191143,10650,7,2019,"I",,"Y","G","C","2019_07_NB0400100_NIBRS",67832403,0
2019,8198805,10650,8,2019,"I",,"Y","G","C","2019_08_NB0400100_NIBRS",67832421,0
2019,8206467,10650,9,2019,"I",,"Y","G","C","2019_09_NB0400100_NIBRS",67832435,0
2019,8214129,10650,10,2019,"I",,"Y","G","C","2019_10_NB0400100_NIBRS",67843660,0
2019,8221791,10650,11,2019,"I",,"Y","G","C","2019_11_NB0400100_NIBRS",67832468,0
2019,8229453,10650,12,2019,"I",,"Y","G","C","2019_12_NB0400100_NIBRS",67832120,0
2019,8145210,10738,1,2019,"I",,"Y","G","C","2019_01_NB0770200_NIBRS",66110454,0
2019,8152872,10738,2,2019,"I",,"Y","G","C","2019_02_NB0770200_NIBRS",66110405,0
2019,8160534,10738,3,2019,"I",,"Y","G","C","2019_03_NB0770200_NIBRS",61801326,0
2019,8168196,10738,4,2019,"I",,"Y","G","C","2019_04_NB0770200_NIBRS",66110409,0
2019,8175858,10738,5,2019,"I",,"Y","G","C","2019_05_NB0770200_NIBRS",66094150,0
2019,8183520,10738,6,2019,"I",,"Y","G","C","2019_06_NB0770200_NIBRS",61794132,0
2019,8145202,10726,1,2019,"I",,"Y","G","C","2019_01_NB0730100_NIBRS",68535732,0
2019,8152864,10726,2,2019,"I",,"Y","G","C","2019_02_NB0730100_NIBRS",49384966,0
2019,8160526,10726,3,2019,"I",,"Y","G","C","2019_03_NB0730100_NIBRS",68538974,0
2019,8145177,10664,1,2019,"I",,"Y","G","C","2019_01_NB0480000_NIBRS",63983444,0
2019,8145127,10543,1,2019,"I",,"Y","G","C","2019_01_NB0010000_NIBRS",47606559,0
2019,8152789,10543,2,2019,"I",,"Y","G","C","2019_02_NB0010000_NIBRS",58028066,0
2019,8160451,10543,3,2019,"I",,"Y","G","C","2019_03_NB0010000_NIBRS",66108481,0
2019,8168113,10543,4,2019,"I",,"Y","G","C","2019_04_NB0010000_NIBRS",66108504,0
2019,8175775,10543,5,2019,"I",,"Y","G","C","2019_05_NB0010000_NIBRS",66108471,0
2019,8145170,10649,1,2019,"I",,"Y","G","C","2019_01_NB0400000_NIBRS",58037876,0
2019,8152832,10649,2,2019,"I",,"Y","G","C","2019_02_NB0400000_NIBRS",58027918,0
2019,8160494,10649,3,2019,"I",,"Y","G","C","2019_03_NB0400000_NIBRS",66114567,0
2019,8168156,10649,4,2019,"I",,"Y","G","C","2019_04_NB0400000_NIBRS",61793105,0
2019,8175818,10649,5,2019,"I",,"Y","G","C","2019_05_NB0400000_NIBRS",63974878,0
2019,8145128,10544,1,2019,"I",,"Y","G","C","2019_01_NB0010100_NIBRS",63982844,0
2019,8152790,10544,2,2019,"I",,"Y","G","C","2019_02_NB0010100_NIBRS",49355879,0
2019,8160452,10544,3,2019,"I",,"Y","G","C","2019_03_NB0010100_NIBRS",58022199,0
2019,8168114,10544,4,2019,"I",,"Y","G","C","2019_04_NB0010100_NIBRS",58038390,0
2019,8145187,10690,1,2019,"I",,"Y","G","C","2019_01_NB0600100_NIBRS",63976612,0
2019,8152849,10690,2,2019,"I",,"Y","G","C","2019_02_NB0600100_NIBRS",63976615,0
2019,8160511,10690,3,2019,"I",,"Y","G","C","2019_03_NB0600100_NIBRS",67840880,0
2019,8191182,10738,7,2019,"I",,"Y","G","C","2019_07_NB0770200_NIBRS",68539034,0
2019,8198844,10738,8,2019,"I",,"Y","G","C","2019_08_NB0770200_NIBRS",68535866,0
2019,8206506,10738,9,2019,"I",,"Y","G","C","2019_09_NB0770200_NIBRS",66114731,0
2019,8214168,10738,10,2019,"I",,"Y","G","C","2019_10_NB0770200_NIBRS",68539044,0
2019,8221830,10738,11,2019,"I",,"Y","G","C","2019_11_NB0770200_NIBRS",66110435,0
2019,8229492,10738,12,2019,"I",,"Y","G","C","2019_12_NB0770200_NIBRS",68529949,0
2019,8145208,10736,1,2019,"I",,"Y","G","C","2019_01_NB0770000_NIBRS",67841390,0
2019,8152870,10736,2,2019,"I",,"Y","G","C","2019_02_NB0770000_NIBRS",67844325,0
2019,8160532,10736,3,2019,"I",,"Y","G","C","2019_03_NB0770000_NIBRS",68539012,0
2019,8168194,10736,4,2019,"I",,"Y","G","C","2019_04_NB0770000_NIBRS",68539019,0
2019,8175856,10736,5,2019,"I",,"Y","G","C","2019_05_NB0770000_NIBRS",68535843,0
2019,8145157,10616,1,2019,"I",,"Y","G","C","2019_01_NB0270100_NIBRS",61799083,0
2019,8152819,10616,2,2019,"I",,"Y","G","C","2019_02_NB0270100_NIBRS",58025326,0
2019,8160481,10616,3,2019,"I",,"Y","G","C","2019_03_NB0270100_NIBRS",61799093,0
2019,8168143,10616,4,2019,"I",,"Y","G","C","2019_04_NB0270100_NIBRS",61793026,0
2019,8175805,10616,5,2019,"I",,"Y","G","C","2019_05_NB0270100_NIBRS",61799076,0
2019,8183467,10616,6,2019,"I",,"Y","G","C","2019_06_NB0270100_NIBRS",66109599,0
2019,8191129,10616,7,2019,"I",,"Y","G","C","2019_07_NB0270100_NIBRS",67832773,0
2019,8145158,10618,1,2019,"I",,"Y","G","C","2019_01_NB0280000_NIBRS",61792410,0
2019,8152820,10618,2,2019,"I",,"Y","G","C","2019_02_NB0280000_NIBRS",66108489,0
2019,8160482,10618,3,2019,"I",,"Y","G","C","2019_03_NB0280000_NIBRS",63974939,0
2019,8168144,10618,4,2019,"I",,"Y","G","C","2019_04_NB0280000_NIBRS",66114167,0
2019,8175806,10618,5,2019,"I",,"Y","G","C","2019_05_NB0280000_NIBRS",66108595,0
2019,8183468,10618,6,2019,"I",,"Y","G","C","2019_06_NB0280000_NIBRS",66108498,0
2019,8191130,10618,7,2019,"I",,"Y","G","C","2019_07_NB0280000_NIBRS",66108470,0
2019,8198792,10618,8,2019,"I",,"Y","G","C","2019_08_NB0280000_NIBRS",66092468,0
2019,8206454,10618,9,2019,"I",,"Y","G","C","2019_09_NB0280000_NIBRS",66092462,0
