"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,103824820,2,
2016,103824814,2,
2016,103825409,1,
2016,103826189,1,
2016,103826426,1,
2016,103826557,1,
2016,103826564,1,
2016,103826733,1,
2016,96627392,6,
2016,97135274,1,
2016,96298069,1,
2016,96298077,1,
2016,96280040,6,
2016,96286077,1,
2016,97113632,1,
2016,97118386,1,
2016,96612643,9,
2016,96612636,9,
2016,96626750,10,
2016,96283502,1,
2016,96292916,6,
2016,97119492,10,
2016,97141503,9,
2016,97119304,10,
2016,97119316,10,
2016,97134856,6,
2016,97135632,2,
2016,97116003,10,
2016,97124411,4,
2016,97124857,1,
2016,97129006,1,
2016,97118526,1,
2016,97118663,10,
2016,97118832,1,
2016,97118868,10,
2016,97118865,10,
2016,97119180,6,
2016,97120195,9,
2016,97124792,1,
2016,97141546,6,
2016,97129397,9,
2016,97132081,1,
2016,96282461,10,
2016,96283824,9,
2016,96294616,1,
2016,96296755,1,
2016,97119486,10,
2016,97124785,1,
2016,97141545,9,
2016,97120624,9,
2016,96299234,6,
2016,97119852,10,
2016,97120189,10,
2016,97113755,1,
2016,97126873,6,
2016,97138849,1,
2016,97118253,1,
2016,97129953,1,
2016,97129972,1,
2016,97130130,1,
2016,97118036,9,
2016,98519214,1,
2016,97136268,1,
2016,98542485,1,
2016,96619256,6,
2016,96623630,6,
2016,92752204,12,6
2016,92747867,9,
2016,92766519,9,
2016,96283548,9,
2016,96283684,5,
2016,96283681,5,
2016,96283679,5,
2016,96288825,9,
2016,96292818,1,
2016,96293049,1,
2016,96296889,10,
2016,96283640,10,
2016,96288121,9,
2016,96288657,6,
2016,96288869,9,
2016,96298156,6,
2016,96283718,1,
2016,96283820,1,
2016,96284094,6,
2016,96289825,1,
2016,96292777,1,
2016,96300477,1,
2016,96625130,1,
2016,96623611,1,
2016,92799835,6,
2016,92795302,6,
2016,92767191,6,
2016,92767244,6,
2016,96283671,1,
2016,96283674,1,
2016,96283719,1,
2016,96283764,1,
2016,96284138,10,
2016,96612968,1,
2016,96624185,1,
2016,96625324,6,
2016,96628280,1,
2016,96295485,9,
2016,96285658,9,
2016,96288158,9,
2016,96292499,6,
2016,96295724,1,
2016,96626427,3,
2016,96299246,1,
2016,98166385,1,
2016,98166681,1,
2016,97114467,1,
2016,97119136,1,
2016,97119638,1,
2016,92800669,1,
2016,92800672,9,
2016,92800752,1,
2016,92800839,9,
2016,92800914,6,
2016,92800970,6,
2016,92801098,1,
2016,92801209,1,
2016,92741177,9,
2016,92741194,6,
2016,92741985,1,
2016,92742755,10,
2016,92745976,1,
2016,92746770,9,
2016,92738178,1,
2016,92738941,1,
2016,92739702,1,
2016,92742012,6,
2016,92742018,1,
2016,92742019,1,
2016,92742808,6,
2016,92742845,1,
2016,92743628,1,
2016,92746033,1,
2016,92746786,1,
2016,92746805,1,
2016,92747589,1,
2016,92747597,1,
2016,92748388,9,
2016,92748394,6,
2016,92748413,9,
2016,92750035,6,
2016,92739005,6,
2016,92739729,6,
2016,92739744,1,
2016,92741297,6,
2016,92741299,9,
2016,92743642,1,
2016,92746050,1,
2016,92746078,9,
2016,92746841,1,
2016,92748438,1,
2016,92749233,9,
2016,92738292,1,
2016,92739787,1,
2016,92739809,1,
2016,92741337,1,
2016,92741354,1,
2016,92742919,6,
2016,92742926,9,
2016,92746093,1,
2016,92746133,9,
2016,92737531,10,
2016,92737532,10,
2016,92737533,10,
2016,92739097,1,
2016,92739822,1,
2016,92740582,9,
2016,92742953,1,
2016,92742988,10,
2016,92744549,9,
2016,92746140,9,
2016,92737574,9,
2016,92739869,2,
2016,92741423,1,
2016,92743007,1,
2016,92743018,1,
2016,92743045,10,
2016,92746994,1,
2016,92747783,9,
2016,92747804,1,
2016,92747806,1,
2016,92749406,1,
2016,92749412,9,
2016,92737645,10,
