"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2016,7136834,11915,1,2016,"I",,"N","F","C","2016_01_NH0053400_NIBRS",,0
2016,7159618,11915,2,2016,"I",,"Y","F","C","2016_02_NH0053400_NIBRS",15547917,0
2016,7182402,11915,3,2016,"I",,"Y","F","C","2016_03_NH0053400_NIBRS",,0
2016,7205186,11915,4,2016,"I",,"Y","F","C","2016_04_NH0053400_NIBRS",6888415,0
2016,7227970,11915,5,2016,"I",,"Y","F","C","2016_05_NH0053400_NIBRS",6888479,0
2016,7250754,11915,6,2016,"I",,"Y","F","C","2016_06_NH0053400_NIBRS",15548029,0
2016,7273538,11915,7,2016,"I",,"N","F","C","2016_07_NH0053400_NIBRS",960920,0
2016,7296322,11915,8,2016,"I",,"Y","F","C","2016_08_NH0053400_NIBRS",3527444,0
2016,7319106,11915,9,2016,"I",,"Y","F","C","2016_09_NH0053400_NIBRS",6231024,0
2016,7341890,11915,10,2016,"I",,"Y","F","C","2016_10_NH0053400_NIBRS",6231080,0
2016,7364674,11915,11,2016,"I",,"Y","F","C","2016_11_NH0053400_NIBRS",15548087,0
2016,7387458,11915,12,2016,"I",,"Y","F","C","2016_12_NH0053400_NIBRS",15548494,0
2016,7136766,11847,1,2016,"I",,"Y","F","C","2016_01_NH0021000_NIBRS",17896611,0
2016,7159550,11847,2,2016,"I",,"Y","F","C","2016_02_NH0021000_NIBRS",6224154,0
2016,7182334,11847,3,2016,"I",,"Y","F","C","2016_03_NH0021000_NIBRS",16861955,0
2016,7205118,11847,4,2016,"I",,"Y","F","C","2016_04_NH0021000_NIBRS",15540965,0
2016,7227902,11847,5,2016,"I",,"Y","F","C","2016_05_NH0021000_NIBRS",15541076,0
2016,7250686,11847,6,2016,"I",,"Y","F","C","2016_06_NH0021000_NIBRS",3506088,0
2016,7273470,11847,7,2016,"I",,"Y","F","C","2016_07_NH0021000_NIBRS",21455011,0
2016,7296254,11847,8,2016,"I",,"Y","F","C","2016_08_NH0021000_NIBRS",6873380,0
2016,7319038,11847,9,2016,"I",,"Y","F","C","2016_09_NH0021000_NIBRS",17896688,0
2016,7341822,11847,10,2016,"I",,"Y","F","C","2016_10_NH0021000_NIBRS",21455155,0
2016,7364606,11847,11,2016,"I",,"Y","F","C","2016_11_NH0021000_NIBRS",21455228,0
