"DATA_YEAR","CRIMINAL_ACT_ID","OFFENSE_ID"
2017,5,117506485
2017,7,117507026
2017,9,117507352
2017,6,117507400
2017,1,117507782
2017,7,117514666
2017,6,117514779
2017,9,117516924
2017,6,117516994
2017,6,117517062
2017,6,117517171
2017,6,117517264
2017,9,117517371
2017,9,117517375
2017,6,117517392
2017,9,117517621
2017,6,117517773
2017,9,117517947
2017,6,117517941
2017,9,117517967
2017,6,117518226
2017,9,117518400
2017,9,117518530
2017,9,117518687
2017,9,117518727
2017,9,117518826
2017,9,117518850
2017,9,117518842
2017,9,117519307
2017,9,117519423
2017,6,117519728
2017,9,117520053
2017,9,117520117
2017,9,117520295
2017,9,117520307
2017,9,117520387
2017,9,117520609
2017,9,117520760
2017,9,117520977
2017,3,117521015
2017,9,117520998
2017,9,117521059
2017,9,117521109
2017,9,117521164
2017,9,117521389
2017,9,117521706
2017,9,117521782
2017,9,117521840
2017,9,117521858
2017,6,117521855
2017,6,117489735
2017,6,117489736
2017,3,117490048
2017,6,117490105
2017,6,117490270
2017,9,117490815
2017,6,117490890
2017,9,117490909
2017,9,117491288
2017,6,117491791
2017,3,117491905
2017,6,117492229
2017,7,117492538
2017,6,117493081
2017,6,117494611
2017,6,117494839
2017,6,117495052
2017,6,117495102
2017,9,117495964
2017,1,117497163
2017,9,117497475
2017,7,117498217
2017,1,117498727
2017,3,117499753
2017,6,117499753
2017,9,117500291
2017,6,117500391
2017,9,117500512
2017,6,117500517
2017,3,117501343
2017,1,117501867
2017,6,117503215
2017,6,117503219
2017,9,117503999
2017,6,117504396
2017,6,117504512
2017,9,117504742
2017,14,117504746
2017,3,117504812
2017,7,117504957
2017,6,117505092
2017,6,117505241
2017,6,117505336
2017,6,117505563
2017,6,117505621
2017,6,117506236
2017,9,117506722
2017,6,117507114
2017,9,117507353
2017,6,117514661
2017,9,117516920
2017,9,117516913
2017,9,117518529
2017,6,117518912
2017,6,117519843
2017,6,117520171
2017,9,117520974
2017,9,117521621
2017,9,117521728
2017,9,117522236
2017,9,117522417
2017,6,117523552
2017,6,117524469
2017,9,117524695
2017,9,117524814
2017,9,117524880
2017,9,117525572
2017,6,117527006
2017,6,117527510
2017,6,117527718
2017,3,117527802
2017,6,117528872
2017,5,117530151
2017,6,117530908
2017,9,117531003
2017,7,117532837
2017,6,117533097
2017,9,117533384
2017,9,117534001
2017,6,117534088
2017,6,117534158
2017,7,117534255
2017,6,117534724
2017,6,117534744
2017,9,117536001
2017,3,117522403
2017,9,117522639
2017,9,117523013
2017,9,117523171
2017,9,117523327
2017,9,117523331
2017,9,117523641
2017,9,117523690
2017,6,117524050
2017,9,117524137
2017,9,117524365
2017,6,117524496
2017,9,117524602
2017,9,117525032
2017,3,117525164
2017,9,117525200
2017,9,117525467
2017,3,117525586
2017,9,117527235
2017,3,117527367
2017,6,117527474
2017,1,117527528
2017,9,117527534
2017,3,117527683
2017,9,117527994
2017,6,117528042
2017,6,117528095
2017,6,117528703
2017,6,117529007
2017,6,117529293
2017,3,117529479
2017,3,117529569
2017,6,117529681
2017,6,117529739
2017,6,117529781
2017,3,117494261
2017,6,117495113
2017,9,117496199
2017,9,117497263
2017,6,117497719
2017,7,117498223
2017,6,117500660
2017,6,117501883
2017,6,117502816
2017,6,117502869
2017,6,117503185
2017,6,117504026
2017,12,117504095
2017,9,117504427
2017,7,117504448
2017,7,117504935
2017,9,117504961
2017,7,117505578
2017,9,117505607
2017,6,117505625
2017,6,117505816
2017,6,117506070
2017,6,117506162
2017,9,117506341
2017,9,117506401
2017,9,117506582
2017,9,117506798
2017,6,117517356
2017,9,117517645
2017,6,117517850
2017,6,117518066
2017,6,117518088
2017,6,117518171
2017,9,117518252
2017,6,117518679
2017,6,117519026
2017,6,117519020
2017,9,117519268
2017,9,117519771
2017,9,117520090
2017,9,117520435
2017,9,117520500
2017,9,117520507
2017,9,117520734
2017,9,117521176
2017,9,117521236
2017,3,117521672
2017,9,117521790
2017,3,117521847
2017,6,118393002
2017,6,118393210
2017,7,118393276
2017,6,118395466
2017,6,118394534
2017,6,118394543
2017,6,118396039
2017,6,118396183
2017,6,118396181
2017,12,118397128
2017,6,118397928
2017,6,118398545
2017,6,118398544
2017,6,118398682
2017,6,118398697
2017,7,118398697
2017,6,118398704
2017,7,118398704
2017,2,118398835
2017,6,118399305
2017,9,118400425
2017,6,118400479
2017,6,118400555
2017,6,118400777
2017,9,118400894
2017,6,118401220
2017,3,118401408
2017,6,118401714
2017,9,118402212
2017,6,118402451
2017,6,118402869
2017,9,118403003
2017,6,118402994
2017,9,118403285
2017,6,118403310
2017,6,118403423
2017,7,118403423
2017,8,118404122
2017,6,118404439
2017,9,118404569
2017,6,117532873
2017,9,117533047
2017,9,117533927
2017,2,117533961
2017,3,117534709
2017,9,117534894
2017,3,117536076
2017,1,117536404
2017,6,117536561
2017,8,117536561
2017,9,117536749
2017,9,117537906
2017,6,117538084
2017,6,117538391
2017,9,117538775
2017,6,117539099
2017,6,117539119
2017,6,117507035
2017,6,117507062
2017,6,117507137
2017,6,117514754
2017,3,117514778
2017,6,117515040
2017,9,117516935
2017,6,117516937
2017,9,117517080
2017,6,117517164
2017,9,117517393
2017,11,117517542
2017,6,117517562
2017,6,117517960
2017,6,117517984
2017,9,117518346
2017,9,117518668
2017,6,117519380
2017,9,117519432
2017,9,117519451
2017,9,117519801
2017,6,117519879
2017,9,117519877
2017,9,117519963
2017,9,117520035
2017,9,117520303
2017,9,117520377
2017,6,117520552
2017,9,117520787
2017,9,117520808
2017,9,117520910
2017,6,117521079
2017,9,117521089
2017,6,117521092
2017,9,117521293
2017,9,117521591
2017,9,117522007
2017,6,117522166
2017,9,117522176
2017,9,117522399
2017,2,117522406
2017,9,117522494
2017,9,117522707
2017,9,117522768
2017,6,117522833
2017,9,117522855
2017,9,117522885
2017,9,117522865
2017,8,117522908
2017,9,117522921
2017,9,117523292
2017,9,117523382
2017,9,117523431
2017,9,117523654
2017,9,117523717
2017,6,117523714
2017,6,117523762
2017,9,117523829
2017,9,117523911
2017,6,117524011
2017,6,117524065
2017,9,117524184
2017,9,117524256
2017,9,117524538
2017,9,117524605
2017,9,117524659
2017,6,117524774
2017,6,117524778
2017,9,117524827
2017,9,117525011
2017,9,117525080
2017,9,117525217
2017,9,117525318
2017,9,117525460
2017,9,117525495
2017,9,117525540
2017,6,117527051
2017,9,117527612
2017,6,117527656
2017,6,117527859
2017,9,117528057
2017,1,117528087
2017,6,117528729
2017,6,117529287
2017,12,117529561
2017,4,117530318
2017,4,117530611
2017,8,117530614
2017,6,117530621
2017,6,117530627
2017,6,117530667
2017,6,117530675
2017,9,117530755
2017,8,117530948
2017,6,117530992
2017,6,117531224
2017,9,117531269
2017,9,117531532
2017,6,117531550
2017,6,117532211
2017,6,117532300
2017,6,117532530
2017,6,117532590
2017,7,117533188
2017,8,117533409
2017,2,117533454
2017,9,117533472
2017,6,117533464
2017,9,117533605
2017,9,117533827
2017,7,117533970
2017,9,117533997
2017,6,117534053
2017,6,117534115
2017,6,117534170
2017,9,117534253
2017,9,117534303
2017,6,117534413
2017,6,117534455
2017,9,117534662
2017,6,117534742
2017,6,117534739
2017,6,117535064
2017,6,117535106
2017,6,117535120
2017,6,117535183
2017,9,117535400
2017,6,117535482
2017,6,117535939
2017,6,117535994
2017,6,117536207
2017,6,117536252
2017,6,117536528
2017,6,117536527
2017,7,117536527
2017,9,117536582
2017,9,117536729
2017,9,117520465
2017,9,117520584
2017,9,117520636
2017,9,117521625
2017,3,117521787
2017,9,117521921
2017,9,117522379
2017,9,117522434
2017,9,117522826
2017,9,117523405
2017,9,117524531
2017,9,117524887
2017,9,117524921
2017,9,117525243
2017,9,117525641
2017,6,117527115
2017,9,117527684
2017,6,117528851
2017,6,117530229
2017,4,117530351
2017,6,117530761
2017,6,117531066
2017,6,117531477
2017,1,117531587
2017,3,117531587
2017,9,117531908
2017,6,117532216
2017,6,117532583
2017,6,117532880
2017,2,117533444
2017,3,117533646
2017,6,117533682
2017,9,117534063
2017,6,117534366
2017,6,117534428
2017,6,117534484
2017,7,117534622
2017,6,117535007
2017,7,117535007
2017,6,117535150
2017,9,117536268
2017,4,117536325
2017,9,117537936
2017,6,117538000
2017,7,117538000
2017,6,117539121
2017,7,117489277
2017,6,117489323
2017,6,117490207
2017,9,117490499
2017,9,117491290
2017,6,117491418
2017,3,117491889
2017,9,117491971
2017,3,117493118
2017,9,117494994
2017,6,117495899
2017,6,117495895
2017,6,117496043
2017,6,117497320
2017,6,117497839
2017,8,117497838
2017,6,117498269
2017,6,117499050
2017,6,117499421
2017,9,117499814
2017,7,117500271
2017,6,117503072
2017,3,117504055
2017,3,117504277
2017,7,117504424
2017,6,117504519
2017,6,117505097
2017,8,117505252
2017,6,117505494
2017,6,117505622
2017,9,117505670
2017,1,117505709
2017,9,117505949
2017,9,117505968
2017,6,117506324
2017,6,117506523
2017,4,117506848
2017,6,117507015
2017,6,117507198
2017,9,117507375
2017,6,117507778
2017,6,117514669
2017,6,117489034
2017,6,117489473
2017,9,117490450
2017,6,117490947
2017,6,117490990
2017,6,117491070
2017,9,117491118
2017,9,117491367
2017,6,117491457
2017,6,117491825
2017,6,117492095
2017,6,117492746
2017,6,117493836
2017,6,117496166
2017,9,117499543
2017,6,117500115
2017,6,117500431
2017,6,117500832
2017,6,117501438
2017,6,117501713
2017,6,117502401
2017,6,117503073
2017,1,117503522
2017,7,117504411
2017,6,117504925
2017,9,117505019
2017,3,117505144
2017,6,117505995
2017,9,117506019
2017,6,117506060
2017,9,117506362
2017,8,117506755
2017,6,117506992
2017,9,117507019
2017,6,117507140
2017,6,117507271
2017,6,117507276
2017,1,117507358
2017,6,117507682
2017,6,117507813
2017,6,117514781
2017,6,117517101
