"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2017,113046635,90916064,45,"C",13,,""
2017,113046737,90916152,5,"C",20,,""
2017,113046786,90916191,35,"C",18,,""
2017,113047185,90916568,16,"C",13,,""
2017,113047189,90916568,35,"C",13,,""
2017,113048159,90917426,46,"C",20,,""
2017,113048189,90917455,51,"C",46,,""
2017,113048289,90917545,16,"C",20,,""
2017,113048317,90917571,44,"C",25,,""
2017,113048463,90917705,44,"C",20,,""
2017,113048497,90917728,46,"C",20,,""
2017,113048615,90917845,49,"C",20,,"F"
2017,113048637,90917863,51,"C",20,,""
2017,113048757,90917970,5,"C",13,,""
2017,113048801,90918014,5,"C",13,,""
2017,113048841,90918053,16,"C",13,,""
2017,113048883,90918090,16,"C",21,,""
2017,113049039,90918221,16,"C",13,,""
2017,113049079,90918260,16,"C",13,,""
2017,113049150,90918308,36,"C",25,,""
2017,113049388,90918501,51,"C",13,,""
2017,113049514,90918619,5,"C",13,,""
2017,113049526,90918631,5,"C",20,,""
2017,113049637,90918725,16,"C",13,,""
2017,113038506,90909116,37,"C",25,,""
2017,113038509,90909116,16,"C",25,,""
2017,113038635,90909203,45,"C",20,,""
2017,113038687,90909242,45,"C",25,,""
2017,113038947,90909438,23,"C",8,,""
2017,113038976,90909464,16,"C",18,,""
2017,113038980,90909464,35,"C",18,,""
2017,113039222,90909671,44,"C",20,,""
2017,113039257,90909708,2,"C",18,,""
2017,113039255,90909708,11,"C",18,,""
2017,113039576,90909981,49,"C",20,,"F"
2017,113039733,90910122,47,"C",20,,""
2017,113039989,90910332,14,"C",20,,""
2017,113040025,90910367,44,"C",13,,""
2017,113040126,90910457,43,"C",10,,""
2017,113040160,90910484,16,"C",41,,""
2017,113040362,90910667,16,"C",14,,""
2017,113040400,90910704,23,"C",12,,""
2017,113040401,90910704,16,"C",13,,""
2017,113040508,90910778,2,"C",20,,""
2017,113041017,90911226,16,"C",13,,""
2017,113041543,90911653,5,"C",18,,""
2017,113041639,90911748,28,"C",13,,""
2017,113041693,90911785,23,"C",8,,""
2017,113041709,90911795,16,"C",20,,""
2017,113041767,90911848,2,"C",25,,""
2017,113041912,90911974,51,"C",20,,""
2017,113042030,90912071,44,"C",20,,""
2017,113042061,90912101,51,"C",10,,""
