"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2017,100967420,63,200,,107172732
2017,100967528,20,1000,,107172882
2017,100967749,8,1,,107173163
2017,100967788,19,69,,107173218
2017,100967832,30,100,,107173274
2017,100967913,8,616,,107173362
2017,100967955,20,400,,107173409
2017,100972207,10,,,107178473
2017,100972207,63,10,,107178474
2017,100972264,42,100,,107178536
2017,100972303,63,150,,107178575
2017,100972353,20,17870,,107178621
2017,100972408,10,,,107178672
2017,100972459,20,10,,107178724
2017,100972500,38,50,,107178782
2017,100972496,63,250,,107178775
2017,100972513,21,380,,107178796
2017,100972509,9,0,,107178792
2017,100972564,10,,,107178860
2017,100972589,10,,,107178891
2017,100972654,36,1200,,107178960
2017,100972652,51,0,,107178953
2017,100972652,52,0,,107178957
2017,100972657,38,100,,107178964
2017,100972677,10,,,107178986
2017,100972693,20,280,,107179005
2017,100972702,65,900,,107179016
2017,100972702,36,400,,107179014
2017,100972722,54,50,,107179040
2017,100972726,10,,,107179044
2017,100972728,54,50,,107179046
2017,100972738,8,22,18-JUN-17,107179061
2017,100972744,8,22,,107179066
2017,101459098,20,300,,107804465
2017,101459122,42,293,,107804493
2017,101459119,42,293,10-JUL-17,107804489
2017,101459144,17,2500,,107804526
2017,96709494,63,250,,101609293
2017,96709504,24,900,,101609303
2017,96709626,26,545,,101609478
2017,96709643,63,100,,101609504
2017,96710300,31,200,,101610361
2017,96710320,10,,,101610383
2017,96710478,13,1,14-JAN-17,101610581
2017,96710581,63,1,,101610719
2017,96710666,46,523,,101610831
2017,96710952,29,1,,101611171
2017,96710992,17,2501,,101611227
2017,96714271,63,1,,101615221
2017,96714271,16,4,,101615216
2017,96714271,17,3016,,101615218
2017,96714281,4,100,,101615232
2017,96714278,4,100,22-AUG-17,101615229
2017,96714317,6,1,,101615270
2017,96714317,23,50,,101615272
2017,96714412,63,1,,101615400
2017,96714412,20,20,,101615399
2017,100967847,63,1,,107173291
2017,100967847,16,40,,107173287
2017,100967901,10,,,107173341
2017,96698077,45,39,02-FEB-17,101594778
2017,96698089,17,20190,,101594792
2017,96698089,9,0,,101594781
2017,96698089,20,439,,101594798
2017,96698149,3,25000,,101594882
2017,96698142,3,25000,26-MAY-17,101594878
2017,96698165,26,1000,,101594908
2017,100968036,10,,,107173491
2017,96698289,29,200,,101595089
2017,96698303,25,100,22-JUL-17,101595093
2017,96698312,9,0,,101595114
2017,96698312,25,100,,101595119
2017,96698611,10,,,101595502
2017,96698642,16,12,,101595546
2017,96698642,8,11,,101595542
2017,96698833,63,110,,101595778
2017,96698879,31,1000,,101595841
2017,96699056,10,,,101596047
2017,100968055,3,500,,107173522
2017,100968095,10,,,107173565
2017,100968112,19,700,,107173588
2017,100968112,8,30,,107173586
