"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,112307232,115672541,21,34102905
2018,112311881,115677257,3,34102912
2018,112303093,115677296,3,34099197
2018,112307590,115672926,24,34102996
2018,112312304,115682986,14,34103016
2018,112303466,115677789,26,34103050
2018,112312465,115683098,3,34093736
2018,112308011,115673466,7,34103116
2018,112312905,115683360,3,34099484
2018,112307286,115677293,9,34102916
2018,112307293,115672597,13,34093618
2018,112303097,115672597,16,34093619
2018,112311931,115672609,16,34102923
2018,112311967,115677344,5,34099207
2018,112303161,115672676,20,34099215
2018,112312221,115682927,16,34099277
2018,112312220,115682927,16,34093684
2018,112307665,115672999,26,34093711
2018,112303417,115673043,21,34093717
2018,112312367,115677726,24,34099326
2018,112312367,115683032,24,34103035
2018,112312367,115673051,24,34099328
2018,112312458,115673137,3,34103055
2018,112307792,115683100,24,34093737
2018,112312608,115683211,1,34099391
2018,112312628,115677928,22,34099404
2018,112303614,115683240,26,34093777
2018,112312886,115673545,3,34099481
2018,112312917,115683370,21,34093816
2018,112308144,115673633,3,34093824
2018,112313100,115673754,16,34099537
2018,112311854,115677223,5,34099184
2018,112303094,115682721,3,34093617
2018,112311926,115672599,17,34093620
2018,112312010,115672670,15,34099214
2018,112312036,115677411,8,34093650
2018,112303202,115677427,16,34102951
2018,112312086,115672765,3,34099230
2018,112307510,115677525,16,34093669
2018,112307515,115682892,24,34093672
2018,112312225,115672905,24,34099279
2018,112307589,115672925,3,34093690
2018,112312261,115682961,3,34093694
2018,112307618,115672960,3,34093695
2018,112307624,115672965,1,34093698
2018,112312272,115672965,1,34099305
2018,112307638,115672978,1,34103015
2018,112307645,115677677,9,34103017
2018,112307751,115673093,14,34099341
2018,112307786,115673130,24,34099354
2018,112307797,115673144,15,34093740
2018,112303569,115673235,16,34093760
2018,112307893,115683210,3,34093767
2018,112310133,115686448,21,34094460
2018,112305713,115686448,5,34105447
2018,112310149,115690358,1,34103845
2018,112315895,115686599,5,34105490
2018,112310299,115686675,1,34103888
2018,112316167,115686862,16,34105570
2018,112316522,115695741,1,34105656
2018,112316594,115695783,26,34105673
2018,112321261,115690818,11,34094619
2018,112310748,115695848,1,34104005
2018,112316820,115695885,18,34105722
2018,112316823,115695885,1,34104021
2018,112316871,115687491,17,34104030
2018,112321369,115695932,3,34094656
2018,112321411,115687627,15,34105770
2018,112321412,115687627,25,34105773
2018,112321412,115695990,15,34105772
2018,112321411,115695990,25,34104054
2018,112311010,115687712,16,34104082
2018,112317161,115696084,3,34094689
2018,112322747,115697283,1,34104487
2018,112322754,115689190,14,34106281
2018,112318719,115689245,24,34106312
2018,112322791,115689245,24,34095069
2018,112322914,115692462,24,34095100
2018,112311860,115672543,21,34102906
