"YEARLY_AGENCY_ID","AGENCY_ID","DATA_YEAR","ORI","LEGACY_ORI","COVERED_BY_LEGACY_ORI","DIRECT_CONTRIBUTOR_FLAG","DORMANT_FLAG","DORMANT_YEAR","REPORTING_TYPE","UCR_AGENCY_NAME","NCIC_AGENCY_NAME","PUB_AGENCY_NAME","PUB_AGENCY_UNIT","AGENCY_STATUS","STATE_ID","STATE_NAME","STATE_ABBR","STATE_POSTAL_ABBR","DIVISION_CODE","DIVISION_NAME","REGION_CODE","REGION_NAME","REGION_DESC","AGENCY_TYPE_NAME","POPULATION","SUBMITTING_AGENCY_ID","SAI","SUBMITTING_AGENCY_NAME","SUBURBAN_AREA_FLAG","POPULATION_GROUP_ID","POPULATION_GROUP_CODE","POPULATION_GROUP_DESC","PARENT_POP_GROUP_CODE","PARENT_POP_GROUP_DESC","MIP_FLAG","POP_SORT_ORDER","SUMMARY_RAPE_DEF","PE_REPORTED_FLAG","MALE_OFFICER","MALE_CIVILIAN","PED.MALE_OFFICER+PED.MALE_CIVILIAN","FEMALE_OFFICER","FEMALE_CIVILIAN","PED.FEMALE_CIVILIAN+PED.FEMALE_OFFICER","0","0","NIBRS_CERT_DATE","NIBRS_START_DATE","NIBRS_LEOKA_START_DATE","NIBRS_CT_START_DATE","NIBRS_MULTI_BIAS_START_DATE","NIBRS_OFF_ETH_START_DATE","COVERED_FLAG","COUNTY_NAME","MSA_NAME","PUBLISHABLE_FLAG","PARTICIPATED","NIBRS_PARTICIPATED"
118302018,11830,2018,"NH001010X","NH0010100","","N","N",,"I","SP: BELKNAP COUNTY","SP: BELKNAP COUNTY","State Police:","Belknap County","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","State Police",0,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",16,"8D","Non-MSA counties under 10,000","8","Non-MSA Counties","N",3,"R","N",,,,,,,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-MAR-15,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118312018,11831,2018,"NH0010200","NH0010200","","N","N",,"I","ALTON","ALTON PD","Alton","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",5353,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",11,0,11,1,2,3,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118322018,11832,2018,"NH0010400","NH0010400","","N","N",,"I","BARNSTEAD","BARNSTEAD PD","Barnstead","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",4674,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",5,0,5,0,0,0,0,0,01-JAN-02,01-JUL-02,01-JUL-02,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118332018,11833,2018,"NH0010600","NH0010600","","N","N",,"I","BELMONT","BELMONT PD","Belmont","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",7329,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",12,1,13,2,3,5,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118342018,11834,2018,"NH0010800","NH0010800","","N","N",,"I","CENTER HARBOR","CENTER HARBOR PD","Center Harbor","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",1109,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",3,0,3,0,0,0,0,0,01-JAN-02,01-DEC-08,01-DEC-08,01-OCT-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118352018,11835,2018,"NH0011000","NH0011000","","N","N",,"I","GILFORD","GILFORD PD","Gilford","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",7216,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",17,1,18,1,4,5,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118362018,11836,2018,"NH0011200","NH0011200","","N","N",,"I","GILMANTON","GILMANTON PD","Gilmanton","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",3757,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",3,0,3,0,1,1,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118372018,11837,2018,"NH0011400","NH0011400","","N","N",,"I","LACONIA","LACONIA PD","Laconia","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",16658,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",9,"5","Cities from 10,000 thru 24,999","5","Cities from 10,000 thru 24,999","N",2,"R","Y",31,4,35,8,6,14,0,0,01-JAN-02,01-JAN-02,01-JAN-02,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118382018,11838,2018,"NH0011600","NH0011600","","N","N",,"I","MEREDITH","MEREDITH PD","Meredith","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",6446,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",10,"6","Cities from 2,500 thru 9,999","6","Cities from 2,500 thru 9,999","N",2,"R","Y",13,0,13,1,4,5,0,0,01-JAN-02,01-JUN-02,01-JUN-02,01-APR-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
118392018,11839,2018,"NH0011800","NH0011800","","N","N",,"I","NEW HAMPTON","NEW HAMPTON PD","New Hampton","","A",34,"New Hampshire","NH","NH","1","New England","1","Northeast","Region I","City",2215,23381,"NHUCR0001","New Hampshire Department of Public Safety New Hampshire State Police Uniform Crime Reporting Unit","N",11,"7","Cities under 2,500","7","Cities under 2,500","N",2,"R","Y",5,0,5,1,0,1,0,0,01-JAN-02,01-JAN-03,01-JAN-03,01-JUL-10,,,"N","BELKNAP","Non-MSA","Y","Y","Y"
