"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2016,17,89854786,1,11,7000263
2016,16,89854996,1,11,7000268
2016,4,89864246,1,11,7000285
2016,5,89864297,1,11,7000287
2016,5,89864347,1,11,7000288
2016,5,89864167,1,11,7000290
2016,5,89864169,1,11,7000291
2016,4,89864508,1,11,7000292
2016,16,91399775,1,11,7004621
2016,17,91399802,1,11,7004622
2016,4,91391622,1,11,7004630
2016,5,91391678,1,11,7004631
2016,5,91391725,1,11,7004632
2016,5,91399844,1,11,7004635
2016,5,91385679,1,11,7004647
2016,5,91394441,1,11,7004671
2016,5,91394480,1,11,7004672
2016,12,91400550,1,11,7004687
2016,8,91400083,1,11,7004708
2016,5,91400098,1,11,7004709
2016,4,91400099,1,11,7004710
2016,5,91400100,1,11,7004711
2016,5,91400154,1,11,7004712
2016,8,91400163,1,11,7004713
2016,5,91400166,1,11,7004714
2016,5,91395474,1,11,7004715
2016,5,91390229,1,11,7004727
2016,8,91390233,1,11,7004728
2016,5,91390267,1,11,7004729
2016,5,91390274,1,11,7004730
2016,5,91390302,1,11,7004731
2016,4,91400224,1,11,7004732
2016,5,91400230,1,11,7004733
2016,5,91400244,1,11,7004734
2016,5,91395491,1,11,7004735
2016,3,91395512,1,11,7004736
2016,4,91375305,1,11,7004742
2016,5,91375313,1,11,7004743
2016,5,91375322,1,11,7004744
2016,5,91367344,1,11,7004757
2016,5,91367348,1,11,7004758
2016,5,91367352,1,11,7004759
2016,5,91367357,1,11,7004760
2016,5,91367358,1,11,7004761
2016,4,91369232,1,11,7004762
2016,5,91367368,1,11,7004775
2016,5,91367373,1,11,7004776
2016,5,91367405,1,11,7004777
2016,5,91367412,1,11,7004778
2016,5,91367414,1,11,7004779
2016,5,91367415,1,11,7004780
2016,5,91367419,1,11,7004781
2016,5,91367420,1,11,7004782
2016,5,91367423,1,11,7004783
2016,5,91367426,1,11,7004784
2016,5,91367432,1,11,7004787
2016,5,91367435,1,11,7004788
2016,5,91367436,1,11,7004789
2016,5,91367438,1,11,7004790
2016,5,91367439,1,11,7004791
2016,5,91367440,1,11,7004792
2016,5,91367441,1,11,7004793
2016,5,91367442,1,11,7004794
2016,5,91367443,1,11,7004795
2016,5,91367445,1,11,7004796
2016,5,91367448,1,11,7004797
2016,5,91367453,1,11,7004798
2016,5,91367456,1,11,7004799
2016,16,91367470,1,11,7004800
2016,5,91367492,1,11,7004801
2016,5,91367494,1,11,7004816
2016,5,91367497,1,11,7004817
2016,5,91367498,1,11,7004818
2016,5,91367502,1,11,7004819
2016,5,91367504,1,11,7004820
2016,5,91367508,1,11,7004821
2016,5,91367517,1,11,7004822
2016,5,91367518,1,11,7004823
2016,5,91367520,1,11,7004824
