"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2016,101981539,1,
2016,102997921,1,
2016,102926107,9,
2016,102536439,10,
2016,102510357,9,
2016,102512419,9,
2016,101977784,10,
2016,102575555,10,
2016,102548756,3,
2016,102469555,10,
2016,101938956,1,
2016,102568331,10,
2016,102559260,10,
2016,102542851,1,
2016,102445123,10,
2016,102565220,10,
2016,102409862,9,
2016,102078400,10,
2016,102078398,10,
2016,102078404,10,
2016,102571842,10,
2016,102561638,9,
2016,102463492,1,
2016,102559028,10,
2016,102560045,1,
2016,102452731,9,
2016,101939120,6,
2016,101956945,10,
2016,101982351,10,
2016,101988263,9,
2016,101945261,1,
2016,102462398,10,
2016,102462403,10,
2016,102513828,9,
2016,101929645,10,
2016,101942720,10,
2016,101932455,1,
2016,102082216,10,
2016,101988996,1,
2016,101988998,1,
2016,102080840,10,
2016,102068553,10,
2016,102068555,10,
2016,102517664,10,
2016,102453399,9,
2016,102454802,1,
2016,102533349,1,
2016,102534117,1,
2016,102404729,1,
2016,102406395,9,
2016,102406397,9,
2016,102479797,10,
2016,102484910,1,
2016,102492994,10,
2016,102062198,9,
2016,102031239,10,
2016,102031456,1,
2016,102592259,9,
2016,102079605,1,
2016,102469501,9,
2016,102579726,8,
2016,102579729,8,
2016,102475074,10,
2016,102475075,10,
2016,102078934,10,
2016,102458573,10,
2016,102402057,9,
2016,102469997,1,
2016,102478531,10,
2016,102446697,10,
2016,101947008,1,
2016,102496998,10,
2016,102353534,9,
2016,102355771,9,
2016,102454300,1,
2016,102313526,9,
2016,102376371,10,
2016,102454057,10,
2016,102514962,10,
2016,102505007,10,
2016,102074138,1,
2016,102516443,10,
2016,102518219,10,
2016,102496643,1,
2016,102575226,10,
2016,102511981,10,
2016,102556585,1,
2016,102577173,10,
2016,102520747,9,
2016,102569308,1,
2016,102558243,10,
2016,102573218,10,
2016,102334402,9,
2016,102500007,10,
2016,102560597,10,
2016,102460377,10,
2016,102477350,1,
2016,102483879,10,
2016,102012364,9,
2016,101929918,1,
2016,101931262,1,
2016,102024678,10,
2016,102062264,10,
2016,102394575,9,
2016,102079783,1,
2016,102081798,9,
2016,102597945,9,
2016,102478387,10,
2016,102024645,1,
2016,102024645,3,
2016,101922552,1,
2016,101975388,1,
2016,102459675,10,
2016,102080965,10,
2016,102575986,6,
2016,102472824,10,
2016,102453791,9,
2016,102456021,10,
2016,102398173,9,
2016,102338030,9,
2016,101915982,1,
2016,101922621,6,
2016,102529683,1,
2016,101931650,6,
2016,102444906,1,
2016,102551203,10,
2016,102482338,1,
2016,102558333,10,
2016,102474948,10,
2016,102575929,10,
2016,102582897,10,
2016,102010733,1,
2016,102565920,9,
2016,102544771,10,
2016,102590660,10,
2016,102529782,9,
2016,102512940,10,
2016,102047280,1,
2016,102047275,1,
2016,102532666,1,
2016,102454126,9,
2016,102454140,1,
2016,102083157,10,
2016,102421084,9,
2016,102558534,10,
2016,102434115,10,
2016,102444323,10,
2016,102461688,10,
2016,102437824,9,
2016,101995517,1,
2016,101995581,1,
2016,102562273,1,
2016,102021136,10,
2016,102069080,10,
2016,102568655,10,
2016,102569288,10,
2016,102569533,10,
2016,102078067,8,
2016,101969935,9,
2016,101969925,9,
