"DATA_YEAR","NIBRS_MONTH_ID","AGENCY_ID","MONTH_NUM","DATA_YEAR","REPORTED_STATUS","REPORT_DATE","UPDATE_FLAG","ORIG_FORMAT","DATA_HOME","DDOCNAME","DID","MONTH_PUB_STATUS"
2017,7561861,14323,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0251000_NIBRS",29124865,0
2017,7594293,14323,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0251000_NIBRS",29124883,0
2017,7594294,14323,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0251000_NIBRS",29124899,0
2017,7674002,14323,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0251000_NIBRS",29124923,0
2017,7678274,14323,5,2017,"I",,"Y","G","C","2017_05_OH0251000_NIBRS",28126584,0
2017,7701215,14323,6,2017,"I",,"Y","G","C","2017_06_OH0251000_NIBRS",28123858,0
2017,7735183,14323,7,2017,"I",,"Y","G","C","2017_07_OH0251000_NIBRS",28126601,0
2017,7797999,14323,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0251000_NIBRS",29124945,0
2017,7861637,14323,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0251000_NIBRS",29124967,0
2017,7803786,14323,10,2017,"I",,"Y","G","C","2017_10_OH0251000_NIBRS",29124974,0
2017,7901207,14323,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0251000_NIBRS",29127945,0
2017,7901208,14323,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0251000_NIBRS",29117747,0
2017,7646842,14203,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0160000_NIBRS",8043756,0
2017,7646843,14203,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0160000_NIBRS",8043767,0
2017,7646844,14203,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0160000_NIBRS",8043783,0
2017,7651514,14203,4,2017,"I",,"Y","G","C","2017_04_OH0160000_NIBRS",14111606,0
2017,7797881,14203,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0160000_NIBRS",14111649,0
2017,7797882,14203,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0160000_NIBRS",14111682,0
2017,7797883,14203,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0160000_NIBRS",14111726,0
2017,7797884,14203,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0160000_NIBRS",14111753,0
2017,7797885,14203,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0160000_NIBRS",14111805,0
2017,8046622,14203,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0160000_NIBRS",21634515,0
2017,8046624,14203,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0160000_NIBRS",21634556,0
2017,8046625,14203,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0160000_NIBRS",21634595,0
2017,7594271,14245,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0183600_NIBRS",7184486,0
2017,7623377,14245,6,2017,"I",,"Y","G","C","2017_06_OH0183600_NIBRS",8044829,0
2017,7673958,14245,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0183600_NIBRS",8996909,0
2017,7730965,14245,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0183600_NIBRS",11120401,0
2017,7730967,14245,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0183600_NIBRS",11120649,0
2017,7797905,14245,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0183600_NIBRS",14115995,0
2017,7797906,14245,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0183600_NIBRS",14116036,0
2017,7861589,14245,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0183600_NIBRS",16255806,0
2017,7486621,14430,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0320000_NIBRS",3908457,0
2017,7505481,14430,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0320000_NIBRS",14172644,0
2017,7533825,14430,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0320000_NIBRS",8075385,0
2017,7594343,14430,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0320000_NIBRS",8075440,0
2017,7646943,14430,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0320000_NIBRS",8075494,0
2017,7646945,14430,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0320000_NIBRS",11152144,0
2017,7646946,14430,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0320000_NIBRS",14172691,0
2017,7731136,14430,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0320000_NIBRS",16287276,0
2017,7731137,14430,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0320000_NIBRS",16287318,0
2017,7731138,14430,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0320000_NIBRS",16287374,0
2017,7798175,14430,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0320000_NIBRS",17409886,0
2017,7861740,14430,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0320000_NIBRS",25146556,0
2017,7506463,14905,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0870000_NIBRS",28151188,0
2017,7535680,14905,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0870000_NIBRS",16434592,0
2017,7566131,14905,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0870000_NIBRS",21748666,0
2017,7594719,14905,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0870000_NIBRS",17543003,0
2017,7622599,14905,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0870000_NIBRS",21125080,0
2017,7650157,14905,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0870000_NIBRS",16434839,0
2017,7674590,14905,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0870000_NIBRS",29186710,0
2017,7734484,14905,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0870000_NIBRS",26952827,0
2017,7734485,14905,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0870000_NIBRS",25173531,0
2017,7799813,14905,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0870000_NIBRS",29186717,0
2017,7863764,14905,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0870000_NIBRS",22423823,0
2017,7863765,14905,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0870000_NIBRS",28980705,0
2017,7506340,14653,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0572200_NIBRS",25161801,0
2017,7533914,14653,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0572200_NIBRS",21077642,0
2017,7564525,14653,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0572200_NIBRS",22380391,0
2017,7594542,14653,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0572200_NIBRS",14250522,0
2017,7621471,14653,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0572200_NIBRS",29140941,0
2017,7647032,14653,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0572200_NIBRS",8091022,0
2017,8046945,14653,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0572200_NIBRS",25157927,0
2017,8380377,14653,9,2017,"I",21-DEC-18,"Y","F","C","2017_09_OH0572200_NIBRS",29147754,0
2017,8241192,14653,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0572200_NIBRS",25161775,0
2017,8376254,14653,11,2017,"I",21-DEC-18,"Y","F","C","2017_11_OH0572200_NIBRS",28910963,0
2017,7561872,14348,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0260000_NIBRS",16272787,0
2017,7594304,14348,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0260000_NIBRS",6359625,0
2017,7561873,14348,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0260000_NIBRS",16272806,0
2017,7619344,14348,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0260000_NIBRS",16272845,0
2017,7619345,14348,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0260000_NIBRS",21023636,0
2017,7646906,14348,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0260000_NIBRS",21653976,0
2017,7674056,14348,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0260000_NIBRS",14156757,0
2017,7798095,14348,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0260000_NIBRS",14156813,0
2017,7798096,14348,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0260000_NIBRS",14156851,0
2017,7798097,14348,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0260000_NIBRS",21654016,0
2017,7861657,14348,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0260000_NIBRS",22338220,0
2017,7861659,14348,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0260000_NIBRS",21654066,0
2017,7506166,14455,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0370000_NIBRS",28129448,0
2017,7533840,14455,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0370000_NIBRS",21665228,0
2017,7564313,14455,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0370000_NIBRS",25142303,0
2017,7594362,14455,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0370000_NIBRS",16295529,0
2017,7621357,14455,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0370000_NIBRS",28864753,0
2017,7646971,14455,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0370000_NIBRS",21040974,0
2017,7674177,14455,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0370000_NIBRS",17418267,0
2017,7731161,14455,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0370000_NIBRS",21041048,0
2017,7731163,14455,9,2017,"I",01-SEP-09,"Y","F","C","2017_09_OH0370000_NIBRS",26928093,0
2017,7798276,14455,10,2017,"I",01-OCT-10,"Y","F","C","2017_10_OH0370000_NIBRS",28129458,0
2017,7861770,14455,11,2017,"I",01-NOV-11,"Y","F","C","2017_11_OH0370000_NIBRS",28864769,0
2017,7861772,14455,12,2017,"I",01-DEC-12,"Y","F","C","2017_12_OH0370000_NIBRS",28131588,0
2017,7506441,14852,1,2017,"I",01-JAN-01,"Y","F","C","2017_01_OH0790400_NIBRS",9138401,0
2017,7535655,14852,2,2017,"I",01-FEB-02,"Y","F","C","2017_02_OH0790400_NIBRS",21121862,0
2017,7565963,14852,3,2017,"I",01-MAR-03,"Y","F","C","2017_03_OH0790400_NIBRS",11208623,0
2017,7594639,14852,4,2017,"I",01-APR-04,"Y","F","C","2017_04_OH0790400_NIBRS",14293934,0
2017,7622573,14852,5,2017,"I",01-MAY-05,"Y","F","C","2017_05_OH0790400_NIBRS",16427194,0
2017,7649464,14852,6,2017,"I",01-JUN-06,"Y","F","C","2017_06_OH0790400_NIBRS",11208720,0
2017,7674559,14852,7,2017,"I",01-JUL-07,"Y","F","C","2017_07_OH0790400_NIBRS",16427240,0
2017,7734440,14852,8,2017,"I",01-AUG-08,"Y","F","C","2017_08_OH0790400_NIBRS",21743451,0
