"DATA_YEAR","VICTIM_ID","INJURY_ID"
2016,102642376,4
2016,103829071,4
2016,103867947,4
2016,103820931,4
2016,103842285,4
2016,103848432,5
2016,105392534,5
2016,103828903,4
2016,103829249,4
2016,103841790,4
2016,103849506,5
2016,103390990,5
2016,103858384,4
2016,103858394,4
2016,103858391,4
2016,103858348,4
2016,103858378,4
2016,103858326,4
2016,103858360,4
2016,103858355,4
2016,103866644,3
2016,103829372,5
2016,103849596,4
2016,103850472,4
2016,103857944,5
2016,103829395,2
2016,103842181,5
2016,103842186,5
2016,105388866,4
2016,104611947,3
2016,104635641,4
2016,104615444,5
2016,105375973,4
2016,105389811,5
2016,105374619,5
2016,105379159,5
2016,96270688,4
2016,96270883,4
2016,96271003,5
2016,96271646,4
2016,96271754,4
2016,96271768,4
2016,96275099,4
2016,96275142,5
2016,96275851,5
2016,96275926,5
2016,96277920,4
2016,96278429,4
2016,96278961,5
2016,96279246,5
2016,96280047,5
2016,96280353,4
2016,96281159,5
2016,96282835,5
2016,96282950,4
2016,96283310,5
2016,96283421,5
2016,96283428,4
2016,96283841,5
2016,96284412,4
2016,96284416,5
2016,96284569,5
2016,96284711,4
2016,96284932,5
2016,96285347,5
2016,96285785,5
2016,96278257,4
2016,96279016,4
2016,96279332,5
2016,96279384,4
2016,96279398,5
2016,96279400,4
2016,96280097,3
2016,96280097,6
2016,96280097,2
2016,96280825,5
2016,96281010,5
2016,96281200,5
2016,96283675,5
2016,96283759,6
2016,96283781,4
2016,96284853,4
2016,96285118,5
2016,96285572,8
2016,96286645,5
2016,96288228,5
2016,96289415,4
2016,96289546,5
2016,96289970,2
2016,96291544,5
2016,96271466,5
2016,96272799,4
2016,96272906,4
2016,96273072,4
2016,96273116,5
2016,96273280,5
2016,96273849,5
2016,96275557,5
2016,96275559,4
2016,96275562,5
2016,96276846,4
2016,96276858,4
2016,96276917,5
2016,96278190,5
2016,96278189,5
2016,96278555,4
2016,96278875,4
2016,96279440,4
2016,96280168,5
2016,96280517,5
2016,96280532,4
2016,96280848,4
2016,96281189,5
2016,96281824,5
2016,96282522,3
2016,96285153,4
2016,96285520,3
2016,96285520,6
2016,96285649,4
2016,96286438,5
2016,96287975,5
2016,96288082,4
2016,96288472,4
2016,96288921,5
2016,96289966,4
2016,96291516,5
2016,96273274,5
2016,96274216,4
2016,96275087,5
2016,96275085,4
2016,96275081,4
2016,96277256,4
2016,96277705,5
2016,96277706,5
2016,96277774,4
2016,96278107,5
2016,96278432,3
2016,96278432,4
2016,96278451,4
2016,96278463,4
2016,96279005,5
2016,96280062,2
2016,96280094,5
2016,96280240,5
2016,96280415,5
2016,96280423,5
2016,96280831,4
2016,96280853,5
2016,96281756,5
2016,96281854,5
2016,96283357,5
2016,96283601,4
2016,96283947,5
2016,96283945,5
2016,96283942,5
2016,96285093,4
2016,96286180,4
2016,96286263,2
2016,96287724,4
2016,96287931,5
2016,96288627,4
2016,96288886,4
