"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,121662526,98454638,5,"C",10,,""
2018,121662631,98454728,49,"C",21,,"N"
2018,121662711,98454800,23,"C",7,,""
2018,121663097,98455122,51,"C",20,,""
2018,121663621,98455569,11,"C",20,,""
2018,121667437,98458849,45,"C",25,,""
2018,121667441,98458849,5,"C",25,,""
2018,121668032,98459337,45,"C",20,,""
2018,121668165,98459458,51,"C",20,,""
2018,121668372,98459636,5,"C",5,,""
2018,121668565,98459798,50,"C",25,,""
2018,121668562,98459798,5,"C",20,,""
2018,121668675,98459892,35,"C",13,,""
2018,121668693,98459910,5,"C",18,,""
2018,121668695,98459910,50,"C",18,,""
2018,121668751,98459956,35,"C",13,,""
2018,121668815,98460015,45,"C",20,,""
2018,121668871,98460066,44,"C",20,,""
2018,121668935,98460125,23,"C",8,,""
2018,121668964,98460152,14,"C",46,,""
2018,121668962,98460152,5,"C",46,,""
2018,121669041,98460228,14,"C",18,,""
2018,121669039,98460228,5,"C",18,,""
2018,121669067,98460244,5,"C",18,,""
2018,121669075,98460252,14,"C",13,,""
2018,121669125,98460302,14,"C",20,,""
2018,121669435,98460563,51,"C",20,,""
2018,121670570,98461521,49,"C",20,,"N"
2018,121671293,98462112,16,"C",13,,""
2018,121671294,98462112,35,"C",13,,""
2018,121671398,98462193,35,"C",13,,""
2018,121671395,98462193,16,"C",13,,""
2018,121671813,98462553,45,"C",20,,""
2018,121671835,98462572,16,"C",7,,""
2018,121671838,98462572,35,"C",7,,""
2018,121671882,98462610,41,"C",2,,""
2018,121671899,98462640,49,"C",19,1,"N"
2018,121672125,98462832,44,"C",20,,""
2018,121672151,98462851,51,"C",20,,""
2018,121672216,98462912,39,"C",13,,""
2018,121672235,98462931,44,"C",20,,""
2018,121672264,98462956,5,"C",10,,""
2018,121672289,98462976,41,"A",46,,""
2018,121672505,98463180,2,"C",20,,""
2018,121672536,98463209,16,"C",12,,""
2018,121672537,98463209,35,"C",12,,""
2018,121672686,98463337,49,"C",20,,"F"
2018,121672850,98463489,14,"C",25,,""
2018,121672898,98463526,51,"C",20,,""
2018,121672955,98463574,16,"C",13,,""
2018,121672957,98463574,35,"C",13,,""
2018,121672975,98463588,49,"C",20,,"F"
2018,121673128,98463716,5,"C",20,,""
2018,121673152,98463730,39,"C",20,,""
2018,121673222,98463794,41,"C",29,,""
2018,121673312,98463867,2,"C",20,,""
2018,121673606,98464114,27,"C",20,,""
2018,121259841,98099572,35,"C",13,,""
2018,121260009,98099729,14,"C",20,,""
2018,121260249,98099923,16,"C",13,,""
2018,121260320,98099980,41,"C",25,,""
2018,121260429,98100106,16,"C",18,,""
2018,121260427,98100106,35,"C",18,,""
2018,121260516,98100146,45,"C",41,,""
2018,127393225,103480083,49,"C",20,,"F"
2018,121260644,98100251,5,"C",18,,""
2018,127393239,103474178,16,"C",7,,""
2018,127393315,103481365,45,"C",20,,""
2018,127393317,103481367,23,"C",8,,""
2018,127393429,103481421,45,"C",20,,""
2018,127390285,103474333,51,"C",20,,""
2018,127390302,103474344,44,"C",13,,""
2018,127396170,103480341,16,"C",13,,""
2018,127393495,103481456,35,"C",20,,""
2018,127393496,103481456,39,"C",20,,""
2018,121261780,98101211,23,"C",8,,""
2018,127390371,103481456,16,"C",20,,""
2018,121262173,98101560,35,"C",20,,""
2018,121262167,98101560,16,"C",20,,""
2018,127393505,103481458,40,"C",13,,""
2018,127390392,103481462,5,"C",20,,""
2018,121262936,98102220,5,"C",10,,""
2018,121262973,98102254,47,"C",22,,""
2018,121263181,98102448,16,"C",13,,""
2018,121263275,98102534,16,"C",15,,""
2018,121263273,98102534,49,"C",20,,"N"
2018,121263308,98102555,51,"C",20,,""
2018,121263407,98102662,23,"C",8,,""
2018,127393530,103480422,5,"C",5,,""
2018,121263891,98103106,23,"C",12,,""
2018,121264261,98103421,45,"C",25,,""
2018,121264356,98103494,28,"C",13,,""
2018,127394036,103481805,16,"C",13,,""
2018,121264586,98103694,47,"C",11,,""
2018,121264907,98103977,44,"C",5,,""
2018,121265238,98104251,5,"C",18,,""
2018,121265402,98104399,51,"C",20,,""
2018,127394037,103481805,35,"C",13,,""
2018,121266252,98105164,14,"C",25,,""
2018,121266669,98105509,44,"C",20,,""
2018,121266844,98105666,51,"C",20,,""
2018,127396562,103474935,5,"C",20,,""
2018,121268131,98106715,23,"C",17,,""
2018,121268177,98106754,5,"C",18,,""
2018,121268174,98106754,7,"C",18,,""
2018,121268212,98106785,14,"C",18,,""
2018,127394095,103474935,51,"C",20,,""
2018,127391133,103474943,49,"C",20,,"F"
2018,127401142,103480992,27,"C",20,,""
2018,127401145,103474952,21,"C",20,,""
2018,127396598,103474984,23,"C",12,,""
2018,121268935,98107344,46,"C",20,,""
2018,121274530,98112146,49,"C",5,,"F"
2018,121274623,98112238,44,"C",17,,""
2018,121274895,98112489,14,"C",18,,""
2018,127396630,103481913,23,"C",7,,""
2018,127401301,103481933,49,"C",20,,"F"
2018,121275393,98112926,14,"C",20,,""
2018,121275462,98112991,51,"C",20,,""
2018,121275760,98113246,51,"C",20,,""
2018,121276078,98113543,44,"C",20,,""
2018,127394252,103486136,49,"C",34,,"F"
2018,127394261,103481944,45,"C",7,,""
2018,121276358,98113797,28,"C",20,,""
2018,121276437,98113860,49,"C",20,,"F"
2018,121276637,98114045,51,"C",20,,""
2018,121277154,98114515,45,"C",20,,""
2018,121277998,98115226,27,"C",20,,""
2018,121277981,98115226,29,"C",20,,""
2018,121278136,98115337,51,"C",20,,""
2018,127396695,103481975,5,"C",14,,""
2018,127396694,103481975,39,"C",13,,""
2018,127394337,103481978,35,"C",18,,""
2018,127396699,103481978,39,"C",18,,""
2018,127401400,103475124,51,"C",20,,""
2018,127401410,103475134,28,"C",2,,""
2018,121280130,98117107,51,"C",35,,""
2018,127396708,103475134,11,"C",2,,""
2018,121280470,98117428,5,"C",18,,""
2018,127396709,103486210,46,"C",12,,""
2018,127401426,103486221,40,"C",18,,""
2018,127394389,103475163,41,"C",8,,""
2018,127401441,103475163,14,"C",13,,""
2018,127401444,103475167,21,"C",20,,""
2018,127401474,103486257,45,"C",20,,""
2018,127401494,103482022,21,"C",20,,""
2018,127396771,103482035,49,"C",46,,"N"
2018,127394462,103475231,35,"C",13,,""
2018,127394463,103475231,16,"C",13,,""
2018,127394478,103482037,44,"C",20,,""
2018,127394515,103486345,44,"C",13,,""
2018,121664682,98456487,41,"C",8,,""
2018,121664673,98456487,28,"C",8,,""
2018,121664836,98456611,47,"C",8,,""
2018,121664909,98456679,51,"C",20,,""
2018,121665481,98457146,47,"C",14,,""
2018,121665561,98457226,16,"C",13,,""
2018,121665565,98457226,35,"C",13,,""
2018,121665657,98457315,5,"C",20,,""
2018,121665700,98457354,23,"C",8,,""
2018,121665942,98457570,5,"C",10,,""
2018,121666286,98457860,45,"C",46,,""
2018,121666333,98457919,16,"C",13,,""
2018,121666349,98457919,35,"C",13,,""
2018,121666432,98457976,45,"C",34,,""
2018,121666839,98458337,16,"C",18,,""
2018,121666920,98458404,16,"C",13,,""
2018,121667362,98458777,45,"C",23,,""
2018,121667449,98458854,5,"C",20,,""
2018,121668029,98459340,45,"C",20,,""
2018,121668537,98459789,49,"C",24,,"N"
2018,121668647,98459865,14,"C",20,,""
2018,121668708,98459913,44,"C",20,,""
2018,121668855,98460049,51,"C",21,,""
2018,121668891,98460084,41,"A",12,,""
2018,121669030,98460209,16,"C",13,,""
2018,121669147,98460322,5,"C",18,,""
2018,121669302,98460445,45,"C",11,,""
2018,121670255,98461264,16,"C",13,,""
2018,121670254,98461264,35,"C",13,,""
2018,121671124,98461973,5,"C",20,,""
2018,121671262,98462097,16,"C",8,,""
2018,121671268,98462097,35,"C",8,,""
2018,121671794,98462552,14,"C",5,,""
2018,121671858,98462588,51,"C",13,,""
2018,121671912,98462633,41,"C",2,,""
2018,121671921,98462645,45,"C",12,,""
2018,121671927,98462657,5,"C",20,,""
2018,121671957,98462683,51,"C",20,,""
2018,121672110,98462820,35,"C",13,,""
2018,121672108,98462820,16,"C",13,,""
2018,121672228,98462926,45,"C",36,,""
2018,121672316,98463000,17,"A",20,,""
2018,121672511,98463184,2,"C",25,,""
2018,121672666,98463320,16,"C",13,,""
2018,121672677,98463330,47,"C",3,,""
2018,121672812,98463452,41,"C",20,,""
2018,121672897,98463529,16,"C",25,,""
2018,121673197,98463770,5,"C",18,,""
2018,121673337,98463889,5,"C",20,,""
2018,121673591,98464106,51,"C",20,,""
2018,121673640,98464144,5,"C",13,,""
2018,121673695,98464194,44,"C",20,,""
2018,121673930,98464407,45,"C",18,,""
2018,121674140,98464578,47,"C",20,,""
2018,121674184,98464613,41,"C",8,,""
2018,121674410,98464821,16,"C",3,,""
2018,121674468,98464872,51,"C",20,,""
2018,121674501,98464892,51,"C",20,,""
2018,121674545,98464935,2,"A",20,,""
2018,121674994,98465316,56,"A",41,,""
2018,121674986,98465316,29,"C",41,,""
2018,121675171,98465462,47,"C",20,,""
2018,121264020,98103209,51,"C",20,,""
2018,121265065,98104101,51,"C",20,,""
2018,121265260,98104272,35,"C",20,,""
2018,121265300,98104312,45,"C",18,,""
2018,121265335,98104346,27,"C",20,,""
2018,121266198,98105116,7,"C",18,,""
2018,121266246,98105162,16,"C",20,,""
2018,127394109,103481841,49,"C",20,,"F"
2018,127394136,103481860,21,"C",20,,""
2018,127394148,103481870,49,"C",20,,"N"
2018,121266935,98105745,5,"C",20,,""
2018,121266941,98105745,49,"C",20,,"F"
2018,121267054,98105834,45,"C",13,,""
2018,121267144,98105905,49,"C",20,,"N"
2018,127401268,103475022,5,"C",20,,""
2018,127401277,103486110,14,"C",20,,""
2018,121269442,98107759,47,"C",20,,""
2018,127396656,103486134,51,"C",20,,""
2018,121270364,98108531,5,"C",20,,""
2018,121270553,98108696,21,"C",20,,""
2018,121270713,98108839,45,"C",20,,""
2018,127394325,103481973,36,"C",20,,""
2018,121270932,98109039,51,"C",20,,""
2018,127394329,103475111,51,"C",20,,""
2018,121271168,98109247,49,"C",20,,"F"
2018,121271222,98109292,23,"C",8,,""
2018,121271289,98109356,21,"C",20,,""
2018,127401390,103486196,5,"C",20,,""
2018,121271415,98109466,39,"C",5,,""
2018,127401393,103486196,27,"C",20,,""
2018,121271897,98109872,51,"C",20,,""
2018,127394355,103481984,44,"C",20,,""
2018,127396724,103486231,44,"C",25,,""
2018,127394399,103475172,41,"C",25,,""
2018,127401456,103475174,44,"C",25,,""
2018,127394423,103475191,51,"C",20,,""
2018,127401486,103475203,41,"C",8,,""
2018,127396757,103486272,45,"A",25,,""
2018,121272649,98110489,16,"C",13,,""
2018,127394439,103486272,5,"C",25,,""
2018,127401516,103486288,35,"C",13,,""
2018,121272951,98110739,45,"C",25,,""
2018,121273269,98111012,2,"C",25,,""
2018,121273342,98111074,44,"C",41,,""
2018,121273602,98111318,21,"C",18,,""
2018,127394456,103486288,16,"C",13,,""
2018,127396807,103482058,47,"C",46,,""
2018,127401566,103486347,14,"C",20,,""
2018,127396823,103482077,11,"C",2,,""
2018,121274305,98111951,14,"C",20,,""
2018,121274484,98112105,63,"A",20,,""
2018,127396836,103482088,21,"C",20,,""
2018,127396839,103482092,21,"C",20,,""
2018,127396843,103482094,14,"C",13,,""
2018,127394572,103486403,23,"C",8,,""
2018,121274898,98112490,51,"C",20,,""
2018,127401650,103486428,44,"C",20,,""
2018,127396855,103482106,23,"C",8,,""
2018,127394599,103475321,51,"C",3,,""
2018,121275255,98112845,45,"C",20,,""
2018,121275353,98112890,51,"C",20,,""
2018,121275680,98113176,49,"C",11,,"F"
2018,121275795,98113278,16,"C",13,,""
2018,121275961,98113437,5,"C",5,,""
2018,121275959,98113437,49,"C",5,,"F"
2018,121276080,98113542,14,"C",20,,""
2018,127394601,103482110,51,"C",3,,""
2018,127401701,103486467,35,"C",13,,""
2018,121276371,98113802,51,"C",13,,""
2018,127396871,103482127,45,"C",20,,""
2018,121276527,98113949,51,"C",15,,""
2018,127401716,103475370,51,"C",32,,""
2018,127401728,103486495,44,"C",32,,""
2018,127401745,103482137,14,"A",20,,""
2018,127394677,103486508,35,"C",13,,""
2018,127394678,103486508,16,"C",13,,""
2018,127394703,103475421,45,"C",10,,""
2018,127401788,103482161,14,"C",20,,""
2018,127396911,103482161,5,"C",20,,""
2018,121277103,98114458,44,"C",5,,""
2018,127401794,103482165,23,"C",8,,""
2018,127394747,103475464,45,"C",20,,""
2018,127394766,103486567,44,"C",20,,""
2018,127396940,103482182,11,"C",20,,""
2018,121277772,98115027,2,"C",8,,""
2018,121277810,98115070,35,"C",13,,""
2018,121277805,98115070,16,"C",13,,""
2018,121277896,98115147,16,"C",13,,""
2018,121277899,98115147,35,"C",13,,""
2018,121278074,98115282,51,"C",20,,""
2018,121278151,98115355,49,"C",20,,"N"
2018,127396941,103482182,45,"C",20,,""
2018,127401855,103475509,45,"C",20,,""
2018,127394810,103486606,45,"C",20,,""
2018,127396962,103475537,47,"C",20,,""
2018,127396972,103475545,5,"C",20,,""
2018,127396980,103482205,21,"C",18,,""
2018,127401952,103486677,56,"C",3,,""
2018,121279052,98116133,39,"C",13,,""
2018,121279048,98116133,44,"C",20,,""
2018,121279303,98116341,45,"C",20,,""
2018,121280142,98117117,11,"C",35,,""
2018,127401991,103486702,5,"C",18,,""
2018,127397014,103486702,7,"A",18,,""
2018,127402058,103475659,45,"C",20,,""
2018,127394971,103486759,51,"C",20,,""
2018,127394983,103486771,45,"C",25,,""
2018,121672678,98463328,45,"C",6,,""
2018,121672732,98463386,51,"C",20,,""
2018,121672768,98463413,47,"C",20,,""
2018,121672873,98463505,27,"C",13,,""
2018,121672946,98463563,23,"C",12,,""
2018,121672981,98463593,39,"C",25,,""
2018,121672977,98463593,16,"C",25,,""
2018,121673110,98463702,49,"C",20,,"F"
2018,121673198,98463769,35,"C",20,,""
2018,121673325,98463879,45,"C",20,,""
2018,121673513,98464036,17,"C",20,,""
2018,121673641,98464154,16,"C",20,,""
2018,121673644,98464154,35,"C",20,,""
2018,121673667,98464169,21,"C",20,,""
2018,121673736,98464235,51,"C",20,,""
2018,121673965,98464435,41,"C",2,,""
2018,121674031,98464492,16,"C",13,,""
2018,121674033,98464492,35,"C",13,,""
2018,121674243,98464667,49,"C",20,,"F"
2018,121674336,98464752,5,"C",18,,""
2018,121674485,98464886,47,"C",20,,""
2018,121675009,98465335,21,"C",20,,""
2018,121675391,98465666,21,"C",20,,""
2018,121675861,98466071,41,"C",20,,""
2018,121676340,98466498,45,"C",20,,""
2018,121676602,98466728,16,"C",13,,""
2018,121676836,98466914,49,"C",20,,"F"
