"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2018,108063708,63,250,,116290826
2018,108068278,11,5,,116290850
2018,108068285,11,5,,116295050
2018,108063747,63,70,,116295069
2018,108063752,63,400,,116295082
2018,108068309,31,500,,116290884
2018,108068330,10,300,,116299188
2018,108068335,63,300,,116290918
2018,108068335,10,1,,116290920
2018,108063781,10,,,116299197
2018,108068341,63,200,,116290930
2018,108103871,63,804,,116344290
2018,108103921,3,500,,116344363
2018,108103930,20,1,,116347431
2018,108103935,63,4500,,116344373
2018,108103933,63,4500,02-MAY-18,116340127
2018,108110422,11,1,,116344387
2018,108110422,10,,,116340133
2018,108103974,10,,,116347487
2018,108110446,37,15000,,116340160
2018,108106722,35,60,,116347551
2018,108106788,63,150,,116347649
2018,108110508,20,1200,,116347671
2018,108107012,58,1080,,116344776
2018,108107042,22,0,,116344808
2018,108068520,20,1,,116299407
2018,108072557,51,0,,116291217
2018,108068591,36,474,,116299499
2018,108064030,13,2150,,116295509
2018,108064030,63,50,,116295511
2018,108064030,2,50,,116295510
2018,108064030,58,150,,116291261
2018,108068605,19,60,,116291286
2018,108068623,11,10,,116291308
2018,108068625,20,680,,116295565
2018,108068625,19,10,,116291309
2018,108072653,9,0,,116299558
2018,108068637,10,,,116291329
2018,108107071,17,100,,116344855
2018,108107073,10,,,116348009
2018,108072676,20,90,,116295605
2018,108072728,61,550,23-MAY-18,116295662
2018,108072729,61,550,,116299626
2018,108114340,11,100,,116348075
2018,108114339,20,520,,116340444
2018,108114340,10,,,116348074
2018,108114364,17,10000,,116344937
2018,108110698,30,500,,116344950
2018,108110701,42,200,,116344956
2018,108107170,38,70,,116348119
2018,108107171,63,12,,116340497
2018,108107183,66,846,,116348133
2018,108072773,63,5,,116299672
2018,108064202,63,6500,,116299679
2018,108110721,12,15500,,116340513
2018,108110721,64,2200,,116340514
2018,108107194,61,175,,116348144
2018,108107194,26,450,,116348143
2018,108107194,37,8500,,116344987
2018,108107204,12,100,,116348153
2018,108074238,13,750,,116291488
2018,108074237,13,750,29-APR-18,116295768
2018,108072832,4,200,,116291492
2018,108068790,4,200,02-MAR-18,116299755
2018,108074241,20,35,,116299757
2018,108074241,25,20,,116299756
2018,108110726,21,1600,,116340524
2018,108072841,8,13,,116299766
2018,108074275,63,600,,116295824
2018,108074275,54,400,,116295825
2018,108107209,28,1155,,116348157
2018,108107208,25,20,,116348156
2018,108074295,10,,,116291556
2018,108068859,33,250,,116299845
2018,108068858,8,13,,116295858
2018,108074300,57,20,,116299856
2018,108074300,45,20,,116299861
2018,108074300,26,150,,116291566
2018,108074300,16,50,,116291567
2018,108072912,26,500,,116295862
2018,108068863,29,100,,116299849
2018,108072912,7,150,,116295865
2018,108072912,36,1,,116299865
2018,108068873,10,,,116295875
2018,108074594,37,4000,,116300287
2018,108074607,3,10,,116291964
2018,108073291,29,150,,116291965
2018,108069173,3,17000,,116291978
2018,108074636,3,1500,,116291983
2018,108074635,3,1500,27-APR-18,116300338
2018,108069179,33,50,,116300344
2018,108074669,16,1300,,116300373
2018,108074724,20,1710,,116296376
2018,108073392,3,1,,116300441
2018,108073389,3,1,15-APR-18,116296388
2018,108079250,12,10000,,116302078
2018,108079251,36,400,,116300483
2018,108074780,63,10,,116300506
2018,108079269,36,100,,116296452
2018,108074829,10,,,116296514
2018,108074844,42,100,,116300562
2018,108079310,9,0,,116302141
2018,108073527,62,300,,116296555
2018,108079374,2,3,,116302224
2018,108079397,10,,,116300720
2018,108079401,13,375,,116302251
2018,108073646,12,1500,,116300781
2018,108073646,63,300,,116300783
2018,108073646,36,1800,,116300782
2018,108079477,10,,,116296720
2018,108075011,21,68,,116296727
2018,108079485,21,800,,116300853
2018,108073773,11,3,,116296806
2018,108079528,47,0,,116300940
2018,108079556,8,25,,116300991
2018,108073838,10,,,116296859
2018,108079568,10,800,,116302443
2018,108073855,64,1000,,116301020
2018,108075279,20,6000,,116302655
2018,108079761,19,1185,,116302658
2018,108074059,19,3205,,116301294
2018,108074061,66,60,,116302672
2018,108074061,63,439,,116302671
2018,108074061,6,1120,,116301296
2018,108074061,25,10,,116307090
2018,108074078,25,20,,116301323
2018,108074078,9,0,,116301325
2018,108074078,51,0,,116301327
2018,108074075,51,0,01-APR-18,116301320
2018,108074078,63,30,,116301321
2018,108074098,20,85,,116302716
2018,108074098,66,35,,116307123
2018,108074098,51,0,,116301353
2018,108074098,25,25,,116302720
2018,108079801,63,270,07-APR-18,116302724
2018,108074104,63,270,,116302725
2018,108075328,38,25,,116307138
2018,108075327,38,25,17-APR-18,116307136
2018,108075336,61,100,,116307150
2018,108075336,20,80,,116307151
2018,108079915,24,4000,,116302915
2018,108084237,24,4000,10-FEB-18,116301552
2018,113253896,20,2,02-NOV-18,123126703
2018,113263004,20,2,,123126704
2018,113253983,16,500,,123130530
2018,113258608,66,400,,123135071
2018,113263094,7,550,08-DEC-18,123126805
2018,113263098,50,265,,123135077
2018,113263178,11,26,,123135176
2018,113263178,10,,,123135174
2018,113254047,63,25,,123130608
2018,113263188,24,1000,,123130611
2018,108072934,36,250,,116295896
2018,108072936,6,7,,116299897
2018,108072936,63,18,,116295902
2018,108072936,8,43,,116295901
2018,108068896,8,25,13-APR-18,116295899
2018,108068896,63,18,13-APR-18,116295898
2018,108068896,6,7,13-APR-18,116291607
2018,108068931,20,5127,,116291671
2018,108068930,13,2900,,116291668
2018,108068930,61,300,,116291670
2018,108068930,25,2700,,116291666
2018,108068930,36,3350,,116291667
2018,108068930,7,500,,116291669
2018,108068930,63,10000,,116299938
2018,108072983,10,,,116295938
2018,108074365,19,58,,116295941
2018,108074365,9,0,,116291684
2018,108074365,20,1,,116295942
2018,108068950,61,55,,116291698
2018,108068950,43,200,,116295953
2018,108072997,10,,,116295954
2018,108072997,11,156,,116295955
2018,108068954,11,1,,116291701
2018,108068954,10,,,116291700
2018,108074390,20,20,,116295975
2018,108073024,10,100,,116295978
2018,108074394,35,1,,116295981
2018,108073065,63,1,,116296018
