"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2018,12,109264239,1,1,10156264
2018,17,109269209,4,1,10156276
2018,12,109264250,479,1,10156279
2018,12,109264404,1,1,10161296
2018,12,109259658,0,1,10156332
2018,12,109264476,1,1,10161310
2018,5,109259834,0,1,10156361
2018,12,109259918,1,1,10156377
2018,12,109260038,5,1,10156394
2018,5,109264626,1,1,10161332
2018,5,109260129,4,1,10156406
2018,12,109260182,21,1,10156416
2018,12,109260258,1,1,10156424
2018,5,109264757,1,1,10156426
2018,5,109264761,1,9,10156430
2018,5,109269244,3,1,10166258
2018,15,109264806,4,9,10161364
2018,5,109260382,0,1,10166259
2018,12,109260393,2,1,10156453
2018,12,109260392,0,1,10156452
2018,12,109260407,0,1,10161373
2018,5,109260611,0,1,10156499
2018,12,109264971,0,1,10156519
2018,12,109264973,0,1,10161387
2018,5,109260769,15,1,10156522
2018,12,109265044,2,1,10156535
2018,5,109261004,1,1,10161404
2018,17,109261077,2,9,10161413
2018,12,109261114,3,1,10156560
2018,5,109261217,1,1,10156563
2018,12,109265287,1,1,10161421
2018,5,109265287,1,1,10156573
2018,5,109261348,1,11,10156586
2018,12,109261360,1,11,10156591
2018,5,109261373,1,1,10156593
2018,12,109261379,1,9,10161432
2018,5,109261378,1,1,10156596
2018,12,109265336,1,1,10156598
2018,12,109261395,1,11,10161439
2018,12,109261415,0,1,10156613
2018,5,109261590,0,1,10156632
2018,5,109261666,1,1,10156648
2018,12,109265493,0,1,10161459
2018,5,109261684,0,3,10161464
2018,5,109261705,1,1,10156655
2018,5,109265556,0,4,10156663
2018,5,109261880,4,1,10161476
2018,12,109261880,2,1,10156673
2018,5,109265617,1,11,10161479
2018,12,109265635,1,11,10156683
2018,5,109262037,0,1,10156689
2018,5,109265769,5,1,10161495
2018,5,109262458,0,1,10161506
2018,12,109262557,1,1,10156741
2018,12,109269373,1,11,10156759
2018,17,109262781,5,9,10156762
2018,12,109269379,1,9,10166285
2018,12,109262835,0,1,10156778
2018,12,109266151,1,11,10161541
2018,12,109262984,6,1,10156805
2018,5,109266171,3,1,10161547
2018,12,109266174,1,11,10161550
2018,12,109263088,1,9,10156815
2018,12,109266205,14,1,10156829
2018,5,109263248,1,1,10156840
2018,5,109263467,1,1,10156854
2018,12,109266457,0,1,10156883
2018,16,109263708,0,9,10161578
2018,5,109266476,0,1,10156889
2018,5,109263747,4,1,10156890
2018,5,109263790,0,1,10156892
2018,5,109263812,10,1,10156893
2018,5,109263833,6,1,10156899
2018,5,109263869,1,1,10156904
2018,5,109263999,1,1,10156918
2018,12,109266598,0,1,10161593
2018,12,109269460,1,11,10161613
2018,5,108137500,14,1,9952124
2018,5,108141039,1,11,9944501
2018,5,108133778,5,3,9944520
2018,17,109265414,3,9,10161451
2018,5,109265414,9,1,10161452
2018,12,109261635,2,9,10156638
2018,5,109265499,26,1,10156650
2018,12,109265573,19,1,10161474
2018,5,109262167,1,1,10156699
2018,5,109262213,5,1,10156706
2018,16,109262213,31,9,10156704
2018,12,109262213,1,1,10156705
2018,12,109269371,1,9,10166283
2018,5,109262968,10,1,10161538
2018,2,109266166,24,1,10161545
2018,5,109263156,1,1,10156830
2018,12,109263655,1,1,10156878
2018,5,109263666,1,11,10156882
2018,5,109264079,2,1,10161604
2018,17,109269473,25,9,10156986
2018,5,109274314,2,1,10156988
2018,12,109274338,1,9,10156994
2018,12,109274338,5,1,10161623
2018,12,109266844,1,1,10157020
2018,5,109274588,1,1,10157036
2018,12,109266914,2,1,10161642
2018,12,109274726,4,1,10157056
2018,5,109267105,0,1,10161675
2018,5,109267185,1,11,10161678
2018,8,109267290,1,9,10157110
2018,12,109275218,1,1,10161696
2018,14,109275218,4,9,10161697
2018,12,109275260,1,1,10157133
2018,17,109267355,1,9,10161716
2018,13,109275392,7,9,10157166
2018,5,109275697,0,1,10157195
2018,12,109267629,1,11,10161752
2018,12,109275788,1,1,10161757
2018,5,109267669,12,1,10157214
2018,8,109267774,1,9,10161781
2018,12,109267774,0,1,10166325
2018,5,109267774,3,1,10166324
2018,5,109276005,1,1,10157254
2018,12,109276005,0,1,10157255
2018,5,109276138,1,3,10166329
2018,5,109276156,1,1,10157279
2018,12,109276291,0,1,10157326
2018,12,109266642,1,11,10156964
2018,5,109266649,1,1,10161616
2018,5,109274307,1,1,10161620
2018,5,109274482,90,1,10157022
2018,5,109274485,0,1,10157024
2018,16,109274497,4,9,10157025
2018,5,109274609,3,1,10157038
2018,5,109264131,1,1,10156963
2018,12,109269506,0,1,10157049
2018,17,109274700,9,1,10157050
2018,8,109266985,3,1,10157060
2018,5,109274782,4,1,10157066
2018,5,109267033,330,1,10161661
2018,5,109275038,1,11,10157088
2018,15,109275050,8,9,10157092
2018,5,109275050,1,1,10157093
2018,12,109275050,1,1,10157091
2018,15,109275195,13,9,10161689
2018,17,109275202,1,9,10161690
2018,5,109267305,1,1,10157113
2018,17,109267305,1,9,10157114
2018,12,109267305,1,1,10161699
2018,17,109275273,2,1,10161712
2018,12,109267682,1,9,10161763
2018,5,109275886,5,1,10157232
2018,5,109275925,12,1,10161775
2018,16,109269619,3,9,10161778
2018,5,109276027,50,1,10157261
2018,5,109269649,3,1,10157282
2018,5,109276207,1,11,10157300
2018,5,109276286,10,4,10157321
2018,5,109276295,1,3,10157329
2018,17,109274723,3,9,10157055
2018,12,109274723,5,9,10157054
2018,5,109274733,7,1,10157061
2018,12,109267077,1,1,10157077
2018,5,109275397,1,1,10157168
2018,4,109276007,10,9,10157256
2018,16,109276007,1,1,10157257
2018,5,108071446,0,1,9935846
2018,5,108081400,99,1,9946324
2018,8,108077181,6,1,9938694
2018,5,108063240,1,1,9937938
2018,17,108086544,1,9,9938752
2018,12,108063329,1,1,9935930
2018,5,108063489,0,1,9937979
2018,5,108068063,0,1,9935963
2018,5,108068089,1,1,9930802
2018,12,108077570,13,1,9941657
2018,5,108068211,0,1,9930813
2018,5,108063742,4,1,9930823
2018,5,108068352,12,1,9936005
2018,5,108072512,2,9,9930851
2018,5,108072512,25,1,9938022
2018,12,108063986,3,9,9936032
2018,5,108064123,1,10,9936052
2018,12,108072748,0,1,9938058
2018,15,108078214,4,9,9938926
2018,12,108072815,3,1,9938066
2018,17,108074418,1,9,9936096
2018,5,108074679,1,3,9938167
2018,5,108101141,1,1,9947032
2018,16,108101141,1,9,9942476
2018,5,108079300,7,1,9930963
2018,12,108075009,1,1,9936164
2018,2,108084408,1,1,9938337
2018,5,108120328,1,11,9941023
2018,17,108126842,1,9,9943942
2018,5,108083632,4,1,9946660
2018,12,108130340,1,5,9943969
2018,5,108083891,1,1,9946699
2018,5,108083937,1,1,9942015
2018,8,108089799,2,9,9942029
2018,12,108130435,1,1,9943982
2018,5,108089978,1,1,9946735
2018,8,108112732,1,9,9943257
2018,17,108081077,1,9,9946255
2018,12,108099458,1,1,9946783
2018,12,108093116,1,11,9939971
2018,5,108125380,31,1,9948389
2018,12,108085867,1,1,9941521
2018,12,108086023,1,9,9941553
2018,5,108086136,1,1,9946307
2018,5,108093482,1,11,9940008
2018,12,108093575,10,5,9942601
2018,5,108081534,4,1,9941617
2018,16,108077383,1,9,9941621
2018,5,108086582,0,1,9938760
2018,5,108081717,1,9,9946386
2018,5,108081735,4,1,9946391
2018,5,108077570,3,1,9941658
2018,5,108101893,3,1,9947158
2018,5,108121728,2,1,9941245
2018,5,108112746,1,1,9943259
2018,12,108104336,46,1,9942645
