"DATA_YEAR","ARRESTEE_ID","WEAPON_ID","NIBRS_ARRESTEE_WEAPON_ID"
2018,31118880,1,31130137
2018,31113892,1,31130136
2018,31123765,1,31135006
2018,31113954,7,31125186
2018,31113963,1,31130197
2018,31118949,1,31130212
2018,31113998,1,31130233
2018,31118978,1,31130246
2018,31114013,1,31125237
2018,31114016,1,31130251
2018,31114023,3,31125247
2018,31119007,1,31125259
2018,31119008,1,31125260
2018,31114054,1,31130294
2018,31119094,1,31125348
2018,31119100,1,31125357
2018,31119111,7,31125364
2018,31114225,1,31135079
2018,31119180,1,31125445
2018,31123864,1,31125483
2018,31114309,1,31130553
2018,31114317,1,31125494
2018,31119240,1,31125501
2018,31123886,1,31135110
2018,31114384,1,31130630
2018,31114392,1,31130641
2018,31119336,1,31125599
2018,31119363,1,31125619
2018,31119381,1,31125633
2018,31119401,1,31125649
2018,31114552,1,31130807
2018,31119460,1,31125716
2018,31119498,1,31125757
2018,31119513,7,31130869
2018,31114611,1,31130868
2018,31119536,1,31125794
2018,31114643,1,31130902
2018,31119545,1,31125802
2018,31114651,1,31125803
2018,31114656,1,31125808
2018,31119561,1,31125821
2018,31119576,1,31125835
2018,31119634,1,31125890
2018,31123982,1,31125895
2018,31114775,1,31131031
2018,31124015,1,31126007
2018,31114910,1,31126032
2018,31114909,1,31126031
2018,31119780,1,31126045
2018,31114939,1,31126059
2018,31119818,3,31135260
2018,31119944,1,31126211
2018,31115179,1,31126362
2018,31120105,1,31131432
2018,31120402,1,31126660
2018,31120403,1,31126661
2018,31120404,1,31126662
2018,31120417,1,31126677
2018,31115480,1,31131714
2018,31115484,1,31131719
2018,31115487,1,31126704
2018,31115490,3,31126712
2018,31115490,4,31126711
2018,31120457,1,31126722
2018,31124209,1,31131737
2018,31115507,1,31131742
2018,31115508,1,31131743
2018,31124213,1,31126727
2018,31120468,1,31126731
2018,31115518,1,31131754
2018,31115519,1,31131755
2018,31115520,1,31126740
2018,31120480,1,31126744
2018,31120506,1,31126767
2018,31120510,1,31126773
2018,31120511,1,31126774
2018,31120531,1,31131794
2018,31115565,1,31131796
2018,31120557,1,31126823
2018,31115587,1,31131815
2018,31115718,3,31131937
2018,31115737,1,31126974
2018,31120721,1,31131969
2018,31120728,1,31126998
2018,31120750,1,31127026
2018,31120756,6,31127032
2018,31124304,1,31127041
2018,31124309,1,31135552
2018,31124310,1,31127051
2018,31115830,1,31132049
2018,31124322,1,31127074
2018,31115870,1,31127110
2018,31115875,1,31132094
2018,31115882,4,31132101
2018,31115897,1,31132114
2018,31124376,1,31135604
2018,31120936,1,31135608
2018,31115994,3,31132225
2018,31116039,1,31132270
2018,31116038,1,31127275
2018,31124412,1,31132278
2018,31121012,1,31127304
2018,31124430,1,31135645
2018,31121090,1,31135648
2018,31121102,1,31127392
2018,31121128,1,31127415
2018,31121136,7,31132394
2018,31116169,1,31132402
2018,31116189,22,31132421
2018,31116189,3,31132420
2018,31116218,1,31132448
2018,31116228,1,31132457
2018,31116229,1,31132459
2018,31116245,1,31127511
2018,31116280,1,31132505
2018,31121258,7,31127555
2018,31121264,1,31132511
2018,31116290,1,31132516
2018,31121273,1,31127568
2018,31116301,7,31132528
2018,31116403,1,31132624
2018,31116435,1,31132658
2018,31124496,1,31135718
2018,31116490,1,31132711
2018,31124505,1,31135728
2018,31116493,1,31132714
2018,31116510,1,31132732
2018,31116511,1,31132733
2018,31116522,1,31132746
2018,31116531,1,31132755
2018,31120528,1,31126793
2018,31115563,1,31126795
2018,31120529,1,31126794
2018,31120527,1,31126792
2018,31116536,1,31132760
2018,31116619,1,31135745
2018,30558914,1,30565171
2018,30563914,1,30560154
2018,30563916,1,30560155
2018,30558940,1,30565194
2018,30553936,1,30565201
2018,30563954,1,30560188
2018,30558981,1,30565247
2018,30554001,1,30560197
2018,30563968,1,30560203
2018,30563967,1,30560201
2018,30554012,1,30565265
2018,30554014,1,30565267
2018,30563984,1,30565273
2018,30554053,1,30565290
2018,30559033,1,30570308
2018,30554093,1,30570325
2018,30554121,1,30560274
2018,30564066,1,30570399
2018,30554213,1,30570450
2018,30564104,1,30570471
2018,30564109,1,30570477
2018,30554241,1,30570480
2018,30554249,1,30570490
2018,30564122,1,30565435
2018,30554292,1,30570537
2018,30554299,1,30570544
2018,30554351,1,30560413
2018,30559292,1,30570637
2018,30559302,1,30570645
2018,30559333,3,30565583
2018,30554456,1,30570702
2018,30559384,1,30565646
2018,30559395,1,30570755
2018,30554529,1,30560519
2018,30564299,1,30570784
2018,30554551,7,30570796
2018,30564328,1,30565706
2018,30554604,1,30570845
2018,30559490,1,30565747
2018,30559529,1,30565780
2018,30559531,1,30565783
2018,30554701,1,30570946
2018,30559539,1,30570955
2018,30554733,1,30560645
2018,30564423,1,30565825
2018,30554754,1,30570996
2018,30559590,1,30565844
2018,30554790,1,30571036
2018,30554797,1,30560682
2018,30554823,1,30571071
2018,30559639,1,30560717
2018,30564498,1,30565907
2018,30564500,1,30571091
2018,30564509,7,30560728
2018,30554887,1,30560748
2018,30559681,1,30571171
2018,30555070,1,30560890
2018,30564687,1,30571338
2018,30555100,6,30571349
2018,30559829,6,30566102
2018,30564698,1,30560916
2018,30555124,1,30571373
2018,30555195,1,30571439
2018,30559906,1,30566175
2018,30559907,1,30566176
2018,30555214,1,30571454
2018,30564765,1,30560996
2018,30564772,1,30571467
2018,30555256,1,30566211
2018,30555292,1,30571533
2018,30555291,1,30571532
2018,30559959,1,30566229
2018,30564807,1,30571565
2018,30555337,1,30571573
2018,30555355,1,30571590
2018,30564827,1,30561050
2018,30560009,1,30566287
2018,30555378,1,30571613
2018,30560070,1,30566347
2018,30555507,1,30571737
2018,30555517,1,30566377
