"DATA_YEAR","VICTIM_ID","CIRCUMSTANCES_ID","JUSTIFIABLE_FORCE_ID"
2018,112496070,6,
2018,112504211,9,
2018,112499620,9,
2018,112505098,10,
2018,112500182,10,
2018,112507158,2,
2018,112501045,10,
2018,112738156,6,
2018,112517811,2,
2018,112513470,6,
2018,112513470,1,
2018,112519936,9,
2018,112520261,1,
2018,112523082,1,
2018,112520534,10,
2018,112523442,1,
2018,112525106,10,
2018,112527325,1,
2018,112527328,9,
2018,112527342,9,
2018,112527342,1,
2018,112527585,9,
2018,112532576,1,
2018,112732558,10,
2018,112732554,10,
2018,112723168,10,
2018,112732924,1,
2018,112729496,1,
2018,112733892,9,
2018,112725758,10,
2018,112735007,2,
2018,112741571,6,
2018,112746134,6,
2018,112738651,6,
2018,112722340,9,
2018,112723748,10,
2018,112733839,6,
2018,112729582,9,
2018,112729581,9,
2018,112730178,1,
2018,112734400,1,
2018,112726092,9,
2018,112734478,9,
2018,112736296,1,
2018,112736309,1,
2018,112735263,10,
2018,112739354,1,
2018,112744575,6,
2018,112748692,1,
2018,112739080,6,
2018,112740580,6,
2018,112748072,10,
2018,112748096,1,
2018,112744138,1,
2018,112744139,1,
2018,112740951,1,
2018,112523814,1,
2018,112503007,1,
2018,112498522,6,
2018,112503331,9,
2018,112503931,1,
2018,112503932,1,
2018,112503973,1,
2018,112496062,6,
2018,112499971,9,
2018,112507103,6,
2018,112500369,10,
2018,112500440,1,
2018,112505691,1,
2018,112500934,1,
2018,112505882,9,
2018,112511296,9,
2018,112516305,9,
2018,112516508,10,
2018,112508671,1,
2018,112511534,1,
2018,112509347,1,
2018,112743999,9,
2018,112518665,6,
2018,112513359,1,
2018,112515448,6,
2018,112520742,9,
2018,112532500,6,
2018,112731791,9,
2018,112722225,1,
2018,112722355,9,
2018,112722356,9,
2018,112722548,9,
2018,112732280,1,
2018,112722996,2,
2018,112728627,9,
2018,112724043,9,
2018,112733216,6,
2018,112725355,8,
2018,112725660,6,
2018,112736323,1,
2018,112730919,1,
2018,112736772,9,
2018,112736772,1,
2018,112746748,1,
2018,112746747,1,
2018,112751580,1,
2018,112751785,1,
2018,112744889,9,
2018,106324315,9,
2018,106324308,9,
2018,106335035,1,
2018,106340749,1,
2018,106345336,10,
2018,106347485,1,
2018,106349387,6,
2018,106349387,1,
2018,106352389,1,
2018,106358893,10,
2018,106359230,6,
2018,106362137,9,
