"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2018,115031871,118375396,16,34970464
2018,115026913,118375546,16,34970486
2018,115032265,118375774,18,34975561
2018,115032302,118375815,16,34975565
2018,115032399,118365930,1,34975598
2018,115032547,118370108,15,34970593
2018,115032552,118370108,15,34975625
2018,115032827,118376330,3,34975687
2018,115032893,118376389,5,34975694
2018,115032934,118370205,25,34975709
2018,115032934,118366518,1,34975710
2018,115032933,118370205,1,34975706
2018,115032934,118366517,1,34975708
2018,115032933,118366518,1,34975707
2018,115032933,118366517,25,34975705
2018,115032950,118370211,19,34975715
2018,115036807,118376471,18,34980468
2018,115032998,118366584,1,34970692
2018,115033081,118366694,3,34970709
2018,115037057,118370444,1,34980523
2018,115037059,118370444,18,34970879
2018,115037056,118370444,1,34980522
2018,115033714,118370444,18,34975842
2018,115037087,118370466,1,34970890
2018,115033932,118377423,1,34975890
2018,115033931,118377423,1,34975889
2018,115033941,118367693,20,34975892
2018,115034319,118370631,17,34975929
2018,115029465,118368087,1,34980558
2018,115029465,118370649,1,34970982
2018,115034671,118378174,18,34976007
2018,115029774,118368418,21,34971060
2018,115030167,118368827,3,34976106
2018,115030171,118368827,5,34976107
2018,115041183,118371120,21,34976207
2018,115042202,118380468,16,34976332
2018,115038203,118385842,1,34971455
2018,115038311,118381125,1,34980728
2018,115038351,118381235,24,34980734
2018,115043165,118381383,16,34976522
2018,115043203,118381408,18,34976524
2018,115043316,118371762,3,34976539
2018,115043571,118381684,16,34976573
2018,115043637,118371839,24,34976581
2018,115043639,118371839,24,34976582
2018,115043636,118371839,24,34976580
2018,115043730,118386998,1,34976598
2018,115048294,118386998,1,34971629
2018,115048311,118381839,7,34971634
2018,115044056,118387320,3,34976649
2018,115044100,118387349,1,34976653
2018,115044562,118382660,19,34976745
2018,115044644,118387920,16,34971767
2018,115044667,118387945,24,34976772
2018,115044878,118388171,24,34976818
2018,115044878,118388170,24,34976817
2018,115044921,118388216,16,34976854
2018,115044970,118388266,1,34976861
2018,115045111,118383226,24,34971905
2018,115045111,118383227,24,34976893
2018,115045191,118388478,24,34976917
2018,115049998,118383549,24,34971962
2018,115045539,118383669,18,34976980
2018,115045544,118388821,21,34976983
2018,115050207,118388890,18,34972005
2018,115050283,118383812,24,34972011
2018,115050343,118389044,18,34977013
2018,115045862,118383968,3,34972042
2018,115050743,118389529,24,34977087
2018,115051327,118384344,7,34977115
2018,115050905,118389712,24,34980866
2018,115051432,118389742,24,34980867
2018,115051526,118384526,14,34977142
2018,115051542,118384537,24,34977151
2018,115051590,118384584,18,34972143
2018,115051654,118389968,24,34977164
2018,115052025,118390330,24,34977222
2018,115052024,118390330,24,34977221
2018,115052044,118390350,11,34977227
2018,115039253,118390476,18,34977244
2018,115056695,118390571,24,34972256
2018,115056695,118390569,24,34977264
2018,115039287,118395241,24,34977283
2018,115039287,118395240,24,34972276
2018,115026693,118365324,16,34970454
2018,115036445,118369899,10,34980405
2018,115036460,118365398,18,34975509
2018,115031967,118375497,16,34975515
2018,115031999,118365532,5,34975520
2018,115032011,118365550,14,34970485
2018,115026950,118369957,16,34975524
2018,115032092,118365658,17,34975537
2018,115027021,118375626,18,34975539
2018,115032116,118375626,24,34970498
2018,115032145,118365711,16,34975540
2018,115027073,118375668,16,34970509
2018,115027140,118365786,14,34970530
2018,115032253,118375760,18,34975556
2018,115027280,118365887,21,34970557
2018,115027315,118365921,26,34975593
2018,115032549,118366080,3,34975624
2018,115027753,118376290,18,34970632
2018,115027754,118376290,18,34970633
2018,115032798,118366371,5,34970636
2018,115032798,118366372,5,34975673
2018,115032828,118376331,1,34975688
2018,115032910,118376402,15,34970678
2018,115032918,118366511,18,34970679
2018,115027887,118376420,21,34970680
2018,115036806,118370221,3,34980467
2018,115036812,118366590,3,34980472
2018,115033004,118366599,18,34975727
2018,115028009,118370240,18,34970701
2018,115028013,118370240,18,34970703
