"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,4,115849320,0.001,1,11353421
2019,4,115849349,4,1,11356274
2019,12,115849349,3.8,1,11353427
2019,12,115848813,0.001,1,11356310
2019,4,115848813,0.002,1,11356309
2019,4,115849550,0.2,1,11356323
2019,5,115849682,10.92,1,11353477
2019,12,115849927,0.1,1,11356380
2019,4,115849156,5.5,1,11353521
2019,12,115854345,2.301,1,11353554
2019,5,115850816,,,11356551
2019,4,115854794,0.22,1,11353630
2019,12,115850853,0.391,1,11356563
2019,5,115850853,1.11,1,11356562
2019,18,115850853,,,11356564
2019,12,115850919,0.1,1,11356596
2019,15,115854956,0.05,1,11353672
2019,4,115854967,0.001,1,11356614
2019,4,115851107,0.85,1,11353685
2019,5,115851144,1.85,1,11356643
2019,12,115855064,0.001,1,11353701
2019,12,115851189,0.5,1,11356651
2019,16,115851238,8,9,11356666
2019,18,115851238,,,11356667
2019,16,115851305,13,9,11356684
2019,4,115851310,0.001,1,11353736
2019,12,115855190,0.002,1,11353739
2019,15,115855190,30,9,11356688
2019,4,115855190,26,1,11356689
2019,12,115851495,0.2,1,11356739
2019,4,115855305,0.001,1,11353777
2019,4,115851513,0.001,1,11353781
2019,12,115851513,0.001,1,11356744
2019,12,115851573,3.9,1,11356766
2019,12,115851584,10.6,1,11356771
2019,4,115851586,0.001,1,11356773
2019,12,115851622,0.1,1,11353794
2019,12,115855394,0.946,1,11353795
2019,12,115855431,0.106,1,11353799
2019,12,115855457,1,1,11353802
2019,17,115855727,,,11356814
2019,12,115854660,0.001,1,11353614
2019,12,115854692,0.001,1,11353618
2019,12,115854841,0.731,1,11353646
2019,4,115854841,0.08,1,11353645
2019,8,115854841,27,9,11356580
2019,12,115854917,34.5,1,11356609
2019,12,115855032,4.18,3,11356629
2019,12,115855069,0.24,1,11353704
2019,4,115855069,0.001,1,11353703
2019,12,115855168,0.01,1,11353731
2019,4,115855168,0.001,1,11356680
2019,12,115855204,0.02,1,11356697
2019,12,115851342,0.003,1,11353745
2019,12,115855232,3.3,1,11353754
2019,12,115855245,0.4,1,11353759
2019,12,115851438,5.8,1,11353764
2019,4,115851438,13.5,1,11353763
2019,4,115851527,0.001,1,11356749
2019,12,115851533,5.6,1,11353785
2019,12,115851558,0.3,1,11356760
2019,16,115851561,1,9,11356764
2019,12,115851583,0.2,1,11356770
2019,5,115855407,0.3,1,11353796
2019,12,115851747,0.59,1,11356783
2019,4,115851809,4.98,1,11353809
2019,12,115851912,28.7,1,11356799
2019,12,115851946,1,1,11356802
2019,12,115855720,5,1,11356813
2019,17,115852186,,,11353842
2019,16,115855860,1,1,11353844
2019,5,115855873,1,1,11353845
2019,12,115855873,1,1,11353846
2019,17,115852249,,,11356824
2019,12,115855894,1,1,11356825
2019,5,115855920,54.2,1,11356827
2019,12,115855944,0.5,1,11356835
2019,12,115855967,6,1,11353852
2019,12,115856114,0.5,1,11353869
2019,5,115852624,1,11,11356863
2019,4,115852730,1,1,11356875
2019,12,115852751,1,11,11356880
2019,12,115856338,1,11,11353883
2019,12,115856348,1,1,11353886
2019,12,115852807,1,11,11356890
2019,12,117022009,9.6,1,11671638
2019,12,117013418,0.001,1,11674744
2019,12,117022197,0.001,1,11671661
2019,12,117022207,1.2,1,11671663
2019,12,117022212,0.001,1,11674747
2019,12,117013464,1,11,11674750
2019,15,117013515,,,11674758
2019,12,117017486,0.3,1,11677906
2019,5,117013660,3.1,1,11674782
2019,12,117013853,1,11,11671712
2019,4,117022679,0.4,1,11671724
2019,4,117022679,1,11,11674829
2019,4,117022684,0.001,1,11671726
2019,12,117013932,0.001,1,11674835
2019,17,117013932,0.001,1,11674834
2019,2,117014021,0.001,1,11674841
2019,5,117014141,0.001,1,11674850
