"DATA_YEAR","ARRESTEE_ID","INCIDENT_ID","ARRESTEE_SEQ_NUM","ARREST_DATE","ARREST_TYPE_ID","MULTIPLE_INDICATOR","OFFENSE_TYPE_ID","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","RESIDENT_CODE","UNDER_18_DISPOSITION_CODE","CLEARANCE_IND","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,25611068,88250400,1,11-OCT-16,3,"N",41,5,38,"M",1,1,"N","","",38,0
2016,24823216,84220394,1,07-JUN-16,3,"N",48,5,28,"M",2,2,"R","","",,
2016,24823188,84219541,1,12-JUL-16,3,"N",11,5,27,"F",1,2,"R","","",,
2016,24823224,84220410,1,24-MAR-16,3,"N",11,5,55,"M",2,2,"R","","",,
2016,24823225,84220411,1,22-AUG-16,3,"N",48,5,25,"M",2,1,"N","","",,
2016,24823226,84220412,1,27-AUG-16,3,"N",2,5,51,"M",1,2,"N","","",,
2016,24823234,84220429,1,14-JAN-16,1,"N",48,5,24,"M",2,2,"R","","",,
2016,24823239,84220440,1,03-JAN-16,1,"N",28,5,19,"M",2,2,"N","","",,
2016,24823241,84220444,1,31-AUG-16,3,"N",44,5,29,"F",1,2,"N","","",,
2016,24823247,84220459,1,06-MAR-16,3,"N",5,5,25,"M",4,2,"R","","",,
2016,24823115,84219427,1,02-MAR-16,3,"N",56,5,62,"M",1,2,"R","","",,
2016,24823118,84219431,1,20-FEB-16,3,"N",10,5,26,"M",2,1,"N","","",,
2016,24823119,84219436,1,09-SEP-16,1,"N",2,5,46,"M",1,2,"R","","",,
2016,24823120,84219437,1,09-SEP-16,1,"N",48,5,39,"M",1,2,"N","","",,
2016,24823121,84219438,1,10-SEP-16,1,"N",51,5,45,"F",4,2,"N","","",,
2016,24823122,84219440,1,13-SEP-16,1,"N",51,5,26,"F",2,2,"R","","",,
2016,24823123,84219441,1,15-SEP-16,2,"N",48,5,33,"M",2,2,"R","","",,
2016,24823264,84220497,1,01-JUN-16,1,"N",10,5,18,"M",1,2,"R","","",,
2016,24823265,84220498,1,02-JUN-16,1,"N",48,5,23,"M",1,2,"N","","",,
2016,24823268,84220505,1,05-JUN-16,1,"N",10,5,27,"M",1,2,"N","","",,
2016,24823269,84220510,1,06-JUN-16,1,"N",16,5,33,"F",2,1,"R","","",,
2016,24823270,84220510,2,06-JUN-16,1,"N",16,5,31,"M",1,2,"R","","",,
2016,24823271,84220513,1,02-OCT-16,3,"N",2,5,36,"M",1,2,"N","","",,
2016,24823272,84220514,1,02-OCT-16,3,"N",2,5,34,"F",1,1,"N","","",,
2016,24823273,84220516,1,08-JUN-16,1,"N",16,5,36,"F",1,1,"R","","",,
2016,24823274,84220517,1,08-OCT-16,3,"N",2,5,36,"M",2,2,"N","","",,
2016,24823275,84220518,1,18-JAN-16,1,"N",48,5,24,"M",1,2,"R","","",,
2016,24823276,84220519,1,15-SEP-16,3,"N",2,5,41,"F",2,2,"N","","",,
2016,24823277,84220520,1,23-SEP-16,3,"N",2,5,36,"F",2,2,"N","","",,
2016,24823278,84220521,1,10-JUN-16,1,"N",39,5,35,"M",2,2,"R","","",,
2016,24823279,84220524,1,10-JUN-16,1,"N",11,5,37,"M",2,1,"R","","",,
2016,24823280,84220526,1,11-JUN-16,1,"N",16,5,28,"M",1,1,"N","","",,
2016,24823281,84220528,1,17-SEP-16,1,"N",51,5,29,"M",1,2,"R","","",,
2016,24823284,84220531,1,29-SEP-16,3,"N",14,5,27,"M",1,2,"R","","",,
2016,24823285,84220535,1,22-SEP-16,3,"N",48,5,49,"F",1,2,"R","","",,
2016,24823286,84220537,1,17-JUN-16,1,"N",10,5,30,"M",1,2,"N","","",,
2016,24823287,84220540,1,18-JUN-16,1,"N",28,5,28,"F",1,2,"N","","",,
2016,24823288,84220541,1,18-JUN-16,1,"N",51,5,33,"M",1,2,"N","","",,
2016,24823289,84220542,1,25-SEP-16,3,"N",48,5,32,"F",4,2,"R","","",,
2016,24823290,84220543,1,26-SEP-16,3,"N",51,5,28,"M",1,1,"R","","",,
2016,24823291,84220547,1,22-JUN-16,1,"N",16,5,32,"M",1,2,"N","","",,
2016,24823292,84220548,1,24-JUN-16,1,"N",10,5,29,"F",1,2,"N","","",,
