"DATA_YEAR","OFFENDER_ID","INCIDENT_ID","OFFENDER_SEQ_NUM","AGE_ID","AGE_NUM","SEX_CODE","RACE_ID","ETHNICITY_ID","AGE_RANGE_LOW_NUM","AGE_RANGE_HIGH_NUM"
2016,99413247,88250544,0,,,"",,,,
2016,99413070,88250400,1,5,38,"M",1,,38,0
2016,100380133,89074021,0,,,"",,,,
2016,96750833,84220392,1,5,25,"M",2,,,
2016,96750834,84220393,1,5,28,"M",2,,,
2016,96750835,84220394,1,5,28,"M",2,,,
2016,96750836,84220395,0,,,"",,,,
2016,96750839,84220398,0,,,"",,,,
2016,96750840,84220399,1,5,29,"M",1,,,
2016,96750845,84220404,1,5,39,"M",2,,,
2016,96750846,84220405,0,,,"",,,,
2016,96750758,84219521,0,,,"",,,,
2016,96750759,84219522,1,5,25,"M",1,,,
2016,96750760,84219522,2,5,36,"M",1,,,
2016,96750761,84219523,1,5,19,"M",1,,,
2016,96750762,84219524,0,,,"",,,,
2016,96750763,84219525,1,5,20,"M",2,,,
2016,96750767,84219528,0,,,"",,,,
2016,96750769,84219530,1,5,30,"M",1,,,
2016,96750771,84219532,0,,,"",,,,
2016,96750772,84219533,1,5,21,"M",2,,,
2016,96750774,84219535,1,5,23,"F",1,,,
2016,96750775,84219536,0,,,"",,,,
2016,96750776,84219537,0,,,"",,,,
2016,96750780,84219541,1,5,27,"F",1,,,
2016,96750848,84220407,0,,,"",,,,
2016,96750850,84220409,1,5,41,"F",2,,,
2016,96750851,84220410,1,5,55,"M",2,,,
2016,96750852,84220411,1,5,23,"M",1,,,
2016,96750853,84220411,2,5,25,"M",2,,,
2016,96750854,84220412,1,5,51,"M",1,,,
2016,96750855,84220413,1,5,39,"M",1,,,
2016,96750856,84220414,0,,,"",,,,
2016,96750860,84220417,1,5,22,"M",1,,,
2016,96750862,84220419,1,5,25,"M",1,,,
2016,96750863,84220420,1,5,19,"M",2,,,
2016,96750864,84220421,1,5,26,"M",1,,,
2016,96750865,84220422,0,,,"",,,,
2016,96750866,84220423,0,,,"",,,,
2016,96750867,84220424,0,,,"",,,,
2016,96750868,84220425,1,5,26,"M",2,,,
2016,96750872,84220429,1,5,24,"M",2,,,
2016,96750873,84220430,1,5,27,"M",1,,,
2016,96750876,84220432,1,5,30,"M",1,,,
2016,96750877,84220433,1,5,54,"M",1,,,
2016,96750878,84220434,0,,,"",,,,
2016,96750879,84220435,0,,,"",,,,
2016,96750880,84220436,0,,,"",,,,
2016,96750884,84220440,1,5,19,"M",2,,,
2016,96750885,84220441,1,5,33,"M",1,,,
2016,96750886,84220442,0,,,"",,,,
2016,96750888,84220444,1,5,29,"F",1,,,
2016,96750889,84220445,0,,,"",,,,
2016,96750890,84220446,0,,,"",,,,
2016,96750893,84220449,0,,,"",,,,
2016,96750894,84220450,0,,,"",,,,
2016,96750895,84220451,1,5,52,"M",1,,,
2016,96750896,84220452,0,,,"",,,,
2016,96750898,84220454,1,5,24,"M",1,,,
2016,96750900,84220456,1,5,34,"M",1,,,
2016,96750903,84220459,1,5,25,"M",4,,,
2016,96750905,84220461,0,,,"",,,,
2016,96750910,84220466,1,5,37,"F",1,,,
2016,96750921,84220476,0,,,"",,,,
2016,96750656,84219424,0,,,"",,,,
2016,96750659,84219427,1,5,62,"M",1,,,
