"DATA_YEAR","PROPERTY_ID","PROP_DESC_ID","PROPERTY_VALUE","DATE_RECOVERED","NIBRS_PROP_DESC_ID"
2016,90827693,63,40,,97996908
2016,90827703,63,50,,97996909
2016,90827707,63,115,,97996910
2016,90215805,63,400,,97996911
2016,92659287,63,209,,97996913
2016,91439263,63,760,,97996914
2016,92660223,63,651,,97996915
2016,91439278,63,0,,97996916
2016,90828692,63,1,,97996917
2016,93882936,63,1,,97996918
2016,93882942,63,1100,,97996919
2016,89607816,63,450,,97996920
2016,92660246,63,500,,97996921
2016,91439287,63,1,,97996922
2016,89607819,63,0,,97996923
2016,91439288,63,109,,97996924
2016,90216852,63,1,,97996925
2016,89607826,63,1,,97996926
2016,90828724,63,1,,97996927
2016,93271988,63,51,,97996928
2016,93882962,63,600,,97996929
2016,91440395,63,1800,,97996935
2016,92661329,63,500,,97996937
2016,92661331,63,233,,97996938
2016,89608915,63,250,,97996939
2016,92050206,63,100,,97996940
2016,93884082,63,220,,97996941
2016,90829792,63,300,,97996942
2016,92050216,63,82,01-JUL-16,97996943
2016,91440428,63,200,,97996944
2016,93273092,63,189,01-OCT-16,97996945
2016,90829804,63,189,,97996946
2016,90218006,63,11,20-JUN-16,97996947
2016,93273105,63,40,,97996948
2016,92050231,63,300,,97996949
2016,89608935,63,37,09-DEC-16,97996950
2016,93884107,63,39,,97996951
2016,92661369,63,100,,97996952
2016,93884115,63,60,,97996953
2016,89608947,63,5,,97996954
2016,89608953,63,250,,97996955
2016,89608957,63,100,,97996956
2016,93273120,63,965,,97996957
2016,91436308,8,10,,98001553
2016,93882145,8,5,,98001554
2016,90827941,8,207,29-JUL-16,98001555
2016,93271163,8,207,,98001556
2016,92046267,8,154,,98001591
2016,90826925,8,3,,98001592
2016,90827947,8,62,,98001593
2016,90827953,8,46,15-SEP-16,98001594
2016,93271187,8,550,,98001595
2016,90828009,8,7,,98001596
2016,93882211,8,12,26-MAY-16,98001597
2016,92047360,45,1,,98001626
2016,92048393,8,12,,98001627
2016,92938116,8,13,03-SEP-16,98037304
2016,89605570,63,174,12-MAR-16,97941620
2016,93880790,63,27,,97941621
2016,90214618,63,500,,97941623
2016,89605612,63,150,,97941786
2016,90214628,63,100,,97941787
2016,89605623,63,1,,97941788
2016,92658076,63,88,02-APR-16,97941789
2016,93880843,63,550,,97941790
2016,90214671,63,1,,97941791
2016,90214676,63,25,,97941792
2016,90826561,63,33,,97941793
2016,91437029,63,291,,97941794
2016,90826178,20,71,,97950950
2016,89605458,20,200,,97950951
2016,92658031,3,2000,,97950952
2016,90826502,20,504,,97950953
2016,93880913,3,1000,,97950954
2016,90214898,3,1000,,97950955
2016,93882046,3,1,,97950957
2016,92048239,3,42200,,97950958
2016,91438540,3,500,,97950959
2016,90216421,3,2100,,97950961
2016,92661597,3,1000,,97950964
2016,90218425,20,100,,97950965
2016,94159475,8,1739,,97969643
2016,89607121,63,900,,97992709
2016,91438516,63,200,,97992710
2016,93271262,63,29,,97992711
2016,92659565,63,50,,97992712
