"DATA_YEAR","VICTIM_ID","INJURY_ID"
2017,96576713,5
2017,96576710,5
2017,96577690,4
2017,96577949,4
2017,96578164,5
2017,96578231,5
2017,96578769,4
2017,96579044,4
2017,96579113,5
2017,96579680,4
2017,96579818,4
2017,96579853,4
2017,96580353,4
2017,96580569,5
2017,96581196,4
2017,96581196,2
2017,96581196,6
2017,96581300,4
2017,96581450,5
2017,96581601,5
2017,96581755,5
2017,96581828,4
2017,96581933,4
2017,96582230,4
2017,96582238,5
2017,96582267,4
2017,96582513,4
2017,96582720,4
2017,96582862,4
2017,96582876,5
2017,96582878,4
2017,96582873,4
2017,96583121,4
2017,96583195,5
2017,96583216,4
2017,96583495,5
2017,96583540,5
2017,96583640,6
2017,96583645,6
2017,96583707,4
2017,96583720,3
2017,96583719,3
2017,96583724,4
2017,96583899,3
2017,96583980,4
2017,96584216,5
2017,96584235,4
2017,96585164,4
2017,96585315,5
2017,96585518,4
2017,96585724,5
2017,96576997,5
2017,96577468,4
2017,96577464,5
2017,96577661,5
2017,96577883,4
2017,96580808,5
2017,96581277,4
2017,96582132,4
2017,96582136,4
2017,96582236,5
2017,96582271,4
2017,96582821,5
2017,96582936,5
2017,96582959,4
2017,96583048,5
2017,96583047,5
2017,96583351,5
2017,96583342,5
2017,96583532,5
2017,96583753,5
2017,96584066,4
2017,96584466,4
2017,96584636,4
2017,96584800,5
2017,96585339,4
2017,96585622,5
2017,97231738,2
2017,97231738,3
2017,97232593,2
2017,97232981,4
2017,97233108,4
2017,97233739,4
2017,97233892,4
2017,97234101,5
2017,97234262,4
2017,97239595,4
2017,97242013,5
2017,97242057,4
2017,97242292,5
2017,97242401,4
2017,97243264,4
2017,97243668,5
2017,97243706,4
2017,97244091,5
2017,97244740,5
2017,97244904,4
2017,97245441,4
2017,97246097,4
2017,97246102,4
2017,97246657,5
2017,97246659,5
2017,97246714,5
2017,97246785,5
2017,97247182,4
2017,97247329,5
2017,97247463,4
2017,97247642,5
2017,97247950,4
2017,97248398,4
2017,97248898,4
2017,97248960,4
2017,97251135,4
2017,97251167,4
2017,97251228,4
2017,97251321,5
2017,97251719,5
2017,97252084,5
2017,97252078,4
2017,97252915,4
2017,97253262,5
2017,97253441,3
2017,97254058,4
2017,97254522,4
2017,97254517,4
2017,97254951,3
2017,97255030,4
2017,97255093,4
2017,97255376,2
2017,97255698,4
2017,97256118,5
2017,97256984,4
2017,97257354,4
2017,97257983,5
2017,97258086,4
2017,97259661,4
2017,97259665,4
2017,97260115,4
2017,97260502,5
2017,97260678,4
2017,97260769,4
2017,97260790,5
2017,97261748,4
2017,97262108,4
2017,97262487,4
2017,97262711,4
2017,97263251,4
2017,97263318,4
2017,97263655,5
2017,97263937,4
2017,97264833,4
2017,97265536,4
2017,97265642,5
2017,97265789,4
2017,97265959,4
2017,97266632,5
2017,97266762,5
2017,97267007,4
2017,97267033,3
2017,97267299,4
2017,97267511,5
2017,97267688,5
2017,97268174,4
2017,97268263,5
2017,97268465,5
2017,97268856,5
2017,97268929,5
2017,97269138,5
2017,97269544,4
2017,97270102,6
2017,97270104,4
2017,97270307,4
2017,97270681,4
2017,97270797,4
2017,97271071,5
2017,97271073,5
2017,97271367,4
2017,97271730,5
2017,97271855,5
2017,97272343,4
2017,97273240,5
2017,97273880,4
2017,97274007,2
2017,97274067,4
2017,97274411,4
2017,97274442,5
2017,97274464,4
2017,97274639,4
2017,97274746,5
2017,97275254,4
2017,97276288,4
2017,97276570,5
2017,97278786,4
2017,97280263,2
2017,97281123,4
2017,97281844,4
2017,97281995,5
2017,97282187,5
2017,106279587,4
2017,106280884,5
2017,106283850,4
2017,106284667,4
2017,96323209,5
2017,96323207,5
2017,96323437,5
2017,96325011,4
2017,96325867,4
2017,96328782,4
2017,96328778,4
2017,96328982,4
2017,96329079,4
2017,96329238,5
2017,96329702,4
2017,96329850,4
2017,96329998,5
2017,96332165,4
2017,96333890,4
2017,96322520,4
2017,96322574,1
2017,96323964,4
2017,96325245,5
2017,96325923,5
2017,96582359,4
2017,96328753,4
2017,96328841,3
2017,96329124,5
2017,96329196,5
2017,96329291,5
2017,96330022,4
2017,96330185,4
2017,96330181,4
2017,96330284,4
2017,96576655,5
2017,96576654,4
2017,96578541,5
2017,96579114,5
2017,96579317,4
2017,96579463,4
2017,96579661,4
2017,96580211,4
2017,96580284,5
2017,96580419,4
2017,96580481,5
2017,96580479,4
2017,96581112,4
2017,96581186,5
2017,96582213,5
2017,96583044,4
2017,96583041,4
2017,96583250,5
2017,96583614,4
2017,96583957,4
2017,96584095,4
2017,96584140,5
2017,96584182,5
2017,96584828,4
2017,96585702,5
2017,96580841,3
2017,96581214,5
2017,96581571,5
2017,96581712,3
2017,96581712,7
2017,96582596,4
2017,96582779,5
2017,96583876,5
2017,96583923,5
2017,96584180,5
2017,96584416,4
2017,96584598,4
2017,96585603,4
2017,96320677,4
2017,96320784,4
2017,96324044,4
2017,96325200,5
2017,96325712,5
2017,96329289,4
2017,96329493,4
2017,96329528,5
2017,96329717,4
2017,96329798,5
2017,96329854,5
2017,96330050,5
2017,96330051,5
2017,96330053,5
2017,96330351,5
2017,96331031,5
2017,96321107,4
2017,96323003,4
2017,96323930,7
2017,96323930,6
2017,96325061,4
2017,96325239,4
2017,96328846,5
2017,96329042,3
2017,96329312,5
2017,96329351,5
2017,96329799,5
2017,96330576,4
2017,96333865,5
2017,96320109,4
2017,96320139,5
2017,96323497,5
2017,96323998,5
2017,96325057,4
2017,96328758,4
2017,96329287,4
2017,96329387,4
2017,96329544,4
2017,96329568,5
2017,96329913,5
2017,96330172,4
2017,96330818,4
2017,98263193,4
2017,98263605,4
2017,98264157,2
2017,98264166,4
2017,98264938,5
2017,98264935,5
2017,98265177,4
2017,96323104,4
2017,96323155,4
2017,96325074,5
2017,96328845,5
2017,96329143,6
2017,96329302,4
2017,96329444,4
2017,96329586,4
2017,96329737,5
2017,96329768,4
2017,96329811,5
2017,96329987,4
2017,96330026,5
2017,96330265,6
2017,96330535,5
2017,96334099,4
2017,96323239,4
2017,96323457,4
2017,96329149,4
2017,96329235,5
2017,96329476,6
2017,96329535,3
2017,96329785,5
2017,96329871,6
2017,96332152,5
2017,96323036,4
2017,96325137,5
2017,96325142,5
2017,96328760,4
2017,96328783,4
2017,96328968,4
2017,96329436,5
2017,96329434,4
2017,96329457,4
2017,96329453,5
2017,96330182,5
2017,96330184,5
2017,96330224,4
2017,96330266,5
2017,96330481,2
2017,96332172,4
2017,96333233,5
2017,97231350,4
2017,97232386,4
2017,97233440,5
2017,97233585,4
2017,97233827,4
2017,97234679,4
2017,97234947,4
2017,97236869,4
2017,97236935,4
2017,97238987,5
2017,97240871,4
2017,97241580,4
2017,97241977,5
2017,97242759,5
2017,97243633,4
2017,97243672,5
2017,97244756,4
2017,97245001,5
2017,97245373,5
2017,97245776,4
2017,97245861,5
2017,97245858,5
2017,97246150,4
2017,97246243,5
2017,97246280,5
2017,97246691,4
2017,97247249,5
2017,97247291,5
2017,97247429,4
2017,97248365,5
2017,97249063,4
2017,97249495,4
2017,97249741,4
2017,97250325,4
2017,97250896,4
2017,97251134,5
2017,97251183,5
2017,97251623,5
2017,97251832,5
2017,97252087,4
2017,97252145,5
2017,97252452,4
2017,97252796,5
2017,97252875,4
2017,97253640,4
2017,97254368,3
2017,97254459,4
2017,97254977,4
2017,97255241,4
2017,97256487,5
2017,97256582,4
2017,97257350,5
2017,97257505,4
2017,97257509,5
2017,97257622,4
2017,97258450,4
2017,97258698,5
2017,97259016,4
2017,97260776,5
2017,97260923,4
2017,97261575,4
2017,97261993,4
2017,97262054,4
2017,97262129,4
2017,97262314,2
2017,97262383,4
2017,97262515,5
2017,97263267,4
2017,97264296,5
2017,97264347,4
2017,97264375,5
2017,97264536,4
2017,97264586,6
2017,97264714,5
2017,97264863,5
2017,97265184,2
2017,97265265,4
2017,97265287,4
2017,97265699,5
2017,97266700,4
2017,97266776,5
2017,97268484,4
2017,97268491,2
2017,97268766,3
2017,97269183,4
2017,97269320,5
2017,97269354,5
2017,97269355,5
2017,97269412,2
2017,97269412,4
2017,97269504,5
2017,97269916,4
2017,97270179,5
2017,97270202,6
2017,97270242,4
2017,97270443,4
2017,97270768,4
2017,97270844,4
2017,97271469,5
2017,97271811,5
2017,97272138,5
2017,97272238,4
2017,97272222,4
2017,97272233,4
2017,97272281,5
2017,97273310,5
2017,97273491,4
2017,97273658,5
2017,97273822,4
2017,97274157,5
2017,97274173,5
2017,97274276,5
2017,97274615,5
2017,97275827,4
2017,97276045,4
2017,97276317,4
2017,97276819,4
2017,97277812,4
2017,97278143,5
2017,97278137,5
2017,97278665,4
2017,97278789,5
2017,97279742,5
2017,97281188,5
2017,97281193,5
2017,97281678,4
2017,97281671,4
2017,96320132,5
2017,96321221,5
2017,96324032,4
2017,96325086,4
2017,96325158,4
2017,96328924,5
2017,96328946,4
2017,96328975,4
2017,96329087,5
2017,96329844,4
2017,96330054,2
2017,98262939,2
2017,98264251,4
2017,98264247,5
2017,98264835,4
2017,98264892,4
2017,98265356,4
2017,98265353,4
2017,98265488,5
2017,98265879,4
2017,98266302,5
2017,98266559,5
2017,98267137,5
2017,98267422,5
2017,98268703,4
2017,98268696,4
2017,98268750,4
2017,98268995,4
2017,98269175,5
2017,98269171,4
2017,98269431,5
2017,98269827,4
2017,98271738,5
2017,98271913,4
2017,98271899,4
2017,98271967,4
2017,98272895,5
2017,98273083,4
2017,98277343,4
2017,98277347,4
2017,98285122,5
2017,98285272,4
2017,98285308,4
2017,98285813,3
2017,98286495,4
2017,98286573,5
2017,98286739,4
2017,98287066,5
2017,98288243,5
2017,97231145,4
2017,97231376,5
2017,97231529,5
2017,97232304,5
2017,97233158,5
2017,97233335,5
2017,97233812,4
2017,97234217,4
2017,97234224,4
2017,97234538,4
2017,97235864,4
2017,97238518,4
2017,97239358,4
2017,97243699,4
2017,97244021,5
2017,97244211,4
2017,97244526,5
2017,97244998,4
2017,97245043,4
2017,97245571,4
2017,97245660,4
2017,97245779,4
2017,97245932,5
2017,97246315,5
2017,97246454,4
2017,97246790,5
2017,97246926,4
2017,97247054,4
2017,97247241,5
2017,97247455,5
2017,97247578,5
2017,97247781,5
2017,97248983,5
2017,97251562,5
2017,97251793,5
2017,97252382,4
2017,97252678,4
2017,97252718,4
2017,97253274,5
2017,97253930,4
2017,97254569,4
2017,97254643,4
2017,97255488,5
2017,97257147,4
2017,97257143,4
2017,97257217,4
2017,97257333,4
2017,97258062,2
2017,97259809,5
2017,97260867,5
2017,97261111,5
2017,97261601,4
2017,97261869,5
2017,97262377,5
2017,97263098,4
2017,97263209,5
2017,97263703,4
2017,97264319,4
2017,97264485,5
2017,97264512,4
2017,97264673,4
2017,97264837,4
2017,97264906,4
2017,97265097,4
2017,97266289,5
2017,97266402,4
2017,97268278,4
2017,97268374,5
2017,97268976,5
2017,97269479,4
2017,97269572,5
2017,97269611,4
2017,97269651,4
2017,97269879,4
2017,97269950,4
2017,97270113,5
2017,97270192,3
2017,97270198,5
2017,97270222,4
2017,97270754,4
2017,97271153,4
2017,97271878,5
2017,97272074,5
2017,97272360,5
2017,97272717,5
2017,97273359,4
2017,97273508,5
2017,97273607,4
2017,97273772,4
2017,97274051,5
2017,97274082,5
2017,97274156,4
2017,97274410,4
2017,97274444,4
2017,97274570,2
2017,97274584,5
2017,97274616,4
2017,97275053,4
2017,97275703,4
2017,97276303,5
2017,97276579,4
2017,97276807,4
2017,97277159,5
2017,97277248,4
2017,97277815,4
2017,97277912,5
2017,97279609,4
2017,97280115,5
2017,97280616,5
2017,97280653,4
2017,97280774,5
2017,97281434,5
2017,97281675,5
2017,97281983,5
2017,97282067,5
2017,97231003,4
2017,97231241,2
2017,97231771,4
2017,97232092,4
2017,97232251,5
2017,97233434,4
2017,97233755,5
2017,97234016,5
2017,97234239,4
2017,97234800,6
2017,97234800,8
2017,97235009,4
2017,97236933,4
2017,97237726,5
2017,97231998,4
2017,97232797,5
2017,97233809,4
2017,97233986,4
2017,97234287,4
2017,97234365,5
2017,97234597,4
2017,97234655,5
2017,97234746,2
2017,97234773,2
2017,97236379,4
2017,97237065,5
2017,97237361,5
2017,97237872,5
2017,97239641,5
2017,97241533,5
2017,97242118,4
2017,97243388,5
2017,97243392,4
2017,97243628,5
2017,97244764,5
2017,97244820,5
2017,97245003,5
2017,97245033,5
2017,97245171,4
2017,97245379,4
2017,97245456,4
2017,97245602,4
2017,97246241,4
2017,97246238,4
2017,97246533,4
2017,97247042,5
2017,97247995,5
2017,97248600,5
2017,97249497,4
2017,97249947,4
2017,97250200,5
2017,97250553,4
2017,97250670,5
2017,97250910,4
2017,97251950,4
2017,97252311,4
2017,97252824,5
2017,97253952,4
2017,97254446,4
2017,97254516,5
2017,97254781,4
2017,97254831,4
2017,97255463,5
2017,97255626,5
2017,97256552,4
