"DATA_YEAR","VICTIM_ID","OFFENDER_ID","RELATIONSHIP_ID","NIBRS_VICTIM_OFFENDER_ID"
2017,97276568,100375201,3,29315262
2017,97276781,100375419,16,29315316
2017,97277809,100376479,14,29315550
2017,97277978,100376628,24,29315583
2017,97278044,100376664,24,29315592
2017,97278032,100376664,3,29315591
2017,97278118,100376722,16,29315615
2017,97281055,100379626,24,29316231
2017,97281309,100379877,5,29316309
2017,97281598,100380160,16,29316397
2017,97281781,100380341,20,29316487
2017,97252833,100351413,24,29308760
2017,97252837,100351413,24,29308764
2017,97261164,100359813,1,29311338
2017,97261368,100359999,21,29311374
2017,97261420,100360058,3,29311385
2017,97262112,100360749,3,29311553
2017,97262600,100361223,17,29311673
2017,97263174,100361794,3,29311807
2017,97263789,100362400,15,29311939
2017,97263836,100362446,16,29311948
2017,97263836,100362444,3,29311947
2017,97264591,100363223,1,29312109
2017,97264846,100363470,1,29312150
2017,97280217,100378796,16,29316054
2017,97280251,100378840,24,29316063
2017,97280673,100379255,15,29316141
2017,97280710,100379296,24,29316145
2017,97258326,100356988,3,29310455
2017,97259147,100357795,5,29310723
2017,97259374,100358043,21,29310783
2017,97259660,100358321,3,29310880
2017,97259725,100358382,1,29310911
2017,97260260,100358900,3,29311044
2017,97260632,100359270,3,29311145
2017,97260880,100359510,4,29311220
2017,97260905,100359524,3,29311232
2017,97262181,100360821,16,29311572
2017,97262541,100361173,3,29311656
2017,97244764,100343198,24,29306578
2017,97245003,100343437,9,29306645
2017,97245033,100343467,17,29306655
2017,97245171,100343598,16,29306697
2017,97245379,100343804,3,29306755
2017,97245602,100344020,9,29306801
2017,97246241,100344658,16,29306959
2017,97246238,100344658,19,29306957
2017,97246533,100344943,3,29307027
2017,97247042,100345453,18,29307179
2017,97247995,100346405,5,29307430
2017,97248600,100347013,15,29307619
2017,97249497,100347967,1,29307850
2017,97250200,100348689,1,29308027
2017,97250553,100349059,1,29308113
2017,97250670,100349176,18,29308145
2017,97250910,100349402,3,29308206
2017,97251950,100350483,15,29308488
2017,97252191,100350747,3,29308546
2017,97252311,100350855,18,29308584
2017,97252311,100350856,1,29308585
2017,97252311,100350853,18,29308587
2017,97252824,100351397,3,29308754
2017,97252979,100351554,16,29308820
2017,97253952,100352509,6,29309095
2017,97254446,100353024,3,29309232
2017,97254516,100353078,24,29309251
2017,97254781,100353348,3,29309331
2017,97254831,100353408,24,29309342
2017,97255463,100354020,24,29309548
2017,97255626,100354197,1,29309601
2017,97257123,100355770,16,29310067
2017,97257227,100355892,3,29310106
2017,97258087,100356746,17,29310377
2017,97258592,100357244,3,29310550
2017,97259758,100358399,24,29310923
2017,97259758,100358402,18,29310925
