"DATA_YEAR","OFFENSE_ID","INCIDENT_ID","OFFENSE_TYPE_ID","ATTEMPT_COMPLETE_FLAG","LOCATION_ID","NUM_PREMISES_ENTERED","METHOD_ENTRY_CODE"
2018,136450696,111574792,5,"C",20,,""
2018,136450695,111574792,14,"C",20,,""
2018,120958531,97835255,2,"C",8,,""
2018,120958543,97835265,44,"C",20,,""
2018,120958571,97835292,16,"C",12,,""
2018,132310392,107861124,5,"C",20,,""
2018,132310391,107861124,14,"C",20,,""
2018,120007355,97011012,41,"C",8,,""
2018,120007370,97011029,47,"C",20,,""
2018,120007420,97011075,16,"C",13,,""
2018,120343078,97307847,47,"C",8,,""
2018,120343099,97307863,23,"C",8,,""
2018,120007365,97011027,47,"C",8,,""
2018,120007393,97011048,23,"C",8,,""
2018,120007345,97011003,51,"C",3,,""
2018,120007363,97011021,47,"C",12,,""
2018,132310381,107852756,23,"C",8,,""
2018,132318402,107861120,45,"C",13,,""
2018,132310389,107857120,16,"C",41,,""
2018,132313143,107861130,14,"C",20,,""
2018,132310395,107861130,5,"C",20,,""
2018,132318416,107857129,23,"C",8,,""
2018,132313152,107861143,16,"C",14,,""
2018,120007346,97011005,2,"C",47,,""
2018,120007348,97011007,49,"C",20,,"N"
2018,120007380,97011038,21,"C",12,,""
2018,120007388,97011045,5,"C",14,,""
2018,120007438,97011090,16,"C",13,,""
2018,120007371,97011026,23,"C",8,,""
2018,132318397,107857117,2,"C",21,,""
2018,132318405,107857123,2,"C",20,,""
2018,132310408,107861137,23,"C",8,,""
2018,120343072,97307840,47,"C",7,,""
2018,120343080,97307848,41,"C",24,,""
2018,120343110,97307873,51,"C",20,,""
2018,120007362,97011020,47,"C",12,,""
2018,120007343,97011002,5,"C",36,,""
2018,120007366,97011018,2,"A",8,,""
2018,120007418,97011071,51,"C",25,,""
2018,120343090,97307857,5,"C",14,,""
2018,120343100,97307865,23,"C",13,,""
2018,120343106,97307870,51,"C",12,,""
2018,120007432,97011081,23,"C",8,,""
2018,120007350,97011009,49,"C",18,,"N"
2018,120007406,97011064,23,"C",8,,""
2018,120007421,97011074,51,"C",8,,""
2018,120007347,97011006,49,"C",20,,"F"
2018,120007414,97011068,5,"C",20,,""
2018,120343086,97307852,23,"C",12,,""
2018,120343111,97307874,51,"C",14,,""
2018,120343092,97307858,56,"C",20,,""
2018,120007367,97011022,51,"C",25,,""
2018,120007428,97011088,51,"C",20,,""
2018,120007430,97011088,5,"C",20,,""
2018,120007433,97011088,16,"C",20,,""
2018,132310397,107852762,5,"C",20,,""
2018,132310411,107861141,23,"C",8,,""
2018,120007352,97011010,5,"C",20,,""
2018,120007382,97011036,44,"C",47,,""
2018,120007422,97011085,16,"C",14,,""
2018,120343075,97307844,47,"C",20,,""
2018,120343089,97307856,51,"C",20,,""
2018,120343105,97307871,16,"C",20,,""
2018,120343079,97307843,21,"C",20,,""
2018,120007409,97011066,47,"C",8,,""
2018,120007417,97011072,16,"C",13,,""
2018,120007349,97011008,14,"C",20,,""
2018,120007361,97011015,23,"C",8,,""
2018,120007368,97011023,2,"C",2,,""
2018,120007427,97011078,23,"C",8,,""
2018,120007423,97011079,23,"C",8,,""
2018,132310379,107861109,41,"C",8,,""
2018,132310414,107861144,23,"C",8,,""
2018,132310386,107861114,45,"C",20,,""
2018,132310404,107857128,41,"A",11,,""
2018,132318421,107861139,23,"C",12,,""
2018,120007358,97011025,47,"C",12,,""
2018,120007360,97011025,41,"C",12,,""
2018,120007425,97011082,23,"C",8,,""
2018,120343077,97307846,47,"C",20,,""
2018,120343098,97307862,41,"C",46,,""
2018,132310382,107852759,14,"C",18,,""
2018,132310384,107852759,5,"C",18,,""
2018,132313140,107857122,23,"C",8,,""
2018,132310402,107861133,49,"C",20,,"N"
2018,120958538,97835262,5,"C",20,,""
2018,120958614,97835331,21,"C",20,,""
2018,132313135,107857115,47,"C",14,,""
2018,132313142,107861121,23,"C",8,,""
2018,132310398,107861128,23,"C",12,,""
2018,132318423,107857135,23,"C",8,,""
2018,120007356,97011014,2,"C",19,,""
2018,120007416,97011070,23,"C",8,,""
2018,120343076,97307845,45,"C",5,,""
2018,120343118,97307882,16,"C",13,,""
2018,132318398,107857118,27,"C",20,,""
2018,132310400,107852763,45,"C",8,,""
2018,120343103,97307869,23,"C",12,,""
2018,120958586,97835305,51,"C",25,,""
2018,120958607,97835325,51,"C",8,,""
2018,120958644,97835361,51,"C",46,,""
2018,120958654,97835372,51,"C",8,,""
2018,120958648,97835372,5,"C",8,,""
2018,120958652,97835372,23,"C",8,,""
2018,132318400,107861117,51,"C",25,,""
2018,132318418,107857132,51,"C",18,,""
2018,132318419,107857132,5,"C",18,,""
2018,120958618,97835334,14,"C",8,,""
2018,120958646,97835358,51,"C",13,,""
2018,120958608,97835326,47,"C",20,,""
2018,132318403,107857121,23,"C",8,,""
2018,132318413,107852766,11,"C",11,,""
2018,120958580,97835299,51,"C",20,,""
2018,120958611,97835332,5,"C",20,,""
2018,120958555,97835288,49,"C",20,,"F"
2018,120958560,97835288,5,"C",20,,""
2018,120958615,97835333,5,"C",20,,""
2018,132310388,107861119,51,"C",20,,""
2018,120343107,97307872,23,"C",8,,""
2018,120343109,97307875,39,"C",8,,""
2018,120343108,97307875,23,"C",8,,""
2018,120958601,97835320,47,"C",20,,""
2018,120958642,97835359,23,"C",24,,""
2018,120958564,97835284,5,"C",20,,""
2018,120958605,97835321,49,"C",20,,"N"
2018,120958636,97835346,51,"C",7,,""
2018,120958535,97835257,49,"C",20,,"N"
2018,120958565,97835282,4,"C",11,,""
2018,120958582,97835301,5,"C",14,,""
2018,120343073,97307841,11,"C",46,,""
2018,120343083,97307851,14,"C",20,,""
2018,120343101,97307867,16,"C",3,,""
2018,120343113,97307877,23,"C",8,,""
2018,120958548,97835273,2,"C",46,,""
2018,120958657,97835369,23,"C",8,,""
2018,120007357,97011013,47,"C",6,,""
2018,120007408,97011062,23,"C",8,,""
2018,120958617,97835337,51,"C",7,,""
2018,120958621,97835337,5,"C",7,,""
2018,120343104,97307868,51,"C",8,,""
2018,120343112,97307876,23,"C",8,,""
2018,120958576,97835296,16,"C",25,,""
2018,120958585,97835304,16,"C",14,,""
2018,120958612,97835328,5,"C",20,,""
2018,120958588,97835308,51,"C",8,,""
2018,120958600,97835318,2,"C",47,,""
2018,120958609,97835329,21,"C",20,,""
2018,120958575,97835295,16,"C",13,,""
2018,120958577,97835297,23,"C",8,,""
2018,120958594,97835313,51,"C",13,,""
2018,120958597,97835316,14,"C",8,,""
2018,120958650,97835362,5,"C",25,,""
2018,120958581,97835302,23,"C",8,,""
2018,120958622,97835336,5,"C",8,,""
2018,120958627,97835343,45,"C",13,,""
2018,120958628,97835343,2,"C",13,,""
2018,120958643,97835357,27,"C",18,,""
2018,120958660,97835371,16,"C",20,,""
2018,120343085,97307854,5,"C",13,,""
2018,120343084,97307854,49,"C",13,,"F"
2018,120958584,97835306,23,"C",8,,""
2018,120958653,97835366,16,"C",13,,""
2018,120958651,97835366,39,"C",13,,""
2018,120958647,97835364,16,"C",13,,""
2018,120958613,97835330,5,"C",25,,""
2018,120958629,97835344,47,"C",8,,""
2018,120958549,97835270,41,"C",8,,""
2018,120958579,97835300,16,"C",13,,""
2018,120958603,97835323,23,"C",8,,""
2018,120958610,97835327,41,"C",2,,""
2018,120958623,97835340,23,"C",24,,""
2018,120958645,97835360,23,"C",46,,""
2018,120958578,97835298,5,"C",20,,""
2018,120958583,97835303,23,"C",8,,""
2018,120958533,97835256,49,"C",20,,"N"
2018,120958545,97835269,2,"C",20,,""
2018,120958626,97835342,5,"C",14,,""
2018,120958587,97835307,23,"C",8,,""
2018,120958633,97835350,16,"C",13,,""
2018,120958655,97835367,16,"C",13,,""
2018,120958532,97835254,44,"C",11,,""
2018,120958589,97835309,16,"C",14,,""
2018,120958649,97835363,23,"C",8,,""
2018,123054755,99695952,21,"C",20,,""
2018,123054760,99701120,14,"C",8,,""
2018,123058124,99695959,23,"C",8,,""
2018,123058125,99695961,23,"C",8,,""
2018,123058130,99701144,23,"C",8,,""
2018,123058114,99695953,8,"C",24,,""
2018,123063282,99701122,14,"C",8,,""
2018,123063293,99701133,23,"C",8,,""
2018,123054772,99695967,23,"C",46,,""
2018,123058128,99701141,5,"C",25,,""
2018,123063308,99695970,23,"C",8,,""
2018,123058144,99695976,51,"C",20,,""
2018,123054762,99703555,14,"C",12,,""
2018,123063288,99701129,14,"C",8,,""
2018,123058139,99701151,51,"C",13,,""
2018,123058120,99701127,5,"C",5,,""
2018,123054764,99701135,14,"C",20,,""
2018,123063305,99701146,5,"C",24,,""
2018,123058123,99695958,5,"C",21,,""
2018,123063295,99695960,36,"C",20,,""
2018,123058136,99695968,23,"C",8,,""
2018,123054778,99701157,51,"C",20,,""
2018,123054779,99701157,5,"C",20,,""
2018,123063280,99695954,14,"C",21,,""
2018,123063286,99695957,44,"C",20,,""
2018,123063296,99701139,5,"C",13,,""
2018,123054775,99695975,51,"C",14,,""
2018,123063279,99703550,45,"C",20,,""
2018,123054768,99703561,23,"C",46,,""
2018,123058135,99701149,23,"C",8,,""
2018,123058143,99695973,51,"C",21,,""
2018,132313145,107852764,23,"C",25,,""
2018,123063292,99701136,49,"C",20,,"F"
2018,123063307,99701150,5,"C",20,,""
2018,123054773,99701150,49,"C",20,,"F"
2018,123058142,99701153,49,"C",20,,"N"
2018,123063304,99701145,5,"C",20,,""
2018,123063309,99695974,23,"C",8,,""
2018,123058117,99703551,47,"C",8,,""
2018,123063285,99701126,14,"C",8,,""
2018,123063302,99695964,5,"C",12,,""
2018,123063301,99695964,51,"C",12,,""
2018,132310383,107861113,49,"C",20,,"F"
2018,132310385,107861113,51,"C",20,,""
2018,132318420,107857133,23,"C",12,,""
2018,132318422,107852770,16,"C",8,,""
2018,132310410,107852770,23,"C",8,,""
2018,132310380,107861110,41,"C",12,,""
2018,132310394,107857124,16,"C",14,,""
2018,123054756,99701118,14,"C",8,,""
2018,123063306,99701148,51,"C",20,,""
2018,123063294,99703558,49,"C",20,,"F"
2018,123054767,99703559,23,"C",8,,""
2018,123063278,99701115,41,"C",46,,""
2018,123054766,99701138,49,"C",18,,"N"
2018,123058121,99701130,23,"C",12,,""
2018,132313138,107852760,5,"C",38,,""
2018,132318414,107852768,28,"C",11,,""
2018,132313149,107861145,51,"C",13,,""
2018,132313151,107861145,16,"C",13,,""
2018,132310390,107861122,23,"C",8,,""
2018,132310407,107857130,51,"C",20,,""
2018,132313148,107861138,23,"C",8,,""
2018,123054758,99695955,28,"C",14,,""
2018,123054763,99703557,51,"C",21,,""
2018,123054765,99701137,45,"C",20,,""
2018,123058134,99703566,2,"C",8,,""
2018,123058133,99703566,41,"C",8,,""
2018,123054757,99703553,2,"C",8,,""
2018,123054771,99695966,23,"C",8,,""
2018,123058119,99701124,14,"C",24,,""
2018,123063289,99701131,51,"C",7,,""
2018,123054759,99703552,51,"C",20,,""
2018,123063283,99701123,21,"C",21,,""
2018,123063299,99695962,5,"C",20,,""
2018,123063298,99695962,49,"C",20,,"F"
2018,123063300,99703564,51,"C",13,,""
2018,123058132,99703565,47,"C",20,,""
2018,123054774,99701152,23,"C",17,,""
2018,123063310,99703568,23,"C",12,,""
2018,132318399,107861115,2,"C",20,,""
2018,132310405,107852769,23,"C",8,,""
2018,132310409,107861140,23,"C",8,,""
2018,123063297,99701140,23,"C",8,,""
2018,123058129,99695963,23,"C",24,,""
2018,123058115,99701117,14,"C",8,,""
2018,123063284,99703554,41,"C",23,,""
2018,123063303,99701143,44,"C",20,,""
2018,123058126,99703560,51,"C",25,,""
2018,123054770,99701142,47,"C",24,,""
2018,123063281,99701119,44,"C",41,,""
2018,123058138,99695969,45,"C",20,,""
2018,123058116,99701116,45,"C",20,,""
2018,123063291,99701134,45,"C",20,,""
2018,123058118,99701121,14,"C",18,,""
2018,123058127,99703563,16,"C",13,,""
2018,123058137,99701147,14,"C",8,,""
2018,123054776,99701154,23,"C",8,,""
2018,132318395,107852758,2,"C",47,,""
2018,132313144,107861129,5,"C",20,,""
2018,132318409,107861132,8,"C",25,,""
2018,132318417,107861134,56,"C",11,,""
2018,132313136,107852754,47,"C",5,,""
2018,132310393,107852761,23,"C",8,,""
2018,132318401,107861118,16,"C",14,,""
2018,132318404,107861123,23,"C",8,,""
2018,132313147,107857131,23,"C",8,,""
2018,132310396,107861126,47,"C",25,,""
2018,132318396,107857116,5,"A",20,,""
2018,132310401,107852765,7,"C",5,,""
2018,132310399,107852765,5,"C",5,,""
2018,132318392,107852757,47,"C",12,,""
2018,132318410,107857125,27,"C",25,,""
2018,126175119,102424823,47,"C",8,,""
2018,126175131,102428578,5,"C",20,,""
2018,126184664,102428578,14,"C",20,,""
2018,126175142,102421026,49,"C",20,,"N"
2018,126179175,102421031,23,"C",8,,""
2018,126184693,102428606,47,"C",12,,""
2018,126175190,102424892,23,"C",12,,""
2018,132310387,107857119,37,"C",8,,""
2018,132313139,107861116,47,"C",25,,""
2018,132318415,107857127,23,"C",12,,""
2018,126175121,102424825,5,"C",25,,""
2018,126184660,102428574,23,"C",8,,""
2018,126175132,102428576,51,"C",13,,""
2018,126184675,102428590,23,"C",8,,""
2018,126179184,102424860,47,"C",21,,""
2018,126184695,102424866,23,"C",8,,""
2018,126175170,102421045,23,"C",8,,""
2018,126175174,102424871,23,"C",8,,""
2018,126184663,102421015,23,"C",8,,""
2018,126184679,102428592,2,"C",8,,""
2018,126175149,102428596,47,"C",8,,""
2018,126175159,102421041,47,"C",14,,""
2018,126175163,102428605,47,"C",20,,""
2018,126175130,102424837,5,"C",20,,""
2018,126179156,102424837,14,"C",20,,""
2018,126184673,102424845,23,"C",8,,""
2018,126179173,102421030,5,"C",20,,""
2018,126184688,102428602,51,"C",13,,""
2018,126175165,102428607,41,"C",7,,""
2018,126184701,102424873,23,"C",8,,""
2018,126179194,102428621,49,"C",20,,"N"
2018,126175187,102428623,23,"C",8,,""
2018,126179201,102424895,23,"C",8,,""
2018,126184652,102424829,14,"C",25,,""
2018,126184654,102428570,14,"C",25,,""
2018,126184656,102428570,5,"C",25,,""
2018,126184659,102428573,51,"C",20,,""
2018,126175125,102428575,23,"C",24,,""
2018,126179158,102421019,23,"C",8,,""
2018,126175133,102421020,23,"C",8,,""
2018,126179160,102428580,23,"C",8,,""
2018,126179162,102421022,23,"C",8,,""
2018,126179151,102428572,21,"C",13,,""
2018,126179159,102428579,51,"C",25,,""
2018,126184681,102428593,51,"C",13,,""
2018,126184700,102424869,16,"C",13,,""
2018,126175172,102424869,39,"C",13,,""
2018,126184703,102421048,23,"C",8,,""
2018,126175184,102424881,27,"C",20,,""
2018,126184709,102424890,16,"C",8,,""
2018,126184711,102424890,2,"C",8,,""
2018,126184710,102424890,23,"C",8,,""
2018,126179161,102428582,23,"C",8,,""
2018,126184674,102421027,49,"A",20,,"F"
2018,126175143,102421027,5,"C",20,,""
2018,126175151,102424854,16,"C",5,,""
2018,126184685,102428601,51,"C",8,,""
2018,126179198,102424886,23,"C",8,,""
2018,126179164,102421023,51,"C",25,,""
2018,126179166,102428584,51,"C",20,,""
2018,126175140,102428587,49,"A",20,,"N"
2018,126184670,102424843,37,"C",8,,""
2018,126179168,102428588,14,"C",8,,""
2018,126179169,102428589,23,"C",8,,""
2018,126184683,102428597,5,"C",25,,""
2018,126179178,102421034,14,"C",18,,""
2018,126179179,102424855,23,"C",8,,""
2018,126179182,102428600,23,"C",12,,""
2018,126175160,102424859,45,"A",20,,""
2018,126184690,102424861,23,"C",8,,""
2018,126179186,102428609,16,"C",13,,""
2018,126175166,102428608,23,"C",8,,""
2018,126175175,102421047,51,"C",20,,""
2018,126184705,102421049,47,"C",8,,""
2018,126175181,102428619,45,"C",3,,""
2018,126184707,102428622,44,"C",20,,""
2018,126175185,102424883,47,"C",20,,""
2018,126179199,102428624,36,"C",46,,""
2018,126184714,102428629,23,"C",12,,""
2018,126179204,102428630,23,"C",8,,""
2018,126179203,102421052,16,"C",13,,""
2018,126175123,102421010,41,"C",36,,""
2018,126175134,102424838,23,"C",8,,""
2018,126175137,102428581,51,"C",20,,""
2018,126175148,102428594,51,"C",25,,""
2018,126179185,102424863,5,"C",11,,""
2018,126184697,102428613,23,"C",8,,""
2018,126184653,102424827,5,"C",11,,""
2018,126179149,102424828,5,"C",11,,""
2018,126175122,102424830,2,"C",21,,""
2018,126179150,102424831,5,"C",20,,""
2018,126175128,102424834,14,"C",20,,""
2018,126179153,102421013,14,"C",20,,""
2018,126184662,102421014,5,"C",13,,""
2018,126179155,102421016,14,"C",20,,""
2018,126179154,102421016,5,"C",20,,""
2018,126184668,102421018,5,"C",20,,""
2018,126179165,102428583,16,"C",14,,""
2018,126175138,102424842,23,"C",8,,""
2018,126175144,102424847,5,"C",20,,""
2018,126179170,102421028,47,"C",4,,""
2018,126179171,102421029,14,"C",20,,""
2018,126184678,102424852,23,"C",8,,""
2018,126179177,102421033,2,"C",19,,""
2018,126175154,102421035,23,"C",8,,""
2018,126175155,102421035,2,"C",8,,""
2018,126175156,102421036,23,"C",8,,""
2018,126184687,102421037,14,"C",20,,""
2018,126184686,102421039,23,"C",8,,""
2018,126184696,102428611,23,"C",8,,""
2018,126175167,102424867,23,"C",8,,""
2018,126184699,102428614,39,"C",25,,""
2018,126184698,102428614,16,"C",25,,""
2018,126184702,102428615,47,"C",14,,""
2018,126179190,102424874,23,"C",8,,""
2018,126175177,102421050,14,"C",25,,""
2018,126179193,102428620,16,"C",13,,""
2018,126179195,102421051,5,"C",6,,""
2018,126175186,102424885,23,"C",8,,""
2018,126184708,102424887,41,"C",11,,""
2018,126175188,102428625,51,"C",20,,""
2018,126184648,102428566,51,"C",25,,""
2018,126175161,102421043,21,"C",20,,""
2018,126179189,102424872,23,"C",8,,""
2018,126179147,102424826,14,"C",7,,""
2018,126175124,102421011,23,"C",8,,""
2018,126175150,102421032,23,"C",8,,""
2018,126179191,102424875,47,"C",21,,""
2018,126175192,102428627,51,"C",13,,""
2018,126184717,102421053,23,"C",8,,""
2018,132318394,107861111,51,"C",20,,""
2018,132310403,107852767,51,"C",14,,""
2018,132313141,107861125,16,"C",41,,""
2018,132310406,107861135,21,"C",20,,""
2018,132310412,107861142,16,"C",1,,""
2018,126175141,102424844,23,"C",5,,""
2018,126179181,102424857,5,"C",20,,""
2018,126184684,102424857,14,"C",20,,""
2018,126184692,102428604,23,"C",8,,""
2018,126175182,102424879,23,"C",8,,""
2018,126179197,102424884,23,"C",8,,""
2018,126175127,102424833,5,"C",24,,""
2018,126175126,102424833,49,"C",24,,"F"
2018,126179152,102424833,21,"C",24,,""
2018,126179157,102424836,5,"C",8,,""
2018,126175135,102421021,16,"C",14,,""
2018,126184677,102424850,5,"C",13,,""
2018,126175146,102424850,14,"C",13,,""
2018,126175120,102428568,14,"C",20,,""
2018,126179188,102421046,37,"C",8,,""
2018,126179180,102424856,23,"C",8,,""
2018,126184689,102428603,49,"C",18,,"F"
2018,126179200,102424889,23,"C",12,,""
2018,126184665,102428577,5,"C",14,,""
2018,126184669,102424840,23,"C",8,,""
2018,118275745,95513535,36,"C",13,,""
2018,118275814,95513597,21,"C",20,,""
2018,118275872,95513636,49,"A",20,,"F"
2018,118275943,95513714,49,"C",20,,"N"
2018,118275984,95513739,45,"C",8,,""
2018,118275781,95513577,49,"C",20,,"N"
2018,118275800,95513581,47,"C",20,,""
2018,118275968,95513720,45,"C",20,,""
2018,118276006,95513759,16,"C",13,,""
2018,118276024,95513768,5,"C",23,,""
