"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2019,15,121566190,1,9,13112788
2019,5,121567091,1,11,13112854
2019,2,121562180,1,1,13107928
2019,5,121562180,6,1,13107929
2019,5,121562224,45,1,13107931
2019,16,121562289,23,9,13107942
2019,5,121562400,44.003,1,13107955
2019,5,121562685,1.004,3,13118164
2019,4,121553787,1,1,13107981
2019,8,121567747,3,1,13112915
2019,1,121567747,3.002,1,13112916
2019,5,121562894,2.001,1,13112926
2019,5,121562983,1,3,13112936
2019,5,121563010,1.008,1,13118198
2019,12,121563087,2.003,1,13108021
2019,16,121563109,,,13108030
2019,5,120240731,7.001,1,12762338
2019,8,120241599,3,9,12762415
2019,2,120242028,204.002,1,12762458
2019,5,120242028,368.001,1,12762457
2019,5,120240765,3.005,1,12762343
2019,8,120240765,3,9,12762342
2019,2,120240765,1,1,12762341
2019,16,120242218,1,9,12782478
2019,8,120242218,78,1,12782479
2019,5,120242218,22,1,12762469
2019,4,120244735,0.005,1,12787535
2019,8,120243073,3.005,1,12787538
2019,2,120243073,0.003,1,12787539
2019,5,120243073,4.005,1,12787540
2019,8,120244768,7.001,1,12787584
2019,5,121561694,1,11,13107875
2019,5,121552930,1.006,1,13118091
2019,5,121566694,2,4,13118094
2019,2,121566694,14,1,13118095
2019,18,121566694,,,13118096
2019,5,121566759,4,1,13112834
2019,5,121566872,5,1,13112843
2019,5,121562020,13.009,1,13107911
2019,8,121562043,44,9,13107913
2019,11,121567063,10,3,13118120
2019,4,121562167,1,11,13107927
2019,8,121562243,0.005,1,13107934
2019,2,121562243,0.002,1,13107933
2019,16,121567298,0.007,1,13107954
2019,5,121553361,20,1,13118135
2019,2,121553361,0.001,1,13118136
2019,16,121567459,85,9,13118151
2019,5,121562726,104,1,13107979
2019,17,121562778,1,11,13118170
2019,5,121562891,11.003,1,13107996
2019,5,121562952,1,1,13108001
2019,11,121554014,20.005,1,13118190
2019,8,121567932,8.005,1,13112935
2019,5,121567970,0.006,3,13118197
2019,1,121568044,0.005,1,13112964
2019,8,121568097,1,1,13112981
2019,8,121568138,0.004,1,13112990
2019,2,121568146,1.005,1,13112992
2019,8,121563129,1,9,13108035
2019,5,121563129,8.005,1,13118230
2019,1,121554203,10,1,13112993
2019,4,121554203,4.005,1,13112994
2019,18,121554203,,,13112995
2019,8,121563132,5.005,9,13108037
2019,1,121563135,0.007,1,13108038
2019,5,121568171,485,1,13118236
2019,1,121563172,0.004,1,13108042
2019,17,121563177,0.004,1,13108045
2019,1,121563187,4.006,1,13113002
2019,16,121563198,7,1,13108051
2019,8,121568186,15,9,13113004
2019,5,121568186,3.005,1,13113003
2019,5,121566158,1,11,13112782
2019,5,121552298,3,1,13118024
2019,2,121552321,48,1,13118026
2019,5,121552331,5.008,1,13118027
2019,16,121561627,0,1,13107869
2019,5,121552416,1.001,3,13118033
2019,5,121561650,5.006,1,13107870
2019,4,121552563,1,1,13107878
2019,5,121566374,0.001,1,13112803
2019,5,121552817,26.001,1,13118086
2019,5,121552941,2.005,1,13118093
2019,5,121561956,2.005,3,13112832
2019,4,121562423,4,1,13107960
2019,8,121562472,0.002,1,13107962
2019,12,121553544,13,9,13118147
2019,5,121553544,5.006,1,13118148
2019,5,121562574,122,1,13107968
2019,17,121562706,3,1,13107976
2019,2,121562776,1,11,13107986
2019,1,121553832,1,11,13118171
2019,13,121563021,67,9,13108012
2019,16,121568098,10,9,13118221
2019,2,121568098,153.007,1,13112982
2019,5,121554177,11.006,3,13118222
2019,5,121563105,419,1,13108028
2019,8,121568115,0,1,13118224
2019,5,121563114,,,13108034
2019,16,121566168,1,11,13112785
2019,3,121566168,1,11,13112783
2019,14,121566168,1,11,13112784
2019,5,121552679,1,11,13118063
2019,5,121552756,25.005,1,13112821
2019,8,121562290,3,9,13107945
2019,12,121562290,15,1,13107943
2019,8,121562290,0.002,1,13107944
2019,3,121562878,5,1,13118179
2019,5,121562878,1,3,13107995
2019,16,121562925,4,9,13107997
2019,17,121562925,4,9,13112927
2019,5,121554020,25,1,13118191
2019,8,121563003,5,9,13108008
2019,2,121563005,1.001,1,13118195
2019,5,121554096,1,3,13118203
2019,5,121561555,5.005,1,13118023
2019,1,121566233,0.001,1,13107867
2019,5,121561654,,,13107871
2019,16,121561687,9,1,13107874
2019,4,121566396,1,1,13107882
2019,2,121566396,1,1,13107881
2019,12,121566396,4,9,13112807
2019,2,121561807,1,1,13107890
2019,17,121561807,1,1,13107891
2019,8,121561825,1.005,9,13107893
2019,16,121567040,1.005,9,13107924
2019,5,121567287,1.005,1,13112866
2019,5,121553631,9.006,1,13118152
2019,5,121562658,20.004,1,13118160
2019,16,121567648,2,9,13107983
2019,12,121567648,3.005,9,13112907
2019,5,121567695,1.006,3,13112910
2019,11,121567695,0.008,3,13112909
2019,1,121567715,15,1,13112913
2019,4,121567715,7.007,1,13112914
2019,2,121567873,2.009,1,13108000
2019,16,121553995,2,9,13112930
2019,5,121553995,3,9,13112929
2019,4,121567966,1,1,13118196
2019,1,121567966,0.008,1,13112942
2019,5,121554102,1.003,1,13112956
2019,5,121568030,8.005,1,13108016
2019,8,121563055,8,9,13118210
2019,8,121563092,6,9,13108022
2019,5,121568139,6.006,1,13112991
2019,16,121554221,73,9,13118234
2019,17,121554221,1,9,13118235
2019,8,121563165,5,9,13108040
2019,8,121563174,2,1,13108043
2019,1,121563176,0,1,13108044
2019,5,121563183,95.007,1,13108048
2019,5,121563183,1,9,13108047
2019,1,121563192,0.003,1,13108050
2019,8,121563192,6.001,1,13108049
2019,16,121554244,1,9,13118238
2019,5,121563209,18.006,1,13108052
2019,17,121563236,1.005,1,13108054
2019,8,121563236,1.005,1,13108055
2019,18,121563236,,,13108056
2019,1,121563238,3.005,1,13108060
2019,2,121563238,1,1,13108059
2019,12,121554269,0.004,1,13118245
2019,2,121563249,,,13108061
2019,5,121552370,8,8,13118031
2019,5,121566289,53.003,1,13112798
2019,11,121552471,24,1,13112799
2019,5,121561733,5,1,13107877
2019,17,121561746,,,13107879
2019,16,121561775,2,9,13118047
2019,1,121566419,8,1,13112812
2019,2,121561797,13.006,1,13107886
2019,5,121561799,2,1,13107887
2019,2,121561824,1,1,13112820
2019,5,121561824,1,1,13107892
2019,16,121552766,0.006,1,13118077
2019,4,121552766,0.008,1,13112824
2019,1,121552766,1,1,13112825
2019,1,121561861,6.005,1,13118084
2019,5,121566554,21,1,13112827
2019,5,121566620,1,3,13112829
2019,5,121566667,1,3,13107901
2019,12,121566791,2,1,13112839
2019,5,121562039,164.001,1,13107912
2019,5,121553227,2,9,13112851
2019,18,121553227,,,13118117
2019,5,121553227,178,1,13118116
2019,5,121562131,36,1,13118118
2019,18,121562250,,,13107937
2019,4,121562250,1.003,1,13107936
2019,16,121562250,1.002,1,13107935
2019,5,121562257,12.003,1,13118129
2019,5,121567191,2,1,13112859
2019,5,121553389,3,1,13118138
2019,5,121567316,4.009,1,13112870
2019,5,121567349,6.001,1,13107959
2019,12,121553652,1,1,13107969
2019,5,121553662,0.005,1,13118155
2019,1,121562618,0.005,1,13107971
2019,12,121562690,1,9,13107974
2019,12,121562690,2.006,1,13112901
2019,4,121567610,1,1,13112904
2019,16,121567611,2,9,13118166
2019,1,121553801,6.007,1,13118167
2019,5,121553801,1,1,13118168
2019,5,121562835,56,1,13107991
2019,5,121567762,5.001,8,13112917
2019,5,121567778,62.009,1,13112919
2019,5,121553918,26.004,1,13112920
2019,5,121567926,5.005,1,13108002
2019,11,121554056,0.001,2,13112938
2019,5,121554056,10,9,13112939
2019,5,121554101,2,1,13118204
2019,4,121554121,4,1,13108014
2019,2,121554121,5,1,13108015
2019,8,121563061,6,9,13112965
2019,1,121568052,2,1,13112966
2019,15,121568052,0.002,1,13112967
2019,8,120241169,10,9,12782475
2019,5,120241330,0.001,3,12762387
2019,5,120242758,1,11,12782480
2019,2,120244731,0.005,1,12787533
2019,16,120243732,3,9,12787604
2019,5,120243848,29.004,1,12787617
2019,5,120243848,1,9,12787616
2019,5,120243852,6.008,1,12787619
2019,8,120243852,1,9,12787618
2019,5,120244056,1,1,12787641
2019,4,120244056,1,1,12787639
2019,17,120244056,1,11,12787640
2019,8,120244295,27.008,1,12787671
2019,5,120244339,20,3,12787676
2019,12,120244444,62,9,12787689
2019,12,120244444,1.005,1,12787690
2019,1,120244811,1.005,1,12782493
2019,5,120244813,16.002,1,12787703
2019,5,120249738,8.002,1,12782497
2019,4,120249848,5,1,12787736
2019,8,123435245,0.005,1,13592993
2019,8,123435245,3,9,13592994
2019,1,123435245,28,1,13592992
2019,2,123427248,13,1,13588649
2019,16,123427251,238,9,13588654
2019,18,123427251,,,13588656
2019,5,123427251,61,10,13588655
2019,2,123427253,2,2,13588657
2019,5,123089443,1,9,13485330
2019,11,123099829,3,9,13485376
2019,8,123099720,1,11,13485357
2019,5,123099795,81,10,13485368
2019,16,123099831,1,9,13485379
2019,12,123099831,1,9,13485378
2019,17,123099831,3,9,13485377
2019,4,123099967,0.005,1,13485393
2019,2,123099967,1,1,13485392
2019,5,123100006,0.007,1,13485404
2019,2,123427238,4.006,1,13588640
2019,17,123427238,2.005,9,13588641
2019,2,123427250,14.005,1,13588652
2019,8,123427250,10,9,13588653
2019,2,123427259,34,1,13588661
2019,2,122566272,2,1,13298567
2019,8,122563892,0.003,1,13293845
2019,5,122565829,1,9,13298533
2019,17,122564019,10,9,13293860
2019,2,122564019,1.005,1,13293859
2019,2,122563928,10,1,13298550
2019,5,122563936,0,3,13293848
2019,8,122566239,23,9,13298561
2019,2,123089372,135,1,13485318
2019,5,123099815,1.005,1,13485371
2019,1,123099822,1,1,13485374
2019,5,123100014,11.005,1,13485406
2019,8,123100014,9,9,13435872
2019,5,123096085,86,1,13485411
2019,5,123096132,2.009,1,13435884
2019,16,123100165,34,9,13485421
2019,5,123100165,1.005,1,13485422
2019,5,123100168,71,1,13485423
2019,1,123100176,14.002,1,13485424
2019,1,123100177,58,1,13485425
2019,16,123427202,3,1,13588619
2019,5,123427225,35,1,13588625
2019,17,123427225,27,9,13588624
2019,5,123427227,31,10,13588627
2019,2,123427227,1,1,13588626
2019,18,123427227,,,13588628
2019,12,123427228,3,1,13588629
2019,17,123427228,2,1,13588630
2019,18,123427229,,,13588633
2019,5,123427229,1,11,13588632
2019,5,123427229,27,9,13588631
2019,8,123427230,89,9,13588634
2019,2,123427230,10.007,1,13588635
2019,18,123427230,,,13588636
